rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,1_3,cpa,mis,dis,rec,matches
1,Hiroyuki Abe,jp JPN,MF,Grampus,31,1989,2.7,,,,,,,,,,,,,,,,,,,,,Matches
2,Shuto Abe,jp JPN,MF,FC Tokyo,23,1997,32.6,,,,,,,,,,,,,,,,,,,,,Matches
3,Takashi Abe,jp JPN,DF,Vortis,23,1997,3.7,,,,,,,,,,,,,,,,,,,,,Matches
4,Yuki Abe,jp JPN,MF,Urawa Reds,39,1981,6.9,,,,,,,,,,,,,,,,,,,,,Matches
5,Adaílton,br BRA,"MF,FW",FC Tokyo,30,1990,25.5,,,,,,,,,,,,,,,,,,,,,Matches
6,Shuhei Akasaki,jp JPN,"FW,MF",Vegalta Sendai,29,1991,20.7,,,,,,,,,,,,,,,,,,,,,Matches
7,Takahiro Akimoto,jp JPN,"DF,MF",Urawa Reds,23,1998,28.7,,,,,,,,,,,,,,,,,,,,,Matches
8,Yosuke Akiyama,jp JPN,DF,Vegalta Sendai,25,1995,1.9,,,,,,,,,,,,,,,,,,,,,Matches
9,Juan Alano,br BRA,MF,Kashima Antlers,24,1996,18.7,,,,,,,,,,,,,,,,,,,,,Matches
10,Tiago Alves,br BRA,"FW,MF",Gamba Osaka,28,1993,6.0,,,,,,,,,,,,,,,,,,,,,Matches
11,Jun Amano,jp JPN,MF,Marinos,29,1991,12.7,,,,,,,,,,,,,,,,,,,,,Matches
12,Koki Anzai,jp JPN,DF,Kashima Antlers,25,1995,12.4,,,,,,,,,,,,,,,,,,,,,Matches
13,Ryota Aoki,jp JPN,MF,Consa Sapporo,24,1996,19.5,,,,,,,,,,,,,,,,,,,,,Matches
14,Takuya Aoki,jp JPN,MF,FC Tokyo,31,1989,24.8,,,,,,,,,,,,,,,,,,,,,Matches
15,Toshihiro Aoyama,jp JPN,MF,Sanfrecce,34,1986,27.8,,,,,,,,,,,,,,,,,,,,,Matches
16,Haruki Arai,jp JPN,MF,Cerezo Osaka,22,1998,0.5,,,,,,,,,,,,,,,,,,,,,Matches
17,Naoto Arai,jp JPN,DF,Cerezo Osaka,24,1996,3.3,,,,,,,,,,,,,,,,,,,,,Matches
18,Hayato Araki,jp JPN,DF,Sanfrecce,24,1996,35.6,,,,,,,,,,,,,,,,,,,,,Matches
19,Ryotaro Araki,jp JPN,"MF,FW",Kashima Antlers,19,2002,25.4,,,,,,,,,,,,,,,,,,,,,Matches
20,Takuma Arano,jp JPN,"MF,FW",Consa Sapporo,27,1993,14.8,,,,,,,,,,,,,,,,,,,,,Matches
21,Arthur,br BRA,MF,FC Tokyo,25,1995,3.1,,,,,,,,,,,,,,,,,,,,,Matches
22,Arthur,br BRA,MF,Yokohama FC,25,1995,5.3,,,,,,,,,,,,,,,,,,,,,Matches
23,Arthur,br BRA,"MF,FW",Kashima Antlers,28,1992,5.2,,,,,,,,,,,,,,,,,,,,,Matches
24,Yuya Asano,jp JPN,"FW,MF",Sanfrecce,23,1997,21.3,,,,,,,,,,,,,,,,,,,,,Matches
25,Shun Ayukawa,jp JPN,FW,Sanfrecce,19,2001,6.8,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
26,Mushaga Bakenga,no NOR,FW,Vortis,28,1992,5.6,,,,,,,,,,,,,,,,,,,,,Matches
27,Kashif Bangunagande,jp JPN,DF,FC Tokyo,19,2001,5.4,,,,,,,,,,,,,,,,,,,,,Matches
28,Akimi Barada,jp JPN,MF,Shonan Bellmare,29,1991,15.2,,,,,,,,,,,,,,,,,,,,,Matches
29,Cristian Battocchio,it ITA,MF,Vortis,28,1992,6.2,,,,,,,,,,,,,,,,,,,,,Matches
30,Jay Bothroyd,eng ENG,FW,Consa Sapporo,38,1982,9.8,,,,,,,,,,,,,,,,,,,,,Matches
31,Svend Brodersen,de GER,GK,Yokohama FC,23,1997,16.0,,,,,,,,,,,,,,,,,,,,,Matches
32,Theerathon Bunmathan,th THA,DF,Marinos,30,1990,22.3,,,,,,,,,,,,,,,,,,,,,Matches
33,Cacá,br BRA,DF,Vortis,21,1999,25.3,,,,,,,,,,,,,,,,,,,,,Matches
34,Felippe Cardoso,br BRA,FW,Vegalta Sendai,22,1998,8.3,,,,,,,,,,,,,,,,,,,,,Matches
35,Carlinhos,br BRA,"MF,FW",S-Pulse,26,1994,15.2,,,,,,,,,,,,,,,,,,,,,Matches
36,Yusuke Chajima,jp JPN,"MF,DF",Sanfrecce,29,1991,8.3,,,,,,,,,,,,,,,,,,,,,Matches
37,Kei Chinen,jp JPN,"FW,MF",Kawa Frontale,25,1995,6.6,,,,,,,,,,,,,,,,,,,,,Matches
38,Jordy Croux,be BEL,MF,Avispa Fukuoka,27,1994,12.2,,,,,,,,,,,,,,,,,,,,,Matches
39,Dusan Cvetinovic,rs SRB,DF,Vortis,32,1988,8.8,,,,,,,,,,,,,,,,,,,,,Matches
40,Leandro Damião,br BRA,FW,Kawa Frontale,31,1989,25.3,,,,,,,,,,,,,,,,,,,,,Matches
41,Wellington Daniel Bueno,br BRA,DF,Kashima Antlers,25,1995,0.8,,,,,,,,,,,,,,,,,,,,,Matches
42,Dankler,br BRA,DF,Cerezo Osaka,29,1992,6.0,,,,,,,,,,,,,,,,,,,,,Matches
