rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,attendance,top_team_scorer,goalkeeper,notes
1,Marinos,34,20,8,6,70,35,35,68,2.0,19811,"Anderson Lopes, Leonardo - 11",Yohei Takaoka,
2,Kawa Frontale,34,20,6,8,65,42,23,66,1.94,17939,"Akihiro Ienaga, Marcinho - 12",Jung Sung-ryong,
3,Sanfrecce,34,15,10,9,52,41,11,55,1.62,10493,Makoto Mitsuta - 9,Keisuke Ōsako,
4,Kashima Antlers,34,13,13,8,47,42,5,52,1.53,16161,Ayase Ueda - 10,Kwoun Sun-tae,
5,Cerezo Osaka,34,13,12,9,46,40,6,51,1.5,11427,Kato Mutsuki - 6,Kim Jin-hyeon,
6,FC Tokyo,34,14,7,13,46,43,3,49,1.44,22309,Adaílton - 12,Jakub Słowik,
7,Kashiwa Reysol,34,13,8,13,43,44,-1,47,1.38,9265,Mao Hosoya - 8,Masato Sasaki,
8,Grampus,34,11,13,10,30,35,-5,46,1.35,18813,Mateus - 8,Mitchell Langerak,
9,Urawa Reds,34,10,15,9,48,39,9,45,1.32,23617,David Moberg Karlsson - 8,Shusaku Nishikawa,
10,Consa Sapporo,34,11,12,11,45,55,-10,45,1.32,12303,Ryota Aoki - 8,Takanori Sugeno,
11,Sagan Tosu,34,9,15,10,45,44,1,42,1.24,9358,Taisei Miyashiro - 8,Park Iru-gyu,
12,Shonan Bellmare,34,10,11,13,31,39,-8,41,1.21,9228,Shuto Machino - 13,Kosei Tani,
13,Vissel Kobe,34,11,7,16,35,41,-6,40,1.18,15540,Yuya Osako - 7,Daiya Maekawa,
14,Avispa Fukuoka,34,9,11,14,29,38,-9,38,1.12,7150,Yuya Yamagishi - 10,Masaaki Murakami,
15,Gamba Osaka,34,9,10,15,33,44,-11,37,1.09,17669,Patric - 5,Masaaki Higashiguchi,
16,Kyoto Sanga,34,8,12,14,30,38,-8,36,1.06,11692,Peter Utaka - 9,Naoto Kamifukumoto,
17,S-Pulse,34,7,12,15,44,54,-10,33,0.97,15245,Thiago Santana - 14,Shūichi Gonda,Relegated
18,Júbilo Iwata,34,6,12,16,32,57,-25,30,0.88,9942,"Yuto Suzuki, Fabián González Lasso - 6",Ryuki Miura,Relegated
