rk,player,nation,pos,squad,age,born,90s,ga,pka,fk,ck,og,psxg,psxg_sot,psxg_exp,90,cmp,att,cmp_launch,att_gk,thr,launch,avglen,att_goal_k,launch_goal_k,avglen_goal_k,opp,stp,stp_crosse,opa,opa_90,avgdist,matches
1,Svend Brodersen,de GER,GK,Yokohama FC,25,1997,13.0,19,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
2,Song Bumkeun,kr KOR,GK,Shonan Bellmare,25,1997,24.0,41,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
3,Yang Han-been,kr KOR,GK,Cerezo Osaka,31,1991,12.5,10,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
4,Tomoki Hayakawa,jp JPN,GK,Kashima Antlers,23,1999,34.0,34,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
5,Takuto Hayashi,jp JPN,GK,Sanfrecce,40,1982,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
6,Masaaki Higashiguchi,jp JPN,GK,Gamba Osaka,36,1986,23.0,39,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Akinori Ichikawa,jp JPN,GK,Yokohama FC,24,1998,3.4,11,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
8,Jun Ichimori,jp JPN,GK,Marinos,31,1991,26.8,31,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
9,Hiroki Iikura,jp JPN,GK,Marinos,36,1986,5.2,8,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
10,Park Iru-gyu,jp JPN,GK,Sagan Tosu,33,1989,34.0,47,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
11,Kei Ishikawa,jp JPN,GK,Gamba Osaka,30,1992,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
12,Kim Jin-hyeon,kr KOR,GK,Cerezo Osaka,35,1987,19.5,20,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
13,Naoto Kamifukumoto,jp JPN,GK,Kawa Frontale,33,1989,12.0,12,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
14,Ryosuke Kojima,jp JPN,GK,Albirex Niigata,26,1997,30.0,34,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
15,Mitchell Langerak,au AUS,GK,Grampus,34,1988,34.0,36,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
16,Daiya Maekawa,jp JPN,GK,Vissel Kobe,28,1994,34.0,29,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
17,Kenta Matsumoto,jp JPN,GK,Kashiwa Reysol,25,1997,28.0,36,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
18,Hiroki Mawatari,jp JPN,GK,Shonan Bellmare,28,1994,2.0,2,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
19,Tatsuya Morita,jp JPN,GK,Kashiwa Reysol,32,1990,3.0,7,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
20,Masaaki Murakami,jp JPN,GK,Avispa Fukuoka,30,1992,20.0,24,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
21,Kengo Nagai,jp JPN,GK,Yokohama FC,28,1994,17.6,28,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
22,Takumi Nagaishi,jp JPN,GK,Avispa Fukuoka,26,1996,14.0,19,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
23,Shusaku Nishikawa,jp JPN,GK,Urawa Reds,36,1986,34.0,26,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
24,Taishi Nozawa,jp JPN,GK,FC Tokyo,20,2002,10.0,12,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
25,Powell Obi,jp JPN,GK,Marinos,25,1997,2.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
26,Keisuke Ōsako,jp JPN,GK,Sanfrecce,23,1999,33.9,28,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
27,Gakuji Ota,jp JPN,GK,Kyoto Sanga,32,1990,12.0,15,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
28,Koki Otani,jp JPN,GK,Consa Sapporo,33,1989,3.0,7,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
29,Masato Sasaki,jp JPN,GK,Kashiwa Reysol,20,2002,3.0,4,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
30,Keisuke Shimizu,jp JPN,GK,Cerezo Osaka,34,1988,2.0,4,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
31,Takanori Sugeno,jp JPN,GK,Consa Sapporo,38,1984,14.0,23,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
32,Jung Sung-ryong,kr KOR,GK,Kawa Frontale,38,1985,22.0,33,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
