rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,last_5,attendance,top_team_scorer,goalkeeper,notes
1,Kashima Antlers,35,20,7,8,53,29,24,67,1.91,W W D D D,26034,Leonardo - 18,Tomoki Hayakawa,
2,Kashiwa Reysol,35,18,12,5,55,33,22,66,1.89,D D W W W,12878,Mao Hosoya - 8,Ryosuke Kojima,
3,Kyoto Sanga,35,17,11,7,59,37,22,62,1.77,D W D D D,15502,Rafael Elias - 16,Gakuji Ota,
4,Vissel Kobe,35,18,8,9,45,30,15,62,1.77,W W L D D,21574,Taisei Miyashiro - 11,Daiya Maekawa,
5,Sanfrecce,35,17,8,10,39,26,13,59,1.69,D W W D L,25532,Sota Nakamura - 5,Keisuke Ōsako,
6,Machida Zelvia,35,16,9,10,49,35,14,57,1.63,D W L D D,12878,Yuki Soma - 9,Kosei Tani,
7,Kawa Frontale,35,15,11,9,65,50,15,56,1.6,W D D W L,21839,"Tatsuya Ito, Erison - 12",Louis Yamaguchi,
8,Urawa Reds,35,14,11,10,40,36,4,53,1.51,D D W L D,36896,Ryoma Watanabe - 7,Shusaku Nishikawa,
9,Gamba Osaka,35,16,5,14,48,52,-4,53,1.51,W W D L W,29480,Takashi Usami - 8,Jun Ichimori,
10,Cerezo Osaka,35,13,10,12,54,50,4,49,1.4,L L L W W,18706,Rafael Ratão - 15,Koki Fukui,
11,FC Tokyo,35,12,9,14,39,47,-8,45,1.29,W L D D W,31629,Marcelo Ryan - 8,Taishi Nozawa,
12,Avispa Fukuoka,35,11,11,13,33,37,-4,44,1.26,L L W D W,9556,Tomoya Miki - 6,Yuma Obata,
13,S-Pulse,35,11,11,13,39,44,-5,44,1.26,D L D L W,19067,Koya Kitagawa - 10,Yuya Oki,
14,Tokyo Verdy,35,11,9,15,22,36,-14,42,1.2,L D W W L,20473,Itsuki Someno - 4,Matheus Caldeira Vidotto de Oliveira,
15,Fagi Okayama,35,11,8,16,31,40,-9,41,1.17,D L D L L,14530,Ryūnosuke Satō - 6,Svend Brodersen,
16,Grampus,35,10,10,15,42,52,-10,40,1.14,D L W D L,32113,Sho Inagaki - 9,Alexandre Pisano,
17,Marinos,35,10,7,18,39,44,-5,37,1.06,L W L W W,24907,Asahi Uenaka - 6,Park Iru-gyu,
18,Yokohama FC,35,8,8,19,23,41,-18,32,0.91,D W L D L,10103,Soromon Sakuragawa - 4,Akinori Ichikawa,
19,Shonan Bellmare,35,6,8,21,29,59,-30,26,0.74,L L L D L,11231,Akito Suzuki - 7,Naoto Kamifukumoto,
20,Albirex Niigata,35,4,11,20,32,58,-26,23,0.66,D L D L D,22502,Motoki Hasegawa - 6,Kazuki Fujita,
