squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90
Albirex Niigata,36,28.7,54.5,35,385,3150,35.0,32,21,53,30,2,2,34,1,0.91,0.6,1.51,0.86,1.46
Avispa Fukuoka,30,28.5,46.6,35,385,3150,35.0,31,22,53,27,4,4,48,3,0.89,0.63,1.51,0.77,1.4
Cerezo Osaka,29,28.0,55.4,35,385,3150,35.0,52,36,88,50,2,4,37,0,1.49,1.03,2.51,1.43,2.46
Fagi Okayama,32,28.2,42.2,35,385,3150,35.0,31,24,55,30,1,1,39,1,0.89,0.69,1.57,0.86,1.54
FC Tokyo,35,28.2,51.7,35,385,3150,35.0,38,25,63,32,6,8,48,0,1.09,0.71,1.8,0.91,1.63
Gamba Osaka,28,29.2,52.1,35,385,3150,35.0,48,33,81,46,2,2,36,2,1.37,0.94,2.31,1.31,2.26
Grampus,29,29.8,46.8,35,385,3150,35.0,42,29,71,38,4,4,45,2,1.2,0.83,2.03,1.09,1.91
Kashima Antlers,27,28.2,51.3,35,385,3150,35.0,51,37,88,46,5,7,42,0,1.46,1.06,2.51,1.31,2.37
Kashiwa Reysol,32,27.8,60.5,35,385,3150,35.0,55,46,101,53,2,4,43,0,1.57,1.31,2.89,1.51,2.83
Kawa Frontale,34,28.4,51.1,35,385,3150,35.0,64,41,105,61,3,4,45,3,1.83,1.17,3.0,1.74,2.91
Kyoto Sanga,30,28.4,47.7,35,385,3150,35.0,57,40,97,52,5,7,59,2,1.63,1.14,2.77,1.49,2.63
Machida Zelvia,25,28.6,44.7,35,385,3150,35.0,47,31,78,44,3,3,47,0,1.34,0.89,2.23,1.26,2.14
Marinos,34,28.7,49.7,35,385,3150,35.0,38,28,66,34,4,4,58,1,1.09,0.8,1.89,0.97,1.77
S-Pulse,35,28.4,50.2,35,385,3150,35.0,35,24,59,29,6,10,46,2,1.0,0.69,1.69,0.83,1.51
Sanfrecce,28,28.9,52.7,35,385,3150,35.0,39,23,62,35,4,5,30,1,1.11,0.66,1.77,1.0,1.66
Shonan Bellmare,35,28.1,51.0,35,385,3150,35.0,29,22,51,28,1,1,43,1,0.83,0.63,1.46,0.8,1.43
Tokyo Verdy,30,26.6,47.1,35,385,3150,35.0,22,19,41,21,1,1,47,2,0.63,0.54,1.17,0.6,1.14
Urawa Reds,30,29.4,51.3,35,385,3150,35.0,40,26,66,40,0,0,34,1,1.14,0.74,1.89,1.14,1.89
Vissel Kobe,30,30.6,53.0,35,385,3150,35.0,42,32,74,41,1,3,30,0,1.2,0.91,2.11,1.17,2.09
Yokohama FC,34,28.9,41.1,35,385,3150,35.0,23,16,39,23,0,1,46,3,0.66,0.46,1.11,0.66,1.11
