rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
1,Antonio Adán,es ESP,GK,Atlético Madrid,32,1987,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2,Aritz Aduriz,es ESP,"FW,MF",Athletic Club,38,1981,2.3,1,6,2,33.3,2.60,0.87,0.17,0.50,15.7,0,0,1,1.6,0.8,0.13,-0.6,+0.2,Matches
3,Lumor Agbenyenu,gh GHA,DF,Mallorca,22,1996,20.1,1,14,2,14.3,0.70,0.10,0.07,0.50,30.1,0,0,0,0.3,0.3,0.02,+0.7,+0.7,Matches
4,Martin Agirregabiria,es ESP,DF,Alavés,23,1996,23.3,1,3,1,33.3,0.13,0.04,0.33,1.00,24.1,0,0,0,0.8,0.8,0.26,+0.2,+0.2,Matches
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,23,1995,27.8,0,10,1,10.0,0.36,0.04,0.00,0.00,11.1,0,0,0,1.0,1.0,0.10,-1.0,-1.0,Matches
6,Jordi Alba,es ESP,DF,Barcelona,30,1989,24.3,2,7,3,42.9,0.29,0.12,0.29,0.67,16.4,0,0,0,1.4,1.4,0.20,+0.6,+0.6,Matches
7,Raúl Albiol,es ESP,DF,Villarreal,33,1985,36.0,1,15,4,26.7,0.42,0.11,0.07,0.25,10.8,0,0,0,2.3,2.3,0.15,-1.3,-1.3,Matches
8,Paco Alcácer,es ESP,FW,Villarreal,25,1993,10.3,4,26,7,26.9,2.53,0.68,0.15,0.57,16.4,1,0,0,3.7,3.7,0.14,+0.3,+0.3,Matches
9,Rubén Alcaraz,es ESP,MF,Valladolid,28,1991,21.4,2,33,8,24.2,1.54,0.37,0.06,0.25,25.9,9,0,0,1.9,1.9,0.06,+0.1,+0.1,Matches
10,Álex Alegría,es ESP,FW,Mallorca,26,1992,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
11,Carles Aleñá,es ESP,MF,Barcelona,21,1998,1.9,0,1,1,100.0,0.52,0.52,0.00,0.00,17.6,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
12,Carles Aleñá,es ESP,"MF,FW",Betis,21,1998,8.2,1,12,4,33.3,1.47,0.49,0.08,0.25,21.5,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
13,Sergio Álvarez,es ESP,"MF,DF",Eibar,27,1992,12.7,0,4,0,0.0,0.31,0.00,0.00,,20.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
14,Sergio Álvarez,es ESP,GK,Celta Vigo,32,1986,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
15,Yeray Álvarez,es ESP,DF,Athletic Club,24,1995,31.2,0,12,2,16.7,0.38,0.06,0.00,0.00,13.9,0,0,0,1.3,1.3,0.11,-1.3,-1.3,Matches
16,Ibrahim Amadou,fr FRA,MF,Leganés,26,1993,8.6,0,5,1,20.0,0.58,0.12,0.00,0.00,13.5,0,0,0,0.7,0.7,0.14,-0.7,-0.7,Matches
17,Amath,sn SEN,MF,Getafe,23,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
18,Miguel Ángel Guerrero,es ESP,FW,Leganés,29,1990,8.8,1,13,4,30.8,1.48,0.46,0.08,0.25,13.5,0,0,1,2.6,1.8,0.14,-1.6,-0.8,Matches
19,José Ángel,es ESP,DF,Eibar,29,1989,26.2,1,24,7,29.2,0.92,0.27,0.04,0.14,28.0,8,0,0,0.8,0.8,0.03,+0.2,+0.2,Matches
20,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,35,1984,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
21,Antoñito,es ESP,"DF,MF",Valladolid,31,1987,11.4,0,1,0,0.0,0.09,0.00,0.00,,9.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
22,Vitorino Antunes,pt POR,MF,Getafe,32,1987,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
23,Anuar,ma MAR,"MF,FW",Valladolid,24,1995,2.1,0,1,0,0.0,0.48,0.00,0.00,,28.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
24,Mauro Arambarri,uy URU,MF,Getafe,23,1995,34.1,1,47,7,14.9,1.38,0.21,0.02,0.14,25.3,5,0,0,2.1,2.1,0.04,-1.1,-1.1,Matches
25,Néstor Araujo,mx MEX,DF,Celta Vigo,27,1991,32.1,1,13,3,23.1,0.41,0.09,0.08,0.33,14.0,0,0,0,1.0,1.0,0.08,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
26,Ronald Araújo,uy URU,DF,Barcelona,20,1999,2.6,0,1,0,0.0,0.38,0.00,0.00,,3.7,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Matches
27,Anaitz Arbilla,es ESP,DF,Eibar,32,1987,22.3,1,14,2,14.3,0.63,0.09,0.07,0.50,24.9,3,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches
28,Alphonse Areola,fr FRA,GK,Real Madrid,26,1993,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
29,Santiago Arias,co COL,DF,Atlético Madrid,27,1992,12.0,0,6,2,33.3,0.50,0.17,0.00,0.00,19.9,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
30,José Arnaiz,es ESP,"FW,MF",Osasuna,24,1995,8.8,2,21,6,28.6,2.39,0.68,0.10,0.33,16.2,0,0,0,1.4,1.4,0.07,+0.6,+0.6,Matches
31,José Arnaiz,es ESP,MF,Leganés,24,1995,3.7,0,10,4,40.0,2.67,1.07,0.00,0.00,19.4,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
32,Sergio Asenjo,es ESP,GK,Villarreal,30,1989,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
33,Marco Asensio,es ESP,FW,Real Madrid,23,1996,3.7,3,8,5,62.5,2.14,1.34,0.38,0.60,15.7,1,0,0,1.1,1.1,0.14,+1.9,+1.9,Matches
34,Iago Aspas,es ESP,FW,Celta Vigo,31,1987,36.2,14,77,32,41.6,2.12,0.88,0.12,0.28,17.5,11,5,7,14.6,9.0,0.12,-0.6,0.0,Matches
35,Roger Assalé,ci CIV,"FW,MF",Leganés,25,1993,5.9,2,11,6,54.5,1.86,1.02,0.18,0.33,16.2,0,0,0,1.7,1.7,0.15,+0.3,+0.3,Matches
36,Miguel Atienza,es ESP,MF,Eibar,20,1999,0.3,0,2,0,0.0,6.00,0.00,0.00,,12.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
37,Ezequiel Ávila,ar ARG,FW,Osasuna,25,1994,17.7,9,69,28,40.6,3.90,1.58,0.13,0.32,18.5,0,0,0,7.7,7.7,0.12,+1.3,+1.3,Matches
