rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
1,Sabit Abdulai,gh GHA,MF,Getafe,21,1999,0.7,2,0,1,1,0,1,3,2,0,0,0,0,2,0,0,Matches
2,Marcos Acuña,ar ARG,DF,Sevilla,28,1991,25.9,62,42,34,20,8,23,41,18,23,2,21,23,85,30,1,Matches
3,Bobby Adekanye,nl NED,"FW,MF",Cádiz,21,1999,0.4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Matches
4,Martin Agirregabiria,es ESP,"DF,MF",Alavés,24,1996,17.3,32,18,17,12,3,17,33,16,9,3,6,27,59,36,0,Matches
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,24,1995,14.3,26,17,17,9,0,12,21,9,7,4,3,25,51,88,1,Matches
6,Carlos Akapo,gq EQG,DF,Cádiz,27,1993,9.6,18,14,14,4,0,10,18,8,16,3,13,19,37,33,0,Matches
7,Paul Akouokou,ci CIV,MF,Betis,22,1997,4.2,11,8,2,8,1,5,8,3,3,1,2,6,17,7,0,Matches
8,Jony Álamo,es ESP,MF,Elche,18,2001,0.8,2,1,1,0,1,0,1,1,0,0,0,1,3,0,0,Matches
9,Jordi Alba,es ESP,"DF,FW",Barcelona,31,1989,33.6,45,30,22,16,7,24,52,28,21,2,19,49,94,48,0,Matches
10,Raúl Albiol,es ESP,DF,Villarreal,34,1985,34.6,22,15,19,3,0,13,18,5,32,22,10,22,44,146,2,Matches
11,Paco Alcácer,es ESP,FW,Villarreal,26,1993,17.2,6,3,1,2,3,3,7,4,8,0,8,9,15,6,0,Matches
12,Pedro Alcalá,es ESP,DF,Cádiz,31,1989,10.1,8,4,6,2,0,3,5,2,19,13,6,16,24,50,0,Matches
13,Rubén Alcaraz,es ESP,MF,Valladolid,29,1991,24.1,54,29,32,21,1,30,80,50,35,8,27,31,85,28,0,Matches
14,Iván Alejo,es ESP,"MF,FW",Cádiz,25,1995,9.2,14,10,8,4,2,4,23,19,14,1,13,3,17,10,0,Matches
15,Carles Aleñá,es ESP,MF,Barcelona,22,1998,0.5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Matches
16,Carles Aleñá,es ESP,"MF,FW",Getafe,22,1998,15.2,15,10,3,9,3,7,25,18,14,1,13,2,17,2,0,Matches
17,Alfon,es ESP,MF,Celta Vigo,21,1999,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Sergio Álvarez,es ESP,"MF,DF",Eibar,28,1992,17.4,42,25,13,26,3,8,22,14,22,5,17,22,64,24,2,Matches
19,Yeray Álvarez,es ESP,DF,Athletic Club,25,1995,21.6,19,12,11,8,0,9,21,12,12,5,7,53,72,73,0,Matches
20,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,18,2001,0.5,0,0,0,0,0,0,1,1,1,0,1,2,2,1,0,Matches
21,Jon Ander Garrido,es ESP,MF,Cádiz,30,1989,8.9,18,10,8,7,3,10,26,16,12,4,8,14,32,13,0,Matches
22,Marcos André,br BRA,FW,Valladolid,23,1996,13.1,8,2,2,2,4,0,8,8,15,2,13,2,10,9,0,Matches
23,Ángel,es ESP,GK,Granada,18,2002,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Matches
24,José Ángel,es ESP,DF,Eibar,30,1989,10.0,15,8,9,4,2,8,12,4,7,0,7,13,28,17,1,Matches
25,Miguel Ángel Rubio,es ESP,DF,Valladolid,22,1998,1.5,0,0,0,0,0,0,0,0,2,2,0,3,3,11,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,José Antonio Miranda,gq EQG,"MF,DF",Getafe,22,1998,0.3,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,Matches
27,Aritz Arambarri,es ESP,DF,Real Sociedad,22,1998,0.3,1,1,0,1,0,1,2,1,0,0,0,0,1,0,0,Matches
28,Mauro Arambarri,uy URU,MF,Getafe,24,1995,33.1,64,39,22,35,7,23,80,57,40,5,35,42,106,28,0,Matches
29,Néstor Araujo,mx MEX,DF,Celta Vigo,28,1991,27.0,24,16,14,9,1,7,15,8,23,18,5,43,67,89,2,Matches
30,Ronald Araújo,uy URU,DF,Barcelona,21,1999,16.8,22,11,12,8,2,9,9,0,24,15,9,20,42,47,1,Matches
31,Anaitz Arbilla,es ESP,DF,Eibar,33,1987,31.2,45,26,31,11,3,27,54,27,36,11,25,69,114,73,1,Matches
32,Unai Arietaleanizbeaskoa,es ESP,"FW,MF",Eibar,21,1999,0.5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Matches
33,Sergio Arribas,es ESP,"MF,FW",Real Madrid,18,2001,1.5,3,1,2,1,0,1,3,2,2,0,2,4,7,2,0,Matches
34,Sergio Asenjo,es ESP,GK,Villarreal,31,1989,36.0,0,0,0,0,0,0,1,1,0,0,0,0,0,13,2,Matches
35,Marco Asensio,es ESP,"FW,MF",Real Madrid,24,1996,20.8,12,6,7,4,1,3,24,21,15,0,15,11,23,10,0,Matches
36,Iago Aspas,es ESP,FW,Celta Vigo,32,1987,31.8,11,3,2,7,2,2,23,21,25,2,23,16,27,21,0,Matches
37,Miguel Atienza,es ESP,MF,Eibar,21,1999,9.3,20,9,5,15,0,8,23,15,14,1,13,9,29,12,0,Matches
38,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,26,1994,2.2,6,2,3,1,2,2,4,2,1,0,1,1,7,0,0,Matches
39,Ramon Azeez,ng NGA,MF,Granada,27,1992,1.1,1,1,0,1,0,0,0,0,0,0,0,1,2,1,0,Matches
40,Carlos Bacca,co COL,FW,Villarreal,33,1986,8.7,9,5,5,3,1,3,5,2,5,0,5,3,12,2,0,Matches
41,Édgar Badía,es ESP,GK,Elche,28,1992,30.0,1,0,1,0,0,1,3,2,0,0,0,0,1,17,3,Matches
42,Alex Baena,es ESP,MF,Villarreal,19,2001,1.5,4,3,1,2,1,1,3,2,1,1,0,1,5,1,0,Matches
43,Miguel Baeza,es ESP,"MF,FW",Celta Vigo,20,2000,6.0,7,6,5,2,0,5,13,8,3,0,3,3,10,2,0,Matches
44,Mikel Balenziaga,es ESP,DF,Athletic Club,32,1988,18.8,26,15,11,12,3,9,18,9,22,7,15,7,33,46,0,Matches
45,Barcia,es ESP,DF,Granada,19,2000,1.0,1,1,1,0,0,0,0,0,1,1,0,3,4,9,0,Matches
46,Enis Bardhi,mk MKD,MF,Levante,25,1995,18.7,28,12,8,16,4,10,36,26,8,2,6,21,49,14,0,Matches
47,Kike Barja,es ESP,"MF,FW",Osasuna,23,1997,15.9,10,5,6,1,3,5,24,19,10,1,9,16,26,8,0,Matches
48,Marc Baró,es ESP,DF,Cádiz,20,1999,1.0,2,1,2,0,0,0,2,2,1,0,1,2,4,2,1,Matches
49,Antonio Barragán,es ESP,DF,Elche,33,1987,24.8,28,14,21,5,2,12,21,9,22,8,14,33,61,67,1,Matches
50,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,18,2001,14.5,29,19,5,18,6,9,24,15,20,0,20,6,35,8,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Marc Bartra,es ESP,DF,Betis,29,1991,18.8,27,16,18,8,1,12,22,10,19,5,14,40,67,74,3,Matches
52,Álvaro Bastida,es ESP,MF,Cádiz,16,2004,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
53,Rodrigo Battaglia,ar ARG,MF,Alavés,29,1991,27.7,38,16,21,14,3,16,50,34,30,14,16,29,67,40,1,Matches
54,Jon Bautista,es ESP,FW,Real Sociedad,25,1995,4.1,5,3,0,2,3,0,3,3,3,1,2,2,7,4,0,Matches
55,Fran Beltrán,es ESP,"MF,FW",Celta Vigo,21,1999,15.5,30,22,15,12,3,8,24,16,14,1,13,16,46,24,0,Matches
56,Sergio Benito,es ESP,FW,Valladolid,21,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
57,Karim Benzema,fr FRA,FW,Real Madrid,32,1987,32.2,8,6,4,2,2,5,15,10,9,2,7,8,16,24,0,Matches
