rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
1,Sabit Abdulai,gh GHA,MF,Getafe,21,1999,0.7,7,14,50.0,140,10,2,5,4,4,1,3,0,0.0,0.0,0.0,0,0,1,0,1,Matches
2,Marcos Acuña,ar ARG,DF,Sevilla,28,1991,25.9,1415,1767,80.1,24839,9704,675,730,542,639,159,310,2,2.6,2.9,-0.6,32,104,35,19,114,Matches
3,Bobby Adekanye,nl NED,"FW,MF",Cádiz,21,1999,0.4,7,10,70.0,99,0,5,5,1,3,0,1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
4,Martin Agirregabiria,es ESP,"DF,MF",Alavés,24,1996,17.3,533,751,71.0,8830,4027,267,317,204,284,48,106,1,0.7,0.7,+0.3,12,39,15,10,39,Matches
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,24,1995,14.3,511,629,81.2,10079,3604,164,183,285,324,56,95,0,0.3,0.1,-0.3,2,27,2,0,43,Matches
6,Carlos Akapo,gq EQG,DF,Cádiz,27,1993,9.6,229,356,64.3,3877,1740,100,126,104,156,17,54,0,0.2,0.3,-0.2,2,14,4,3,15,Matches
7,Paul Akouokou,ci CIV,MF,Betis,22,1997,4.2,170,187,90.9,3040,728,72,79,77,80,17,23,0,0.6,0.2,-0.6,2,21,1,1,13,Matches
8,Jony Álamo,es ESP,MF,Elche,18,2001,0.8,14,16,87.5,255,64,5,6,7,8,1,1,0,0.0,0.0,0.0,0,1,0,0,1,Matches
9,Jordi Alba,es ESP,"DF,FW",Barcelona,31,1989,33.6,2479,2929,84.6,34728,9855,1520,1643,728,867,117,192,5,7.6,9.9,-2.6,52,149,76,16,197,Matches
10,Raúl Albiol,es ESP,DF,Villarreal,34,1985,34.6,1829,2065,88.6,37606,12938,519,557,1047,1126,242,333,0,1.0,1.0,-1.0,4,92,3,1,136,Matches
11,Paco Alcácer,es ESP,FW,Villarreal,26,1993,17.2,193,270,71.5,2269,375,106,135,40,58,10,14,4,2.8,2.5,+1.2,15,3,7,0,13,Matches
12,Pedro Alcalá,es ESP,DF,Cádiz,31,1989,10.1,205,282,72.7,4573,1737,46,57,115,129,39,83,0,0.0,0.0,0.0,0,14,0,0,11,Matches
13,Rubén Alcaraz,es ESP,MF,Valladolid,29,1991,24.1,930,1131,82.2,18393,5237,384,433,371,404,157,237,0,0.5,0.9,-0.5,9,100,11,3,107,Matches
14,Iván Alejo,es ESP,"MF,FW",Cádiz,25,1995,9.2,127,229,55.5,1816,637,74,97,39,61,7,35,1,0.8,0.8,+0.2,10,6,13,10,13,Matches
15,Carles Aleñá,es ESP,MF,Barcelona,22,1998,0.5,36,39,92.3,624,177,17,19,11,12,6,6,0,0.0,0.0,0.0,0,3,0,0,7,Matches
16,Carles Aleñá,es ESP,"MF,FW",Getafe,22,1998,15.2,390,591,66.0,6991,2309,185,218,142,200,51,124,2,2.7,2.0,-0.7,25,52,24,4,77,Matches
17,Alfon,es ESP,MF,Celta Vigo,21,1999,0.4,16,16,100.0,172,31,12,12,3,3,0,0,0,0.1,0.0,-0.1,1,0,1,0,1,Matches
18,Sergio Álvarez,es ESP,"MF,DF",Eibar,28,1992,17.4,531,698,76.1,9925,2527,199,257,244,288,72,114,0,0.3,0.2,-0.3,6,43,2,1,49,Matches
19,Yeray Álvarez,es ESP,DF,Athletic Club,25,1995,21.6,907,1107,81.9,18676,6666,301,349,441,485,151,226,0,0.5,0.4,-0.5,6,53,3,2,65,Matches
20,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,18,2001,0.5,9,14,64.3,130,36,5,6,3,4,1,2,0,0.0,0.0,0.0,0,3,0,0,0,Matches
21,Jon Ander Garrido,es ESP,MF,Cádiz,30,1989,8.9,180,230,78.3,2990,1025,78,96,74,92,17,21,0,0.1,0.1,-0.1,2,22,1,1,22,Matches
22,Marcos André,br BRA,FW,Valladolid,23,1996,13.1,114,199,57.3,1687,369,63,101,30,50,9,16,1,0.7,0.3,+0.3,6,10,0,0,15,Matches
23,Ángel,es ESP,GK,Granada,18,2002,1.0,14,31,45.2,627,593,0,0,5,6,9,25,0,0.0,0.0,0.0,0,0,0,0,0,Matches
24,José Ángel,es ESP,DF,Eibar,30,1989,10.0,510,692,73.7,9539,3682,226,260,187,245,80,143,0,1.0,1.0,-1.0,9,51,13,7,55,Matches
25,Miguel Ángel Rubio,es ESP,DF,Valladolid,22,1998,1.5,39,54,72.2,847,440,14,15,17,22,8,16,0,0.0,0.0,0.0,0,4,0,0,3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,José Antonio Miranda,gq EQG,"MF,DF",Getafe,22,1998,0.3,9,16,56.3,75,8,8,10,0,4,0,0,0,0.0,0.2,0.0,0,0,0,0,0,Matches
27,Aritz Arambarri,es ESP,DF,Real Sociedad,22,1998,0.3,13,19,68.4,240,92,4,6,7,8,2,4,0,0.0,0.0,0.0,0,1,0,0,2,Matches
28,Mauro Arambarri,uy URU,MF,Getafe,24,1995,33.1,739,1093,67.6,15261,4087,268,339,289,389,153,291,0,2.0,2.4,-2.0,21,81,24,10,119,Matches
29,Néstor Araujo,mx MEX,DF,Celta Vigo,28,1991,27.0,1321,1590,83.1,26277,8454,412,464,734,807,161,278,0,0.8,0.9,-0.8,4,78,4,1,82,Matches
30,Ronald Araújo,uy URU,DF,Barcelona,21,1999,16.8,985,1075,91.6,17665,4757,381,398,527,556,73,109,1,0.2,0.2,+0.8,3,50,0,0,43,Matches
31,Anaitz Arbilla,es ESP,DF,Eibar,33,1987,31.2,1459,1932,75.5,31846,12343,482,547,656,790,300,543,1,0.9,1.3,+0.1,10,179,17,8,173,Matches
32,Unai Arietaleanizbeaskoa,es ESP,"FW,MF",Eibar,21,1999,0.5,4,7,57.1,43,10,4,5,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
33,Sergio Arribas,es ESP,"MF,FW",Real Madrid,18,2001,1.5,72,89,80.9,967,229,47,50,20,24,3,4,0,0.0,0.1,0.0,1,3,3,0,8,Matches
34,Sergio Asenjo,es ESP,GK,Villarreal,31,1989,36.0,1022,1308,78.1,26484,17800,229,229,509,520,276,548,0,0.0,0.0,0.0,0,11,0,0,0,Matches
35,Marco Asensio,es ESP,"FW,MF",Real Madrid,24,1996,20.8,798,1012,78.9,11651,2592,456,513,244,304,48,90,2,3.3,3.8,-1.3,33,40,31,9,82,Matches
36,Iago Aspas,es ESP,FW,Celta Vigo,32,1987,31.8,983,1275,77.1,13967,3377,560,681,267,328,66,87,13,9.0,7.5,+4.0,62,69,53,5,144,Matches
37,Miguel Atienza,es ESP,MF,Eibar,21,1999,9.3,271,341,79.5,4293,977,139,167,94,118,25,34,0,0.1,0.3,-0.1,4,25,4,1,31,Matches
38,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,26,1994,2.2,31,54,57.4,576,162,12,20,13,19,4,8,0,0.0,0.1,0.0,0,3,3,0,6,Matches
39,Ramon Azeez,ng NGA,MF,Granada,27,1992,1.1,29,37,78.4,365,43,22,26,7,11,0,0,0,0.0,0.0,0.0,0,3,0,0,1,Matches
40,Carlos Bacca,co COL,FW,Villarreal,33,1986,8.7,105,168,62.5,1346,317,62,89,23,37,6,14,0,1.0,0.6,-1.0,5,9,5,0,14,Matches
41,Édgar Badía,es ESP,GK,Elche,28,1992,30.0,865,1150,75.2,24979,18958,154,155,385,396,306,578,0,0.0,0.0,0.0,0,13,0,0,1,Matches
42,Alex Baena,es ESP,MF,Villarreal,19,2001,1.5,43,56,76.8,615,112,22,24,20,25,0,2,0,0.1,0.1,-0.1,2,4,1,0,5,Matches
43,Miguel Baeza,es ESP,"MF,FW",Celta Vigo,20,2000,6.0,169,212,79.7,2562,541,99,113,46,59,16,21,0,0.7,0.5,-0.7,8,10,6,2,15,Matches
44,Mikel Balenziaga,es ESP,DF,Athletic Club,32,1988,18.8,715,952,75.1,11409,3662,360,406,288,371,46,105,1,0.8,0.7,+0.2,8,43,10,9,52,Matches
45,Barcia,es ESP,DF,Granada,19,2000,1.0,13,33,39.4,249,81,7,10,4,15,2,6,0,0.0,0.0,0.0,0,2,0,0,2,Matches
46,Enis Bardhi,mk MKD,MF,Levante,25,1995,18.7,656,888,73.9,11539,3260,303,342,236,306,83,155,2,1.1,1.5,+0.9,21,63,27,10,117,Matches
47,Kike Barja,es ESP,"MF,FW",Osasuna,23,1997,15.9,341,505,67.5,5488,1535,175,212,116,168,31,62,3,2.0,1.5,+1.0,16,16,21,9,55,Matches
48,Marc Baró,es ESP,DF,Cádiz,20,1999,1.0,11,19,57.9,224,156,5,6,3,6,3,6,0,0.1,0.2,-0.1,2,0,0,0,0,Matches
49,Antonio Barragán,es ESP,DF,Elche,33,1987,24.8,1091,1326,82.3,18850,7126,522,562,422,508,117,190,3,0.7,0.8,+2.3,10,67,14,9,69,Matches
50,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,18,2001,14.5,291,413,70.5,4473,1038,152,188,113,150,14,33,0,1.9,1.2,-1.9,15,24,15,4,37,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Marc Bartra,es ESP,DF,Betis,29,1991,18.8,776,971,79.9,15090,4832,263,303,425,479,78,164,1,1.0,0.9,0.0,3,30,2,0,31,Matches
52,Álvaro Bastida,es ESP,MF,Cádiz,16,2004,0.4,4,8,50.0,57,6,2,3,0,0,1,3,0,0.0,0.0,0.0,0,0,0,0,0,Matches
53,Rodrigo Battaglia,ar ARG,MF,Alavés,29,1991,27.7,870,1039,83.7,14718,3574,396,450,362,406,77,117,0,0.2,0.4,-0.2,3,59,4,0,73,Matches
54,Jon Bautista,es ESP,FW,Real Sociedad,25,1995,4.1,56,92,60.9,748,122,25,43,21,29,2,3,1,0.3,0.1,+0.7,6,4,1,1,3,Matches
55,Fran Beltrán,es ESP,"MF,FW",Celta Vigo,21,1999,15.5,697,773,90.2,11826,2839,317,347,284,303,69,80,0,0.3,0.5,-0.3,4,57,9,1,55,Matches
56,Sergio Benito,es ESP,FW,Valladolid,21,1999,0.0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
57,Karim Benzema,fr FRA,FW,Real Madrid,32,1987,32.2,1029,1235,83.3,13128,2262,633,712,237,286,53,70,9,6.4,6.1,+2.6,38,56,34,0,114,Matches
58,Yuri Berchiche,es ESP,DF,Athletic Club,30,1990,18.7,909,1132,80.3,15028,5395,464,524,330,395,82,121,3,2.0,2.1,+1.0,17,58,32,13,98,Matches
59,Álex Berenguer,es ESP,"MF,FW",Athletic Club,25,1995,25.3,601,917,65.5,8373,2615,363,434,163,246,35,124,4,3.4,3.7,+0.6,38,25,40,10,85,Matches
60,Pedro Bigas,es ESP,DF,Eibar,29,1990,17.0,474,676,70.1,11166,4436,113,149,246,304,111,203,0,0.0,0.1,0.0,1,31,1,0,42,Matches
61,Alejandro Blanco,es ESP,MF,Valencia,21,1998,6.4,101,140,72.1,1274,142,63,80,31,38,1,4,0,0.5,0.3,-0.5,8,3,1,1,2,Matches
62,Antonio Blanco,es ESP,"MF,FW",Real Madrid,20,2000,2.4,157,171,91.8,2470,650,83,89,61,62,6,9,0,0.1,0.2,-0.1,2,12,1,1,18,Matches
63,Rubén Blanco,es ESP,GK,Celta Vigo,25,1995,18.2,472,665,71.0,12793,9040,97,98,235,239,139,325,0,0.0,0.0,0.0,0,6,0,0,0,Matches
64,Alejandro Blesa,es ESP,MF,Levante,18,2002,0.1,12,12,100.0,225,17,3,3,9,9,0,0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
65,Yann Bodiger,fr FRA,MF,Cádiz,25,1995,2.8,65,94,69.1,1091,262,29,38,29,35,5,12,0,0.1,0.1,-0.1,2,8,0,0,8,Matches
66,Yassine Bounou,ma MAR,GK,Sevilla,29,1991,33.0,862,1096,78.6,24127,14214,122,123,451,455,288,514,0,0.0,0.0,0.0,1,6,0,0,0,Matches
67,Lucas Boyé,ar ARG,FW,Elche,24,1996,29.9,491,645,76.1,6856,1198,294,354,129,164,30,39,2,1.1,0.6,+0.9,14,34,7,1,54,Matches
68,Martin Braithwaite,dk DEN,FW,Barcelona,29,1991,13.1,228,282,80.9,2656,275,158,175,31,51,10,13,2,2.3,1.8,-0.3,12,4,5,0,15,Matches
69,Darko Brašanac,rs SRB,MF,Osasuna,28,1992,10.1,215,310,69.4,3018,761,121,149,74,103,6,15,0,0.1,0.4,-0.1,5,23,7,2,40,Matches
70,Álvaro Bravo,es ESP,MF,Granada,22,1998,0.2,8,9,88.9,104,26,5,6,3,3,0,0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
71,Claudio Bravo,cl CHI,GK,Betis,37,1983,20.0,422,648,65.1,12642,9295,78,78,175,177,162,385,0,0.1,0.0,-0.1,3,13,0,0,1,Matches
72,Yan Brice Eteki,cm CMR,MF,Granada,22,1997,14.7,274,357,76.8,4348,994,130,150,118,146,17,34,0,0.1,0.2,-0.1,4,22,2,0,24,Matches
73,Juan Brunet,ar ARG,MF,Granada,22,1998,0.3,7,8,87.5,63,32,7,7,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
74,Ante Budimir,hr CRO,FW,Osasuna,29,1991,18.1,238,399,59.6,2861,579,162,239,53,84,4,12,0,0.8,0.9,-0.8,9,19,3,0,29,Matches
75,Esteban Burgos,ar ARG,DF,Eibar,28,1992,12.3,417,558,74.7,10219,3093,93,116,194,242,126,184,1,0.8,0.2,+0.2,2,22,0,0,25,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
76,Burgui,es ESP,MF,Alavés,26,1993,0.2,9,10,90.0,118,31,5,5,3,3,0,0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
77,Sergio Busquets,es ESP,MF,Barcelona,32,1988,28.0,2453,2691,91.2,38075,11748,1225,1298,925,996,161,205,5,3.2,4.1,+1.8,30,287,30,0,254,Matches
78,Erick Cabaco,uy URU,DF,Getafe,25,1995,14.7,301,489,61.6,7727,3411,72,102,139,185,86,178,0,0.0,0.3,0.0,0,43,1,0,44,Matches
79,Cala,es ESP,DF,Cádiz,30,1989,25.2,523,750,69.7,12396,4893,126,158,272,342,120,231,0,0.2,0.1,-0.2,3,37,1,0,47,Matches
80,Jonathan Calleri,ar ARG,FW,Osasuna,26,1993,17.2,211,354,59.6,2763,560,139,196,57,91,3,20,2,0.7,0.9,+1.3,10,13,10,0,31,Matches
81,Dani Calvo,es ESP,DF,Elche,26,1994,19.8,637,776,82.1,12173,4400,219,240,336,369,68,141,0,0.0,0.1,0.0,0,19,0,0,31,Matches
82,José Campaña,es ESP,MF,Levante,27,1993,8.3,398,517,77.0,6663,2622,194,222,144,176,41,72,2,2.0,2.0,0.0,14,49,20,4,74,Matches
83,Sergio Canales,es ESP,"MF,FW",Betis,29,1991,27.8,1497,1779,84.1,27136,5662,660,732,544,618,211,300,6,6.8,5.4,-0.8,59,120,47,12,200,Matches
84,Álex Cantero,es ESP,FW,Levante,20,2000,2.6,25,38,65.8,274,88,20,25,4,6,0,1,0,0.9,0.8,-0.9,3,0,2,0,4,Matches
85,Ander Capa,es ESP,DF,Athletic Club,28,1992,23.7,900,1199,75.1,13915,4957,466,537,354,447,54,127,1,1.1,1.6,-0.1,16,55,14,5,80,Matches
86,Étienne Capoue,fr FRA,MF,Villarreal,32,1988,13.2,686,764,89.8,11117,2894,335,353,280,306,47,68,0,0.1,0.5,-0.1,3,56,8,0,58,Matches
87,Isaac Carcelen,es ESP,DF,Cádiz,27,1993,28.7,769,1112,69.2,13578,6381,346,421,319,432,81,193,1,1.1,1.2,-0.1,13,71,9,6,92,Matches
88,Dani Cárdenas,es ESP,GK,Levante,23,1997,8.0,198,264,75.0,4965,3532,54,54,79,83,58,117,0,0.0,0.0,0.0,0,2,0,0,0,Matches
89,Marc Cardona,es ESP,"FW,DF",Osasuna,25,1995,0.6,18,27,66.7,204,77,12,13,4,8,1,2,0,0.0,0.0,0.0,0,1,2,1,2,Matches
90,Diego Carlos,br BRA,DF,Sevilla,27,1993,31.0,1690,1887,89.6,35232,11840,498,526,903,949,259,370,0,0.6,0.3,-0.6,8,65,2,0,53,Matches
91,Juan Carlos,es ESP,"MF,FW",Huesca,29,1991,3.2,76,98,77.6,1113,320,42,49,27,33,5,8,1,0.4,0.2,+0.6,4,9,4,0,16,Matches
92,Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,26,1993,24.2,743,1010,73.6,9854,3150,470,540,179,261,32,102,10,6.0,5.2,+4.0,47,35,46,5,86,Matches
93,Sergio Carreira,es ESP,DF,Celta Vigo,19,2000,2.9,89,121,73.6,1266,483,55,64,27,38,5,11,0,0.1,0.2,-0.1,1,4,2,0,6,Matches
94,Guido Carrillo,ar ARG,FW,Elche,29,1991,11.1,216,305,70.8,2861,551,128,161,54,81,12,18,2,1.1,0.8,+0.9,8,20,2,0,31,Matches
95,Dani Carvajal,es ESP,DF,Real Madrid,28,1992,10.6,673,810,83.1,11455,2836,328,362,260,297,67,95,2,0.8,1.0,+1.2,9,31,13,6,48,Matches
96,William Carvalho,pt POR,MF,Betis,28,1992,13.6,812,965,84.1,13703,3679,397,442,303,344,86,126,0,0.7,0.8,-0.7,9,92,9,0,101,Matches
97,Casemiro,br BRA,MF,Real Madrid,28,1992,32.2,1630,1969,82.8,29223,8359,723,817,633,707,202,299,4,2.7,3.8,+1.3,25,136,22,2,135,Matches
98,Sofian Chakla,ma MAR,DF,Villarreal,26,1993,0.1,4,9,44.4,102,47,1,2,2,4,1,3,0,0.0,0.0,0.0,0,1,0,0,0,Matches
99,Sofian Chakla,ma MAR,DF,Getafe,26,1993,10.0,147,248,59.3,2639,1057,59,88,72,95,13,57,0,0.1,0.2,-0.1,1,13,0,0,20,Matches
100,Chema,es ESP,"DF,MF",Getafe,28,1992,6.2,102,170,60.0,2485,1087,30,42,40,58,29,60,0,0.2,0.2,-0.2,2,13,1,0,17,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
101,Denis Cheryshev,ru RUS,MF,Valencia,29,1990,12.2,195,330,59.1,3191,1014,97,133,77,113,16,45,3,2.4,2.1,+0.6,16,16,13,4,37,Matches
