rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
1,Sabit Abdulai,gh GHA,MF,Getafe,21,1999,0.7,19,0,2,11,6,0,19,2,1,50.0,1,50.0,11,21,11,0,1,0,1,0,10,2,Matches
2,Marcos Acuña,ar ARG,DF,Sevilla,28,1991,25.9,2020,61,661,878,503,30,2020,61,41,67.2,20,32.8,1104,5729,3249,65,50,12,40,29,1330,133,Matches
3,Bobby Adekanye,nl NED,"FW,MF",Cádiz,21,1999,0.4,18,1,2,5,11,3,18,1,1,100.0,0,0.0,13,103,68,4,3,0,3,0,11,4,Matches
4,Martin Agirregabiria,es ESP,"DF,MF",Alavés,24,1996,17.3,888,41,314,418,164,9,888,6,2,33.3,4,66.7,380,1426,691,11,11,2,14,4,424,36,Matches
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,24,1995,14.3,816,121,498,304,22,12,816,3,2,66.7,1,33.3,470,2286,1311,11,3,1,10,3,463,1,Matches
6,Carlos Akapo,gq EQG,DF,Cádiz,27,1993,9.6,468,42,211,190,71,3,468,10,6,60.0,4,40.0,162,980,537,12,8,2,11,3,149,15,Matches
7,Paul Akouokou,ci CIV,MF,Betis,22,1997,4.2,231,10,57,156,19,0,231,4,3,75.0,1,25.0,122,716,338,4,4,0,3,2,143,1,Matches
8,Jony Álamo,es ESP,MF,Elche,18,2001,0.8,25,0,11,10,4,1,25,4,4,100.0,0,0.0,13,78,31,1,0,0,1,1,13,1,Matches
9,Jordi Alba,es ESP,"DF,FW",Barcelona,31,1989,33.6,3199,77,636,1277,1300,118,3199,32,17,53.1,15,46.9,1973,7344,3553,48,44,14,32,14,2390,354,Matches
10,Raúl Albiol,es ESP,DF,Villarreal,34,1985,34.6,2327,286,1186,1098,55,11,2327,6,4,66.7,2,33.3,1420,8867,5461,19,13,1,10,6,1634,2,Matches
11,Paco Alcácer,es ESP,FW,Villarreal,26,1993,17.2,381,9,33,167,182,69,379,11,8,72.7,3,27.3,194,624,267,12,3,8,31,9,267,77,Matches
12,Pedro Alcalá,es ESP,DF,Cádiz,31,1989,10.1,389,75,228,158,5,4,389,1,1,100.0,0,0.0,175,836,433,1,4,0,0,0,183,0,Matches
13,Rubén Alcaraz,es ESP,MF,Valladolid,29,1991,24.1,1383,61,337,877,186,23,1383,19,14,73.7,5,26.3,759,3942,1891,25,26,1,25,14,841,21,Matches
14,Iván Alejo,es ESP,"MF,FW",Cádiz,25,1995,9.2,348,14,64,106,185,20,348,25,13,52.0,12,48.0,202,2031,1030,46,25,5,27,14,219,79,Matches
15,Carles Aleñá,es ESP,MF,Barcelona,22,1998,0.5,46,1,12,24,10,1,46,0,0,,0,,24,109,65,1,0,0,2,1,42,1,Matches
16,Carles Aleñá,es ESP,"MF,FW",Getafe,22,1998,15.2,719,8,62,361,315,16,719,36,23,63.9,13,36.1,434,2413,1054,20,31,1,28,18,491,51,Matches
17,Alfon,es ESP,MF,Celta Vigo,21,1999,0.4,21,0,0,6,15,2,21,2,1,50.0,1,50.0,20,81,39,0,1,0,3,0,20,5,Matches
18,Sergio Álvarez,es ESP,"MF,DF",Eibar,28,1992,17.4,869,35,187,544,143,19,869,10,8,80.0,2,20.0,392,1747,624,9,11,1,21,12,459,15,Matches
19,Yeray Álvarez,es ESP,DF,Athletic Club,25,1995,21.6,1294,119,607,649,48,15,1294,12,11,91.7,1,8.3,681,4512,2621,19,11,0,8,2,769,2,Matches
20,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,18,2001,0.5,18,0,4,11,3,0,18,0,0,,0,,12,113,64,2,0,0,1,0,10,1,Matches
21,Jon Ander Garrido,es ESP,MF,Cádiz,30,1989,8.9,317,24,101,179,38,7,317,3,2,66.7,1,33.3,112,364,129,0,2,0,8,5,134,3,Matches
22,Marcos André,br BRA,FW,Valladolid,23,1996,13.1,357,13,37,141,186,43,357,26,13,50.0,13,50.0,191,1169,574,26,13,11,43,17,269,67,Matches
23,Ángel,es ESP,GK,Granada,18,2002,1.0,41,37,41,0,0,0,41,0,0,,0,,9,27,15,0,0,0,0,0,7,0,Matches
24,José Ángel,es ESP,DF,Eibar,30,1989,10.0,775,24,172,401,212,3,775,8,8,100.0,0,0.0,396,1953,982,14,19,1,11,5,416,24,Matches
25,Miguel Ángel Rubio,es ESP,DF,Valladolid,22,1998,1.5,74,12,50,23,1,1,74,0,0,,0,,27,107,22,0,0,0,0,0,29,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
26,José Antonio Miranda,gq EQG,"MF,DF",Getafe,22,1998,0.3,20,0,0,7,13,2,20,0,0,,0,,14,106,46,2,1,0,1,2,17,3,Matches
27,Aritz Arambarri,es ESP,DF,Real Sociedad,22,1998,0.3,23,0,4,16,3,1,23,1,0,0.0,1,100.0,10,30,11,0,0,0,1,0,12,0,Matches
28,Mauro Arambarri,uy URU,MF,Getafe,24,1995,33.1,1443,39,223,814,436,31,1443,56,36,64.3,20,35.7,716,4368,1745,38,44,9,39,31,721,50,Matches
29,Néstor Araujo,mx MEX,DF,Celta Vigo,28,1991,27.0,1804,215,965,804,46,10,1804,5,5,100.0,0,0.0,1104,6425,3832,26,15,0,15,0,1235,1,Matches
30,Ronald Araújo,uy URU,DF,Barcelona,21,1999,16.8,1213,151,536,640,42,12,1213,8,8,100.0,0,0.0,815,3850,2161,9,7,1,6,2,879,2,Matches
31,Anaitz Arbilla,es ESP,DF,Eibar,33,1987,31.2,2222,119,720,1256,284,13,2222,30,25,83.3,5,16.7,1109,6550,3244,37,26,3,22,9,1156,19,Matches
32,Unai Arietaleanizbeaskoa,es ESP,"FW,MF",Eibar,21,1999,0.5,14,0,0,6,8,0,14,0,0,,0,,9,27,11,0,0,0,3,0,11,6,Matches
33,Sergio Arribas,es ESP,"MF,FW",Real Madrid,18,2001,1.5,104,2,23,48,36,2,104,6,6,100.0,0,0.0,68,399,210,8,3,2,3,3,78,13,Matches
34,Sergio Asenjo,es ESP,GK,Villarreal,31,1989,36.0,1378,1165,1376,2,0,0,1378,0,0,,0,,743,3466,2213,0,0,0,1,0,658,0,Matches
35,Marco Asensio,es ESP,"FW,MF",Real Madrid,24,1996,20.8,1179,17,126,444,617,71,1179,39,29,74.4,10,25.6,761,5310,2520,92,62,16,32,23,935,166,Matches
36,Iago Aspas,es ESP,FW,Celta Vigo,32,1987,31.8,1559,29,146,699,731,147,1554,85,60,70.6,25,29.4,973,5487,2651,93,48,47,56,27,1231,269,Matches
37,Miguel Atienza,es ESP,MF,Eibar,21,1999,9.3,424,15,64,262,99,7,424,3,1,33.3,2,66.7,211,938,373,5,5,0,5,5,235,10,Matches
38,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,26,1994,2.2,76,0,9,35,32,5,76,2,0,0.0,2,100.0,37,179,79,1,1,0,1,7,59,9,Matches
39,Ramon Azeez,ng NGA,MF,Granada,27,1992,1.1,43,1,5,28,10,2,43,0,0,,0,,24,64,13,0,0,0,1,1,26,2,Matches
40,Carlos Bacca,co COL,FW,Villarreal,33,1986,8.7,244,1,20,108,118,38,244,14,5,35.7,9,64.3,139,664,308,11,11,4,20,11,178,52,Matches
41,Édgar Badía,es ESP,GK,Elche,28,1992,30.0,1228,1117,1226,2,1,1,1228,0,0,,0,,591,2683,1693,1,1,1,1,0,507,0,Matches
42,Alex Baena,es ESP,MF,Villarreal,19,2001,1.5,74,2,13,27,34,2,74,4,2,50.0,2,50.0,38,220,100,5,4,0,0,2,53,12,Matches
43,Miguel Baeza,es ESP,"MF,FW",Celta Vigo,20,2000,6.0,269,4,61,106,102,19,269,8,2,25.0,6,75.0,142,681,290,9,10,3,15,3,189,26,Matches
44,Mikel Balenziaga,es ESP,DF,Athletic Club,32,1988,18.8,1107,59,326,555,231,2,1107,15,10,66.7,5,33.3,551,2841,1630,28,15,1,19,10,615,48,Matches
