squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
América,35,27.2,50.1,28,308,2520,28.0,43,30,73,41,2,4,53,7,40.5,37.4,30.2,67.6,443,909,1.54,1.07,2.61,1.46,2.54,1.45,1.08,2.53,1.34,2.42
Atlas,33,25.9,52.2,28,308,2520,28.0,27,16,43,23,4,6,62,7,29.8,25.1,19.4,44.5,410,929,0.96,0.57,1.54,0.82,1.39,1.06,0.69,1.76,0.9,1.59
Atlético,30,27.4,50.3,28,308,2520,28.0,33,20,53,30,3,6,47,5,33.4,28.5,22.8,51.4,399,875,1.18,0.71,1.89,1.07,1.79,1.19,0.82,2.01,1.02,1.83
Cruz Azul,30,28.6,49.7,28,308,2520,28.0,49,34,83,44,5,8,57,5,43.8,38.4,28.7,67.1,384,922,1.75,1.21,2.96,1.57,2.79,1.56,1.02,2.59,1.37,2.4
FC Juárez,30,29.0,43.3,28,308,2520,28.0,37,19,56,31,6,6,69,4,35.7,31.2,24.5,55.7,339,769,1.32,0.68,2.0,1.11,1.79,1.27,0.88,2.15,1.11,1.99
Guadalajara,32,26.8,53.4,28,308,2520,28.0,41,23,64,31,10,10,60,8,34.7,26.8,20.9,47.7,538,1066,1.46,0.82,2.29,1.11,1.93,1.24,0.74,1.98,0.96,1.7
León,32,28.2,57.6,28,308,2520,28.0,60,42,102,49,11,12,55,5,48.8,39.6,31.5,71.1,549,1016,2.14,1.5,3.64,1.75,3.25,1.74,1.12,2.87,1.42,2.54
Monterrey,29,28.6,52.0,28,308,2520,28.0,36,22,58,32,4,4,69,5,47.4,44.2,31.3,75.6,509,1192,1.29,0.79,2.07,1.14,1.93,1.69,1.12,2.81,1.58,2.7
Morelia,31,28.9,54.0,28,308,2520,28.0,48,32,80,42,6,8,69,5,41.5,35.3,28.9,64.2,469,1083,1.71,1.14,2.86,1.5,2.64,1.48,1.03,2.52,1.26,2.29
Necaxa,32,26.1,47.1,28,308,2520,28.0,48,39,87,46,2,4,65,2,37.4,34.1,27.5,61.6,421,806,1.71,1.39,3.11,1.64,3.04,1.34,0.98,2.32,1.22,2.2
Pachuca,33,28.1,49.8,28,308,2520,28.0,42,25,67,33,9,11,52,4,47.8,39.5,30.0,69.5,533,1161,1.5,0.89,2.39,1.18,2.07,1.71,1.07,2.78,1.41,2.48
Puebla,33,29.1,44.0,28,308,2520,28.0,27,17,44,25,2,5,51,6,33.1,29.1,20.5,49.7,401,849,0.96,0.61,1.57,0.89,1.5,1.18,0.73,1.92,1.04,1.77
Querétaro,30,25.9,49.9,28,308,2520,28.0,43,30,73,40,3,7,56,2,41.5,35.9,28.3,64.2,527,957,1.54,1.07,2.61,1.43,2.5,1.48,1.01,2.49,1.28,2.29
Santos,25,25.7,49.0,28,308,2520,28.0,52,25,77,44,8,10,51,3,53.0,45.1,32.3,77.4,450,1001,1.86,0.89,2.75,1.57,2.46,1.89,1.15,3.05,1.61,2.77
Tijuana,30,26.7,47.5,28,308,2520,28.0,36,19,55,29,7,10,67,10,36.6,28.9,20.2,49.1,365,955,1.29,0.68,1.96,1.04,1.71,1.31,0.72,2.03,1.03,1.75
Toluca,28,28.6,44.2,28,308,2520,28.0,31,21,52,30,1,2,61,4,28.2,26.5,21.4,48.0,478,858,1.11,0.75,1.86,1.07,1.82,1.01,0.77,1.77,0.95,1.71
UANL,26,29.5,59.4,28,308,2520,28.0,37,27,64,33,4,7,39,3,37.1,31.6,26.0,57.6,546,1134,1.32,0.96,2.29,1.18,2.14,1.32,0.93,2.25,1.13,2.06
UNAM,29,26.0,51.6,28,308,2520,28.0,40,28,68,37,3,4,67,3,40.4,37.2,29.5,66.7,390,918,1.43,1.0,2.43,1.32,2.32,1.44,1.05,2.5,1.33,2.38
Veracruz,24,29.8,42.2,18,198,1620,18.0,11,8,19,9,2,4,31,1,17.4,14.1,11.1,25.2,171,469,0.61,0.44,1.06,0.5,0.94,0.96,0.62,1.58,0.78,1.4
