rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,recov,won,lost,won_aerial,matches
1,Diego Abella,mx MEX,"FW,MF",Toluca,21,1998,1.8,1,0,0,5,2,0,7,1,1,0,0,0,5,6,2,75.0,Matches
2,José Abella,mx MEX,DF,Atlas,26,1994,13.2,1,1,0,10,8,1,11,12,17,0,0,0,59,7,17,29.2,Matches
3,Clifford Aboagye,gh GHA,"MF,DF",Puebla,25,1995,1.0,1,0,0,3,0,0,3,3,2,0,0,0,7,0,2,0.0,Matches
4,Clifford Aboagye,gh GHA,MF,Tijuana,25,1995,4.2,1,0,0,8,2,0,4,5,0,0,0,0,24,2,5,28.6,Matches
5,Iván Acero,mx MEX,MF,Toluca,20,2000,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
6,Carlos Acevedo,mx MEX,GK,Santos,24,1996,34.0,1,0,0,0,3,0,0,0,1,0,0,1,34,5,0,100.0,Matches
7,Alonso Aceves,mx MEX,DF,Pachuca,19,2001,0.8,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,,Matches
8,Alan Acosta,mx MEX,"MF,DF",Puebla,23,1996,1.2,1,1,0,2,0,0,6,0,0,0,0,0,6,1,1,50.0,Matches
9,Luciano Acosta,ar ARG,"MF,FW",Atlas,26,1994,16.7,5,1,0,30,32,4,32,14,17,1,0,0,79,4,12,25.0,Matches
10,Francisco Acuña,mx MEX,MF,Necaxa,32,1988,0.2,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,,Matches
11,Sergio Adrián Flores,mx MEX,MF,Guadalajara,25,1995,2.1,0,0,0,9,1,0,0,6,8,0,0,0,12,10,7,58.8,Matches
12,Daniel Aguilar,mx MEX,MF,Puebla,22,1998,11.5,2,0,0,16,7,0,19,10,17,0,1,0,47,19,15,55.9,Matches
13,Jorge Aguilar,py PAR,DF,Necaxa,27,1993,4.5,2,0,0,6,4,0,1,3,3,0,0,0,20,16,5,76.2,Matches
14,Jorge Aguilar,py PAR,DF,Tijuana,27,1993,6.8,4,1,1,29,11,0,0,5,11,0,0,0,38,6,12,33.3,Matches
15,Paul Aguilar,mx MEX,DF,América,34,1986,4.1,0,0,0,5,3,0,4,3,2,0,0,0,14,9,4,69.2,Matches
16,Emanuel Aguilera,ar ARG,DF,América,31,1989,20.7,1,0,0,36,7,0,0,46,7,0,1,0,113,45,38,54.2,Matches
17,Eduardo Aguirre,mx MEX,"FW,MF",Santos,21,1998,14.4,0,0,0,18,30,1,11,5,6,1,0,0,46,29,41,41.4,Matches
18,Érick Aguirre,mx MEX,"DF,MF",Pachuca,23,1997,26.1,6,0,0,26,9,2,82,55,40,0,0,0,153,28,24,53.8,Matches
19,Gaddi Aguirre,mx MEX,DF,Atlas,24,1996,1.0,1,0,0,1,0,0,0,1,0,0,1,0,6,2,1,66.7,Matches
20,Rodrigo Aguirre,uy URU,FW,Necaxa,25,1994,3.5,0,0,0,4,4,1,0,0,2,0,0,0,16,20,15,57.1,Matches
21,Arnaud Ake,ci CIV,"FW,MF",Monterrey,22,1998,8.6,1,1,0,22,22,3,4,5,6,2,0,0,19,5,21,19.2,Matches
22,Nicolás Albarracín,uy URU,MF,Querétaro,27,1993,0.8,0,0,0,2,1,0,0,0,0,0,0,0,3,1,1,50.0,Matches
23,Jesús Alberto Angulo,mx MEX,DF,Atlas,22,1998,26.4,5,1,0,48,55,0,9,43,46,0,1,0,129,28,27,50.9,Matches
24,Gil Alcalá,mx MEX,GK,Querétaro,28,1992,24.0,1,0,0,0,6,0,0,0,1,0,0,0,34,3,0,100.0,Matches
25,Adrián Aldrete,mx MEX,DF,Cruz Azul,32,1988,23.0,6,0,0,28,14,0,73,23,26,0,0,0,100,20,17,54.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
26,Daniel Alexis Parra,mx MEX,DF,Monterrey,21,1999,4.0,0,0,0,8,3,1,6,2,7,0,1,0,11,7,1,87.5,Matches
27,Luis Alfonso Rodríguez,mx MEX,"DF,MF",UANL,29,1991,24.3,7,0,0,38,12,0,70,29,43,0,0,0,120,23,12,65.7,Matches
28,David Alfredo Andrade,mx MEX,DF,Santos,27,1993,16.6,3,0,0,15,9,0,51,14,13,0,1,0,80,20,20,50.0,Matches
29,Carlos Alonso Vargas,mx MEX,DF,Mazatlán,21,1999,17.1,3,0,0,18,20,0,25,36,23,0,0,0,71,16,31,34.0,Matches
30,Alfonso Alvarado,mx MEX,"FW,MF",Monterrey,20,2000,2.7,0,0,0,3,5,2,3,2,3,0,0,0,7,7,12,36.8,Matches
31,Roberto Alvarado,mx MEX,"MF,FW",Cruz Azul,21,1998,17.4,3,0,0,31,31,1,36,15,19,0,1,0,84,18,25,41.9,Matches
32,Ventura Alvarado,us USA,DF,Atlético,27,1992,11.5,4,0,0,14,9,0,1,23,6,0,0,0,43,35,16,68.6,Matches
33,Daniel Álvarez,mx MEX,"MF,FW",Puebla,26,1994,10.1,2,0,0,13,16,2,35,6,8,1,1,0,33,7,12,36.8,Matches
34,Fabio Álvarez,ar ARG,"MF,FW",UNAM,27,1993,20.7,5,1,0,24,15,0,33,13,16,0,0,0,119,11,18,37.9,Matches
35,Kevin Álvarez,mx MEX,DF,Pachuca,21,1999,24.7,9,0,0,37,39,2,37,34,35,2,0,0,116,18,27,40.0,Matches
36,Daniel Amador,mx MEX,MF,Mazatlán,23,1997,4.1,1,0,0,6,11,0,14,4,1,0,0,0,19,0,4,0.0,Matches
37,Fidel Ambríz,mx MEX,MF,León,17,2003,2.0,0,0,0,4,2,0,1,1,3,0,0,0,8,4,2,66.7,Matches
38,Alejandro Andrade,mx MEX,MF,Necaxa,18,2001,6.2,1,0,0,10,8,1,1,1,10,1,0,0,31,9,13,40.9,Matches
39,Miguel Ángel Fraga,mx MEX,GK,Mazatlán,32,1987,11.0,1,0,0,1,4,0,0,0,0,0,1,0,14,4,1,80.0,Matches
40,Miguel Ángel Herrera,mx MEX,DF,Pachuca,31,1989,8.6,2,0,0,16,9,0,3,20,8,0,1,0,32,29,12,70.7,Matches
41,Luis Ángel Malagón,mx MEX,GK,Necaxa,23,1997,24.5,0,0,0,1,2,0,0,0,1,0,1,0,41,4,1,80.0,Matches
42,Luis Ángel Mendoza,mx MEX,"MF,FW",Mazatlán,30,1990,23.3,1,0,0,12,17,0,126,22,15,0,0,0,116,9,15,37.5,Matches
43,Miguel Ángel Ponce,mx MEX,DF,Guadalajara,31,1989,19.4,4,2,1,36,22,0,26,22,26,0,0,0,93,20,21,48.8,Matches
44,Brayan Angulo,ec ECU,FW,Cruz Azul,24,1995,4.6,0,0,0,5,4,1,2,0,0,0,0,0,9,11,9,55.0,Matches
45,Brayan Angulo,co COL,DF,Puebla,30,1989,12.9,1,0,0,18,4,0,27,18,14,0,0,0,59,20,13,60.6,Matches
46,Brayan Angulo,ec ECU,"FW,MF",Tijuana,24,1995,9.8,0,0,0,13,9,4,1,2,2,1,0,0,27,11,20,35.5,Matches
47,Brayan Angulo,co COL,DF,Tijuana,30,1989,16.0,4,0,0,27,7,0,31,27,20,0,0,0,86,23,27,46.0,Matches
48,Jesús Angulo,mx MEX,"MF,FW",Guadalajara,23,1997,21.5,0,0,0,12,35,3,43,17,20,0,0,0,113,1,24,4.0,Matches
49,Francisco Antonio Figueroa,mx MEX,"FW,MF",Pachuca,21,1999,7.6,1,0,0,6,17,4,24,6,6,0,0,0,37,1,3,25.0,Matches
50,Jorge Antonio Padilla,mx MEX,DF,Mazatlán,26,1993,16.0,6,0,0,23,45,2,37,17,25,0,1,0,60,22,24,47.8,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
51,José Antonio Rodríguez,mx MEX,GK,Guadalajara,28,1992,15.0,0,0,0,0,1,0,0,1,0,0,0,0,21,10,1,90.9,Matches
52,Uriel Antuna,mx MEX,"FW,MF",Guadalajara,22,1997,25.9,0,0,0,11,67,16,116,20,6,1,0,0,84,9,27,25.0,Matches
53,Javier Aquino,mx MEX,"MF,DF",UANL,30,1990,25.7,1,1,0,34,62,3,61,40,46,1,1,0,114,25,31,44.6,Matches
54,Pedro Aquino,pe PER,MF,América,25,1995,10.6,2,0,0,23,21,0,1,14,10,0,0,0,82,22,27,44.9,Matches
55,Pedro Aquino,pe PER,MF,León,25,1995,10.3,3,2,0,26,13,0,3,6,17,0,0,0,72,14,22,38.9,Matches
56,Maximiliano Araújo,uy URU,"MF,FW",Puebla,20,2000,10.1,1,0,0,18,32,1,28,7,9,1,1,0,45,8,20,28.6,Matches
57,Fernando Arce Jr.,us USA,MF,Necaxa,23,1996,12.5,4,1,1,18,13,1,7,16,12,0,0,0,75,20,14,58.8,Matches
58,Sagir Arce,us USA,DF,Mazatlán,18,2002,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,Matches
59,Omar Arellano,mx MEX,"MF,FW",Querétaro,33,1987,4.3,0,0,0,9,3,0,13,2,6,0,0,0,19,5,5,50.0,Matches
60,Fernando Aristeguieta,ve VEN,"FW,MF",Mazatlán,28,1992,18.1,3,0,0,23,48,6,11,4,4,2,0,0,39,76,67,53.1,Matches
61,Blas Armoa,py PAR,"FW,MF",FC Juárez,20,2000,5.4,0,0,0,11,9,0,12,2,7,0,0,0,23,4,12,25.0,Matches
62,Daniel Arreola,mx MEX,DF,Puebla,34,1985,11.9,4,0,0,14,27,1,1,18,9,0,1,0,49,17,28,37.8,Matches
63,Gerardo Arteaga,mx MEX,DF,Santos,21,1998,1.0,0,0,0,0,1,0,2,0,2,0,0,0,4,0,0,,Matches
64,Giovanni Augusto,br BRA,"MF,FW",Mazatlán,30,1989,11.6,0,1,0,13,21,0,34,6,14,0,0,0,67,6,10,37.5,Matches
65,Erick Ávalos,mx MEX,DF,UANL,20,2000,1.4,0,0,0,0,0,0,0,4,2,0,0,0,5,1,1,50.0,Matches
66,Hugo Ayala,mx MEX,DF,UANL,33,1987,13.2,1,0,0,11,12,0,1,24,19,0,0,0,60,18,13,58.1,Matches
67,Rafael Baca,mx MEX,MF,Cruz Azul,30,1989,21.8,5,0,0,27,10,0,5,27,19,0,1,0,125,22,15,59.5,Matches
68,Claudio Baeza,cl CHI,MF,Toluca,26,1993,16.2,6,0,0,29,14,0,10,16,18,0,0,0,105,9,11,45.0,Matches
69,Claudio Baeza,cl CHI,MF,Necaxa,26,1993,11.9,4,1,0,22,19,1,14,9,10,0,0,0,68,3,8,27.3,Matches
70,Kevin Balanta,co COL,MF,Tijuana,23,1997,6.8,1,0,0,14,5,0,1,14,13,0,0,0,60,8,5,61.5,Matches
71,Miguel Barbieri,ar ARG,DF,Toluca,26,1993,15.8,6,1,1,18,6,0,1,23,13,0,1,0,67,57,25,69.5,Matches
72,Miguel Barbieri,ar ARG,DF,Tijuana,26,1993,11.2,4,0,0,24,0,0,0,38,12,0,1,0,50,32,20,61.5,Matches
73,David Barbona,ar ARG,"MF,FW",Tijuana,25,1995,16.8,2,0,0,23,10,2,59,10,9,0,0,0,84,14,10,58.3,Matches
74,Diego Barbosa,mx MEX,DF,Atlas,23,1996,19.4,3,0,0,35,14,0,56,27,32,0,0,0,80,29,31,48.3,Matches
75,Martín Barragán,mx MEX,FW,Necaxa,29,1991,20.1,3,0,0,45,43,18,5,5,6,0,0,0,41,91,62,59.5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
76,Jaine Barreiro,co COL,DF,León,26,1994,30.8,5,0,0,29,28,3,3,38,21,0,1,0,138,62,48,56.4,Matches
77,Pablo Barrera,mx MEX,"FW,MF",Atlético,33,1987,20.8,1,0,0,13,31,2,202,9,16,0,0,0,119,4,14,22.2,Matches
78,Damián Batallini,ar ARG,"FW,MF",Atlético,24,1996,13.2,2,0,0,34,35,2,85,11,11,1,1,0,84,12,19,38.7,Matches
79,Fernando Beltrán,mx MEX,MF,Guadalajara,22,1998,11.8,2,0,0,9,12,0,23,12,11,0,0,0,76,1,7,12.5,Matches
80,Nicolás Benedetti,co COL,"MF,FW",América,23,1997,6.4,4,0,0,13,19,1,8,3,3,1,0,0,25,6,10,37.5,Matches
81,Germán Berterame,mx MEX,"FW,MF",Atlético,21,1998,26.5,8,0,0,54,31,3,56,30,19,0,1,0,109,69,59,53.9,Matches
