round,wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
Guardianes 2020 Regular Season,1,Fri,2020-07-24,19:30 (02:30),Necaxa,0.5,0–3,2.0,UANL,,Estadio Victoria de Aguascalientes,Eduardo Basulto,Match Report,
Guardianes 2020 Regular Season,1,Sun,2020-07-26,12:00 (19:00),UNAM,0.7,3–2,0.8,Querétaro,,Estadio Olímpico de Universitario,Oscar Mejia,Match Report,
Guardianes 2020 Regular Season,1,Sat,2020-07-25,19:00 (04:00),Tijuana,1.6,3–1,1.0,Atlas,,Estadio Caliente,César Arturo Ramos,Match Report,
Guardianes 2020 Regular Season,1,Sat,2020-07-25,19:00 (02:00),Guadalajara,0.6,0–0,1.1,León,,Estadio Akron,Jorge Rojas,Match Report,
Guardianes 2020 Regular Season,1,Sat,2020-07-25,21:00 (04:00),Cruz Azul,2.3,2–0,0.3,Santos,,Estadio Olímpico de Universitario,Fernando Hernández,Match Report,
Guardianes 2020 Regular Season,1,Mon,2020-07-27,18:00 (01:00),Atlético,0.5,1–1,1.4,FC Juárez,,Estadio Alfonso Lastras Ramírez,Saul Silva,Match Report,
Guardianes 2020 Regular Season,1,Mon,2020-07-27,20:00 (03:00),Pachuca,1.5,1–2,1.7,América,,Estadio Hidalgo,Mario Vargas,Match Report,
Guardianes 2020 Regular Season,1,Mon,2020-07-27,21:00 (05:00),Mazatlán,1.7,1–4,2.9,Puebla,,Estadio de Mazatlán,Edgar Rangel,Match Report,
Guardianes 2020 Regular Season,1,Tue,2020-07-28,19:00 (02:00),Monterrey,2.0,3–1,1.7,Toluca,,Estadio BBVA Bancomer,Alejandro Funk,Match Report,
Guardianes 2020 Regular Season,2,Fri,2020-07-31,19:30 (02:30),Puebla,0.4,1–1,1.9,Cruz Azul,,Estadio Cuauhtémoc,Óscar Macias,Match Report,
Guardianes 2020 Regular Season,2,Fri,2020-07-31,20:30 (04:30),FC Juárez,1.3,1–0,0.7,Necaxa,,Estadio Olímpico Benito Juárez,Fernando Hernández,Match Report,
Guardianes 2020 Regular Season,2,Sun,2020-08-02,12:00 (19:00),Toluca,2.6,3–2,3.2,Atlético,,Estadio Nemesio Díez,Diego Montaño,Match Report,
Guardianes 2020 Regular Season,2,Sun,2020-08-02,17:00 (00:00),Querétaro,2.7,1–1,0.5,Mazatlán,,Estadio La Corregidora,Erick Yair Miranda,Match Report,
Guardianes 2020 Regular Season,2,Sat,2020-08-01,19:00 (02:00),UANL,1.2,1–1,0.8,Pachuca,,Estadio Universitario de Nuevo León,César Arturo Ramos,Match Report,
Guardianes 2020 Regular Season,2,Sat,2020-08-01,21:00 (04:00),América,1.7,4–0,0.4,Tijuana,,Estadio Olímpico de Universitario,Adonai Escobedo,Match Report,
Guardianes 2020 Regular Season,2,Sun,2020-08-02,19:06 (02:06),Santos,2.1,2–0,2.0,Guadalajara,,Estadio Nuevo Corona,Eduardo Basulto,Match Report,
Guardianes 2020 Regular Season,2,Mon,2020-08-03,19:00 (02:00),Atlas,1.0,1–2,2.6,UNAM,,Estadio Jalisco,Jorge Pérez,Match Report,
Guardianes 2020 Regular Season,2,Mon,2020-08-03,21:00 (04:00),León,0.5,1–0,0.9,Monterrey,,Estadio León,Fernando Guerrero,Match Report,
Guardianes 2020 Regular Season,3,Thu,2020-08-06,19:00 (02:00),Pachuca,1.3,1–0,0.3,Querétaro,,Estadio Hidalgo,Adonai Escobedo,Match Report,
Guardianes 2020 Regular Season,3,Thu,2020-08-06,19:06 (04:06),Tijuana,0.5,0–0,1.1,UANL,,Estadio Caliente,Fernando Guerrero,Match Report,
Guardianes 2020 Regular Season,3,Fri,2020-08-07,19:30 (02:30),Necaxa,2.4,1–1,1.0,América,,Estadio Victoria de Aguascalientes,Jorge Rojas,Match Report,
Guardianes 2020 Regular Season,3,Fri,2020-08-07,20:30 (04:30),Mazatlán,0.5,2–1,2.2,Toluca,,Estadio de Mazatlán,Oscar Mejia,Match Report,
Guardianes 2020 Regular Season,3,Sun,2020-08-09,12:00 (19:00),UNAM,2.7,1–1,0.5,FC Juárez,,Estadio Olímpico de Universitario,Óscar Macias,Match Report,
Guardianes 2020 Regular Season,3,Sat,2020-08-08,19:00 (02:00),Cruz Azul,1.5,2–0,1.0,León,,Estadio Olímpico de Universitario,César Arturo Ramos,Match Report,
Guardianes 2020 Regular Season,3,Sat,2020-08-08,19:06 (02:06),Monterrey,2.5,2–2,2.1,Santos,,Estadio BBVA Bancomer,Marco Antonio Nava,Match Report,
Guardianes 2020 Regular Season,3,Sat,2020-08-08,21:00 (04:00),Guadalajara,1.0,0–1,1.0,Puebla,,Estadio Akron,Jorge Pérez,Match Report,
Guardianes 2020 Regular Season,3,Sun,2020-08-09,19:00 (02:00),Atlético,1.4,1–1,0.8,Atlas,,Estadio Alfonso Lastras Ramírez,Fernando Hernández,Match Report,
Guardianes 2020 Regular Season,4,Tue,2020-08-11,17:00 (00:00),Necaxa,1.4,1–0,1.4,Mazatlán,,Estadio Victoria de Aguascalientes,Jorge Pérez,Match Report,
Guardianes 2020 Regular Season,4,Wed,2020-08-12,17:00 (00:00),Querétaro,0.5,1–0,1.4,Cruz Azul,,Estadio La Corregidora,Jorge Rojas,Match Report,
Guardianes 2020 Regular Season,4,Tue,2020-08-11,19:00 (02:00),Pachuca,0.6,0–1,1.7,León,,Estadio Hidalgo,Eduardo Basulto,Match Report,
Guardianes 2020 Regular Season,4,Tue,2020-08-11,21:00 (04:00),UANL,1.6,2–1,1.2,Puebla,,Estadio Universitario de Nuevo León,Erick Yair Miranda,Match Report,
Guardianes 2020 Regular Season,4,Wed,2020-08-12,18:00 (02:00),FC Juárez,0.7,0–2,1.8,Guadalajara,,Estadio Olímpico Benito Juárez,Adonai Escobedo,Match Report,
Guardianes 2020 Regular Season,4,Wed,2020-08-12,19:06 (04:06),Tijuana,0.7,0–2,0.5,Atlético,,Estadio Caliente,Marco Antonio Nava,Match Report,
Guardianes 2020 Regular Season,4,Wed,2020-08-12,21:00 (04:00),UNAM,2.7,1–1,3.0,Monterrey,,Estadio Olímpico de Universitario,Diego Montaño,Match Report,
Guardianes 2020 Regular Season,4,Thu,2020-08-13,19:00 (02:00),Atlas,1.5,1–2,2.7,Toluca,,Estadio Jalisco,Luis Santander,Match Report,
Guardianes 2020 Regular Season,4,Thu,2020-08-13,21:00 (04:00),América,1.7,3–1,1.8,Santos,,Estadio Olímpico de Universitario,Fernando Hernández,Match Report,
