rk,player,nation,pos,squad,age,born,mp,starts,min,90s,ga,ga90,sota,saves,save,w,d,l,cs,cs_perf,pkatt,pka,pksv,pkm,save_penalt,matches
1,Carlos Acevedo,mx MEX,GK,Santos,25,1996,26,26,2340,26.0,31,1.19,103,71,72.8,8,11,7,6,23.1,7,3,2,2,40.0,Matches
2,Washington Aguerre,uy URU,GK,Querétaro,28,1993,32,32,2874,31.9,34,1.06,142,106,78.9,6,14,12,9,28.1,6,4,2,0,33.3,Matches
3,Gil Alcalá,mx MEX,GK,Tijuana,29,1992,7,5,540,6.0,11,1.83,35,25,74.3,0,2,3,2,40.0,4,2,0,2,0.0,Matches
4,Esteban Andrada,ar ARG,GK,Monterrey,30,1991,31,31,2790,31.0,29,0.94,112,84,78.6,12,12,7,12,38.7,5,5,0,0,0.0,Matches
5,Luis Ángel Malagón,mx MEX,GK,Necaxa,24,1997,27,27,2372,26.4,29,1.10,101,73,75.2,10,4,13,8,29.6,4,4,0,0,0.0,Matches
6,José Antonio Rodríguez,mx MEX,GK,Querétaro,29,1992,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
7,José Antonio Rodríguez,mx MEX,GK,Guadalajara,29,1992,5,5,450,5.0,7,1.40,15,8,60.0,1,2,2,2,40.0,1,1,0,0,0.0,Matches
8,Marcelo Barovero,ar ARG,GK,Atlético,37,1984,30,30,2700,30.0,41,1.37,118,78,72.0,9,9,12,9,30.0,9,8,1,0,11.1,Matches
9,Alfonso Blanco Antúnez,mx MEX,GK,León,34,1987,1,1,90,1.0,1,1.00,2,1,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
10,Luis Cárdenas,mx MEX,GK,Monterrey,27,1993,3,3,270,3.0,4,1.33,9,5,55.6,0,0,3,0,0.0,0,0,0,0,,Matches
11,José Corona,mx MEX,GK,Cruz Azul,40,1981,17,17,1530,17.0,19,1.12,72,54,73.6,7,6,4,5,29.4,0,0,0,0,,Matches
