rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
1,José Abella,mx MEX,DF,Atlas,27,1994,11.6,314,444,70.7,6380,2551,122,149,130,171,57,105,1,1.0,1.3,0.0,10,26,14,8,36,Matches
2,Diego Abitia,mx MEX,FW,Toluca,18,2003,0.0,1,2,50.0,19,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
3,Clifford Aboagye,gh GHA,MF,Puebla,26,1995,0.2,9,10,90.0,195,90,3,3,4,4,2,3,0,0.1,0.0,-0.1,2,3,0,0,2,Matches
4,Luis Abram,pe PER,DF,Cruz Azul,25,1996,8.4,264,323,81.7,5740,2242,61,67,165,185,34,65,1,0.1,0.1,+0.9,2,17,0,0,18,Matches
5,Carlos Acevedo,mx MEX,GK,Santos,25,1996,26.0,398,665,59.8,13452,11346,70,71,158,163,167,425,0,0.0,0.1,0.0,0,17,0,0,0,Matches
6,Alonso Aceves,mx MEX,DF,Pachuca,20,2001,15.5,515,677,76.1,8871,4323,266,303,206,271,41,72,0,1.1,0.7,-1.1,13,48,10,9,52,Matches
7,Sergio Adrián Flores,mx MEX,MF,Guadalajara,26,1995,23.5,1057,1292,81.8,19882,8406,395,456,531,617,112,171,0,0.6,0.8,-0.6,10,129,6,0,117,Matches
8,Juan Agüayo,mx MEX,MF,Guadalajara,24,1997,1.5,38,57,66.7,598,286,21,24,16,22,1,8,0,0.2,0.2,-0.2,1,3,2,1,3,Matches
9,Juan Agüayo,mx MEX,DF,UNAM,24,1997,0.5,18,27,66.7,303,128,12,16,4,6,2,5,0,0.0,0.0,0.0,0,1,1,1,1,Matches
10,Washington Aguerre,uy URU,GK,Querétaro,28,1993,31.9,549,907,60.5,19518,15595,59,59,226,229,262,615,0,0.0,0.1,0.0,1,30,0,0,0,Matches
11,Daniel Aguilar,mx MEX,MF,Puebla,23,1998,2.0,62,77,80.5,1261,397,15,19,37,42,9,12,0,0.1,0.0,-0.1,2,4,1,0,8,Matches
12,Paul Aguilar,mx MEX,"DF,MF",FC Juárez,35,1986,4.6,133,172,77.3,2359,1019,55,66,65,74,12,24,0,0.1,0.1,-0.1,2,13,0,0,25,Matches
13,Emanuel Aguilera,ar ARG,DF,América,32,1989,10.0,454,525,86.5,10365,3626,109,122,264,278,80,118,0,0.0,0.1,0.0,0,22,0,0,22,Matches
14,Emanuel Aguilera,ar ARG,DF,Atlas,32,1989,7.0,236,312,75.6,4762,2276,81,88,119,147,36,73,0,0.1,0.1,-0.1,1,25,1,0,22,Matches
15,Eduardo Aguirre,mx MEX,FW,Santos,22,1998,20.4,264,376,70.2,3294,670,161,207,71,98,6,12,1,1.5,1.7,-0.5,17,15,10,0,27,Matches
16,Érick Aguirre,mx MEX,"DF,MF",Monterrey,24,1997,17.3,599,770,77.8,10936,4600,277,329,244,295,72,115,0,1.0,1.6,-1.0,15,46,25,8,62,Matches
17,Gaddi Aguirre,mx MEX,DF,Atlas,25,1996,10.9,403,506,79.6,8461,3691,118,141,222,252,59,102,0,0.1,0.1,-0.1,2,41,0,0,38,Matches
18,Rodrigo Aguirre,uy URU,FW,Necaxa,26,1994,24.0,283,456,62.1,4331,952,165,237,89,141,19,33,4,3.6,2.1,+0.4,23,21,17,5,34,Matches
19,Oswaldo Alanís,mx MEX,DF,Mazatlán,32,1989,9.0,357,456,78.3,7944,3638,109,127,167,196,79,116,0,0.2,0.2,-0.2,2,23,1,1,21,Matches
20,Ricardo Alba,mx MEX,FW,Atlético,19,2002,0.2,0,1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
21,Jesús Alberto Angulo,mx MEX,DF,Atlas,23,1998,11.9,460,590,78.0,9406,4296,144,160,250,282,61,128,0,0.3,0.4,-0.3,7,80,8,4,75,Matches
22,Jesús Alberto Angulo,mx MEX,DF,UANL,23,1998,16.1,681,789,86.3,13500,5201,215,238,392,424,69,109,1,0.1,0.2,+0.9,4,55,2,0,58,Matches
23,Gil Alcalá,mx MEX,GK,Tijuana,29,1992,6.0,96,146,65.8,3158,2488,9,9,49,49,37,87,0,0.0,0.0,0.0,0,1,0,0,0,Matches
24,Jesús Alcantar,mx MEX,DF,Necaxa,18,2003,0.3,10,13,76.9,225,109,4,4,4,4,2,5,0,0.0,0.0,0.0,0,2,0,0,1,Matches
25,Adrián Aldrete,mx MEX,DF,Cruz Azul,33,1988,15.2,543,712,76.3,10983,4877,179,208,280,323,75,154,1,0.6,0.5,+0.4,6,47,4,3,46,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Daniel Alexis Parra,mx MEX,DF,Monterrey,22,1999,4.3,125,168,74.4,1992,895,70,78,44,58,8,22,0,0.3,0.4,-0.3,3,6,4,1,10,Matches
27,Luis Alfonso Rodríguez,mx MEX,"DF,MF",UANL,30,1991,14.9,699,864,80.9,12401,4198,311,344,305,360,71,119,0,1.5,1.3,-1.5,12,53,12,5,71,Matches
28,David Alfredo Andrade,mx MEX,DF,Santos,28,1993,7.6,222,326,68.1,3928,1795,114,134,76,107,26,56,1,0.8,0.9,+0.2,13,25,11,5,30,Matches
29,Carlos Alonso Vargas,mx MEX,"DF,MF",Mazatlán,22,1999,21.8,566,801,70.7,10912,4754,211,256,281,352,70,159,1,0.4,0.5,+0.6,4,39,4,2,41,Matches
30,Alfonso Alvarado,mx MEX,"FW,MF",Monterrey,21,2000,5.3,75,98,76.5,1085,220,37,45,29,35,5,6,0,0.2,0.4,-0.2,5,6,4,1,8,Matches
31,Roberto Alvarado,mx MEX,"DF,MF",Cruz Azul,22,1998,10.1,408,510,80.0,6682,1972,209,233,165,197,29,54,1,0.3,0.6,+0.7,7,30,7,0,52,Matches
32,Roberto Alvarado,mx MEX,"FW,MF",Guadalajara,22,1998,14.2,432,575,75.1,7078,2104,228,270,147,179,42,75,4,2.4,2.0,+1.6,18,42,14,3,71,Matches
33,Ventura Alvarado,us USA,DF,FC Juárez,28,1992,8.7,229,319,71.8,4652,1880,71,87,120,149,34,70,0,0.2,0.3,-0.2,3,10,3,1,13,Matches
34,Alek Álvarez,mx MEX,"MF,FW",UNAM,18,2003,2.3,68,82,82.9,1206,305,32,36,27,30,6,9,1,0.2,0.3,+0.8,2,4,4,3,4,Matches
35,Daniel Álvarez,mx MEX,"FW,MF",Toluca,27,1994,7.1,150,204,73.5,2170,639,90,105,50,67,6,13,0,0.7,0.5,-0.7,8,13,4,2,20,Matches
36,Daniel Álvarez,mx MEX,"FW,MF",Puebla,27,1994,8.7,152,228,66.7,2804,996,66,82,61,92,21,36,2,2.2,0.9,-0.2,19,31,4,2,34,Matches
37,Fabio Álvarez,ar ARG,"MF,FW",UNAM,28,1993,19.8,782,980,79.8,14452,3905,330,394,325,370,106,153,3,3.8,2.4,-0.8,44,134,31,0,146,Matches
38,Kevin Álvarez,mx MEX,DF,Pachuca,22,1999,30.4,947,1329,71.3,16945,7424,424,505,412,550,98,207,4,3.4,3.3,+0.6,34,91,31,11,132,Matches
39,Daniel Amador,mx MEX,"FW,MF",Mazatlán,24,1997,4.3,81,125,64.8,1335,426,40,56,28,38,10,23,1,0.6,0.3,+0.4,8,15,5,0,20,Matches
40,Fidel Ambríz,mx MEX,MF,León,18,2003,10.7,441,541,81.5,8014,2312,170,206,227,258,39,56,0,0.6,0.5,-0.6,8,22,5,2,30,Matches
41,Esteban Andrada,ar ARG,GK,Monterrey,30,1991,31.0,851,1070,79.5,23297,16414,152,153,441,445,255,467,1,0.0,0.0,+1.0,1,22,0,0,2,Matches
42,Miguel Ángel Herrera,mx MEX,DF,Pachuca,32,1989,8.1,205,284,72.2,4631,1887,48,54,123,148,33,74,0,0.2,0.1,-0.2,2,16,1,0,15,Matches
43,Luis Ángel Malagón,mx MEX,GK,Necaxa,24,1997,26.4,571,799,71.5,18045,13968,99,99,254,254,216,441,0,0.0,0.1,0.0,0,20,0,0,0,Matches
44,Luis Ángel Mendoza,mx MEX,"FW,MF",Cruz Azul,31,1990,2.9,85,124,68.5,1240,346,53,62,27,36,3,12,0,0.4,0.4,-0.4,4,4,2,1,4,Matches
45,Miguel Ángel Ponce,mx MEX,DF,Guadalajara,32,1989,15.2,702,829,84.7,12148,3583,344,373,279,323,68,102,0,0.3,0.3,-0.3,5,40,3,1,38,Matches
46,Brayan Angulo,ec ECU,FW,Cruz Azul,25,1995,14.4,237,324,73.1,3480,670,139,179,80,107,10,17,1,1.0,0.5,0.0,14,15,4,0,18,Matches
47,Brayan Angulo,co COL,DF,Tijuana,31,1989,30.3,1214,1574,77.1,20931,9554,584,662,495,623,115,211,1,2.6,2.9,-1.6,29,120,26,12,158,Matches
48,Jesús Angulo,mx MEX,"MF,FW",Guadalajara,24,1997,26.5,968,1169,82.8,14815,3866,548,614,297,343,79,122,2,3.1,2.7,-1.1,49,103,33,2,138,Matches
49,Francisco Antonio Figueroa,mx MEX,"FW,MF",Pachuca,22,1999,3.5,93,128,72.7,1590,505,43,50,40,50,8,21,1,0.4,0.4,+0.6,8,7,5,2,17,Matches
50,Francisco Antonio Figueroa,mx MEX,"MF,FW",Querétaro,22,1999,1.0,35,52,67.3,525,156,17,19,17,23,0,5,0,0.0,0.1,0.0,1,4,3,0,6,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Jorge Antonio Padilla,mx MEX,DF,Mazatlán,27,1993,22.1,585,885,66.1,10125,5012,271,333,246,360,55,140,2,1.1,0.8,+0.9,12,34,15,8,58,Matches
52,José Antonio Rodríguez,mx MEX,GK,Guadalajara,29,1992,5.0,92,132,69.7,2633,1999,24,25,37,38,30,66,0,0.0,0.0,0.0,0,3,0,0,0,Matches
53,José Antonio Rodríguez,mx MEX,GK,Querétaro,29,1992,1.0,18,22,81.8,468,271,4,4,9,9,5,9,0,0.0,0.0,0.0,0,0,0,0,0,Matches
54,Uriel Antuna,mx MEX,"FW,MF",Cruz Azul,23,1997,14.0,246,368,66.8,3751,1319,133,162,77,110,19,52,3,2.0,3.2,+1.0,18,20,29,18,32,Matches
55,Uriel Antuna,mx MEX,"FW,MF",Guadalajara,23,1997,9.6,199,278,71.6,3183,850,100,130,76,95,16,35,0,0.4,1.0,-0.4,12,12,13,8,19,Matches
