rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,attendance,top_team_scorer,goalkeeper,notes
1,UANL,34,17,10,7,56,34,22,61,1.79,48.9,38.1,10.8,0.32,26186,André-Pierre Gignac - 14,Nahuel Guzmán,
2,América,34,17,10,7,45,27,18,61,1.79,47.5,28.4,19.1,0.56,28491,Álvaro Fidalgo - 6,Guillermo Ochoa,
3,Atlas,34,15,11,8,42,25,17,56,1.65,39.3,36.7,2.6,0.08,18426,"Julio Furch, Julián Quiñones - 11",Camilo Vargas,
4,Pachuca,34,16,8,10,49,36,13,56,1.65,51.0,41.1,9.8,0.29,7887,Nicolás Ibáñez - 11,Óscar Ustari,
5,Puebla,34,13,11,10,41,35,6,50,1.47,48.9,50.6,-1.7,-0.05,19136,Fernando Aristeguieta - 7,Antony Silva,
6,León,34,13,11,10,37,36,1,50,1.47,50.4,42.1,8.3,0.24,12569,Víctor Dávila - 11,Rodolfo Cota,
7,Cruz Azul,34,12,12,10,41,34,7,48,1.41,38.5,37.4,1.1,0.03,18834,Santiago Giménez - 7,José Corona,
8,Monterrey,34,12,12,10,40,33,7,48,1.41,50.6,33.6,17.0,0.5,25271,Rogelio Funes Mori - 7,Esteban Andrada,
9,Guadalajara,34,12,12,10,38,34,4,48,1.41,35.0,31.5,3.5,0.1,20399,Ángel Zaldívar - 7,Raúl Gudiño,
10,Santos,34,10,14,10,48,41,7,44,1.29,47.9,48.2,-0.3,-0.01,11730,"Fernando Gorriarán, Harold Preciado - 6",Carlos Acevedo,
11,UNAM,34,11,10,13,41,44,-3,43,1.26,40.5,49.7,-9.2,-0.27,15087,Juan Ignacio Dinenno - 8,Alfredo Talavera,
12,Atlético,34,11,10,13,40,45,-5,43,1.26,47.5,45.4,2.1,0.06,8504,Germán Berterame - 16,Marcelo Barovero,
13,Necaxa,34,13,4,17,37,43,-6,43,1.26,41.0,41.8,-0.8,-0.02,10230,Rodrigo Aguirre - 11,Luis Ángel Malagón,
14,Toluca,34,11,10,13,43,58,-15,43,1.26,41.2,52.1,-10.9,-0.32,11125,Leonardo Fernández - 7,Luis Manuel García,
15,Mazatlán,34,11,8,15,38,48,-10,41,1.21,31.3,52.6,-21.2,-0.62,9401,Camilo Sanvezzo - 8,Nicolás Vikonis,
16,Querétaro,34,6,14,14,29,40,-11,32,0.94,39.1,46.3,-7.2,-0.22,7278,Ángel Sepúlveda - 5,Washington Aguerre,
17,Tijuana,34,7,11,16,30,53,-23,32,0.94,41.6,51.1,-9.4,-0.28,9206,Mauro Manotas - 5,Jonathan Orozco,
18,FC Juárez,34,7,6,21,24,53,-29,27,0.79,28.5,41.9,-13.4,-0.39,9599,"Gabriel Fernández, Diego Rolán... - 4",Hugo González Durán,
