rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
1,José Abella,mx MEX,"DF,MF",Atlas,28,1994,20.9,49,25,32,15,2,28,52,24,25,10,15,25,74,57,0,Matches
2,Clifford Aboagye,gh GHA,MF,Querétaro,27,1995,6.5,19,11,8,11,0,4,16,12,6,2,4,10,29,2,0,Matches
3,Luis Abram,pe PER,DF,Cruz Azul,26,1996,10.0,6,4,2,4,0,4,7,3,12,8,4,8,14,36,1,Matches
4,Carlos Acevedo,mx MEX,GK,Santos,26,1996,33.0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,2,Matches
5,Sergio Adrián Flores,mx MEX,MF,Guadalajara,27,1995,11.2,34,19,9,23,2,17,35,18,13,4,9,17,51,17,0,Matches
6,Washington Aguerre,uy URU,GK,Querétaro,29,1993,9.0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,3,Matches
7,Eduardo Águila,mx MEX,DF,Atlético,20,2002,2.4,8,5,6,2,0,3,4,1,1,1,0,0,8,11,1,Matches
8,Daniel Aguilar,mx MEX,"DF,MF",Puebla,24,1998,7.9,21,14,8,12,1,9,15,6,9,7,2,4,25,19,0,Matches
9,Manuel Aguilar,mx MEX,DF,UANL,19,2003,0.5,1,1,1,0,0,1,2,1,1,1,0,0,1,0,0,Matches
10,Emanuel Aguilera,ar ARG,DF,Atlas,33,1989,11.5,12,5,8,3,1,9,17,8,8,6,2,14,26,42,2,Matches
11,Eduardo Aguirre,mx MEX,FW,Santos,23,1998,12.7,16,12,5,7,4,6,18,12,7,0,7,7,23,12,0,Matches
12,Érick Aguirre,mx MEX,DF,Monterrey,25,1997,15.6,43,28,27,16,0,26,41,15,14,2,12,37,80,37,0,Matches
13,Gaddi Aguirre,mx MEX,DF,Atlas,26,1996,15.8,27,17,17,10,0,11,22,11,16,6,10,39,66,56,0,Matches
14,Rodrigo Aguirre,uy URU,"FW,MF",Monterrey,27,1994,22.3,12,9,2,8,2,3,8,5,8,1,7,2,14,17,0,Matches
15,Manuel Agustín Duarte,ar ARG,MF,Querétaro,20,2001,4.6,9,5,4,3,2,2,13,11,4,0,4,5,14,5,0,Matches
16,Arnaud Ake,ci CIV,FW,Mazatlán,24,1998,8.6,6,3,1,4,1,0,2,2,8,1,7,2,8,4,0,Matches
17,Edgar Alaffita,mx MEX,MF,UNAM,25,1996,1.4,3,2,0,3,0,2,3,1,1,0,1,0,3,2,0,Matches
18,Oswaldo Alanís,mx MEX,DF,Mazatlán,33,1989,19.1,20,10,14,6,0,12,18,6,22,15,7,27,47,72,1,Matches
19,Jesús Alberto Angulo,mx MEX,DF,UANL,24,1998,29.2,84,51,43,31,10,45,72,27,39,9,30,28,112,46,0,Matches
20,Gil Alcalá,mx MEX,GK,Querétaro,30,1992,17.0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1,Matches
21,Gil Alcalá,mx MEX,GK,UNAM,30,1992,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Matches
22,Adrián Aldrete,mx MEX,DF,UNAM,34,1988,16.0,16,9,9,7,0,9,17,8,16,3,13,18,34,41,0,Matches
23,Daniel Alexis Parra,mx MEX,"DF,MF",Necaxa,23,1999,1.6,5,3,5,0,0,3,6,3,1,0,1,2,7,10,0,Matches
24,Luis Alfonso Rodríguez,mx MEX,"DF,MF",FC Juárez,31,1991,15.0,48,38,27,16,5,30,49,19,13,4,9,19,67,29,0,Matches
25,Luis Alfonso Rodríguez,mx MEX,DF,UANL,31,1991,1.4,1,1,1,0,0,0,2,2,1,0,1,1,2,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,David Alfredo Andrade,mx MEX,"MF,DF",Atlético,29,1993,3.1,3,1,1,1,1,2,4,2,4,1,3,3,6,12,0,Matches
27,Facundo Almada,ar ARG,DF,Mazatlán,24,1998,12.4,21,9,13,7,1,9,22,13,14,7,7,17,38,55,3,Matches
28,Carlos Alonso Vargas,mx MEX,DF,Cruz Azul,23,1999,0.2,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,Matches
29,Carlos Alonso Vargas,mx MEX,DF,Mazatlán,23,1999,10.3,27,18,19,7,1,12,22,10,11,5,6,19,46,25,0,Matches
30,Jozy Altidore,us USA,"FW,MF",Puebla,32,1989,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Matches
31,Alfonso Alvarado,mx MEX,"FW,MF",León,22,2000,7.9,15,11,6,9,0,6,14,8,9,3,6,6,21,8,0,Matches
32,Roberto Alvarado,mx MEX,"MF,FW",Guadalajara,23,1998,26.8,58,36,22,33,3,25,56,31,28,4,24,19,77,18,0,Matches
33,Ventura Alvarado,us USA,DF,FC Juárez,29,1992,5.2,7,3,3,4,0,3,5,2,3,2,1,8,15,16,0,Matches
34,Alek Álvarez,mx MEX,"DF,MF",UNAM,19,2003,5.3,13,9,5,4,4,9,11,2,11,3,8,6,19,14,0,Matches
35,Daniel Álvarez,mx MEX,"FW,MF",Toluca,28,1994,3.1,3,2,1,1,1,1,4,3,4,1,3,1,4,3,0,Matches
36,Daniel Álvarez,mx MEX,"MF,DF",Puebla,28,1994,3.7,3,2,1,2,0,1,6,5,2,0,2,0,3,2,0,Matches
37,Kevin Álvarez,mx MEX,DF,Pachuca,23,1999,31.4,65,32,35,24,6,31,57,26,33,11,22,47,112,43,0,Matches
38,Dani Alves,br BRA,"MF,DF",UNAM,39,1983,12.5,20,14,6,12,2,9,23,14,4,0,4,8,28,3,0,Matches
39,Fidel Ambríz,mx MEX,"MF,DF",León,19,2003,23.6,46,27,22,18,6,23,47,24,13,6,7,16,62,56,0,Matches
40,Esteban Andrada,ar ARG,GK,Monterrey,31,1991,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,Matches
41,Alejandro Andrade,mx MEX,MF,Necaxa,20,2001,0.7,4,2,0,3,1,1,2,1,3,2,1,0,4,1,0,Matches
42,Luis Ángel Malagón,mx MEX,GK,América,25,1997,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Matches
43,Luis Ángel Malagón,mx MEX,GK,Necaxa,25,1997,17.0,1,0,1,0,0,1,1,0,0,0,0,0,1,9,0,Matches
44,Miguel Ángel Ponce,mx MEX,"DF,FW",Guadalajara,33,1989,1.4,4,2,2,2,0,1,1,0,1,1,0,0,4,8,0,Matches
45,Brayan Angulo,co COL,DF,Toluca,32,1989,25.3,70,41,33,28,9,36,60,24,23,6,17,28,98,57,0,Matches
46,Jesús Angulo,mx MEX,"DF,MF",Guadalajara,25,1997,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
47,Jesús Angulo,mx MEX,MF,León,25,1997,1.7,3,1,2,1,0,2,3,1,1,1,0,1,4,1,0,Matches
48,Francisco Antonio Figueroa,mx MEX,"FW,MF",Pachuca,23,1999,5.6,10,7,1,5,4,6,18,12,8,0,8,7,17,2,0,Matches
49,Francisco Antonio Figueroa,mx MEX,"MF,FW",Querétaro,23,1999,0.5,2,2,1,1,0,2,3,1,0,0,0,0,2,0,0,Matches
50,Jorge Antonio Padilla,mx MEX,DF,Mazatlán,28,1993,12.9,22,11,12,8,2,9,20,11,21,7,14,19,41,39,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,José Antonio Rodríguez,mx MEX,GK,Tijuana,30,1992,17.0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,Matches
52,José Antonio Rodríguez,mx MEX,GK,Querétaro,30,1992,8.0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,Matches
53,Uriel Antuna,mx MEX,"FW,MF",Cruz Azul,24,1997,28.9,32,22,10,17,5,17,43,26,35,2,33,12,44,16,0,Matches
54,Javier Aquino,mx MEX,"DF,FW",UANL,32,1990,21.4,59,37,29,24,6,31,55,24,27,4,23,30,89,27,0,Matches
55,Pedro Aquino,pe PER,MF,América,27,1995,9.3,27,14,12,15,0,15,36,21,17,5,12,21,48,21,0,Matches
56,Cristian Arango,co COL,"FW,MF",Pachuca,27,1995,5.3,7,5,0,6,1,2,5,3,4,0,4,1,8,3,0,Matches
57,Ángelo Araos,cl CHI,MF,Necaxa,25,1997,10.4,38,27,16,20,2,15,25,10,11,1,10,1,39,11,0,Matches
58,Maximiliano Araújo,uy URU,"MF,DF",Toluca,22,2000,16.2,24,12,13,9,2,11,26,15,15,2,13,12,36,16,0,Matches
59,Maximiliano Araújo,uy URU,"MF,DF",Puebla,22,2000,14.6,17,11,9,6,2,8,18,10,18,2,16,11,28,18,0,Matches
60,Néstor Araujo,mx MEX,DF,América,30,1991,20.1,26,19,13,12,1,8,15,7,22,18,4,27,53,71,1,Matches
61,Fernando Arce Jr.,us USA,MF,FC Juárez,25,1996,4.9,9,8,2,6,1,4,8,4,9,3,6,6,15,3,0,Matches
62,Fernando Arce Jr.,us USA,MF,Puebla,25,1996,1.3,2,1,2,0,0,2,3,1,2,0,2,2,4,3,0,Matches
63,Fernando Aristeguieta,ve VEN,FW,Puebla,30,1992,2.8,0,0,0,0,0,0,3,3,1,0,1,0,0,5,0,Matches
64,Rodrigo Armando González,mx MEX,DF,Atlético,27,1995,12.1,10,6,7,3,0,4,11,7,25,20,5,16,26,40,0,Matches
65,Daniel Armando Ríos,mx MEX,FW,Guadalajara,27,1995,5.8,3,1,0,3,0,3,7,4,3,0,3,0,3,10,0,Matches
66,Eduardo Armenta,mx MEX,MF,Tijuana,20,2001,5.3,13,5,5,7,1,4,14,10,8,2,6,4,17,7,0,Matches
67,Alejandro Arribas,es ESP,DF,FC Juárez,33,1989,23.0,38,21,32,6,0,18,33,15,27,16,11,34,72,102,0,Matches
68,José Ávila,mx MEX,"MF,DF",Santos,24,1998,0.8,3,1,1,2,0,3,3,0,0,0,0,1,4,0,0,Matches
69,David Ayala,mx MEX,MF,UANL,22,2000,0.2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Matches
70,Hugo Ayala,mx MEX,"DF,FW",UANL,35,1987,1.8,3,3,1,2,0,2,3,1,3,2,1,4,7,4,0,Matches
71,Ettson Ayon,mx MEX,"FW,MF",Querétaro,21,2001,7.9,5,4,0,4,1,4,8,4,3,0,3,1,6,4,0,Matches
72,Rafael Baca,mx MEX,MF,Cruz Azul,32,1989,11.3,13,7,7,6,0,2,11,9,13,4,9,11,24,11,0,Matches
73,Claudio Baeza,cl CHI,MF,Toluca,28,1993,24.7,69,36,40,27,2,32,63,31,23,10,13,19,88,30,1,Matches
74,Kevin Balanta,co COL,DF,Querétaro,25,1997,22.3,38,25,31,7,0,19,27,8,29,21,8,38,76,105,2,Matches
75,Carlos Baltazar,mx MEX,MF,Puebla,25,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Miguel Barbieri,ar ARG,DF,Querétaro,28,1993,12.3,24,16,17,7,0,16,23,7,17,8,9,33,57,61,0,Matches
77,David Barbona,ar ARG,"MF,FW",Querétaro,27,1995,6.3,5,3,0,5,0,2,10,8,7,2,5,0,5,1,0,Matches
78,Diego Barbosa,mx MEX,DF,Atlas,25,1996,12.4,41,22,17,21,3,21,47,26,15,3,12,5,46,28,0,Matches
79,Marcelo Barovero,ar ARG,GK,Atlético,38,1984,32.6,2,2,2,0,0,1,1,0,1,0,1,1,3,15,3,Matches
80,Martín Barra,mx MEX,"MF,FW",FC Juárez,20,2002,0.6,3,1,3,0,0,3,5,2,0,0,0,1,4,1,0,Matches
81,Martín Barragán,mx MEX,FW,Puebla,31,1991,25.9,9,5,2,7,0,3,12,9,10,1,9,4,13,29,0,Matches
82,Jaine Barreiro,co COL,DF,León,28,1994,27.5,45,29,33,11,1,24,38,14,27,13,14,62,107,107,1,Matches
83,Pablo Barrera,mx MEX,"MF,FW",Querétaro,35,1987,31.9,29,20,18,6,5,13,44,31,30,4,26,25,54,10,0,Matches
84,Abraham Bass,mx MEX,MF,Atlas,20,2001,0.8,4,4,0,4,0,2,3,1,1,1,0,0,4,0,0,Matches
85,Damián Batallini,ar ARG,"MF,FW",Necaxa,26,1996,8.3,23,17,7,14,2,11,23,12,11,2,9,3,26,0,0,Matches
86,Facundo Batista,uy URU,FW,Necaxa,23,1999,19.7,19,14,4,11,4,7,20,13,21,2,19,4,23,12,0,Matches
87,Eduard Bello,ve VEN,"FW,MF",Mazatlán,26,1995,13.5,19,12,5,12,2,5,18,13,17,4,13,8,27,10,0,Matches
88,Paul Bellón,mx MEX,DF,León,25,1997,20.2,37,17,30,6,1,19,40,21,23,12,11,26,63,67,0,Matches
89,Fernando Beltrán,mx MEX,MF,Guadalajara,24,1998,27.1,53,31,22,26,5,20,45,25,31,3,28,27,80,11,1,Matches
90,Nicolás Benedetti,co COL,"MF,FW",Mazatlán,25,1997,23.4,20,11,6,7,7,11,36,25,10,0,10,8,28,7,0,Matches
91,Pablo Bennevendo Peña,mx MEX,DF,UNAM,22,2000,23.0,62,42,34,25,3,41,63,22,35,7,28,21,83,70,0,Matches
92,Germán Berterame,mx MEX,"FW,MF",Monterrey,23,1998,26.0,27,15,7,15,5,12,28,16,21,1,20,25,52,21,0,Matches
93,Unai Bilbao,es ESP,DF,Atlético,28,1994,14.4,8,5,6,1,1,5,9,4,20,15,5,13,21,101,0,Matches
94,Léo Bonatini,br BRA,FW,Atlético,28,1994,10.1,6,4,3,2,1,2,8,6,8,2,6,3,9,9,0,Matches
95,Antonio Briseño,mx MEX,DF,Guadalajara,28,1994,4.1,3,3,2,1,0,2,2,0,3,2,1,6,9,30,1,Matches
96,Isaác Brizuela,mx MEX,"FW,MF",Guadalajara,31,1990,9.0,8,5,3,4,1,3,9,6,6,0,6,5,13,4,0,Matches
97,Juan Brunetta,ar ARG,"MF,FW",Santos,25,1997,28.1,30,15,8,13,9,13,38,25,21,1,20,7,37,11,1,Matches
98,Gustavo Cabral,ar ARG,DF,Pachuca,36,1985,29.8,43,27,23,20,0,20,49,29,20,7,13,65,108,81,1,Matches
99,David Cabrera Pujol,mx MEX,MF,Querétaro,32,1989,0.3,4,1,0,4,0,2,2,0,0,0,0,0,4,0,0,Matches
100,Sebastián Cáceres,uy URU,DF,América,22,1999,23.1,28,17,22,6,0,14,20,6,33,19,14,27,55,79,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Jordy Caicedo,ec ECU,"FW,MF",UANL,24,1997,5.8,6,5,0,3,3,1,4,3,3,0,3,3,9,2,0,Matches
102,José Caicedo,co COL,"MF,DF",UNAM,20,2002,11.3,18,13,7,10,1,12,23,11,14,4,10,14,32,24,0,Matches
103,Cristian Calderón,mx MEX,"DF,FW",Guadalajara,25,1997,21.2,23,12,13,8,2,14,18,4,25,6,19,22,45,52,0,Matches
104,Luis Calzadilla,mx MEX,MF,Pachuca,22,2000,0.3,2,1,0,1,1,0,0,0,2,0,2,0,2,0,0,Matches
105,Raúl Camacho,mx MEX,"FW,MF",Mazatlán,20,2002,0.7,1,1,0,1,0,0,0,0,0,0,0,1,2,1,0,Matches
106,Joel Campbell,cr CRC,"MF,FW",León,30,1992,17.3,35,22,13,17,5,18,41,23,23,0,23,11,46,4,1,Matches
107,Omar Campos,mx MEX,DF,Santos,20,2002,32.6,59,35,42,14,3,31,52,21,32,8,24,39,98,88,1,Matches
108,Alexis Canelo,ar ARG,FW,Tijuana,30,1992,32.0,39,26,6,24,9,15,30,15,17,3,14,15,54,22,0,Matches
109,Luis Cárdenas,mx MEX,GK,Monterrey,28,1993,8.5,1,1,1,0,0,1,1,0,1,0,1,0,1,4,0,Matches
110,Ulises Cardona,mx MEX,"MF,FW",Necaxa,23,1998,0.7,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,Matches
