rk,player,nation,pos,squad,age,born,90s,ga,pka,fk,ck,og,psxg,psxg_sot,psxg_exp,90,cmp,att,cmp_launch,att_gk,thr,launch,avglen,att_goal_k,launch_goal_k,avglen_goal_k,opp,stp,stp_crosse,opa,opa_90,avgdist,matches
1,Carlos Acevedo,mx MEX,GK,Santos,26,1996,33.0,55,4,1,11,2,49.7,0.26,-3.3,-0.10,186,473,39.3,602,125,45.8,39.4,346,56.9,44.8,555,23,4.1,13,0.39,10.7,Matches
2,Washington Aguerre,uy URU,GK,Querétaro,29,1993,9.0,21,0,0,3,0,15.1,0.32,-5.9,-0.66,51,142,35.9,179,36,46.4,39.7,87,67.8,53.2,110,12,10.9,7,0.78,11.1,Matches
3,Gil Alcalá,mx MEX,GK,UNAM,30,1992,2.0,4,0,1,0,1,3.2,0.35,+0.2,+0.09,14,31,45.2,29,10,37.9,33.9,21,95.2,65.6,33,2,6.1,3,1.50,11.0,Matches
4,Gil Alcalá,mx MEX,GK,Querétaro,30,1992,17.0,21,2,1,2,0,23.4,0.29,+2.4,+0.14,124,284,43.7,356,62,42.7,38.2,176,75.0,56.4,282,11,3.9,4,0.24,7.8,Matches
5,Esteban Andrada,ar ARG,GK,Monterrey,31,1991,25.0,16,1,0,0,1,18.1,0.20,+3.1,+0.13,163,394,41.4,789,122,38.0,34.9,151,62.3,49.8,378,34,9.0,20,0.80,12.6,Matches
6,Luis Ángel Malagón,mx MEX,GK,América,25,1997,7.0,7,0,0,1,2,8.1,0.32,+3.1,+0.44,35,118,29.7,155,18,45.2,39.9,68,70.6,52.5,108,2,1.9,3,0.43,12.6,Matches
7,Luis Ángel Malagón,mx MEX,GK,Necaxa,25,1997,17.0,26,2,1,2,2,23.9,0.27,-0.1,-0.01,124,283,43.8,517,70,37.1,36.9,155,58.7,50.2,283,13,4.6,6,0.35,10.9,Matches
8,José Antonio Rodríguez,mx MEX,GK,Querétaro,30,1992,8.0,14,5,0,2,0,11.1,0.22,-2.9,-0.37,66,120,55.0,163,18,43.6,37.1,67,73.1,55.4,105,4,3.8,4,0.50,10.6,Matches
9,José Antonio Rodríguez,mx MEX,GK,Tijuana,30,1992,17.0,29,4,1,7,1,27.4,0.27,-0.6,-0.04,78,196,39.8,324,62,40.4,35.9,142,45.8,39.8,260,12,4.6,16,0.94,14.5,Matches
10,Marcelo Barovero,ar ARG,GK,Atlético,38,1984,32.6,41,6,1,2,1,45.6,0.23,+5.6,+0.17,176,478,36.8,539,143,50.1,40.0,339,61.4,45.5,570,22,3.9,23,0.70,13.3,Matches
11,Luis Cárdenas,mx MEX,GK,Monterrey,28,1993,8.5,10,2,0,1,0,9.0,0.22,-1.0,-0.12,64,132,48.5,225,26,38.7,36.0,63,71.4,53.4,136,4,2.9,2,0.24,10.7,Matches
