rk,player,nation,pos,squad,age,born,90s,att,live,dead,fk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,matches
1,José Abella,mx MEX,DF,FC Juárez,29,1994,10.4,521,401,120,11,0,5,24,109,0,0,0,0,372,0,11,Matches
2,José Abella,mx MEX,DF,Atlas,29,1994,17.0,928,734,189,18,0,7,50,171,0,0,0,0,708,5,21,Matches
3,Diego Abitia,mx MEX,FW,Atlético,20,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
4,Carlos Acevedo,mx MEX,GK,Santos,27,1996,22.3,646,418,227,42,0,0,0,0,0,0,0,0,462,1,0,Matches
5,Alonso Aceves,mx MEX,DF,Pachuca,22,2001,3.4,162,122,40,4,0,0,6,36,0,0,0,0,122,0,4,Matches
6,Sergio Adrián Flores,mx MEX,MF,Mazatlán,28,1995,20.1,1101,1058,39,36,2,2,1,2,0,0,0,0,935,4,10,Matches
7,Sergio Aguayo,us USA,FW,Pachuca,20,2002,2.8,47,46,1,0,0,2,2,0,0,0,0,0,39,0,0,Matches
8,Eduardo Águila,mx MEX,"DF,FW",Atlético,21,2002,2.2,108,98,10,3,0,0,1,6,0,0,0,0,86,0,6,Matches
9,Daniel Aguilar,mx MEX,"DF,FW",Puebla,25,1998,2.6,141,114,27,1,0,1,11,19,6,1,5,0,105,0,4,Matches
10,Eduardo Aguirre,mx MEX,"FW,MF",Atlas,24,1998,17.8,332,290,39,2,2,2,23,3,1,0,1,0,233,3,14,Matches
11,Érick Aguirre,mx MEX,DF,Monterrey,26,1997,16.7,841,707,133,12,0,2,56,121,0,0,0,0,680,1,14,Matches
12,Gaddi Aguirre,mx MEX,DF,Atlas,27,1996,16.2,884,784,99,23,0,6,7,74,1,1,0,0,737,1,6,Matches
13,Rodrigo Aguirre,uy URU,"FW,MF",Monterrey,28,1994,5.4,114,104,9,0,0,0,7,2,0,0,0,0,81,1,2,Matches
14,Jorge Agustín Rodríguez,ar ARG,MF,Monterrey,27,1995,12.6,890,852,35,21,4,8,19,1,13,6,4,0,762,3,10,Matches
15,Arnaud Ake,ci CIV,FW,Tijuana,25,1998,1.5,28,27,1,0,0,0,0,0,0,0,0,0,19,0,1,Matches
16,Arnaud Ake,ci CIV,FW,Mazatlán,25,1998,5.9,89,76,13,0,0,0,0,0,0,0,0,0,71,0,1,Matches
17,Jesús Alberto Angulo,mx MEX,DF,UANL,25,1998,28.7,1665,1403,254,35,4,14,31,219,0,0,0,0,1385,8,27,Matches
18,Jesús Alcantar,mx MEX,DF,Necaxa,20,2003,1.0,22,14,7,1,0,0,1,6,0,0,0,0,12,1,0,Matches
19,Adrián Aldrete,mx MEX,DF,UNAM,35,1988,19.3,1052,796,254,59,1,25,85,156,39,6,28,1,772,2,10,Matches
20,Daniel Alexis Parra,mx MEX,DF,Monterrey,24,1999,1.0,55,50,5,0,0,0,4,4,1,0,1,0,49,0,0,Matches
21,Luis Alfonso Rodríguez,mx MEX,DF,Pachuca,32,1991,4.4,322,255,66,10,0,1,9,56,0,0,0,0,249,1,5,Matches
22,Luis Alfonso Rodríguez,mx MEX,DF,FC Juárez,32,1991,15.6,829,663,163,16,0,7,34,147,0,0,0,0,648,3,22,Matches
23,Guillermo Allison,mx MEX,GK,Querétaro,32,1990,19.8,596,336,256,48,0,0,0,0,0,0,0,0,347,4,0,Matches
24,Facundo Almada,ar ARG,DF,Mazatlán,25,1998,34.0,1533,1467,65,41,3,17,5,18,0,0,0,0,1280,1,9,Matches
25,Román Almanza,mx MEX,FW,León,17,2006,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
