rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
1,José Abella,mx MEX,DF,FC Juárez,29,1994,10.4,0,5,3,60.0,0.48,0.29,0.00,0.00,16.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
2,José Abella,mx MEX,DF,Atlas,29,1994,17.0,0,6,3,50.0,0.35,0.18,0.00,0.00,24.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
3,Diego Abitia,mx MEX,FW,Atlético,20,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
4,Carlos Acevedo,mx MEX,GK,Santos,27,1996,22.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
5,Alonso Aceves,mx MEX,DF,Pachuca,22,2001,3.4,1,2,1,50.0,0.58,0.29,0.50,1.00,17.5,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
6,Sergio Adrián Flores,mx MEX,MF,Mazatlán,28,1995,20.1,0,5,2,40.0,0.25,0.10,0.00,0.00,20.7,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
7,Sergio Aguayo,us USA,FW,Pachuca,20,2002,2.8,0,6,2,33.3,2.17,0.72,0.00,0.00,20.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
8,Eduardo Águila,mx MEX,"DF,FW",Atlético,21,2002,2.2,0,2,0,0.0,0.89,0.00,0.00,,12.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
9,Daniel Aguilar,mx MEX,"DF,FW",Puebla,25,1998,2.6,0,7,3,42.9,2.65,1.13,0.00,0.00,24.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
10,Eduardo Aguirre,mx MEX,"FW,MF",Atlas,24,1998,17.8,7,47,14,29.8,2.65,0.79,0.13,0.43,14.9,0,1,1,6.9,6.2,0.13,+0.1,-0.2,Matches
11,Érick Aguirre,mx MEX,DF,Monterrey,26,1997,16.7,0,4,0,0.0,0.24,0.00,0.00,,17.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
12,Gaddi Aguirre,mx MEX,DF,Atlas,27,1996,16.2,0,12,1,8.3,0.74,0.06,0.00,0.00,13.9,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
13,Rodrigo Aguirre,uy URU,"FW,MF",Monterrey,28,1994,5.4,0,16,6,37.5,2.95,1.11,0.00,0.00,17.1,1,0,0,1.8,1.8,0.11,-1.8,-1.8,Matches
14,Jorge Agustín Rodríguez,ar ARG,MF,Monterrey,27,1995,12.6,0,7,1,14.3,0.56,0.08,0.00,0.00,25.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
15,Arnaud Ake,ci CIV,FW,Tijuana,25,1998,1.5,0,4,2,50.0,2.67,1.33,0.00,0.00,13.3,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
16,Arnaud Ake,ci CIV,FW,Mazatlán,25,1998,5.9,6,13,8,61.5,2.20,1.35,0.46,0.75,12.0,0,0,0,4.0,4.0,0.31,+2.0,+2.0,Matches
17,Jesús Alberto Angulo,mx MEX,DF,UANL,25,1998,28.7,2,17,5,29.4,0.59,0.17,0.12,0.40,24.6,0,0,0,0.5,0.5,0.03,+1.5,+1.5,Matches
18,Jesús Alcantar,mx MEX,DF,Necaxa,20,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
19,Adrián Aldrete,mx MEX,DF,UNAM,35,1988,19.3,0,6,2,33.3,0.31,0.10,0.00,0.00,27.9,2,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
20,Daniel Alexis Parra,mx MEX,DF,Monterrey,24,1999,1.0,0,4,1,25.0,4.00,1.00,0.00,0.00,21.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
21,Luis Alfonso Rodríguez,mx MEX,DF,Pachuca,32,1991,4.4,0,4,1,25.0,0.90,0.23,0.00,0.00,22.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
22,Luis Alfonso Rodríguez,mx MEX,DF,FC Juárez,32,1991,15.6,0,7,0,0.0,0.45,0.00,0.00,,23.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
23,Guillermo Allison,mx MEX,GK,Querétaro,32,1990,19.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
24,Facundo Almada,ar ARG,DF,Mazatlán,25,1998,34.0,3,26,6,23.1,0.76,0.18,0.12,0.50,14.7,0,0,0,1.4,1.4,0.05,+1.6,+1.6,Matches
25,Román Almanza,mx MEX,FW,León,17,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
26,Carlos Alonso Vargas,mx MEX,DF,Cruz Azul,24,1999,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
27,Alfonso Alvarado,mx MEX,"MF,FW",León,23,2000,16.5,4,39,19,48.7,2.36,1.15,0.10,0.21,17.9,0,0,0,3.1,3.1,0.08,+0.9,+0.9,Matches
28,Roberto Alvarado,mx MEX,"FW,MF",Guadalajara,24,1998,29.4,11,59,22,37.3,2.01,0.75,0.10,0.27,20.3,4,5,5,9.4,5.4,0.09,+1.6,+0.6,Matches
