rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
1,José Abella,mx MEX,DF,FC Juárez,29,1994,12,11,937,10.4,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,10,44,35,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches
2,José Abella,mx MEX,DF,Atlas,29,1994,17,17,1530,17.0,0,0,0,0,0,0,3,0,0.2,0.2,1.2,1.5,12,85,61,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.09,0.01,0.09,Matches
3,Diego Abitia,mx MEX,FW,Atlético,20,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
4,Carlos Acevedo,mx MEX,GK,Santos,27,1996,23,23,2005,22.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,Alonso Aceves,mx MEX,DF,Pachuca,22,2001,4,4,309,3.4,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,3,8,8,0.29,0.00,0.29,0.29,0.29,0.03,0.00,0.03,0.03,0.03,Matches
6,Sergio Adrián Flores,mx MEX,MF,Mazatlán,28,1995,30,18,1808,20.1,0,0,0,0,0,0,6,0,0.4,0.4,0.6,1.0,8,107,12,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
7,Sergio Aguayo,us USA,FW,Pachuca,20,2002,4,4,249,2.8,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,2,3,21,0.00,0.00,0.00,0.00,0.00,0.11,0.05,0.16,0.11,0.16,Matches
8,Eduardo Águila,mx MEX,"DF,FW",Atlético,21,2002,10,2,202,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,8,2,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
9,Daniel Aguilar,mx MEX,"DF,FW",Puebla,25,1998,9,1,238,2.6,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,10,11,11,0.00,0.38,0.38,0.00,0.38,0.05,0.10,0.15,0.05,0.15,Matches
10,Eduardo Aguirre,mx MEX,"FW,MF",Atlas,24,1998,26,19,1598,17.8,7,2,9,6,1,1,2,0,6.9,6.2,0.8,7.0,16,21,83,0.39,0.11,0.51,0.34,0.45,0.39,0.05,0.44,0.35,0.39,Matches
11,Érick Aguirre,mx MEX,DF,Monterrey,26,1997,20,16,1501,16.7,0,2,2,0,0,0,1,0,0.2,0.2,1.8,2.0,24,79,113,0.00,0.12,0.12,0.00,0.12,0.01,0.11,0.12,0.01,0.12,Matches
12,Gaddi Aguirre,mx MEX,DF,Atlas,27,1996,20,16,1461,16.2,0,0,0,0,0,0,3,0,0.7,0.7,0.8,1.5,5,36,3,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,Matches
13,Rodrigo Aguirre,uy URU,"FW,MF",Monterrey,28,1994,16,3,488,5.4,0,1,1,0,0,0,0,0,1.8,1.8,0.3,2.1,9,17,34,0.00,0.18,0.18,0.00,0.18,0.34,0.05,0.40,0.34,0.40,Matches
14,Jorge Agustín Rodríguez,ar ARG,MF,Monterrey,27,1995,15,12,1134,12.6,0,4,4,0,0,0,1,1,0.2,0.2,3.1,3.4,9,101,14,0.00,0.32,0.32,0.00,0.32,0.02,0.25,0.27,0.02,0.27,Matches
15,Arnaud Ake,ci CIV,FW,Tijuana,25,1998,3,1,135,1.5,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,3,0,13,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20,Matches
16,Arnaud Ake,ci CIV,FW,Mazatlán,25,1998,10,7,533,5.9,6,1,7,6,0,0,2,0,4.0,4.0,0.3,4.2,5,6,22,1.01,0.17,1.18,1.01,1.18,0.67,0.04,0.72,0.67,0.72,Matches
17,Jesús Alberto Angulo,mx MEX,DF,UANL,25,1998,31,30,2582,28.7,2,0,2,2,0,0,11,0,0.5,0.5,1.4,2.0,24,143,51,0.07,0.00,0.07,0.07,0.07,0.02,0.05,0.07,0.02,0.07,Matches
18,Jesús Alcantar,mx MEX,DF,Necaxa,20,2003,4,0,94,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
19,Adrián Aldrete,mx MEX,DF,UNAM,35,1988,29,19,1741,19.3,0,1,1,0,0,0,5,0,0.2,0.2,2.2,2.4,5,85,21,0.00,0.05,0.05,0.00,0.05,0.01,0.11,0.12,0.01,0.12,Matches
20,Daniel Alexis Parra,mx MEX,DF,Monterrey,24,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,8,7,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches
21,Luis Alfonso Rodríguez,mx MEX,DF,Pachuca,32,1991,7,4,398,4.4,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.3,6,32,13,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.07,0.04,0.07,Matches
22,Luis Alfonso Rodríguez,mx MEX,DF,FC Juárez,32,1991,16,16,1408,15.6,0,2,2,0,0,0,5,0,0.2,0.2,1.3,1.6,33,71,59,0.00,0.13,0.13,0.00,0.13,0.02,0.08,0.10,0.02,0.10,Matches
23,Guillermo Allison,mx MEX,GK,Querétaro,32,1990,20,20,1784,19.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
24,Facundo Almada,ar ARG,DF,Mazatlán,25,1998,34,34,3060,34.0,3,0,3,3,0,0,6,0,1.4,1.4,0.6,2.0,25,110,9,0.09,0.00,0.09,0.09,0.09,0.04,0.02,0.06,0.04,0.06,Matches
25,Román Almanza,mx MEX,FW,León,17,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Carlos Alonso Vargas,mx MEX,DF,Cruz Azul,24,1999,4,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
27,Alfonso Alvarado,mx MEX,"MF,FW",León,23,2000,26,16,1489,16.5,4,1,5,4,0,0,0,0,3.1,3.1,0.5,3.6,16,44,57,0.24,0.06,0.30,0.24,0.30,0.19,0.03,0.22,0.19,0.22,Matches
28,Roberto Alvarado,mx MEX,"FW,MF",Guadalajara,24,1998,30,30,2643,29.4,11,6,17,6,5,5,7,0,9.4,5.4,5.9,11.3,108,188,248,0.37,0.20,0.58,0.20,0.41,0.32,0.20,0.52,0.19,0.39,Matches
29,Ventura Alvarado,us USA,DF,Mazatlán,30,1992,15,13,1140,12.7,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,22,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
30,Alek Álvarez,mx MEX,DF,Necaxa,20,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.60,0.00,0.60,Matches
31,Daniel Álvarez,mx MEX,"MF,FW",Puebla,29,1994,24,18,1329,14.8,0,2,2,0,0,0,0,0,1.9,1.9,3.2,5.1,49,47,92,0.00,0.14,0.14,0.00,0.14,0.13,0.21,0.34,0.13,0.34,Matches
32,Efrain Alvarez,mx MEX,"MF,FW",Tijuana,21,2002,18,10,948,10.5,3,5,8,3,0,0,2,0,1.6,1.6,3.1,4.7,22,34,94,0.28,0.47,0.76,0.28,0.76,0.15,0.30,0.44,0.15,0.44,Matches
33,Jaime Alvarez,mx MEX,MF,Tijuana,20,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,2.81,0.00,2.81,2.81,2.81,Matches
34,Kevin Álvarez,mx MEX,DF,América,24,1999,27,21,1954,21.7,1,4,5,1,0,0,6,1,1.6,1.6,3.8,5.4,62,74,132,0.05,0.18,0.23,0.05,0.23,0.07,0.17,0.25,0.07,0.25,Matches
35,Sergio Álvarez,mx MEX,"FW,DF",Atlas,18,2004,2,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0,2,1,0.00,0.00,0.00,0.00,0.00,0.22,0.39,0.61,0.22,0.61,Matches
36,Luis Amarilla,py PAR,FW,Mazatlán,27,1995,31,25,2120,23.6,11,1,12,11,0,0,2,2,7.3,7.3,4.8,12.1,35,42,140,0.47,0.04,0.51,0.47,0.51,0.31,0.20,0.51,0.31,0.51,Matches
37,Fidel Ambríz,mx MEX,MF,León,20,2003,19,15,1422,15.8,2,0,2,2,0,0,2,0,1.7,1.7,1.4,3.1,21,63,16,0.13,0.00,0.13,0.13,0.13,0.11,0.09,0.20,0.11,0.20,Matches
38,Bruno Amione,ar ARG,DF,Santos,21,2002,10,10,871,9.7,1,0,1,1,0,0,3,0,0.5,0.5,0.4,1.0,8,20,10,0.10,0.00,0.10,0.10,0.10,0.06,0.04,0.10,0.06,0.10,Matches
39,Esteban Andrada,ar ARG,GK,Monterrey,32,1991,32,32,2880,32.0,0,0,0,0,0,0,8,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
40,Alejandro Andrade,mx MEX,MF,Necaxa,21,2001,20,9,830,9.2,3,0,3,3,0,0,3,0,1.1,1.1,0.2,1.2,4,17,11,0.33,0.00,0.33,0.33,0.33,0.12,0.02,0.14,0.12,0.14,Matches
41,Luis Ángel Malagón,mx MEX,GK,América,26,1997,29,29,2565,28.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
42,Brayan Angulo,co COL,DF,Puebla,33,1989,32,32,2827,31.4,2,7,9,2,0,0,6,1,1.8,1.8,4.3,6.1,102,166,100,0.06,0.22,0.29,0.06,0.29,0.06,0.14,0.19,0.06,0.19,Matches
43,Jesús Angulo,mx MEX,"MF,FW",Toluca,26,1997,31,15,1545,17.2,5,2,7,5,0,0,3,0,2.5,2.5,2.7,5.2,33,135,84,0.29,0.12,0.41,0.29,0.41,0.15,0.16,0.30,0.15,0.30,Matches
44,Jesús Angulo,mx MEX,MF,León,26,1997,2,2,160,1.8,1,1,2,1,0,0,0,0,0.3,0.3,0.9,1.2,3,10,12,0.56,0.56,1.13,0.56,1.13,0.14,0.53,0.68,0.14,0.68,Matches
45,Francisco Antonio Figueroa,mx MEX,"MF,FW",Pachuca,24,1999,5,2,201,2.2,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,11,11,18,0.00,0.00,0.00,0.00,0.00,0.11,0.10,0.21,0.11,0.21,Matches
46,Francisco Antonio Figueroa,mx MEX,FW,Toluca,24,1999,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
47,José Antonio Rodríguez,mx MEX,GK,Tijuana,31,1992,28,28,2475,27.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
48,Uriel Antuna,mx MEX,"MF,FW",Cruz Azul,25,1997,31,31,2679,29.8,13,6,19,10,3,3,4,0,10.8,8.5,5.4,13.9,103,89,352,0.44,0.20,0.64,0.34,0.54,0.36,0.18,0.55,0.28,0.47,Matches
49,Javier Aquino,mx MEX,DF,UANL,33,1990,26,24,2150,23.9,0,3,3,0,0,0,1,1,0.2,0.2,3.1,3.3,47,164,144,0.00,0.13,0.13,0.00,0.13,0.01,0.13,0.14,0.01,0.14,Matches
50,Pedro Aquino,pe PER,MF,Santos,28,1995,24,20,1689,18.8,1,3,4,1,0,0,9,1,0.6,0.6,1.6,2.2,15,124,17,0.05,0.16,0.21,0.05,0.21,0.03,0.08,0.12,0.03,0.12,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Maximiliano Araújo,uy URU,"DF,FW",Toluca,23,2000,32,24,2095,23.3,3,3,6,3,0,0,5,1,3.7,3.7,4.1,7.7,83,99,214,0.13,0.13,0.26,0.13,0.26,0.16,0.17,0.33,0.16,0.33,Matches
52,Néstor Araujo,mx MEX,DF,América,31,1991,6,6,527,5.9,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.7,2,8,1,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11,Matches
53,Fernando Arce Jr.,us USA,"MF,DF",Puebla,26,1996,2,0,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
54,Fernando Arce Jr.,us USA,MF,Necaxa,26,1996,27,25,2193,24.4,2,1,3,2,0,0,10,1,1.3,1.3,0.3,1.6,7,70,14,0.08,0.04,0.12,0.08,0.12,0.05,0.01,0.06,0.05,0.06,Matches
55,Ramiro Árciga,mx MEX,"FW,MF",Mazatlán,18,2004,10,3,371,4.1,0,0,0,0,0,0,1,0,0.6,0.6,0.2,0.8,11,4,39,0.00,0.00,0.00,0.00,0.00,0.15,0.05,0.20,0.15,0.20,Matches
56,Daniel Armando Ríos,mx MEX,"FW,DF",Guadalajara,28,1995,5,0,69,0.8,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,3,0,4,0.00,0.00,0.00,0.00,0.00,0.16,0.13,0.29,0.16,0.29,Matches
57,Eduardo Armenta,mx MEX,"MF,FW",Tijuana,21,2001,27,7,846,9.4,0,1,1,0,0,0,3,0,0.4,0.4,1.1,1.6,23,47,65,0.00,0.11,0.11,0.00,0.11,0.05,0.12,0.17,0.05,0.17,Matches
58,Gerardo Arteaga,mx MEX,DF,Monterrey,24,1998,11,10,840,9.3,3,0,3,3,0,0,3,1,1.0,1.0,1.1,2.1,36,40,68,0.32,0.00,0.32,0.32,0.32,0.11,0.11,0.22,0.11,0.22,Matches
59,Víctor Arteaga,mx MEX,MF,Toluca,19,2004,6,0,70,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,8,0,0.00,0.00,0.00,0.00,0.00,0.13,0.06,0.19,0.13,0.19,Matches
60,Ali Ávila,mx MEX,"FW,MF",UNAM,19,2003,6,0,107,1.2,2,0,2,2,0,0,0,0,1.1,1.1,0.0,1.1,2,3,9,1.68,0.00,1.68,1.68,1.68,0.90,0.02,0.93,0.90,0.93,Matches
61,Ali Ávila,mx MEX,FW,Monterrey,19,2003,5,3,268,3.0,0,0,0,0,0,0,0,1,0.5,0.5,0.1,0.6,0,2,15,0.00,0.00,0.00,0.00,0.00,0.17,0.02,0.19,0.17,0.19,Matches
62,Ettson Ayon,mx MEX,FW,Querétaro,22,2001,24,11,1027,11.4,4,1,5,4,0,0,1,0,3.8,3.8,0.2,4.0,22,15,55,0.35,0.09,0.44,0.35,0.44,0.33,0.02,0.35,0.33,0.35,Matches
63,Claudio Baeza,cl CHI,MF,Toluca,29,1993,30,25,2122,23.6,1,0,1,1,0,0,11,0,0.7,0.7,1.1,1.8,21,127,21,0.04,0.00,0.04,0.04,0.04,0.03,0.05,0.08,0.03,0.08,Matches
64,Kevin Balanta,co COL,DF,Tijuana,26,1997,31,31,2654,29.5,0,0,0,0,0,0,7,1,0.9,0.9,0.4,1.3,34,124,3,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05,Matches
65,Carlos Baltazar,mx MEX,"MF,FW",Puebla,26,1997,16,7,597,6.6,1,1,2,1,0,0,1,0,0.9,0.9,0.5,1.4,14,13,43,0.15,0.15,0.30,0.15,0.30,0.13,0.08,0.21,0.13,0.21,Matches
66,Víctor Barajas,mx MEX,MF,León,20,2003,3,0,34,0.4,0,0,0,0,0,0,0,1,0.0,0.0,0.2,0.2,3,1,6,0.00,0.00,0.00,0.00,0.00,0.09,0.55,0.64,0.09,0.64,Matches
67,Miguel Barbieri,ar ARG,DF,Querétaro,29,1993,24,22,1965,21.8,0,0,0,0,0,0,12,1,1.1,1.1,0.5,1.6,2,33,2,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
68,Diego Barbosa,mx MEX,DF,Tijuana,26,1996,27,26,2192,24.4,0,2,2,0,0,0,5,0,1.3,1.3,1.7,2.9,60,74,117,0.00,0.08,0.08,0.00,0.08,0.05,0.07,0.12,0.05,0.12,Matches
69,Martín Barragán,mx MEX,FW,Puebla,32,1991,27,11,1222,13.6,0,0,0,0,0,0,3,0,4.5,4.5,0.8,5.4,7,27,57,0.00,0.00,0.00,0.00,0.00,0.33,0.06,0.40,0.33,0.40,Matches
70,Jaine Barreiro,co COL,DF,León,29,1994,22,21,1843,20.5,2,1,3,2,0,0,5,0,2.2,2.2,0.5,2.7,26,93,14,0.10,0.05,0.15,0.10,0.15,0.11,0.02,0.13,0.11,0.13,Matches
71,Pablo Barrera,mx MEX,"MF,FW",Querétaro,36,1987,34,32,2767,30.7,7,9,16,3,4,4,3,0,5.0,1.8,8.6,10.5,83,111,173,0.23,0.29,0.52,0.10,0.39,0.16,0.28,0.44,0.06,0.34,Matches
72,Sergio Barreto,ar ARG,DF,Pachuca,24,1999,30,28,2596,28.8,1,2,3,1,0,0,8,0,1.3,1.3,1.1,2.3,9,75,1,0.03,0.07,0.10,0.03,0.10,0.04,0.04,0.08,0.04,0.08,Matches
73,Abraham Bass,mx MEX,"MF,FW",Atlas,21,2001,11,4,396,4.4,0,0,0,0,0,0,4,0,0.2,0.2,0.2,0.4,1,25,5,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches
