rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,recov,won,lost,won_aerial,matches
1,Yunis Abdelhamid,ma MAR,DF,Reims,31,1987,28.0,0,0,0,21,17,0,1,47,33,0,1,0,140,85,51,62.5,Matches
2,Mehdi Abeid,dz ALG,MF,Nantes,26,1992,20.2,5,0,0,55,43,1,63,23,29,0,1,0,153,13,17,43.3,Matches
3,Charles Abi,fr FRA,FW,Saint-Étienne,19,2000,6.9,2,0,0,16,11,7,5,4,9,1,0,0,22,28,34,45.2,Matches
4,Amine Adli,ma MAR,"MF,FW",Toulouse,19,2000,0.5,1,0,0,2,0,0,4,1,0,0,0,0,3,1,1,50.0,Matches
5,Yacine Adli,fr FRA,MF,Bordeaux,19,2000,11.3,3,0,0,13,18,0,39,8,14,0,0,0,57,10,13,43.5,Matches
6,Nayef Aguerd,ma MAR,DF,Dijon,23,1996,10.6,2,0,0,13,6,0,1,18,9,0,0,0,55,43,13,76.8,Matches
7,Ruben Aguilar,fr FRA,DF,Monaco,26,1993,11.9,2,2,0,10,20,0,63,11,22,0,0,0,72,16,13,55.2,Matches
8,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,25,1994,7.0,3,1,0,11,14,1,3,15,12,0,0,0,57,10,11,47.6,Matches
9,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,23,1996,6.0,1,0,0,10,3,0,2,4,8,0,0,0,43,5,5,50.0,Matches
10,Rayan Aït-Nouri,dz ALG,DF,Angers,18,2001,14.2,3,0,0,12,12,0,43,18,22,0,0,0,99,17,6,73.9,Matches
11,Ludovic Ajorque,fr FRA,FW,Strasbourg,25,1994,22.9,3,0,0,38,21,4,13,2,10,1,1,0,43,114,78,59.4,Matches
12,Marley Aké,fr FRA,"FW,MF",Marseille,18,2001,1.1,1,0,0,3,3,0,1,1,2,0,0,0,4,0,3,0.0,Matches
13,Chadrac Akolo,cd COD,"FW,MF",Amiens,24,1995,6.0,1,0,0,9,8,2,6,5,8,0,0,0,36,4,10,28.6,Matches
14,Sofiane Alakouch,ma MAR,DF,Nîmes,21,1998,15.6,3,0,0,14,27,1,29,23,26,0,1,1,74,10,16,38.5,Matches
15,Haitam Aleesami,no NOR,DF,Amiens,28,1991,21.3,4,0,0,31,9,1,44,34,16,0,0,0,117,39,19,67.2,Matches
16,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,24,1995,10.0,0,0,0,0,2,0,0,0,0,0,0,0,9,6,0,100.0,Matches
17,Rachid Alioui,ma MAR,FW,Angers,27,1992,17.4,1,0,0,24,34,5,15,2,5,0,0,0,40,43,63,40.6,Matches
18,Mickaël Alphonse,gp GLP,DF,Dijon,30,1989,15.3,2,0,0,16,13,1,31,17,25,0,0,1,70,36,10,78.3,Matches
19,Romain Amalfitano,fr FRA,MF,Dijon,29,1989,18.8,5,0,0,26,43,0,25,36,27,0,0,0,107,8,14,36.4,Matches
