rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
1,Yunis Abdelhamid,ma MAR,DF,Reims,31,1987,28.0,1323,1570,84.3,27406,10308,370,420,762,854,185,269,0,1.2,0.3,-1.2,5,53,1,0,96,Matches
2,Mehdi Abeid,dz ALG,MF,Nantes,26,1992,20.2,792,967,81.9,12997,3634,392,426,313,354,59,128,2,1.8,1.7,+0.2,27,80,6,2,104,Matches
3,Charles Abi,fr FRA,FW,Saint-Étienne,19,2000,6.9,75,132,56.8,932,234,46,75,16,29,4,6,0,1.2,0.8,-1.2,7,3,4,1,10,Matches
4,Amine Adli,ma MAR,"MF,FW",Toulouse,19,2000,0.5,20,26,76.9,297,105,11,12,6,7,2,6,0,0.1,0.0,-0.1,2,3,1,0,3,Matches
5,Yacine Adli,fr FRA,MF,Bordeaux,19,2000,11.3,448,571,78.5,7437,1845,225,256,165,202,44,76,3,2.2,1.4,+0.8,19,51,5,0,65,Matches
6,Nayef Aguerd,ma MAR,DF,Dijon,23,1996,10.6,492,597,82.4,10780,4411,160,171,239,269,90,143,0,0.0,0.0,0.0,0,23,0,0,27,Matches
7,Ruben Aguilar,fr FRA,DF,Monaco,26,1993,11.9,662,787,84.1,9674,3464,399,422,212,251,31,69,2,1.8,1.9,+0.2,18,40,28,15,52,Matches
8,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,25,1994,7.0,260,310,83.9,4185,848,122,142,114,122,14,29,1,0.5,0.1,+0.5,5,17,0,0,34,Matches
9,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,23,1996,6.0,350,406,86.2,5419,1636,190,206,130,143,19,32,1,0.1,0.4,+0.9,4,36,3,0,47,Matches
10,Rayan Aït-Nouri,dz ALG,DF,Angers,18,2001,14.2,618,808,76.5,9226,4114,321,354,220,286,43,98,2,0.7,0.9,+1.3,9,34,17,13,56,Matches
11,Ludovic Ajorque,fr FRA,FW,Strasbourg,25,1994,22.9,354,516,68.6,4923,707,186,263,109,151,24,38,4,2.8,2.2,+1.2,16,15,13,3,30,Matches
12,Marley Aké,fr FRA,"FW,MF",Marseille,18,2001,1.1,25,28,89.3,365,49,12,13,8,10,2,2,0,0.0,0.0,0.0,0,1,0,0,4,Matches
13,Chadrac Akolo,cd COD,"FW,MF",Amiens,24,1995,6.0,169,209,80.9,2319,664,104,116,55,69,5,10,1,1.3,0.8,-0.3,6,17,3,0,26,Matches
14,Sofiane Alakouch,ma MAR,DF,Nîmes,21,1998,15.6,648,798,81.2,10366,4185,342,376,260,305,40,79,0,0.4,0.5,-0.4,11,46,13,7,78,Matches
15,Haitam Aleesami,no NOR,DF,Amiens,28,1991,21.3,906,1195,75.8,13402,5815,523,597,316,445,38,90,1,1.2,1.3,-0.2,14,75,10,4,120,Matches
16,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,24,1995,10.0,247,330,74.8,7054,5535,38,39,128,131,81,159,0,0.0,0.0,0.0,0,1,0,0,0,Matches
17,Rachid Alioui,ma MAR,FW,Angers,27,1992,17.4,345,476,72.5,4559,643,199,254,100,134,14,25,1,1.3,1.5,-0.3,18,19,9,2,35,Matches
18,Mickaël Alphonse,gp GLP,DF,Dijon,30,1989,15.3,491,736,66.7,8754,3141,209,251,223,307,51,131,1,0.7,0.8,+0.3,8,32,12,6,44,Matches
19,Romain Amalfitano,fr FRA,MF,Dijon,29,1989,18.8,702,898,78.2,12960,4364,304,345,304,368,84,152,1,1.2,1.3,-0.2,12,73,14,4,94,Matches
20,Jordan Amavi,fr FRA,DF,Marseille,25,1994,24.0,974,1236,78.8,15492,5254,495,569,361,460,80,126,1,1.0,1.1,0.0,12,42,11,4,72,Matches
21,Thierry Ambrose,gp GLP,FW,Metz,22,1997,6.1,136,191,71.2,2185,633,69,87,51,62,11,22,0,0.5,0.6,-0.5,12,16,7,2,23,Matches
