rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
1,Yunis Abdelhamid,ma MAR,DF,Reims,31,1987,28.0,3,19,5,26.3,0.68,0.18,0.16,0.60,13.3,0,0,0,1.7,1.7,0.09,+1.3,+1.3,Matches
2,Mehdi Abeid,dz ALG,MF,Nantes,26,1992,20.2,1,33,7,21.2,1.63,0.35,0.03,0.14,25.1,3,0,0,1.5,1.5,0.04,-0.5,-0.5,Matches
3,Charles Abi,fr FRA,FW,Saint-Étienne,19,2000,6.9,0,5,0,0.0,0.72,0.00,0.00,,16.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
4,Amine Adli,ma MAR,"MF,FW",Toulouse,19,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
5,Yacine Adli,fr FRA,MF,Bordeaux,19,2000,11.3,3,17,6,35.3,1.50,0.53,0.18,0.50,23.8,1,0,0,0.8,0.8,0.04,+2.2,+2.2,Matches
6,Nayef Aguerd,ma MAR,DF,Dijon,23,1996,10.6,1,4,1,25.0,0.38,0.09,0.25,1.00,22.0,1,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches
7,Ruben Aguilar,fr FRA,DF,Monaco,26,1993,11.9,0,6,2,33.3,0.50,0.17,0.00,0.00,22.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
8,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,25,1994,7.0,1,10,4,40.0,1.43,0.57,0.10,0.25,17.7,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches
9,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,23,1996,6.0,0,2,0,0.0,0.34,0.00,0.00,,30.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
10,Rayan Aït-Nouri,dz ALG,DF,Angers,18,2001,14.2,0,4,0,0.0,0.28,0.00,0.00,,17.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
11,Ludovic Ajorque,fr FRA,FW,Strasbourg,25,1994,22.9,8,49,21,42.9,2.14,0.92,0.14,0.33,13.4,0,1,1,7.2,6.4,0.13,+0.8,+0.6,Matches
12,Marley Aké,fr FRA,"FW,MF",Marseille,18,2001,1.1,0,3,0,0.0,2.73,0.00,0.00,,24.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
13,Chadrac Akolo,cd COD,"FW,MF",Amiens,24,1995,6.0,2,9,4,44.4,1.49,0.66,0.22,0.50,19.1,0,0,0,1.1,1.1,0.13,+0.9,+0.9,Matches
14,Sofiane Alakouch,ma MAR,DF,Nîmes,21,1998,15.6,0,9,4,44.4,0.58,0.26,0.00,0.00,21.8,0,0,0,0.9,0.9,0.10,-0.9,-0.9,Matches
15,Haitam Aleesami,no NOR,DF,Amiens,28,1991,21.3,1,2,1,50.0,0.09,0.05,0.50,1.00,12.6,0,0,0,0.4,0.4,0.18,+0.6,+0.6,Matches
16,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,24,1995,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
17,Rachid Alioui,ma MAR,FW,Angers,27,1992,17.4,6,58,22,37.9,3.34,1.27,0.10,0.27,20.7,11,0,0,5.2,5.2,0.09,+0.8,+0.8,Matches
18,Mickaël Alphonse,gp GLP,DF,Dijon,30,1989,15.3,0,6,0,0.0,0.39,0.00,0.00,,23.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
19,Romain Amalfitano,fr FRA,MF,Dijon,29,1989,18.8,1,11,2,18.2,0.58,0.11,0.09,0.50,26.4,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
