rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
1,Ismael Aaneba,fr FRA,DF,Strasbourg,21,1999,0.1,3,1,3,0,0,0,3,0,0,,0,,1,3,1,0,0,0,0,0,1,0,Matches
2,Yunis Abdelhamid,ma MAR,DF,Reims,32,1987,32.1,2103,230,1160,920,38,23,2103,16,7,43.8,9,56.3,1255,6240,3618,18,5,1,14,12,1354,3,Matches
3,Mehdi Abeid,dz ALG,MF,Nantes,27,1992,14.7,852,23,184,541,149,10,852,27,19,70.4,8,29.6,532,2865,1352,32,23,3,23,10,561,16,Matches
4,Laurent Abergel,fr FRA,MF,Lorient,27,1993,32.9,1940,31,486,1210,280,12,1940,37,29,78.4,8,21.6,1075,4705,2140,32,32,4,53,44,1289,35,Matches
5,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,20,2000,10.1,320,9,38,138,146,36,320,24,12,50.0,12,50.0,166,1056,424,13,15,2,33,20,242,48,Matches
6,Matthis Abline,fr FRA,FW,Rennes,17,2003,0.0,1,0,0,0,1,0,1,1,1,100.0,0,0.0,1,0,0,0,0,0,0,0,1,0,Matches
7,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,24,1995,14.0,858,115,504,335,22,16,858,4,2,50.0,2,50.0,440,2357,1307,2,2,1,9,0,463,1,Matches
8,Yacine Adli,fr FRA,MF,Bordeaux,20,2000,26.9,1920,40,348,1217,390,25,1920,79,50,63.3,29,36.7,1179,5988,3121,54,50,10,42,41,1422,48,Matches
9,Nayef Aguerd,ma MAR,DF,Rennes,24,1996,35.0,3016,241,1281,1679,75,38,3016,11,9,81.8,2,18.2,1885,7924,4548,14,16,1,11,10,2257,2,Matches
10,Ruben Aguilar,fr FRA,"DF,MF",Monaco,27,1993,24.7,1876,53,371,890,633,58,1876,29,12,41.4,17,58.6,944,5100,2717,74,52,4,40,14,1171,231,Matches
11,Matteo Ahlinvi,bj BEN,MF,Nîmes,21,1999,10.0,450,13,95,286,80,12,450,29,19,65.5,10,34.5,303,2040,1166,31,14,3,26,16,302,17,Matches
12,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,26,1994,23.8,1105,45,239,692,200,22,1105,33,26,78.8,7,21.2,569,2891,1414,26,20,2,41,20,664,25,Matches
13,Jean-Eudes Aholou,ci CIV,MF,Monaco,26,1994,0.4,15,1,6,6,3,2,15,0,0,,0,,6,38,19,1,0,0,0,0,10,0,Matches
14,Rayan Aït-Nouri,dz ALG,DF,Angers,19,2001,2.1,167,3,31,103,37,4,167,9,8,88.9,1,11.1,98,507,283,7,5,2,5,3,125,18,Matches
15,Ludovic Ajorque,fr FRA,FW,Strasbourg,26,1994,33.0,1251,62,122,597,539,159,1246,23,10,43.5,13,56.5,611,2404,953,33,25,15,74,31,940,224,Matches
16,Marley Aké,fr FRA,FW,Marseille,19,2001,1.6,56,2,8,24,25,7,56,8,4,50.0,4,50.0,35,258,98,4,2,0,4,5,43,12,Matches
17,Sofiane Alakouch,ma MAR,DF,Nîmes,22,1998,16.7,1127,46,376,530,228,9,1127,36,18,50.0,18,50.0,545,2292,1350,35,22,4,26,17,605,47,Matches
18,Mohamed Ali Cho,fr FRA,"FW,MF",Angers,16,2004,3.9,173,0,13,66,98,16,173,11,5,45.5,6,54.5,114,750,382,15,10,2,16,12,121,26,Matches
19,Rachid Alioui,ma MAR,FW,Angers,28,1992,0.2,11,0,3,3,5,2,11,0,0,,0,,6,5,0,0,0,0,1,1,9,1,Matches
20,Saturnin Allagbé,bj BEN,GK,Dijon,26,1993,12.0,443,395,443,0,0,0,443,1,1,100.0,0,0.0,228,866,497,0,0,0,1,0,170,0,Matches
21,Ibrahim Amadou,fr FRA,MF,Angers,27,1993,16.7,837,34,208,549,87,12,837,15,10,66.7,5,33.3,477,1929,898,14,9,3,14,17,534,14,Matches
22,Romain Amalfitano,fr FRA,"FW,DF",Dijon,30,1989,1.3,68,3,12,36,21,0,68,1,0,0.0,1,100.0,51,284,159,3,2,0,1,2,48,8,Matches
23,Jordan Amavi,fr FRA,DF,Marseille,26,1994,9.0,569,36,205,260,112,8,569,20,12,60.0,8,40.0,275,1532,676,17,19,2,13,9,300,33,Matches
24,Thierry Ambrose,gp GLP,FW,Metz,23,1997,8.4,336,5,13,164,164,35,336,31,18,58.1,13,41.9,223,1444,580,26,17,9,33,26,277,77,Matches
25,Joachim Andersen,dk DEN,DF,Lyon,24,1996,2.1,138,14,78,51,9,2,138,2,1,50.0,1,50.0,86,445,259,4,1,0,2,2,93,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
26,Benjamin André,fr FRA,MF,Lille,29,1990,32.1,2442,78,462,1614,392,39,2442,44,29,65.9,15,34.1,1374,5783,2712,28,43,3,40,40,1629,64,Matches
27,Victorien Angban,ci CIV,MF,Metz,23,1996,18.6,1026,20,193,662,179,10,1026,31,21,67.7,10,32.3,648,3001,1393,20,18,1,23,30,713,30,Matches
28,Houssem Aouar,dz ALG,"MF,FW",Lyon,22,1998,19.8,1248,8,78,654,535,119,1246,81,46,56.8,35,43.2,840,4632,2483,74,54,33,54,34,1021,172,Matches
29,Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,18,2002,19.2,1046,11,126,530,406,48,1046,61,34,55.7,27,44.3,619,3823,1947,56,29,14,61,27,701,92,Matches
30,Dennis Appiah,fr FRA,DF,Nantes,28,1992,17.3,1060,51,345,465,257,12,1060,20,12,60.0,8,40.0,470,2285,1196,34,29,3,19,17,514,80,Matches
31,Luiz Araújo,br BRA,MF,Lille,24,1996,16.6,854,11,80,387,410,46,854,84,49,58.3,35,41.7,523,3692,1694,50,47,13,37,27,601,135,Matches
32,Karim Aribi,dz ALG,FW,Nîmes,26,1994,3.3,110,3,13,54,47,12,110,8,3,37.5,5,62.5,45,272,114,4,3,2,13,3,72,19,Matches
33,Roger Assalé,ci CIV,"FW,MF",Dijon,26,1993,9.2,274,2,31,125,121,27,274,23,10,43.5,13,56.5,203,1247,556,22,14,9,30,19,220,58,Matches
34,Youcef Atal,dz ALG,"DF,FW",Nice,24,1996,10.6,790,26,192,367,243,22,790,36,20,55.6,16,44.4,481,2861,1563,43,29,11,39,13,515,95,Matches
