rk,player,nation,pos,squad,age,born,90s,att,live,dead,fk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,matches
1,Yunis Abdelhamid,ma MAR,DF,Reims,33,1987,33.1,1578,1471,101,89,0,32,4,9,0,0,0,0,1284,6,26,Matches
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,21,2000,27.4,1701,1678,21,17,1,3,14,4,0,0,0,0,1535,2,29,Matches
3,Laurent Abergel,fr FRA,MF,Lorient,28,1993,32.8,1660,1617,35,25,7,21,37,8,2,0,1,0,1342,8,49,Matches
4,Charles Abi,fr FRA,FW,Saint-Étienne,21,2000,0.5,7,7,0,0,0,0,1,0,0,0,0,0,3,0,0,Matches
5,Matthis Abline,fr FRA,FW,Rennes,18,2003,1.1,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches
6,Mohamed Achi,fr FRA,MF,Nantes,19,2002,0.1,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
7,Martin Adeline,fr FRA,"MF,FW",Reims,17,2003,3.9,147,138,8,4,0,0,11,0,4,0,4,0,107,1,12,Matches
8,Yacine Adli,fr FRA,"MF,FW",Bordeaux,21,2000,25.1,1251,1105,138,48,11,30,114,12,68,38,17,1,906,8,25,Matches
9,Lucien Agoume,fr FRA,MF,Brest,19,2002,20.8,996,955,38,30,0,10,5,0,1,0,1,0,836,3,20,Matches
10,Nayef Aguerd,ma MAR,DF,Rennes,25,1996,30.4,2204,2127,74,69,2,41,1,5,0,0,0,0,1959,3,12,Matches
11,Ruben Aguilar,fr FRA,DF,Monaco,28,1993,23.8,1728,1445,277,34,4,16,64,242,1,0,1,0,1435,6,27,Matches
12,Anel Ahmedhodžić,ba BIH,DF,Bordeaux,22,1999,15.0,858,826,31,23,0,7,6,8,0,0,0,0,766,1,3,Matches
13,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,27,1994,11.2,412,404,8,8,1,2,6,0,0,0,0,0,339,0,11,Matches
14,Ludovic Ajorque,fr FRA,FW,Strasbourg,27,1994,30.4,906,880,24,1,5,10,17,2,0,0,0,0,653,2,16,Matches
15,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,19,2002,0.6,22,22,0,0,0,0,1,0,0,0,0,0,20,0,0,Matches
16,Sofiane Alakouch,ma MAR,"DF,MF",Metz,23,1998,1.8,103,90,13,1,0,1,2,12,0,0,0,0,83,0,7,Matches
17,Josué Albert,gf GUF,DF,Clermont Foot,29,1992,0.2,6,5,1,0,0,0,0,1,0,0,0,0,5,0,0,Matches
18,Doğan Alemdar,tr TUR,GK,Rennes,18,2002,12.0,391,293,98,28,0,1,0,0,0,0,0,0,287,0,0,Matches
19,Mohamed Ali Cho,fr FRA,FW,Angers,17,2004,20.4,314,304,9,2,1,0,23,3,0,0,0,0,220,1,12,Matches
20,Jim Allevinah,ga GAB,FW,Clermont Foot,26,1995,16.5,545,524,16,3,1,5,34,4,9,5,1,0,416,5,18,Matches
21,Ibrahim Amadou,fr FRA,"DF,MF",Metz,28,1993,9.0,439,430,9,9,0,5,0,0,0,0,0,0,384,0,2,Matches
22,Jordan Amavi,fr FRA,DF,Nice,27,1994,4.6,319,272,46,4,0,2,6,42,0,0,0,0,269,1,5,Matches
23,Jordan Amavi,fr FRA,"DF,FW",Marseille,27,1994,1.4,86,69,17,2,0,2,2,15,0,0,0,0,74,0,1,Matches
24,Benjamin André,fr FRA,MF,Lille,30,1990,30.6,1766,1705,55,44,4,19,19,11,0,0,0,0,1404,6,33,Matches
25,Houssem Aouar,dz ALG,"MF,FW",Lyon,23,1998,27.8,1446,1379,64,23,13,10,21,15,10,6,0,0,1243,3,29,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
26,Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,19,2002,12.0,614,550,61,18,1,18,68,3,38,14,14,0,457,3,14,Matches
27,Dennis Appiah,fr FRA,DF,Nantes,29,1992,23.3,1001,856,141,10,1,0,38,131,0,0,0,0,756,4,18,Matches
28,Lorenz Assignon,tg TOG,DF,Rennes,21,2000,6.8,383,300,81,4,0,0,21,77,0,0,0,0,306,2,13,Matches
29,Youcef Atal,dz ALG,DF,Nice,25,1996,12.7,738,617,120,8,4,2,54,111,1,0,0,0,556,1,17,Matches
30,Jean-Kévin Augustin,fr FRA,"FW,MF",Nantes,24,1997,0.9,14,12,2,0,0,0,0,0,0,0,0,0,11,0,0,Matches
31,Karim Azamoum,fr FRA,DF,Troyes,31,1990,4.3,148,139,9,2,0,0,1,7,0,0,0,0,102,0,5,Matches
32,Loïc Bade,fr FRA,DF,Rennes,21,2000,10.9,729,718,10,8,0,4,2,2,0,0,0,0,655,1,1,Matches
33,Benoît Badiashile,fr FRA,DF,Monaco,20,2001,20.4,1380,1352,27,24,1,15,1,3,0,0,0,0,1212,1,8,Matches
