rk,player,nation,pos,squad,age,born,90s,ga,pka,fk,ck,og,psxg,psxg_sot,psxg_exp,90,cmp,att,cmp_launch,att_gk,thr,launch,avglen,att_goal_k,launch_goal_k,avglen_goal_k,opp,stp,stp_crosse,opa,opa_90,avgdist,matches
1,Dimitry Bertaud,cd COD,GK,Montpellier,26,1998,4.0,11,2,0,0,0,8.8,0.35,-2.2,-0.54,20,47,42.6,86,19,38.4,34.5,27,51.9,43.6,55,8,14.5,3,0.75,13.3,Matches
2,Marco Bizot,nl NED,GK,Brest,33,1991,32.0,54,8,1,4,1,46.2,0.31,-6.8,-0.21,218,522,41.8,902,134,42.0,36.0,216,66.2,49.2,459,33,7.2,53,1.66,16.2,Matches
3,Marcin Bułka,pl POL,GK,Nice,24,1999,34.0,41,2,0,4,1,43.0,0.26,+3.0,+0.09,112,272,41.2,948,173,22.8,28.6,162,34.6,32.3,470,39,8.3,33,0.97,12.8,Matches
4,Patrik Carlgren,se SWE,GK,Nantes,32,1992,4.6,7,0,0,1,0,8.5,0.30,+1.5,+0.31,22,63,34.9,99,27,36.4,34.4,37,73.0,48.6,80,1,1.3,1,0.22,10.9,Matches
5,Lucas Chevalier,fr FRA,GK,Lille,22,2001,34.0,36,4,0,6,1,42.2,0.32,+7.2,+0.21,112,288,38.9,968,144,25.7,29.6,112,34.8,35.7,373,21,5.6,24,0.71,13.9,Matches
6,Grégoire Coudert,fr FRA,GK,Brest,25,1999,2.0,5,0,0,1,1,2.8,0.22,-1.2,-0.60,6,20,30.0,60,7,28.3,31.4,8,37.5,36.5,30,1,3.3,3,1.50,18.5,Matches
7,Théo De Percin,mq MTQ,GK,Auxerre,23,2001,2.0,3,1,0,0,0,3.5,0.22,+0.5,+0.23,8,31,25.8,46,5,45.7,40.3,12,83.3,55.3,38,3,7.9,3,1.50,13.1,Matches
8,Rémy Descamps,fr FRA,GK,Lyon,28,1996,1.0,2,0,0,0,0,1.4,0.23,-0.6,-0.62,1,4,25.0,28,2,14.3,27.5,2,0.0,16.0,7,0,0.0,0,0.00,7.0,Matches
9,Arthur Desmas,fr FRA,GK,Le Havre,30,1994,18.0,38,2,1,4,0,38.7,0.40,+0.7,+0.04,56,151,37.1,404,72,28.5,30.9,117,30.8,29.6,277,12,4.3,7,0.39,11.9,Matches
10,Yehvann Diouf,sn SEN,GK,Reims,24,1999,34.0,47,4,1,8,0,61.6,0.33,+14.6,+0.43,154,477,32.3,993,153,34.4,33.3,220,61.4,45.0,554,31,5.6,42,1.24,14.6,Matches
11,Álex Domínguez,es ESP,GK,Toulouse,26,1998,0.2,0,0,0,0,0,0.0,,0.0,0.00,2,5,40.0,8,1,25.0,30.0,3,100.0,69.3,7,0,0.0,0,0.00,,Matches
12,Gianluigi Donnarumma,it ITA,GK,Paris S-G,25,1999,23.2,25,1,1,4,0,21.7,0.29,-3.3,-0.14,35,101,34.7,543,90,13.6,25.1,89,30.3,28.2,199,10,5.0,19,0.82,14.4,Matches
13,Yahia Fofana,ci CIV,GK,Angers,23,2000,33.0,51,3,0,7,0,63.5,0.34,+12.5,+0.38,144,435,33.1,751,180,38.6,35.8,261,55.6,43.6,531,48,9.0,20,0.61,10.7,Matches
14,Gauthier Gallon,fr FRA,GK,Rennes,31,1993,0.5,0,0,0,0,0,0.0,,0.0,0.00,0,3,0.0,15,2,13.3,23.8,4,25.0,26.3,2,0,0.0,1,2.00,28.0,Matches
15,Mathieu Gorgelin,fr FRA,GK,Le Havre,33,1990,16.0,33,3,0,4,1,34.2,0.40,+2.2,+0.14,79,183,43.2,435,75,32.9,32.4,99,40.4,34.6,269,21,7.8,8,0.50,10.5,Matches
16,Kjetil Haug,no NOR,GK,Toulouse,26,1998,5.5,7,0,0,2,0,6.6,0.45,-0.4,-0.06,16,60,26.7,95,13,37.9,34.1,35,68.6,49.1,72,5,6.9,3,0.54,12.1,Matches
17,Karl-Johan Johnsson,se SWE,GK,Strasbourg,34,1990,3.0,6,1,0,0,0,6.7,0.26,+0.7,+0.22,6,22,27.3,122,21,15.6,23.9,7,42.9,39.7,48,2,4.2,3,1.00,11.1,Matches
18,Hervé Koffi,bf BFA,GK,Lens,27,1996,5.0,8,2,0,1,0,11.1,0.38,+3.1,+0.61,14,42,33.3,115,22,29.6,33.2,19,42.1,36.4,53,4,7.5,2,0.40,9.4,Matches
19,Philipp Köhn,ch SUI,GK,Monaco,26,1998,19.0,19,1,0,2,0,17.2,0.26,-1.8,-0.10,50,157,31.8,447,70,25.7,29.9,99,42.4,38.1,225,16,7.1,20,1.05,14.8,Matches
20,Alban Lafont,ci CIV,GK,Nantes,25,1999,12.0,19,3,0,2,2,16.8,0.30,-0.2,-0.02,40,143,28.0,309,56,34.0,34.9,57,66.7,51.1,200,16,8.0,6,0.50,10.6,Matches
21,Gautier Larsonneur,fr FRA,GK,Saint-Étienne,27,1997,34.0,77,13,0,4,2,73.5,0.30,-1.5,-0.04,131,486,27.0,978,145,38.8,34.7,205,52.2,40.5,510,24,4.7,33,1.00,14.0,Matches
22,Benjamin Lecomte,fr FRA,GK,Montpellier,33,1991,30.0,68,6,0,5,3,57.3,0.31,-5.7,-0.20,177,449,39.4,814,115,42.5,36.2,184,56.0,42.4,408,20,4.9,26,0.90,14.3,Matches
23,Donovan Léon,gf GUF,GK,Auxerre,31,1992,32.0,48,5,0,7,3,55.8,0.32,+10.8,+0.34,213,649,32.8,935,173,53.0,42.0,195,78.5,56.4,518,28,5.4,39,1.22,14.6,Matches
24,Anthony Lopes,pt POR,GK,Nantes,33,1990,17.4,26,4,0,1,1,25.6,0.32,+0.6,+0.03,89,257,34.6,451,56,40.4,35.8,96,78.1,49.4,308,16,5.2,8,0.46,11.0,Matches
25,Radosław Majecki,pl POL,GK,Monaco,24,1999,15.0,22,2,1,1,0,21.1,0.31,-0.9,-0.06,27,112,24.1,320,76,26.6,30.5,87,31.0,32.8,154,14,9.1,18,1.20,14.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
26,Steve Mandanda,fr FRA,GK,Rennes,39,1985,16.5,23,2,0,2,2,17.0,0.29,-4.0,-0.24,61,180,33.9,426,66,33.6,32.7,73,50.7,41.6,175,7,4.0,21,1.27,15.7,Matches
27,Lucas Perri,br BRA,GK,Lyon,26,1997,33.0,44,3,1,6,0,47.8,0.29,+3.8,+0.12,101,310,32.6,884,183,28.1,30.5,152,40.8,37.6,415,26,6.3,29,0.88,13.5,Matches
28,Đorđe Petrović,rs SRB,GK,Strasbourg,24,1999,31.0,38,7,0,3,2,45.9,0.27,+9.9,+0.32,117,361,32.4,1438,127,20.9,27.4,107,56.1,45.6,491,41,8.4,47,1.52,15.2,Matches
29,Guillaume Restes,fr FRA,GK,Toulouse,19,2005,28.3,36,1,1,3,3,27.9,0.29,-5.1,-0.18,80,286,28.0,675,83,30.8,30.3,135,57.8,42.8,360,5,1.4,34,1.20,16.9,Matches
30,Gerónimo Rulli,ar ARG,GK,Marseille,32,1992,34.0,47,3,1,4,2,47.5,0.33,+2.5,+0.07,92,202,45.5,1097,133,15.0,24.4,105,35.2,32.7,309,28,9.1,59,1.74,18.3,Matches
31,Mathew Ryan,au AUS,GK,Lens,32,1992,14.0,17,2,0,0,0,19.5,0.28,+2.5,+0.18,46,135,34.1,342,79,31.3,32.3,66,42.4,35.3,176,20,11.4,10,0.71,11.6,Matches
