rk,player,nation,pos,squad,age,born,mp,starts,min,90s,ga,ga90,sota,saves,save,w,d,l,cs,cs_perf,pkatt,pka,pksv,pkm,save_penalt,matches
1,Dimitry Bertaud,cd COD,GK,Montpellier,26,1998,4,4,360,4.0,11,2.75,21,10,57.1,1,0,3,0,0.0,2,2,0,0,0.0,Matches
2,Marco Bizot,nl NED,GK,Brest,33,1991,32,32,2880,32.0,54,1.69,128,74,64.1,14,5,13,10,31.3,10,8,1,1,11.1,Matches
3,Marcin Bułka,pl POL,GK,Nice,24,1999,34,34,3060,34.0,41,1.21,161,120,75.8,17,9,8,8,23.5,3,2,1,0,33.3,Matches
4,Patrik Carlgren,se SWE,GK,Nantes,32,1992,5,4,417,4.6,7,1.51,28,21,75.0,1,2,1,1,25.0,0,0,0,0,,Matches
5,Lucas Chevalier,fr FRA,GK,Lille,22,2001,34,34,3060,34.0,36,1.06,126,91,74.6,17,9,8,11,32.4,4,4,0,0,0.0,Matches
6,Grégoire Coudert,fr FRA,GK,Brest,25,1999,2,2,180,2.0,5,2.50,13,9,61.5,1,0,1,0,0.0,0,0,0,0,,Matches
7,Théo De Percin,mq MTQ,GK,Auxerre,23,2001,2,2,180,2.0,3,1.50,9,5,77.8,0,1,1,1,50.0,2,1,1,0,50.0,Matches
8,Rémy Descamps,fr FRA,GK,Lyon,28,1996,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
9,Arthur Desmas,fr FRA,GK,Le Havre,30,1994,18,18,1620,18.0,38,2.11,93,54,61.3,5,0,13,3,16.7,3,2,1,0,33.3,Matches
10,Yehvann Diouf,sn SEN,GK,Reims,24,1999,34,34,3060,34.0,47,1.38,179,131,76.0,8,9,17,7,20.6,5,4,1,0,20.0,Matches
11,Álex Domínguez,es ESP,GK,Toulouse,26,1998,1,0,19,0.2,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches
12,Gianluigi Donnarumma,it ITA,GK,Paris S-G,25,1999,24,24,2091,23.2,25,1.08,74,49,67.6,18,5,1,4,16.7,1,1,0,0,0.0,Matches
13,Yahia Fofana,ci CIV,GK,Angers,23,2000,33,33,2970,33.0,51,1.55,186,135,74.2,10,6,17,7,21.2,4,3,0,1,0.0,Matches
14,Gauthier Gallon,fr FRA,GK,Rennes,31,1993,1,0,45,0.5,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches
15,Mathieu Gorgelin,fr FRA,GK,Le Havre,33,1990,16,16,1440,16.0,33,2.06,82,50,63.4,5,4,7,1,6.3,3,3,0,0,0.0,Matches
16,Kjetil Haug,no NOR,GK,Toulouse,26,1998,6,5,498,5.5,7,1.27,16,9,56.3,2,2,1,1,20.0,0,0,0,0,,Matches
17,Karl-Johan Johnsson,se SWE,GK,Strasbourg,34,1990,3,3,270,3.0,6,2.00,22,16,77.3,1,1,1,0,0.0,1,1,0,0,0.0,Matches
18,Hervé Koffi,bf BFA,GK,Lens,27,1996,5,5,450,5.0,8,1.60,26,18,76.9,1,0,4,0,0.0,2,2,0,0,0.0,Matches
19,Philipp Köhn,ch SUI,GK,Monaco,26,1998,19,19,1710,19.0,19,1.00,63,44,71.4,11,5,3,8,42.1,1,1,0,0,0.0,Matches
20,Alban Lafont,ci CIV,GK,Nantes,25,1999,12,12,1080,12.0,19,1.58,49,32,67.3,2,4,6,2,16.7,3,3,0,0,0.0,Matches
21,Gautier Larsonneur,fr FRA,GK,Saint-Étienne,27,1997,34,34,3060,34.0,77,2.26,209,132,69.4,8,6,20,5,14.7,15,13,2,0,13.3,Matches
22,Benjamin Lecomte,fr FRA,GK,Montpellier,33,1991,30,30,2700,30.0,68,2.27,173,107,64.2,3,4,23,1,3.3,7,6,1,0,14.3,Matches
23,Donovan Léon,gf GUF,GK,Auxerre,31,1992,32,32,2880,32.0,48,1.50,164,118,73.8,11,8,13,9,28.1,6,5,1,0,16.7,Matches
24,Anthony Lopes,pt POR,GK,Nantes,33,1990,18,18,1563,17.4,26,1.50,71,46,69.0,5,6,7,3,16.7,5,4,0,1,0.0,Matches
25,Radosław Majecki,pl POL,GK,Monaco,24,1999,15,15,1350,15.0,22,1.47,65,43,69.2,7,2,6,3,20.0,2,2,0,0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Steve Mandanda,fr FRA,GK,Rennes,39,1985,18,17,1486,16.5,23,1.39,51,29,58.8,6,2,9,6,35.3,3,2,1,0,33.3,Matches
27,Lucas Perri,br BRA,GK,Lyon,26,1997,33,33,2970,33.0,44,1.33,160,116,74.4,17,6,10,10,30.3,3,3,0,0,0.0,Matches
28,Đorđe Petrović,rs SRB,GK,Strasbourg,24,1999,31,31,2790,31.0,38,1.23,147,110,78.9,15,8,8,10,32.3,8,7,1,0,12.5,Matches
29,Guillaume Restes,fr FRA,GK,Toulouse,19,2005,29,29,2543,28.3,36,1.27,92,58,62.0,9,7,13,8,27.6,2,1,1,0,50.0,Matches
30,Gerónimo Rulli,ar ARG,GK,Marseille,32,1992,34,34,3060,34.0,47,1.38,135,87,67.4,20,5,9,5,14.7,6,3,3,0,50.0,Matches
31,Mathew Ryan,au AUS,GK,Lens,32,1992,14,14,1260,14.0,17,1.21,62,44,75.8,8,1,5,6,42.9,3,2,1,0,33.3,Matches
32,Matvei Safonov,ru RUS,GK,Paris S-G,25,1999,10,9,879,9.8,9,0.92,25,17,72.0,7,1,1,3,33.3,2,2,0,0,0.0,Matches
33,Brice Samba,fr FRA,GK,Rennes,30,1994,17,17,1529,17.0,27,1.59,87,58,70.1,7,0,10,5,29.4,3,1,2,0,66.7,Matches
34,Brice Samba,fr FRA,GK,Lens,30,1994,15,15,1350,15.0,14,0.93,54,40,81.5,6,6,3,7,46.7,4,4,0,0,0.0,Matches
35,Arnau Tenas,es ESP,GK,Paris S-G,23,2001,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,,Matches
36,Melvin Zinga,fr FRA,GK,Angers,22,2002,1,1,90,1.0,2,2.00,4,2,75.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
