rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
1,Brenden Aaronson,us USA,MF,Philadelphia Union,19,2000,21.2,32,16,15,9,8,12,44,32,40,4,36,9,41,9,0,Matches
2,Saad Abdul-Salaam,us USA,DF,FC Cincinnati,28,1991,4.7,8,5,5,3,0,2,7,5,8,1,7,6,14,13,0,Matches
3,Mohammed Abu,gh GHA,MF,D.C. United,28,1991,3.7,6,5,6,0,0,3,6,3,8,1,7,13,19,5,0,Matches
4,Lalas Abubakar,gh GHA,DF,Colorado Rapids,25,1994,16.8,26,17,17,9,0,11,17,6,29,24,5,26,52,80,0,Matches
5,David Accam,gh GHA,"FW,MF",Nashville SC,29,1990,2.3,1,0,1,0,0,1,5,4,2,0,2,1,2,1,0,Matches
6,Nicolás Acevedo,uy URU,MF,NYCFC,20,1999,1.5,9,4,3,4,2,3,9,6,2,0,2,2,11,4,0,Matches
7,Ifunanyachi Achara,us USA,MF,Toronto FC,22,1997,1.0,2,2,1,1,0,1,2,1,1,0,1,0,2,1,0,Matches
8,Bryan Acosta,hn HON,MF,FC Dallas,26,1993,8.4,9,7,4,4,1,3,5,2,7,2,5,10,19,6,1,Matches
9,Kellyn Acosta,us USA,MF,Colorado Rapids,24,1995,12.7,19,8,7,9,3,7,15,8,11,4,7,8,27,9,1,Matches
10,Mo Adams,eng ENG,MF,Atlanta Utd,23,1996,8.7,23,12,9,13,1,2,10,8,11,3,8,10,33,2,0,Matches
11,Fanendo Adi,ng NGA,FW,Columbus Crew,29,1990,2.0,2,2,0,1,1,1,1,0,1,0,1,0,2,2,0,Matches
12,Ali Adnan Kadhim,iq IRQ,"DF,MF",Vancouver W'caps,26,1993,19.6,39,26,23,16,0,23,50,27,24,6,18,40,79,65,0,Matches
13,Harrison Afful,gh GHA,DF,Columbus Crew,33,1986,20.0,36,21,21,9,6,20,28,8,9,5,4,57,93,44,2,Matches
14,Juan Agudelo,us USA,FW,Inter Miami,27,1992,9.4,10,8,1,8,1,2,12,10,9,1,8,3,13,8,0,Matches
15,Matheus Aiás,br BRA,"FW,MF",Orlando City,23,1996,0.2,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,Matches
