rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
1,Brenden Aaronson,us USA,MF,Philadelphia Union,19,2000,21.2,426,548,77.7,6142,1374,252,284,141,176,18,46,4,3.6,2.2,+0.4,30,24,15,1,62,Matches
2,Saad Abdul-Salaam,us USA,DF,FC Cincinnati,28,1991,4.7,184,217,84.8,3294,950,74,83,88,97,17,28,0,0.1,0.1,-0.1,2,6,0,0,10,Matches
3,Mohammed Abu,gh GHA,MF,D.C. United,28,1991,3.7,188,218,86.2,3081,1038,109,119,55,62,19,24,0,0.1,0.1,-0.1,2,23,2,0,17,Matches
4,Lalas Abubakar,gh GHA,DF,Colorado Rapids,25,1994,16.8,836,941,88.8,16816,6600,258,289,456,483,111,143,0,0.2,0.1,-0.2,4,38,0,0,39,Matches
5,David Accam,gh GHA,"FW,MF",Nashville SC,29,1990,2.3,38,55,69.1,610,104,14,18,18,24,2,2,0,0.3,0.2,-0.3,3,1,2,1,2,Matches
6,Nicolás Acevedo,uy URU,MF,NYCFC,20,1999,1.5,81,96,84.4,1430,344,33,38,38,45,8,9,0,0.0,0.0,0.0,0,6,0,0,7,Matches
7,Ifunanyachi Achara,us USA,MF,Toronto FC,22,1997,1.0,25,30,83.3,352,83,19,23,3,3,3,4,0,0.1,0.1,-0.1,1,0,0,0,2,Matches
8,Bryan Acosta,hn HON,MF,FC Dallas,26,1993,8.4,400,473,84.6,7743,2559,158,179,184,199,53,78,2,1.3,0.4,+0.7,16,62,9,1,75,Matches
9,Kellyn Acosta,us USA,MF,Colorado Rapids,24,1995,12.7,403,471,85.6,6910,1832,188,213,179,194,31,45,1,1.0,0.9,0.0,9,38,5,1,49,Matches
10,Mo Adams,eng ENG,MF,Atlanta Utd,23,1996,8.7,398,446,89.2,7351,1631,151,167,193,201,41,54,1,0.7,0.6,+0.3,4,44,4,0,40,Matches
11,Fanendo Adi,ng NGA,FW,Columbus Crew,29,1990,2.0,31,53,58.5,415,59,16,25,11,19,1,3,0,0.5,0.1,-0.5,2,2,1,0,6,Matches
12,Ali Adnan Kadhim,iq IRQ,"DF,MF",Vancouver W'caps,26,1993,19.6,688,962,71.5,12670,5193,279,334,317,413,81,166,4,4.3,3.5,-0.3,16,50,20,8,84,Matches
13,Harrison Afful,gh GHA,DF,Columbus Crew,33,1986,20.0,1079,1371,78.7,18839,6910,491,534,480,595,92,182,1,1.6,2.3,-0.6,17,104,36,14,126,Matches
14,Juan Agudelo,us USA,FW,Inter Miami,27,1992,9.4,184,255,72.2,2510,720,109,134,51,68,10,17,0,1.5,0.7,-1.5,8,17,6,0,35,Matches
15,Matheus Aiás,br BRA,"FW,MF",Orlando City,23,1996,0.2,5,7,71.4,52,0,3,3,1,2,0,1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
16,José Aja,uy URU,DF,Minnesota Utd,26,1993,11.9,348,447,77.9,7074,3084,113,128,179,208,53,99,0,0.7,0.4,-0.7,3,19,1,0,18,Matches
17,Jacob Akanyirige,us USA,DF,SJ Earthquakes,18,2001,0.8,29,34,85.3,584,223,6,6,21,23,2,5,0,0.0,0.0,0.0,0,5,0,0,4,Matches
18,Tesho Akindele,ca CAN,FW,Orlando City,27,1992,9.1,204,261,78.2,2885,411,121,140,60,79,11,15,0,1.3,0.9,-1.3,11,10,6,1,13,Matches
19,Ayo Akinola,ca CAN,"FW,MF",Toronto FC,20,2000,11.8,126,172,73.3,1712,193,77,91,30,45,8,9,0,0.4,0.4,-0.4,7,6,5,1,9,Matches
20,Oswaldo Alanís,mx MEX,DF,SJ Earthquakes,30,1989,13.2,719,831,86.5,15509,6009,217,237,363,387,133,188,0,0.1,0.4,-0.1,3,64,3,0,60,Matches
