rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,attendance,top_team_scorer,goalkeeper,notes
1,Philadelphia Union,23,14,5,4,44,20,24,47,2.04,35.0,23.5,11.4,0.57,,"Kacper Przybyłko, Sergio Santos Gomes - 8",Andre Blake,→ First Round
2,Toronto FC,23,13,5,5,33,26,7,44,1.91,31.1,22.5,8.6,0.43,2757.0,"Alejandro Pozuelo, Ayo Akinola - 9",Quentin Westberg,→ First Round
3,Columbus Crew,23,12,5,6,36,21,15,41,1.78,28.6,28.1,0.5,0.03,2197.0,Gyasi Zardes - 12,Eloy Room,→ First Round
4,Orlando City,23,11,8,4,40,25,15,41,1.78,27.5,24.3,3.2,0.16,2553.0,Chris Mueller - 10,Pedro Gallese,→ First Round
5,NYCFC,23,12,3,8,37,25,12,39,1.7,33.3,26.7,6.7,0.33,,Valentín Castellanos - 6,Sean Johnson,→ First Round
6,NY Red Bulls,23,9,5,9,29,31,-2,32,1.39,25.7,30.0,-4.3,-0.22,1570.0,Brian White - 5,Ryan Meara,→ First Round
7,Nashville SC,23,8,8,7,24,22,2,32,1.39,25.6,26.4,-0.8,-0.04,6661.0,"Daniel Armando Ríos, Hany Mukhtar - 4",Joe Willis,→ Play-In Round
8,NE Revolution,23,8,8,7,26,25,1,32,1.39,32.5,24.9,7.6,0.38,1529.0,Teal Bunbury - 8,Matt Turner,→ Play-In Round
9,Montreal Impact,23,8,2,13,33,43,-10,26,1.13,27.3,36.5,-9.2,-0.46,2101.0,Romell Quioto - 8,Clément Diop,→ Play-In Round
10,Inter Miami,23,7,3,13,25,35,-10,24,1.04,27.2,28.4,-1.2,-0.06,,Lewis Morgan - 5,Luis Robles,→ Play-In Round
11,Chicago Fire,23,5,8,10,33,39,-6,23,1.0,35.4,33.1,2.3,0.11,,Robert Berić - 12,Bobby Shuttleworth,
12,Atlanta Utd,23,6,4,13,23,30,-7,22,0.96,19.9,24.4,-4.5,-0.23,8158.0,Jon Gallagher - 4,Brad Guzan,
13,D.C. United,23,5,6,12,25,41,-16,21,0.91,21.2,35.1,-13.9,-0.7,3101.0,Ola Kamara - 4,Bill Hamid,
14,FC Cincinnati,23,4,4,15,12,36,-24,16,0.7,19.8,30.5,-10.7,-0.53,,Yuya Kubo - 3,Przemysław Tytoń,
