rk,player,nation,pos,squad,age,born,90s,att,live,dead,fk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,matches
1,Paxten Aaronson,us USA,MF,Philadelphia Union,17,2003,6.6,192,187,4,1,0,1,10,0,3,0,0,0,140,1,9,Matches
2,Saad Abdul-Salaam,us USA,DF,Columbus Crew,29,1991,10.3,559,449,110,3,0,2,3,107,0,0,0,0,451,0,15,Matches
3,Luciano Abecasis,ar ARG,"DF,MF",SJ Earthquakes,30,1990,13.7,782,626,153,9,2,9,48,143,1,0,1,0,583,3,15,Matches
4,Ramón Ábila,ar ARG,"FW,MF",D.C. United,31,1989,2.5,48,46,2,0,0,0,1,0,0,0,0,0,20,0,3,Matches
5,Ramón Ábila,ar ARG,"FW,MF",Minnesota Utd,31,1989,3.0,64,56,8,1,0,1,3,0,0,0,0,0,42,0,5,Matches
6,Lalas Abubakar,gh GHA,DF,Colorado Rapids,26,1994,21.3,1049,1027,20,17,1,10,0,2,0,0,0,0,937,2,7,Matches
7,Nicolás Acevedo,uy URU,MF,NYCFC,21,1999,15.0,826,805,17,16,4,3,0,1,0,0,0,0,686,4,11,Matches
8,Ifunanyachi Achara,us USA,"FW,MF",Toronto FC,23,1997,9.1,210,202,7,1,1,0,6,4,0,0,0,0,153,1,7,Matches
9,Bryan Acosta,hn HON,MF,FC Dallas,27,1993,17.5,1190,1055,128,66,0,25,70,9,53,27,18,0,989,7,10,Matches
10,Danilo Acosta,hn HON,DF,LA Galaxy,23,1997,0.7,40,28,12,0,0,0,4,12,0,0,0,0,31,0,1,Matches
11,Kellyn Acosta,us USA,"MF,DF",Colorado Rapids,25,1995,19.1,925,864,57,16,2,15,30,35,6,5,1,0,768,4,9,Matches
12,Luciano Acosta,ar ARG,"MF,FW",FC Cincinnati,26,1994,29.9,1637,1418,204,97,15,20,123,26,67,36,12,0,1225,15,40,Matches
13,Mo Adams,eng ENG,MF,Atlanta Utd,24,1996,1.6,77,71,6,5,0,1,0,1,0,0,0,0,72,0,1,Matches
14,Samuel Adeniran,us USA,"FW,MF",Seattle Sounders,22,1998,0.7,13,12,1,0,0,0,1,0,0,0,0,0,10,0,1,Matches
15,Fanendo Adi,ng NGA,"FW,MF",Minnesota Utd,30,1990,2.3,61,55,6,0,0,0,0,1,0,0,0,0,35,0,0,Matches
16,Harrison Afful,gh GHA,DF,Columbus Crew,34,1986,20.2,1348,1166,178,11,3,7,53,167,0,0,0,0,1057,4,15,Matches
17,Juan Agudelo,us USA,FW,Minnesota Utd,28,1992,2.7,58,53,4,0,0,0,0,0,0,0,0,0,43,1,1,Matches
18,Raul Aguilera Jr.,us USA,MF,Orlando City,21,1999,1.1,60,58,2,2,0,1,0,0,0,0,0,0,54,0,1,Matches
19,Daniel Aguirre,us USA,"MF,FW",LA Galaxy,21,1999,0.4,21,20,1,1,0,0,0,0,0,0,0,0,17,0,0,Matches
20,Matheus Aiás,br BRA,FW,Orlando City,24,1996,0.2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
