rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
1,Paxten Aaronson,us USA,MF,Philadelphia Union,17,2003,6.6,294,3,29,119,148,34,294,25,10,40.0,15,60.0,177,902,393,17,7,11,18,10,179,43,Matches
2,Saad Abdul-Salaam,us USA,DF,Columbus Crew,29,1991,10.3,667,57,206,299,164,8,667,6,2,33.3,4,66.7,331,1489,901,17,11,0,11,1,363,48,Matches
3,Luciano Abecasis,ar ARG,"DF,MF",SJ Earthquakes,30,1990,13.7,955,41,263,458,243,6,955,25,17,68.0,8,32.0,511,2651,1375,26,19,1,33,15,528,63,Matches
4,Ramón Ábila,ar ARG,"FW,MF",D.C. United,31,1989,2.5,80,1,1,19,61,22,80,6,4,66.7,2,33.3,42,203,116,4,1,4,12,2,65,24,Matches
5,Ramón Ábila,ar ARG,"FW,MF",Minnesota Utd,31,1989,3.0,95,2,3,24,69,34,94,5,2,40.0,3,60.0,55,332,152,12,6,9,5,2,65,26,Matches
6,Lalas Abubakar,gh GHA,DF,Colorado Rapids,26,1994,21.3,1247,173,713,505,33,18,1247,4,3,75.0,1,25.0,684,2513,1388,4,4,1,9,1,829,4,Matches
7,Nicolás Acevedo,uy URU,MF,NYCFC,21,1999,15.0,963,31,215,611,148,5,963,18,13,72.2,5,27.8,569,2441,1330,12,18,0,16,11,644,12,Matches
8,Ifunanyachi Achara,us USA,"FW,MF",Toronto FC,23,1997,9.1,332,12,60,150,135,33,332,29,14,48.3,15,51.7,195,1230,535,13,14,7,33,14,224,54,Matches
9,Bryan Acosta,hn HON,MF,FC Dallas,27,1993,17.5,1350,45,341,828,200,9,1350,18,14,77.8,4,22.2,804,3488,1744,21,17,2,27,6,900,26,Matches
10,Danilo Acosta,hn HON,DF,LA Galaxy,23,1997,0.7,46,1,6,26,14,0,46,1,1,100.0,0,0.0,19,105,29,0,1,0,1,1,26,5,Matches
11,Kellyn Acosta,us USA,"MF,DF",Colorado Rapids,25,1995,19.1,1125,29,237,653,251,15,1125,33,19,57.6,14,42.4,658,3587,1878,34,34,3,26,13,766,50,Matches
12,Luciano Acosta,ar ARG,"MF,FW",FC Cincinnati,26,1994,29.9,2044,16,213,1043,829,103,2044,150,86,57.3,64,42.7,1303,6714,3499,94,83,21,102,58,1524,204,Matches
13,Mo Adams,eng ENG,MF,Atlanta Utd,24,1996,1.6,102,1,32,62,9,1,102,3,2,66.7,1,33.3,63,342,59,0,1,0,8,3,64,1,Matches
14,Samuel Adeniran,us USA,"FW,MF",Seattle Sounders,22,1998,0.7,23,0,1,13,9,4,23,1,1,100.0,0,0.0,12,60,29,2,0,2,3,1,17,2,Matches
15,Fanendo Adi,ng NGA,"FW,MF",Minnesota Utd,30,1990,2.3,88,0,2,39,47,16,88,2,1,50.0,1,50.0,53,186,53,0,1,0,12,2,67,14,Matches
16,Harrison Afful,gh GHA,DF,Columbus Crew,34,1986,20.2,1488,64,456,687,354,17,1488,20,12,60.0,8,40.0,844,2982,1497,22,18,0,19,5,967,97,Matches
