rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
1,Paxten Aaronson,us USA,MF,Philadelphia Union,17,2003,14,5,598,6.6,3,0,3,3,0,0,1,0,1.0,1.0,1.8,2.8,17,31,43,0.45,0.00,0.45,0.45,0.45,0.16,0.27,0.43,0.16,0.43,Matches
2,Saad Abdul-Salaam,us USA,DF,Columbus Crew,29,1991,18,7,929,10.3,0,0,0,0,0,0,2,0,0.1,0.1,1.0,1.1,17,41,48,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.11,0.01,0.11,Matches
3,Luciano Abecasis,ar ARG,"DF,MF",SJ Earthquakes,30,1990,23,14,1232,13.7,0,2,2,0,0,0,4,0,0.5,0.5,1.6,2.2,26,60,63,0.00,0.15,0.15,0.00,0.15,0.04,0.12,0.16,0.04,0.16,Matches
4,Ramón Ábila,ar ARG,"FW,MF",D.C. United,31,1989,12,0,225,2.5,3,0,3,3,0,0,0,0,0.8,0.8,0.0,0.8,4,5,24,1.20,0.00,1.20,1.20,1.20,0.31,0.00,0.31,0.31,0.31,Matches
5,Ramón Ábila,ar ARG,"FW,MF",Minnesota Utd,31,1989,10,1,268,3.0,2,0,2,2,0,1,1,1,2.5,1.6,0.5,2.1,12,6,26,0.67,0.00,0.67,0.67,0.67,0.85,0.17,1.02,0.54,0.71,Matches
6,Lalas Abubakar,gh GHA,DF,Colorado Rapids,26,1994,24,23,1921,21.3,2,0,2,2,0,0,6,0,1.2,1.2,0.0,1.2,4,58,4,0.09,0.00,0.09,0.09,0.09,0.05,0.00,0.05,0.05,0.05,Matches
7,Nicolás Acevedo,uy URU,MF,NYCFC,21,1999,24,15,1351,15.0,0,0,0,0,0,0,7,1,0.5,0.5,1.3,1.8,12,88,12,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.12,0.03,0.12,Matches
8,Ifunanyachi Achara,us USA,"FW,MF",Toronto FC,23,1997,14,10,821,9.1,2,1,3,2,0,0,2,0,2.7,2.7,1.2,3.9,13,15,54,0.22,0.11,0.33,0.22,0.33,0.30,0.13,0.43,0.30,0.43,Matches
9,Bryan Acosta,hn HON,MF,FC Dallas,27,1993,23,16,1575,17.5,0,1,1,0,0,0,7,1,1.4,1.4,2.9,4.3,21,106,26,0.00,0.06,0.06,0.00,0.06,0.08,0.16,0.25,0.08,0.25,Matches
10,Danilo Acosta,hn HON,DF,LA Galaxy,23,1997,2,0,63,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
11,Kellyn Acosta,us USA,"MF,DF",Colorado Rapids,25,1995,21,19,1718,19.1,1,2,3,1,0,0,2,0,1.1,1.1,1.8,2.9,34,111,50,0.05,0.10,0.16,0.05,0.16,0.06,0.10,0.15,0.06,0.15,Matches
12,Luciano Acosta,ar ARG,"MF,FW",FC Cincinnati,26,1994,31,30,2694,29.9,7,8,15,7,0,0,6,0,6.6,6.6,8.9,15.5,94,190,204,0.23,0.27,0.50,0.23,0.50,0.22,0.30,0.52,0.22,0.52,Matches
13,Mo Adams,eng ENG,MF,Atlanta Utd,24,1996,6,2,148,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,7,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
14,Samuel Adeniran,us USA,"FW,MF",Seattle Sounders,22,1998,2,1,59,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,2,0,2,0.00,0.00,0.00,0.00,0.00,0.21,0.04,0.26,0.21,0.26,Matches
15,Fanendo Adi,ng NGA,"FW,MF",Minnesota Utd,30,1990,10,1,210,2.3,1,0,1,1,0,0,0,0,1.4,1.4,0.1,1.5,0,2,14,0.43,0.00,0.43,0.43,0.43,0.58,0.04,0.62,0.58,0.62,Matches
16,Harrison Afful,gh GHA,DF,Columbus Crew,34,1986,26,21,1814,20.2,0,2,2,0,0,0,5,1,0.6,0.6,1.1,1.7,22,98,97,0.00,0.10,0.10,0.00,0.10,0.03,0.06,0.09,0.03,0.09,Matches
17,Juan Agudelo,us USA,FW,Minnesota Utd,28,1992,13,1,245,2.7,0,0,0,0,0,0,0,0,1.8,1.8,0.8,2.5,4,4,22,0.00,0.00,0.00,0.00,0.00,0.65,0.28,0.93,0.65,0.93,Matches
18,Raul Aguilera Jr.,us USA,MF,Orlando City,21,1999,3,0,95,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
19,Daniel Aguirre,us USA,"MF,FW",LA Galaxy,21,1999,5,0,34,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,3,6,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.49,0.49,0.49,Matches
20,Matheus Aiás,br BRA,FW,Orlando City,24,1996,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
21,Arnaud Ake,ci CIV,"FW,MF",Nashville SC,22,1998,19,2,394,4.4,1,1,2,1,0,0,1,0,0.7,0.7,1.4,2.1,11,13,27,0.23,0.23,0.46,0.23,0.46,0.17,0.31,0.48,0.17,0.48,Matches
22,Tesho Akindele,ca CAN,FW,Orlando City,28,1992,32,15,1368,15.2,3,6,9,3,0,1,1,0,6.3,5.5,2.9,8.4,9,23,97,0.20,0.39,0.59,0.20,0.59,0.41,0.19,0.60,0.36,0.55,Matches
23,Ayo Akinola,ca CAN,FW,Toronto FC,21,2000,11,8,645,7.2,3,0,3,3,0,0,0,0,2.5,2.5,0.4,2.9,5,14,41,0.42,0.00,0.42,0.42,0.42,0.35,0.05,0.40,0.35,0.40,Matches
24,Oswaldo Alanís,mx MEX,DF,SJ Earthquakes,31,1989,25,24,2042,22.7,2,0,2,0,2,2,3,0,2.2,0.7,0.5,1.1,10,61,2,0.09,0.00,0.09,0.00,0.00,0.10,0.02,0.12,0.03,0.05,Matches
25,Caio Alexandre,br BRA,MF,Vancouver W'caps,21,1999,15,11,956,10.6,0,1,1,0,0,0,5,0,1.0,1.0,0.7,1.7,14,69,12,0.00,0.09,0.09,0.00,0.09,0.10,0.06,0.16,0.10,0.16,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Tony Alfaro,us USA,DF,D.C. United,27,1993,25,21,1846,20.5,1,1,2,1,0,0,7,0,1.1,1.1,0.4,1.6,12,82,6,0.05,0.05,0.10,0.05,0.10,0.06,0.02,0.08,0.06,0.08,Matches
27,Ignacio Aliseda,ar ARG,"FW,MF",Chicago Fire,20,2000,23,16,1594,17.7,4,1,5,4,0,0,0,0,3.4,3.4,2.4,5.8,67,55,114,0.23,0.06,0.28,0.23,0.28,0.19,0.13,0.33,0.19,0.33,Matches
28,Osvaldo Alonso,cu CUB,MF,Minnesota Utd,35,1985,24,15,1416,15.7,1,0,1,1,0,0,8,0,0.7,0.7,0.6,1.4,17,125,7,0.06,0.00,0.06,0.06,0.06,0.05,0.04,0.09,0.05,0.09,Matches
29,Jozy Altidore,us USA,FW,Toronto FC,31,1989,16,8,768,8.5,4,0,4,4,0,0,1,0,3.0,3.0,0.2,3.2,3,26,48,0.47,0.00,0.47,0.47,0.47,0.35,0.02,0.37,0.35,0.37,Matches
30,Alexander Alvarado,ec ECU,"MF,FW",Orlando City,21,1999,10,2,197,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,3,8,23,0.00,0.00,0.00,0.00,0.00,0.03,0.12,0.15,0.03,0.15,Matches
31,Ventura Alvarado,us USA,DF,Inter Miami,28,1992,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
32,Efrain Alvarez,mx MEX,"FW,MF",LA Galaxy,18,2002,26,16,1252,13.9,2,2,4,2,0,0,1,0,2.5,2.5,3.0,5.5,32,81,98,0.14,0.14,0.29,0.14,0.29,0.18,0.22,0.40,0.18,0.40,Matches
33,Frankie Amaya,us USA,MF,NY Red Bulls,20,2000,22,10,840,9.3,1,1,2,1,0,0,1,0,0.6,0.6,1.0,1.7,10,38,27,0.11,0.11,0.21,0.11,0.21,0.07,0.11,0.18,0.07,0.18,Matches
34,Mikey Ambrose,us USA,"DF,MF",Atlanta Utd,27,1993,4,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
35,Malte Amundsen,dk DEN,DF,NYCFC,22,1998,32,14,1394,15.5,1,3,4,1,0,0,2,0,0.7,0.7,3.0,3.6,26,82,105,0.06,0.19,0.26,0.06,0.26,0.04,0.19,0.23,0.04,0.23,Matches
36,Sebastian Anderson,us USA,DF,Colorado Rapids,18,2002,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
37,José Andrés Martínez,ve VEN,MF,Philadelphia Union,26,1994,24,23,1953,21.7,0,2,2,0,0,0,9,1,0.6,0.6,0.5,1.2,20,140,15,0.00,0.09,0.09,0.00,0.09,0.03,0.03,0.05,0.03,0.05,Matches
38,Jalil Anibaba,us USA,DF,Nashville SC,32,1988,9,7,635,7.1,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,10,2,0.14,0.00,0.14,0.14,0.14,0.03,0.00,0.03,0.03,0.03,Matches
39,Brian Anunga,cm CMR,MF,Nashville SC,24,1996,25,17,1511,16.8,1,0,1,1,0,0,4,0,1.6,1.6,0.8,2.4,14,48,38,0.06,0.00,0.06,0.06,0.06,0.10,0.05,0.14,0.10,0.14,Matches
40,Cristian Arango,co COL,FW,LAFC,25,1995,17,15,1396,15.5,14,2,16,9,5,5,4,0,12.3,8.4,4.4,12.7,44,26,107,0.90,0.13,1.03,0.58,0.71,0.79,0.28,1.07,0.54,0.82,Matches
41,Julian Araujo,mx MEX,DF,LA Galaxy,19,2001,32,32,2793,31.0,0,6,6,0,0,0,8,0,0.8,0.8,4.5,5.2,73,106,239,0.00,0.19,0.19,0.00,0.19,0.02,0.14,0.17,0.02,0.17,Matches
42,Luiz Araújo,br BRA,"FW,MF",Atlanta Utd,24,1996,15,13,1148,12.8,4,3,7,4,0,0,3,0,4.4,4.4,3.0,7.4,53,62,67,0.31,0.24,0.55,0.31,0.55,0.34,0.24,0.58,0.34,0.58,Matches
43,Daniel Armando Ríos,mx MEX,FW,Nashville SC,25,1995,12,5,373,4.1,1,1,2,1,0,0,0,0,1.5,1.5,0.6,2.1,9,7,37,0.24,0.24,0.48,0.24,0.48,0.36,0.15,0.51,0.36,0.51,Matches
44,Xavier Arreaga,ec ECU,DF,Seattle Sounders,26,1994,26,25,2162,24.0,2,0,2,2,0,0,6,0,1.7,1.7,0.2,1.9,4,38,1,0.08,0.00,0.08,0.08,0.08,0.07,0.01,0.08,0.07,0.08,Matches
45,Paul Arriola,us USA,"FW,MF",D.C. United,25,1995,20,19,1355,15.1,6,2,8,6,0,0,3,0,5.1,5.1,3.5,8.6,40,54,110,0.40,0.13,0.53,0.40,0.53,0.34,0.23,0.57,0.34,0.57,Matches
