squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
Atlanta Utd,30,24.6,57.1,34,374,3060,34.0,42,29,71,36,6,6,63,3,47.7,42.9,35.4,78.4,674,1251,1.24,0.85,2.09,1.06,1.91,1.4,1.04,2.44,1.26,2.31
Austin,27,26.2,53.8,34,374,3060,34.0,34,27,61,33,1,2,61,4,46.2,44.7,36.9,81.6,630,1497,1.0,0.79,1.79,0.97,1.76,1.36,1.08,2.44,1.32,2.4
CF Montréal,28,24.9,52.4,34,374,3060,34.0,45,33,78,41,4,4,63,5,48.5,45.4,36.0,81.3,676,1380,1.32,0.97,2.29,1.21,2.18,1.43,1.06,2.49,1.33,2.39
Chicago Fire,25,26.4,49.9,34,374,3060,34.0,34,26,60,34,0,0,62,2,46.0,46.0,37.2,83.3,504,1242,1.0,0.76,1.76,1.0,1.76,1.35,1.1,2.45,1.35,2.45
Colorado Rapids,27,26.6,48.4,34,374,3060,34.0,50,38,88,48,2,3,72,2,50.0,47.7,36.9,84.6,570,1366,1.47,1.12,2.59,1.41,2.53,1.47,1.09,2.56,1.4,2.49
Columbus Crew,27,29.0,51.6,34,374,3060,34.0,41,23,64,38,3,4,51,1,43.3,40.1,29.9,70.0,500,1295,1.21,0.68,1.88,1.12,1.79,1.27,0.88,2.15,1.18,2.06
D.C. United,29,27.0,46.3,34,374,3060,34.0,55,39,94,45,10,11,70,2,55.7,47.3,37.1,84.4,500,1256,1.62,1.15,2.76,1.32,2.47,1.64,1.09,2.73,1.39,2.48
FC Cincinnati,29,27.2,48.8,34,374,3060,34.0,36,25,61,34,2,3,75,3,42.2,39.8,30.3,70.0,497,1088,1.06,0.74,1.79,1.0,1.74,1.24,0.89,2.13,1.17,2.06
FC Dallas,26,25.0,51.0,34,374,3060,34.0,46,36,82,45,1,3,80,1,50.4,48.0,38.1,86.1,562,1165,1.35,1.06,2.41,1.32,2.38,1.48,1.12,2.6,1.41,2.53
Houston Dynamo,30,27.5,45.4,34,374,3060,34.0,34,23,57,30,4,4,70,1,45.6,42.5,34.1,76.6,566,1293,1.0,0.68,1.68,0.88,1.56,1.34,1.0,2.34,1.25,2.25
Inter Miami,26,28.1,46.6,34,374,3060,34.0,35,28,63,31,4,4,86,4,38.3,35.2,28.5,63.7,507,1169,1.03,0.82,1.85,0.91,1.74,1.13,0.84,1.97,1.03,1.87
LA Galaxy,29,26.4,53.9,34,374,3060,34.0,47,33,80,42,5,6,54,1,52.0,47.3,38.9,86.3,573,1569,1.38,0.97,2.35,1.24,2.21,1.53,1.14,2.67,1.39,2.54
LAFC,30,24.0,49.8,34,374,3060,34.0,51,35,86,44,7,8,53,1,65.7,59.4,45.4,104.9,609,1523,1.5,1.03,2.53,1.29,2.32,1.93,1.34,3.27,1.75,3.08
Minnesota Utd,27,28.4,50.1,34,374,3060,34.0,41,29,70,40,1,3,57,3,54.5,52.0,39.8,91.8,542,1530,1.21,0.85,2.06,1.18,2.03,1.6,1.17,2.77,1.53,2.7
Nashville SC,28,27.7,46.6,34,374,3060,34.0,54,42,96,52,2,3,53,1,50.5,48.2,39.2,87.4,494,1202,1.59,1.24,2.82,1.53,2.76,1.49,1.15,2.64,1.42,2.57
NE Revolution,25,26.6,50.7,34,374,3060,34.0,62,48,110,60,2,3,55,3,59.4,56.9,47.5,104.5,693,1515,1.82,1.41,3.24,1.76,3.18,1.75,1.4,3.14,1.67,3.07
NY Red Bulls,28,23.0,48.2,34,374,3060,34.0,39,30,69,36,3,4,74,2,50.6,47.5,38.3,85.8,463,1219,1.15,0.88,2.03,1.06,1.94,1.49,1.13,2.61,1.4,2.52
NYCFC,26,26.3,53.1,34,374,3060,34.0,55,38,93,51,4,5,76,8,58.8,55.0,41.7,96.7,603,1597,1.62,1.12,2.74,1.5,2.62,1.73,1.23,2.96,1.62,2.84
Orlando City,29,27.0,51.0,34,374,3060,34.0,49,38,87,44,5,8,67,3,46.4,40.1,32.8,72.9,550,1306,1.44,1.12,2.56,1.29,2.41,1.36,0.96,2.33,1.18,2.14
Philadelphia Union,27,25.9,48.4,34,374,3060,34.0,45,32,77,42,3,3,73,3,49.4,47.0,35.9,82.9,541,1462,1.32,0.94,2.26,1.24,2.18,1.45,1.06,2.51,1.38,2.44
Portland Timbers,29,28.4,44.9,34,374,3060,34.0,54,38,92,51,3,4,71,2,53.6,50.5,39.4,89.9,491,1348,1.59,1.12,2.71,1.5,2.62,1.58,1.16,2.74,1.48,2.64
Real Salt Lake,26,26.7,50.9,34,374,3060,34.0,54,46,100,51,3,3,73,1,52.0,49.8,41.3,91.2,601,1247,1.59,1.35,2.94,1.5,2.85,1.53,1.22,2.75,1.47,2.68
