rk,player,nation,pos,squad,age,born,90s,ga,pka,fk,ck,og,psxg,psxg_sot,psxg_exp,90,cmp,att,cmp_launch,att_gk,thr,launch,avglen,att_goal_k,launch_goal_k,avglen_goal_k,opp,stp,stp_crosse,opa,opa_90,avgdist,matches
1,Luis Barraza,us USA,GK,NYCFC,26,1996,24.0,31,2,0,5,1,26.9,0.27,-3.1,-0.13,79,253,31.2,915,96,20.3,28.0,177,37.9,37.3,312,10,3.2,13,0.54,12.4,Matches
2,Gavin Beavers,us USA,GK,Real Salt Lake,17,2005,6.5,14,2,0,1,0,11.5,0.35,-2.5,-0.38,30,76,39.5,131,27,33.6,34.2,51,62.7,48.0,94,5,5.3,11,1.69,14.0,Matches
3,Joe Bendik,us USA,GK,Philadelphia Union,33,1989,7.6,13,1,0,1,1,8.0,0.26,-4.0,-0.52,34,88,38.6,100,25,45.0,38.9,66,65.2,47.7,88,4,4.5,1,0.13,9.1,Matches
4,David Bingham,us USA,GK,Portland Timbers,33,1989,19.0,29,2,0,5,0,25.6,0.32,-3.4,-0.18,125,324,38.6,524,56,49.0,40.3,125,53.6,44.3,262,15,5.7,32,1.69,15.1,Matches
5,Andre Blake,jm JAM,GK,Philadelphia Union,32,1990,26.4,28,5,0,0,2,30.1,0.26,+4.1,+0.16,88,237,37.1,453,131,35.1,34.5,163,47.9,39.5,315,22,7.0,21,0.80,13.2,Matches
6,Jonathan Bond,eng ENG,GK,LA Galaxy,29,1993,22.8,46,2,1,2,2,39.9,0.32,-4.1,-0.18,65,167,38.9,622,138,20.1,26.7,155,27.1,28.9,342,12,3.5,32,1.41,14.9,Matches
7,Alex Bono,us USA,GK,D.C. United,28,1994,9.5,11,2,0,3,0,13.2,0.29,+2.2,+0.23,78,184,42.4,334,51,38.0,33.2,83,68.7,47.9,150,12,8.0,19,2.00,18.6,Matches
8,Chris Brady,us USA,GK,Chicago Fire,18,2004,29.3,44,9,1,5,2,43.5,0.27,+1.5,+0.05,111,342,32.5,551,127,39.6,35.0,232,53.4,41.1,436,25,5.7,30,1.02,13.7,Matches
9,Roman Bürki,ch SUI,GK,St. Louis,32,1990,33.0,42,7,0,1,2,49.1,0.28,+9.1,+0.28,192,592,32.4,912,156,48.9,39.9,245,59.6,49.0,466,29,6.2,56,1.70,15.5,Matches
10,Drake Callender,us USA,GK,Inter Miami,25,1997,33.0,53,1,1,9,3,48.0,0.28,-2.0,-0.06,120,390,30.8,888,158,32.2,33.7,252,41.3,35.7,399,36,9.0,28,0.85,12.6,Matches
11,Roman Celentano,us USA,GK,FC Cincinnati,22,2000,33.0,37,5,0,2,2,35.3,0.26,+0.3,+0.01,138,365,37.8,559,137,41.9,35.8,260,50.4,38.8,446,21,4.7,20,0.61,12.1,Matches
12,Steve Clark,us USA,GK,Houston Dynamo,36,1986,33.0,38,6,0,3,1,37.8,0.29,+0.8,+0.03,112,294,38.1,878,181,23.6,28.4,222,39.2,35.5,495,24,4.8,27,0.82,13.1,Matches
13,Stefan Cleveland,us USA,GK,Seattle Sounders,28,1994,2.0,4,1,0,1,0,3.6,0.32,-0.4,-0.22,3,7,42.9,28,8,17.9,26.5,18,11.1,30.2,29,1,3.4,0,0.00,3.8,Matches
14,Carlos Coronel,py PAR,GK,NY Red Bulls,26,1996,34.0,39,6,0,6,2,37.0,0.34,0.0,0.00,198,662,29.9,808,104,59.8,43.1,201,89.1,61.2,329,10,3.0,72,2.12,20.7,Matches
15,Maxime Crépeau,ca CAN,GK,LAFC,28,1994,7.0,7,0,0,0,1,6.5,0.32,+0.5,+0.07,21,61,34.4,172,37,27.3,29.9,45,31.1,33.4,94,9,9.6,4,0.57,12.4,Matches
16,Daniel,br BRA,GK,SJ Earthquakes,28,1994,21.6,28,3,1,4,0,35.3,0.29,+7.3,+0.34,72,182,39.6,339,85,33.9,33.0,188,35.6,31.9,323,12,3.7,15,0.69,13.0,Matches
17,Clément Diop,sn SEN,GK,Atlanta Utd,29,1993,1.5,4,0,0,1,0,3.5,0.52,-0.5,-0.34,9,11,81.8,37,5,27.0,30.4,9,11.1,23.8,28,0,0.0,2,1.33,21.0,Matches
18,C.J. dos Santos,us USA,GK,Inter Miami,22,2000,1.0,1,0,0,0,0,1.9,0.48,+0.9,+0.92,3,17,17.6,53,8,26.4,30.4,5,60.0,46.2,9,2,22.2,6,6.00,23.2,Matches
19,Earl Edwards Jr.,us USA,GK,NE Revolution,31,1992,10.0,15,0,0,3,0,12.4,0.28,-2.6,-0.26,61,155,39.4,243,57,39.5,35.3,100,59.0,45.5,142,6,4.2,5,0.50,12.4,Matches
20,Matt Freese,us USA,GK,NYCFC,24,1998,10.0,8,2,1,1,0,9.4,0.20,+1.4,+0.14,39,126,31.0,307,60,28.0,31.4,81,49.4,39.7,127,3,2.4,4,0.40,14.6,Matches
