round,wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
Regular Season,1,Wed,2024-02-21,20:00 (02:00),Inter Miami,1.4,2–0,0.8,Real Salt Lake,21137,Chase Stadium,,Match Report,
Regular Season,1,Sat,2024-02-24,13:45 (22:45),LAFC,1.5,2–1,1.8,Seattle Sounders,22214,BMO Stadium,,Match Report,
Regular Season,1,Sat,2024-02-24,14:00 (20:00),Columbus Crew,1.8,1–0,0.5,Atlanta Utd,20406,Lower.com Field,,Match Report,
Regular Season,1,Sun,2024-02-25,14:30 (20:30),FC Cincinnati,0.9,0–0,0.5,Toronto FC,25513,TQL Stadium,,Match Report,
Regular Season,1,Sun,2024-02-25,16:00 (23:00),Nashville SC,0.1,0–0,1.4,NY Red Bulls,30109,Geodis Park,,Match Report,
Regular Season,1,Sat,2024-02-24,19:30 (02:30),Austin,1.1,1–2,3.0,Minnesota Utd,20738,Q2 Stadium,,Match Report,
Regular Season,1,Sat,2024-02-24,19:30 (01:30),Orlando City,0.9,0–0,1.0,CF Montréal,24249,Inter&Co Stadium,,Match Report,
Regular Season,1,Sat,2024-02-24,19:30 (04:30),Portland Timbers,0.5,4–1,1.2,Colorado Rapids,21411,Providence Park,,Match Report,
Regular Season,1,Sat,2024-02-24,19:30 (02:30),Houston Dynamo,1.0,1–1,0.2,Sporting KC,18818,Shell Energy Stadium,,Match Report,
Regular Season,1,Sat,2024-02-24,19:30 (01:30),Philadelphia Union,2.1,2–2,1.6,Chicago Fire,18734,Subaru Park,,Match Report,
Regular Season,1,Sat,2024-02-24,19:30 (02:30),FC Dallas,1.0,2–1,0.9,SJ Earthquakes,19096,Toyota Stadium,,Match Report,
Regular Season,1,Sat,2024-02-24,19:30 (02:30),St. Louis,0.7,1–1,1.7,Real Salt Lake,22423,Energizer Park,,Match Report,
Regular Season,1,Sat,2024-02-24,19:30 (01:30),D.C. United,4.5,3–1,0.8,NE Revolution,19215,Audi Field,,Match Report,
Regular Season,1,Sat,2024-02-24,19:30 (01:30),Charlotte,2.0,1–0,0.5,NYCFC,62291,Bank of America Stadium,,Match Report,
Regular Season,1,Sun,2024-02-25,18:00 (03:00),LA Galaxy,3.2,1–1,0.6,Inter Miami,27642,Dignity Health Sports Park,,Match Report,
Regular Season,2,Sat,2024-03-02,12:00 (20:00),Real Salt Lake,2.3,3–0,0.7,LAFC,19509,America First Field,,Match Report,
Regular Season,2,Sat,2024-03-02,13:00 (20:00),Minnesota Utd,0.8,1–1,1.4,Columbus Crew,19906,Allianz Field,,Match Report,
Regular Season,2,Sat,2024-03-02,16:30 (22:30),Inter Miami,2.8,5–0,0.8,Orlando City,21352,Chase Stadium,,Match Report,
Regular Season,2,Sun,2024-03-03,14:00 (20:00),NE Revolution,1.8,0–1,0.7,Toronto FC,29293,Gillette Stadium,,Match Report,
Regular Season,2,Sat,2024-03-02,16:30 (01:30),Vancouver W'caps,1.0,1–1,1.3,Charlotte,29624,BC Place Stadium,,Match Report,
Regular Season,2,Sat,2024-03-02,19:30 (02:30),Houston Dynamo,1.2,1–2,1.0,NY Red Bulls,16516,Shell Energy Stadium,,Match Report,
Regular Season,2,Sat,2024-03-02,19:30 (02:30),Chicago Fire,1.0,1–2,0.9,FC Cincinnati,26592,Soldier Field,,Match Report,
Regular Season,2,Sat,2024-03-02,19:30 (02:30),St. Louis,0.8,2–0,0.5,NYCFC,22423,Energizer Park,,Match Report,
Regular Season,2,Sat,2024-03-02,19:30 (02:30),FC Dallas,0.9,1–2,1.3,CF Montréal,19096,Toyota Stadium,,Match Report,
Regular Season,2,Sat,2024-03-02,19:30 (04:30),Portland Timbers,0.8,2–2,2.0,D.C. United,20221,Providence Park,,Match Report,
Regular Season,2,Sat,2024-03-02,19:30 (02:30),Sporting KC,0.9,1–1,0.5,Philadelphia Union,19942,Children's Mercy Park,,Match Report,
Regular Season,2,Sat,2024-03-02,19:30 (04:30),Seattle Sounders,1.2,0–0,0.0,Austin,30067,Lumen Field,,Match Report,
Regular Season,2,Sat,2024-03-02,19:30 (03:30),Colorado Rapids,0.6,1–1,1.5,Nashville SC,16223,Dick's Sporting Goods Park,,Match Report,
Regular Season,2,Sat,2024-03-02,19:30 (04:30),SJ Earthquakes,0.8,1–3,1.6,LA Galaxy,18000,PayPal Park,,Match Report,
Regular Season,3,Sat,2024-03-09,14:00 (20:00),Toronto FC,0.5,1–0,0.9,Charlotte,26345,BMO Field,,Match Report,
Regular Season,3,Sat,2024-03-09,14:00 (20:00),NYCFC,1.3,1–2,0.9,Portland Timbers,24774,Yankee Stadium,,Match Report,
Regular Season,3,Sun,2024-03-10,14:00 (20:00),Nashville SC,1.3,2–2,1.9,LA Galaxy,28316,Geodis Park,,Match Report,
Regular Season,3,Sun,2024-03-10,15:00 (20:00),FC Cincinnati,1.7,0–0,0.5,D.C. United,25513,TQL Stadium,,Match Report,
Regular Season,3,Sun,2024-03-10,17:00 (22:00),Inter Miami,2.7,2–3,2.0,CF Montréal,21212,Chase Stadium,,Match Report,
Regular Season,3,Sat,2024-03-09,19:30 (04:30),SJ Earthquakes,0.6,0–2,0.7,Vancouver W'caps,16045,PayPal Park,,Match Report,
Regular Season,3,Sat,2024-03-09,19:30 (03:30),Real Salt Lake,1.4,1–2,1.6,Colorado Rapids,20147,America First Field,,Match Report,
Regular Season,3,Sat,2024-03-09,19:30 (02:30),Austin,1.0,2–2,2.0,St. Louis,20738,Q2 Stadium,,Match Report,
Regular Season,3,Sat,2024-03-09,19:30 (01:30),Columbus Crew,1.3,2–1,1.9,Chicago Fire,20327,Lower.com Field,,Match Report,
Regular Season,3,Sat,2024-03-09,19:30 (01:30),Orlando City,4.1,2–3,1.4,Minnesota Utd,23025,Inter&Co Stadium,,Match Report,
Regular Season,3,Sat,2024-03-09,19:30 (01:30),Atlanta Utd,3.2,4–1,0.7,NE Revolution,67727,Mercedes-Benz Stadium,,Match Report,
Regular Season,3,Sat,2024-03-09,19:30 (01:30),NY Red Bulls,2.0,2–1,0.7,FC Dallas,19284,Sports Illustrated Stadium,,Match Report,
Regular Season,3,Sat,2024-03-09,19:30 (04:30),LAFC,1.5,0–0,0.6,Sporting KC,22175,BMO Stadium,,Match Report,
Regular Season,4,Sat,2024-03-16,12:30 (20:30),Seattle Sounders,1.1,1–1,2.3,Colorado Rapids,30036,Lumen Field,,Match Report,
Regular Season,4,Sat,2024-03-16,13:00 (19:00),Chicago Fire,2.2,4–3,3.0,CF Montréal,14874,Soldier Field,,Match Report,
Regular Season,4,Sat,2024-03-16,14:00 (19:00),D.C. United,1.4,1–3,2.3,Inter Miami,19365,Audi Field,,Match Report,
Regular Season,4,Sat,2024-03-16,19:30 (00:30),Columbus Crew,2.0,3–0,0.3,NY Red Bulls,20314,Lower.com Field,,Match Report,
Regular Season,4,Sat,2024-03-16,19:30 (00:30),NYCFC,1.4,2–1,1.3,Toronto FC,18623,Yankee Stadium,,Match Report,
Regular Season,4,Sun,2024-03-17,14:00 (19:00),NE Revolution,1.2,1–2,1.0,FC Cincinnati,14557,Gillette Stadium,,Match Report,
Regular Season,4,Sun,2024-03-17,19:00 (00:00),Atlanta Utd,0.8,2–0,0.5,Orlando City,42631,Mercedes-Benz Stadium,,Match Report,
Regular Season,4,Sat,2024-03-16,19:30 (01:30),Houston Dynamo,1.1,1–0,1.5,Portland Timbers,16003,Shell Energy Stadium,,Match Report,
Regular Season,4,Sat,2024-03-16,19:30 (01:30),Nashville SC,0.9,2–1,1.3,Charlotte,28008,Geodis Park,,Match Report,
Regular Season,4,Sat,2024-03-16,19:30 (01:30),Austin,1.2,2–2,2.4,Philadelphia Union,20738,Q2 Stadium,,Match Report,
Regular Season,4,Sat,2024-03-16,19:30 (01:30),Sporting KC,1.0,2–1,1.3,SJ Earthquakes,18219,Children's Mercy Park,,Match Report,
Regular Season,4,Sat,2024-03-16,19:30 (01:30),Minnesota Utd,0.8,2–0,1.6,LAFC,19315,Allianz Field,Kyle Johnston,Match Report,
