rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
1,Paxten Aaronson,us USA,MF,Colorado Rapids,22-063,2003,6.4,1,22,7,31.8,3.46,1.10,0.05,0.14,18.7,0,0,0,2.7,2.7,0.12,-1.7,-1.7,Matches
2,Liel Abada,il ISR,"FW,MF",Charlotte,24-025,2001,16.5,5,44,15,34.1,2.67,0.91,0.11,0.33,16.5,0,0,0,7.0,7.0,0.16,-2.0,-2.0,Matches
3,Wessam Abou Ali,ps PLE,FW,Columbus Crew,26-297,1999,3.4,3,5,4,80.0,1.49,1.19,0.60,0.75,12.2,0,0,0,0.8,0.8,0.16,+2.2,+2.2,Matches
4,Luis Abram,pe PER,DF,Atlanta Utd,29-243,1996,16.6,0,1,0,0.0,0.06,0.00,0.00,,6.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
5,Lalas Abubakar,gh GHA,DF,FC Dallas,30-307,1994,18.4,1,8,3,37.5,0.43,0.16,0.13,0.33,14.5,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
6,Bryan Acosta,hn HON,MF,Nashville SC,31-338,1993,2.5,0,1,0,0.0,0.41,0.00,0.00,,37.7,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
7,Kellyn Acosta,us USA,MF,Chicago Fire,30-096,1995,7.3,0,2,2,100.0,0.27,0.27,0.00,0.00,24.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
8,Luciano Acosta,ar ARG,"MF,FW",FC Dallas,31-150,1994,18.8,5,28,12,42.9,1.49,0.64,0.14,0.33,19.9,6,1,2,5.4,3.8,0.14,-0.4,+0.2,Matches
9,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-285,1995,3.2,2,5,2,40.0,1.55,0.62,0.40,1.00,12.2,0,0,0,1.3,1.3,0.27,+0.7,+0.7,Matches
10,Leonardo Afonso,br BRA,"DF,FW",Atlanta Utd,24-107,2001,0.9,0,2,1,50.0,2.34,1.17,0.00,0.00,21.5,1,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
11,Leonardo Afonso,br BRA,"FW,MF",Inter Miami,24-107,2001,1.0,0,1,1,100.0,1.03,1.03,0.00,0.00,9.2,0,0,0,0.4,0.4,0.37,-0.4,-0.4,Matches
12,Stephen Afrifa,ca CAN,"MF,FW",Sporting KC,24-251,2001,1.5,0,6,2,33.3,3.91,1.30,0.00,0.00,11.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
13,William Agada,ng NGA,FW,Sporting KC,26-041,1999,1.1,0,6,0,0.0,5.45,0.00,0.00,,14.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
14,William Agada,ng NGA,FW,Real Salt Lake,26-041,1999,13.0,2,34,7,20.6,2.61,0.54,0.06,0.29,15.3,0,0,0,3.3,3.3,0.10,-1.3,-1.3,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,24-355,2000,13.6,6,34,16,47.1,2.50,1.18,0.15,0.31,14.9,0,1,1,5.3,4.6,0.13,+0.7,+0.4,Matches
16,Ali Ahmed,ca CAN,FW,Vancouver W'caps,25-018,2000,14.3,0,25,9,36.0,1.75,0.63,0.00,0.00,16.5,0,0,0,2.1,2.1,0.08,-2.1,-2.1,Matches
17,Forster Ajago,gh GHA,FW,Real Salt Lake,24-073,2001,2.9,1,4,3,75.0,1.39,1.04,0.25,0.33,18.6,0,0,0,0.6,0.6,0.16,+0.4,+0.4,Matches
18,Jordi Alba,es ESP,DF,Inter Miami,36-221,1989,28.5,6,19,9,47.4,0.67,0.32,0.32,0.67,18.7,0,0,0,2.7,2.7,0.14,+3.3,+3.3,Matches
19,Noah Allen,gr GRE,DF,Inter Miami,21-183,2004,21.1,0,5,2,40.0,0.24,0.09,0.00,0.00,23.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
20,Tadeo Allende,ar ARG,"MF,FW",Inter Miami,26-250,1999,23.9,11,52,27,51.9,2.17,1.13,0.21,0.41,13.7,1,0,0,10.3,10.3,0.20,+0.7,+0.7,Matches
21,Rasmus Alm,se SWE,DF,St. Louis,30-072,1995,0.1,0,1,0,0.0,11.25,0.00,0.00,,24.7,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
22,Miguel Almirón,py PAR,"FW,MF",Atlanta Utd,31-260,1994,30.1,6,65,19,29.2,2.16,0.63,0.05,0.16,19.2,2,3,3,9.0,6.6,0.10,-3.0,-3.6,Matches
23,Alejandro Alvarado Jr.,us USA,MF,San Diego FC,22-091,2003,5.4,0,6,3,50.0,1.11,0.55,0.00,0.00,21.7,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
24,Fernando Álvarez,co COL,DF,CF Montréal,22-065,2003,12.2,0,5,2,40.0,0.41,0.16,0.00,0.00,11.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
25,Steven Alzate,co COL,MF,Atlanta Utd,27-050,1998,7.2,0,6,3,50.0,0.83,0.42,0.00,0.00,25.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
26,Pedro Amador,pt POR,DF,Atlanta Utd,26-314,1998,23.1,1,14,4,28.6,0.61,0.17,0.07,0.25,25.7,0,0,0,0.5,0.5,0.04,+0.5,+0.5,Matches
27,Daouda Amadou,cm CMR,MF,Colorado Rapids,23-026,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
28,Frankie Amaya,us USA,MF,LAFC,25-032,2000,4.8,1,6,3,50.0,1.25,0.62,0.17,0.33,16.3,0,0,0,0.6,0.6,0.10,+0.4,+0.4,Matches
29,Malte Amundsen,dk DEN,DF,Columbus Crew,27-259,1998,19.8,1,11,2,18.2,0.56,0.10,0.09,0.50,22.0,0,0,0,1.2,1.2,0.11,-0.2,-0.2,Matches
30,Markus Anderson,us USA,FW,Philadelphia Union,21-321,2003,1.1,1,1,1,100.0,0.90,0.90,1.00,1.00,15.1,0,0,0,0.1,0.1,0.08,+0.9,+0.9,Matches
31,Tomas Ángel,co COL,FW,San Diego FC,22-250,2003,7.9,3,13,4,30.8,1.64,0.50,0.23,0.75,15.6,1,0,0,1.5,1.5,0.11,+1.5,+1.5,Matches
32,Iván Angulo,co COL,"MF,FW",Orlando City,26-220,1999,25.6,0,34,10,29.4,1.33,0.39,0.00,0.00,17.3,0,0,0,3.0,3.0,0.09,-3.0,-3.0,Matches
33,Conner Antley,us USA,"DF,MF",D.C. United,30-220,1995,14.9,1,6,2,33.3,0.40,0.13,0.17,0.50,10.3,0,0,0,0.9,0.9,0.16,+0.1,+0.1,Matches
34,Antony,br BRA,"FW,MF",Portland Timbers,24-050,2001,24.5,7,63,28,44.4,2.57,1.14,0.11,0.25,18.4,0,0,0,7.9,7.9,0.13,-0.9,-0.9,Matches
35,Seth Antwi,gh GHA,MF,St. Louis,25-353,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
36,Brian Anunga,cm CMR,MF,FC Cincinnati,29-079,1996,18.9,0,9,2,22.2,0.48,0.11,0.00,0.00,19.8,0,0,0,0.9,0.9,0.10,-0.9,-0.9,Matches
37,Chris Applewhite,us USA,DF,Nashville SC,18-066,2007,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
38,Cristian Arango,co COL,"FW,MF",SJ Earthquakes,30-233,1995,28.3,13,121,39,32.2,4.27,1.38,0.08,0.26,20.0,11,3,3,14.6,12.2,0.10,-1.6,-2.2,Matches
39,César Araujo,uy URU,MF,Orlando City,24-209,2001,20.0,2,19,6,31.6,0.95,0.30,0.11,0.33,19.6,3,0,0,0.9,0.9,0.05,+1.1,+1.1,Matches
40,Max Arfsten,us USA,"DF,MF",Columbus Crew,24-192,2001,28.5,4,46,16,34.8,1.62,0.56,0.09,0.25,15.3,0,0,0,5.3,5.3,0.11,-1.3,-1.3,Matches
41,Daniel Armando Ríos,mx MEX,FW,Vancouver W'caps,30-248,1995,15.7,3,40,9,22.5,2.54,0.57,0.08,0.33,14.8,1,0,2,6.2,4.6,0.12,-3.2,-1.6,Matches
42,Paul Arriola,us USA,"FW,DF",Seattle Sounders,30-265,1995,0.8,0,1,0,0.0,1.20,0.00,0.00,,12.5,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
43,Artur,br BRA,MF,Houston Dynamo,29-231,1996,31.7,1,11,2,18.2,0.35,0.06,0.09,0.50,27.6,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches
44,Joshua Atencio,us USA,MF,Colorado Rapids,23-270,2002,19.7,0,13,0,0.0,0.66,0.00,0.00,,19.0,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches
45,Eduard Atuesta,co COL,MF,Orlando City,28-132,1997,25.2,0,28,6,21.4,1.11,0.24,0.00,0.00,21.6,0,0,0,2.2,2.2,0.08,-2.2,-2.2,Matches
46,Julián Aude,ar ARG,DF,LA Galaxy,22-218,2003,13.6,0,4,1,25.0,0.29,0.07,0.00,0.00,18.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
47,Tomás Avilés,ar ARG,"DF,MF",Inter Miami,21-267,2004,13.3,2,4,2,50.0,0.30,0.15,0.50,1.00,19.2,0,0,0,0.6,0.6,0.15,+1.4,+1.4,Matches
48,Chidozie Awaziem,ng NGA,DF,Colorado Rapids,28-300,1997,19.7,0,13,2,15.4,0.66,0.10,0.00,0.00,11.9,1,0,0,1.3,1.3,0.10,-1.3,-1.3,Matches
49,Obafemi Awodesu,us USA,DF,Houston Dynamo,24-206,2001,17.2,1,3,1,33.3,0.17,0.06,0.33,1.00,8.0,0,0,0,0.5,0.5,0.17,+0.5,+0.5,Matches
50,David Ayala,ar ARG,MF,Portland Timbers,23-094,2002,29.2,2,33,6,18.2,1.13,0.21,0.06,0.33,18.9,0,0,0,1.8,1.8,0.05,+0.2,+0.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
51,Dominique Badji,sn SEN,"FW,MF",D.C. United,33-012,1992,8.3,1,16,7,43.8,1.93,0.84,0.06,0.14,12.6,0,0,0,2.5,2.5,0.16,-1.5,-1.5,Matches
52,Jeevan Badwal,ca CAN,"MF,FW",Vancouver W'caps,19-231,2006,10.0,1,7,5,71.4,0.70,0.50,0.14,0.20,13.1,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches
53,Corey Baird,us USA,FW,San Diego FC,29-271,1996,2.9,0,3,0,0.0,1.03,0.00,0.00,,19.1,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
54,Corey Baird,us USA,"FW,MF",FC Cincinnati,29-271,1996,4.7,0,8,3,37.5,1.71,0.64,0.00,0.00,13.7,0,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches
55,Cody Baker,us USA,"DF,MF",Seattle Sounders,21-294,2004,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
56,Reed Baker-Whiting,us USA,DF,Seattle Sounders,20-211,2005,6.0,0,3,1,33.3,0.50,0.17,0.00,0.00,18.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
57,Monsef Bakrar,dz ALG,"FW,MF",NYCFC,24-288,2001,6.7,2,19,5,26.3,2.85,0.75,0.11,0.40,15.9,0,0,0,1.9,1.9,0.10,+0.1,+0.1,Matches
58,Alexandru Băluță,ro ROU,"MF,FW",LAFC,32-045,1993,0.2,0,2,1,50.0,12.00,6.00,0.00,0.00,25.4,0,0,0,0.5,0.5,0.25,-0.5,-0.5,Matches
59,Jonathan Bamba,ci CIV,FW,Chicago Fire,29-216,1996,27.3,5,57,24,42.1,2.09,0.88,0.09,0.21,18.3,1,0,0,5.9,5.9,0.10,-0.9,-0.9,Matches
60,Fidel Barajas,mx MEX,FW,D.C. United,19-206,2006,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
