rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
1,Amir Abedzadeh,ir IRN,GK,Marítimo,26,1993,25.0,563,864,65.2,17284,13397,77,77,247,254,235,526,0,0.0,0.0,0.0,0,14,0,0,0,Matches
2,Vincent Aboubakar,cm CMR,FW,Porto,27,1992,0.8,20,25,80.0,275,32,13,13,4,8,1,1,0,0.1,0.1,-0.1,1,0,1,0,2,Matches
3,Elias Abouchabaka,de GER,MF,Vitória,19,2000,0.1,9,10,90.0,173,48,5,5,3,3,1,2,0,0.0,0.0,0.0,0,3,0,0,3,Matches
4,Fábio Abreu,ao ANG,FW,Moreirense,26,1993,26.6,234,361,64.8,3397,659,125,178,81,126,12,20,2,2.8,1.0,-0.8,18,26,5,0,40,Matches
5,Yaw Ackah,gh GHA,MF,Boavista,20,1999,21.1,643,777,82.8,12065,3046,285,327,267,302,77,117,0,0.6,0.6,-0.6,8,51,3,0,61,Matches
6,Marcos Acuña,ar ARG,"DF,FW",Sporting CP,27,1991,22.4,1210,1592,76.0,24985,9548,432,496,555,675,212,377,1,3.6,4.1,-2.6,45,145,41,15,159,Matches
7,Raphael Aflalo,br BRA,GK,Aves,23,1996,5.0,85,140,60.7,2856,2119,9,9,40,40,36,90,0,0.0,0.0,0.0,0,4,0,0,0,Matches
8,João Afonso Crispim,br BRA,MF,Gil Vicente FC,24,1995,15.0,497,655,75.9,10055,3105,172,199,242,300,75,120,2,1.4,0.6,+0.6,9,70,6,1,73,Matches
9,João Afonso,pt POR,DF,Santa Clara,29,1990,31.9,990,1234,80.2,23193,8651,186,219,606,674,195,318,1,0.8,0.8,+0.2,5,52,1,1,59,Matches
10,Mikel Agu,ng NGA,MF,Vitória,26,1993,13.7,458,551,83.1,8108,2207,187,206,222,260,37,57,2,0.3,0.4,+1.7,6,53,5,0,65,Matches
11,Chima Akas,ng NGA,DF,B-SAD,25,1994,14.4,428,614,69.7,8730,3830,130,159,222,290,68,137,1,0.5,0.5,+0.5,8,34,5,3,29,Matches
12,Alex,pt POR,"FW,MF",Vitória Setúbal,27,1991,1.8,53,96,55.2,1128,468,19,26,25,37,9,23,0,0.1,0.2,-0.1,3,7,0,0,4,Matches
13,André Almeida,pt POR,DF,Benfica,28,1990,22.3,1119,1392,80.4,18137,5954,582,653,445,537,75,134,4,2.0,2.1,+2.0,18,62,25,11,91,Matches
14,Diogo Almeida,pt POR,"FW,MF",Paços de Ferreira,18,2000,2.7,38,55,69.1,624,140,18,22,15,26,3,5,0,0.0,0.1,0.0,0,4,3,1,3,Matches
15,Domingos André Ribeiro Almeida,pt POR,MF,Vitória,19,2000,2.4,53,69,76.8,885,290,27,32,18,21,6,11,0,0.1,0.1,-0.1,2,6,2,1,10,Matches
16,Ricardo Miguel Martins Alves,pt POR,DF,Tondela,28,1991,12.5,459,567,81.0,11118,4742,92,109,254,279,111,169,0,0.7,0.2,-0.7,2,35,3,0,28,Matches
17,Pedro Amador,pt POR,"DF,MF",Braga,20,1998,6.9,313,407,76.9,5784,1634,131,160,145,171,35,57,0,0.6,1.4,-0.6,10,14,17,9,23,Matches
18,João Amaral,pt POR,"FW,MF",Paços de Ferreira,27,1991,12.3,209,348,60.1,4034,1533,87,111,74,110,38,98,4,2.8,2.3,+1.2,26,16,16,4,32,Matches
19,Pedro Amaral,pt POR,DF,Rio Ave,21,1997,7.5,321,455,70.5,5794,1982,143,177,137,188,38,78,0,0.4,0.9,-0.4,7,16,11,4,18,Matches
20,Joseph Amoah,gh GHA,MF,Vitória,25,1994,1.8,44,56,78.6,754,367,19,23,23,28,2,2,1,0.5,0.3,+0.5,2,6,1,0,13,Matches
21,Artur Jorge Marques Amorim,pt POR,DF,Vitória Setúbal,24,1994,28.6,978,1227,79.7,21882,8813,237,267,559,625,175,308,1,0.2,0.4,+0.8,4,57,3,0,54,Matches
22,Anderson,br BRA,FW,Famalicão,21,1997,9.0,55,101,54.5,773,121,35,52,18,31,1,9,1,1.4,0.6,-0.4,6,4,1,0,7,Matches
23,Anderson,br BRA,FW,Portimonense,21,1998,2.1,56,67,83.6,837,226,27,32,27,28,1,4,0,0.1,0.2,-0.1,2,2,3,1,9,Matches
24,André André,pt POR,MF,Vitória,29,1989,13.5,429,518,82.8,7825,2252,179,205,199,220,40,68,1,1.7,1.5,-0.7,14,66,5,3,95,Matches
25,Mirko Antonucci,it ITA,"MF,FW",Vitória Setúbal,20,1999,2.0,22,26,84.6,379,163,10,11,8,10,2,2,0,0.1,0.1,-0.1,1,2,1,1,3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
