wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
1,Fri,2019-08-09,20:30 (21:30),Portimonense,0.8,0–0,0.4,B-SAD,3486,Estádio do Portimonense SC,Manuel Mota,Match Report,
1,Sat,2019-08-10,15:30 (17:30),Santa Clara,2.3,0–2,1.5,Famalicão,1659,Estádio de São Miguel,Rui Oliveira,Match Report,
1,Sat,2019-08-10,19:00 (20:00),Gil Vicente FC,1.7,2–1,2.9,Porto,10962,Estádio Cidade de Barcelos,Nuno Almeida,Match Report,
1,Sat,2019-08-10,21:30 (22:30),Benfica,3.5,5–0,0.3,Paços de Ferreira,62956,Estádio do Sport Lisboa e Benfica,Manuel Oliveira,Match Report,
1,Sun,2019-08-11,16:00 (17:00),Boavista,1.0,2–1,0.6,Aves,6010,Estádio do Bessa Século XXI,Hélder Malheiro,Match Report,
1,Sun,2019-08-11,18:30 (19:30),Marítimo,1.2,1–1,0.7,Sporting CP,9673,Estádio dos Barreiros,Tiago Martins,Match Report,
1,Sun,2019-08-11,21:00 (22:00),Braga,1.6,3–1,0.8,Moreirense,13223,Estádio Municipal de Braga,Fábio Costa,Match Report,
1,Mon,2019-08-12,20:15 (21:15),Vitória Setúbal,0.7,0–0,1.3,Tondela,3795,Estádio do Bonfim,Vitor Ferreira Fernandes,Match Report,
2,Fri,2019-08-16,20:30 (21:30),Famalicão,0.9,1–0,1.8,Rio Ave,4960,Estádio Municipal 22 de Junho,Rui Costa,Match Report,
2,Sat,2019-08-17,16:30 (17:30),Moreirense,2.0,3–0,0.8,Gil Vicente FC,1792,P.D. Comendador Joaquim de Almeida Freit...,Manuel Oliveira,Match Report,
2,Sat,2019-08-17,19:00 (20:00),B-SAD,1.0,0–2,1.8,Benfica,17821,Estádio Nacional,Fábio Costa,Match Report,
2,Sat,2019-08-17,21:30 (22:30),Porto,2.7,4–0,0.9,Vitória Setúbal,38820,Estádio Do Dragão,Manuel Mota,Match Report,
2,Sun,2019-08-18,16:00 (17:00),Paços de Ferreira,0.8,0–1,0.8,Santa Clara,3153,Estádio da Capital do Móvel,André Narciso,Match Report,
2,Sun,2019-08-18,16:00 (17:00),Aves,1.5,3–1,0.4,Marítimo,1511,Estádio Clube Desportivo das Aves,Jorge de Sousa,Match Report,
2,Sun,2019-08-18,18:30 (19:30),Vitória,1.2,1–1,0.3,Boavista,16765,Estádio Dom Afonso Henriques,Artur Soares Dias,Match Report,
2,Sun,2019-08-18,21:00 (22:00),Sporting CP,1.2,2–1,2.2,Braga,35692,Estádio José Alvalade,Luís Godinho,Match Report,
2,Mon,2019-08-19,20:15 (21:15),Tondela,0.4,1–2,1.5,Portimonense,2955,Estádio João Cardoso,Hugo Miguel,Match Report,
3,Fri,2019-08-23,19:00 (20:00),Vitória Setúbal,1.0,0–0,0.3,Moreirense,3787,Estádio do Bonfim,Iancu Vasilica,Match Report,
3,Fri,2019-08-23,21:15 (22:15),Rio Ave,4.2,5–1,0.6,Aves,2485,Estádio do Rio Ave Futebol Clube,Fábio Costa,Match Report,
3,Sat,2019-08-24,19:00 (20:00),Benfica,0.3,0–2,1.9,Porto,62735,Estádio do Sport Lisboa e Benfica,Jorge de Sousa,Match Report,
3,Sat,2019-08-24,21:30 (22:30),Boavista,0.8,1–1,1.3,Paços de Ferreira,6391,Estádio do Bessa Século XXI,Manuel Mota,Match Report,
3,Sun,2019-08-25,15:00 (17:00),Santa Clara,0.9,0–0,0.3,B-SAD,3525,Estádio de São Miguel,João Pinheiro,Match Report,
3,Sun,2019-08-25,16:00 (17:00),Marítimo,2.0,2–3,2.9,Tondela,5568,Estádio dos Barreiros,André Narciso,Match Report,
3,Sun,2019-08-25,18:30 (19:30),Portimonense,1.6,1–3,2.6,Sporting CP,5634,Estádio do Portimonense SC,Carlos Xistra,Match Report,
3,Sun,2019-08-25,20:30 (21:30),Gil Vicente FC,1.4,1–1,0.6,Braga,6769,Estádio Cidade de Barcelos,Hugo Miguel,Match Report,
3,Sun,2019-08-25,21:00 (22:00),Vitória,1.5,1–1,1.2,Famalicão,16225,Estádio Dom Afonso Henriques,Manuel Oliveira,Match Report,
4,Fri,2019-08-30,19:00 (20:00),Moreirense,0.7,1–0,0.7,Portimonense,1432,P.D. Comendador Joaquim de Almeida Freit...,Gustavo Correia,Match Report,
4,Fri,2019-08-30,21:15 (22:15),B-SAD,1.0,0–1,0.6,Boavista,1213,Estádio Nacional,Hugo Miguel,Match Report,
4,Sat,2019-08-31,16:30 (17:30),Paços de Ferreira,1.4,0–1,0.6,Marítimo,1714,Estádio da Capital do Móvel,Rui Oliveira,Match Report,
4,Sat,2019-08-31,16:30 (17:30),Aves,1.5,2–3,2.2,Famalicão,3573,Estádio Clube Desportivo das Aves,Luís Godinho,Match Report,
4,Sat,2019-08-31,19:00 (20:00),Sporting CP,1.2,2–3,2.5,Rio Ave,37942,Estádio José Alvalade,João Pinheiro,Match Report,
4,Sat,2019-08-31,21:30 (22:30),Gil Vicente FC,1.4,0–0,0.4,Vitória Setúbal,3200,Estádio Cidade de Barcelos,Hélder Malheiro,Match Report,
Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
4,Sun,2019-09-01,16:00 (17:00),Tondela,3.0,0–0,1.3,Santa Clara,2122,Estádio João Cardoso,Manuel Mota,Match Report,
4,Sun,2019-09-01,18:30 (19:30),Porto,2.6,3–0,0.8,Vitória,47711,Estádio Do Dragão,Carlos Xistra,Match Report,
4,Sun,2019-09-01,21:00 (22:00),Braga,1.1,0–4,1.7,Benfica,15499,Estádio Municipal de Braga,Nuno Almeida,Match Report,
1,Sun,2019-09-08,15:00 (16:00),Rio Ave,0.7,1–1,1.8,Vitória,2713,Estádio do Rio Ave Futebol Clube,Hugo Miguel,Match Report,
5,Fri,2019-09-13,20:30 (21:30),Vitória Setúbal,1.4,1–0,1.2,Braga,3527,Estádio do Bonfim,Artur Soares Dias,Match Report,
5,Sat,2019-09-14,16:30 (17:30),Famalicão,1.5,4–2,2.1,Paços de Ferreira,4855,Estádio Municipal 22 de Junho,António Nobre,Match Report,
5,Sat,2019-09-14,19:00 (20:00),Benfica,1.7,2–0,0.8,Gil Vicente FC,54706,Estádio do Sport Lisboa e Benfica,João Pinheiro,Match Report,
