squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
Aves,44,24.3,41.3,34,374,3060,34.0,24,13,37,20,4,6,92,7,28.9,24.2,17.3,41.5,402,813,0.71,0.38,1.09,0.59,0.97,0.85,0.51,1.36,0.71,1.22
B-SAD,41,25.9,49.1,34,374,3060,34.0,23,14,37,22,1,3,96,4,31.4,29.0,21.1,50.1,409,983,0.68,0.41,1.09,0.65,1.06,0.92,0.62,1.54,0.85,1.47
Benfica,28,25.4,57.8,34,374,3060,34.0,67,52,119,62,5,9,71,2,67.7,60.7,49.9,110.6,678,1794,1.97,1.53,3.5,1.82,3.35,1.99,1.47,3.46,1.78,3.25
Boavista,27,27.7,42.8,34,374,3060,34.0,26,16,42,23,3,4,109,7,33.0,29.9,20.3,50.2,372,902,0.76,0.47,1.24,0.68,1.15,0.97,0.6,1.57,0.88,1.48
Braga,36,25.5,58.5,34,374,3060,34.0,61,41,102,58,3,4,89,6,61.1,57.9,46.0,103.9,640,1673,1.79,1.21,3.0,1.71,2.91,1.8,1.35,3.15,1.7,3.06
Famalicão,26,23.7,52.6,34,374,3060,34.0,51,32,83,45,6,8,99,11,47.3,40.9,29.7,70.6,556,1253,1.5,0.94,2.44,1.32,2.26,1.39,0.87,2.26,1.2,2.08
Gil Vicente FC,27,26.5,47.5,34,374,3060,34.0,40,26,66,36,4,6,76,4,38.2,33.5,25.5,59.0,482,1152,1.18,0.76,1.94,1.06,1.82,1.12,0.75,1.88,0.99,1.74
Marítimo,30,26.5,47.1,34,374,3060,34.0,32,13,45,28,4,4,98,5,36.6,33.5,24.9,58.3,447,933,0.94,0.38,1.32,0.82,1.21,1.08,0.73,1.81,0.98,1.72
Moreirense,27,26.5,44.1,34,374,3060,34.0,42,34,76,38,4,4,81,4,40.5,37.5,32.3,69.8,482,1021,1.24,1.0,2.24,1.12,2.12,1.19,0.95,2.14,1.1,2.05
Paços de Ferreira,31,26.6,46.9,34,374,3060,34.0,34,22,56,30,4,4,113,6,35.0,31.8,24.4,56.2,425,1137,1.0,0.65,1.65,0.88,1.53,1.03,0.72,1.75,0.94,1.65
Portimonense,32,25.5,51.1,34,374,3060,34.0,29,22,51,26,3,4,81,2,36.5,33.4,25.5,58.9,469,1290,0.85,0.65,1.5,0.76,1.41,1.07,0.75,1.82,0.98,1.73
Porto,28,27.4,59.5,34,374,3060,34.0,71,48,119,61,10,14,87,3,65.5,54.5,45.1,99.6,636,1545,2.09,1.41,3.5,1.79,3.21,1.93,1.33,3.25,1.6,2.93
Rio Ave,27,27.2,55.7,34,374,3060,34.0,47,27,74,35,12,14,73,7,53.7,43.1,34.1,77.2,600,1389,1.38,0.79,2.18,1.03,1.82,1.58,1.0,2.58,1.27,2.27
Santa Clara,29,26.5,46.1,34,374,3060,34.0,34,21,55,28,6,6,75,3,45.3,40.9,29.5,70.3,364,963,1.0,0.62,1.62,0.82,1.44,1.33,0.87,2.2,1.2,2.07
Sporting CP,36,25.0,58.4,34,374,3060,34.0,47,24,71,39,8,8,90,3,49.1,42.8,34.8,77.7,616,1476,1.38,0.71,2.09,1.15,1.85,1.44,1.02,2.47,1.26,2.28
Tondela,30,25.0,45.8,34,374,3060,34.0,29,14,43,22,7,11,82,4,42.6,34.0,26.6,60.6,446,1000,0.85,0.41,1.26,0.65,1.06,1.25,0.78,2.03,1.0,1.78
Vitória,32,25.8,50.7,34,374,3060,34.0,53,38,91,47,6,7,69,5,54.2,48.7,37.0,85.7,763,1623,1.56,1.12,2.68,1.38,2.5,1.59,1.09,2.68,1.43,2.52
Vitória Setúbal,31,27.7,45.0,34,374,3060,34.0,26,20,46,26,0,1,99,7,27.7,26.9,20.3,47.2,421,841,0.76,0.59,1.35,0.76,1.35,0.81,0.6,1.41,0.79,1.39
