rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
1,Alaa Abbas,iq IRQ,"FW,MF",Gil Vicente FC,23,1997,1.2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Matches
2,Amir Abedzadeh,ir IRN,GK,Marítimo,27,1993,29.0,1,1,1,0,0,1,2,1,0,0,0,1,2,11,1,Matches
3,Abner,br BRA,DF,Farense,24,1996,13.6,20,11,14,5,1,9,18,9,9,3,6,34,54,28,1,Matches
4,Fábio Abreu,ao ANG,FW,Moreirense,27,1993,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Matches
5,Antonio Adán,es ESP,GK,Sporting CP,33,1987,32.0,2,1,2,0,0,2,4,2,0,0,0,1,3,12,3,Matches
6,João Afonso Crispim,br BRA,"MF,DF",Gil Vicente FC,25,1995,13.5,41,27,17,23,1,16,39,23,17,6,11,23,64,29,0,Matches
7,João Afonso,pt POR,DF,Santa Clara,30,1990,14.8,18,16,14,4,0,9,15,6,13,8,5,26,44,68,0,Matches
8,Lucas Áfrico,br BRA,DF,Marítimo,25,1995,14.9,17,13,14,3,0,7,11,4,17,11,6,14,31,39,1,Matches
9,Salvador Agra,pt POR,"FW,MF",Tondela,28,1991,25.1,13,7,5,6,2,4,25,21,14,1,13,10,23,10,0,Matches
10,Mikel Agu,ng NGA,"MF,DF",Vitória,27,1993,8.7,25,17,16,9,0,9,28,19,12,5,7,25,50,28,0,Matches
11,Chima Akas,ng NGA,DF,B-SAD,26,1994,0.5,2,0,2,0,0,2,2,0,0,0,0,0,2,1,0,Matches
12,Ali Alipour,ir IRN,"FW,MF",Marítimo,24,1995,12.8,9,6,2,5,2,2,5,3,8,0,8,8,17,16,0,Matches
13,Allano,br BRA,FW,Santa Clara,25,1995,12.3,24,12,8,10,6,9,21,12,23,3,20,7,31,5,0,Matches
14,André Almeida,pt POR,DF,Benfica,29,1990,3.1,4,3,4,0,0,2,5,3,3,0,3,8,12,3,0,Matches
15,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Vitória,20,2000,18.3,31,22,11,16,4,17,36,19,22,1,21,10,41,10,0,Matches
16,Jordi Almeida,br BRA,GK,Paços de Ferreira,26,1993,32.0,4,3,4,0,0,4,5,1,0,0,0,1,5,20,2,Matches
17,André Almeida Pinto,pt POR,DF,Farense,30,1989,8.6,5,3,3,1,1,3,5,2,6,4,2,13,18,30,0,Matches
18,Álvarinho,pt POR,"FW,MF",Farense,29,1990,0.6,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,Matches
19,Ricardo Miguel Martins Alves,pt POR,DF,Tondela,29,1991,13.9,13,7,9,4,0,2,6,4,15,12,3,16,29,68,0,Matches
20,Pedro Amador,pt POR,DF,Moreirense,21,1998,3.7,9,6,6,2,1,4,9,5,8,2,6,12,21,11,0,Matches
21,João Amaral,pt POR,"FW,MF",Paços de Ferreira,28,1991,12.7,18,10,9,8,1,5,20,15,14,1,13,12,30,17,0,Matches
22,Pedro Amaral,pt POR,DF,Rio Ave,22,1997,19.7,29,18,16,11,2,19,38,19,23,3,20,23,52,29,0,Matches
23,André Amaro,pt POR,DF,Vitória,17,2002,9.7,15,9,11,4,0,12,17,5,9,6,3,14,29,49,0,Matches
24,Anderson,br BRA,FW,Famalicão,22,1997,12.1,3,3,1,1,1,1,5,4,9,1,8,5,8,4,0,Matches
25,Anderson,br BRA,"FW,MF",Portimonense,22,1998,16.2,25,11,9,10,6,14,38,24,16,2,14,13,38,8,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,Felipe Anderson,br BRA,"MF,FW",Porto,27,1993,1.5,2,2,1,1,0,2,8,6,4,0,4,2,4,3,0,Matches
27,Léo Andrade,br BRA,DF,Marítimo,22,1998,20.6,24,10,17,6,1,13,29,16,31,18,13,43,67,91,0,Matches
28,André André,pt POR,MF,Vitória,30,1989,28.9,48,32,17,30,1,18,49,31,27,4,23,31,79,26,0,Matches
29,Souleymane Anne,mr MTN,"FW,MF",Tondela,22,1997,3.3,5,3,1,1,3,1,4,3,1,0,1,1,6,1,0,Matches
30,Maurício Antônio,br BRA,DF,Portimonense,28,1992,32.6,54,37,40,14,0,23,41,18,19,13,6,98,152,144,1,Matches
31,Vitorino Antunes,pt POR,DF,Sporting CP,33,1987,3.9,3,2,2,0,1,1,7,6,0,0,0,9,12,5,0,Matches
32,Koki Anzai,jp JPN,DF,Portimonense,25,1995,28.6,30,14,20,6,4,15,33,18,20,5,15,25,55,47,0,Matches
33,Bilel Aouacheria,fr FRA,"MF,FW",Farense,26,1994,10.6,9,5,4,5,0,6,8,2,14,0,14,2,11,3,0,Matches
34,Brian Araújo,fr FRA,GK,Gil Vicente FC,20,2000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
35,Guilherme Araújo Soares,pt POR,DF,Braga,19,2001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,Matches
36,Telmo Arcanjo,cv CPV,"FW,MF",Tondela,19,2001,3.5,6,5,3,3,0,2,4,2,6,0,6,5,11,3,0,Matches
37,Roberto Olabe del Arco,es ESP,"MF,FW",Tondela,24,1996,12.1,24,13,12,11,1,13,32,19,15,1,14,11,35,9,0,Matches
38,Gustavo Assuncao,pt POR,MF,Famalicão,20,2000,21.2,26,16,12,12,2,13,44,31,10,1,9,24,50,39,0,Matches
39,Filipe Augusto,br BRA,MF,Rio Ave,26,1993,22.5,58,32,25,29,4,31,67,36,32,10,22,38,96,26,0,Matches
40,Chidozie Awaziem,ng NGA,DF,Boavista,23,1997,25.0,26,17,19,5,2,13,29,16,17,10,7,55,81,124,1,Matches
41,Larry Azouni,tn TUN,MF,Nacional,26,1994,20.3,44,23,11,29,4,20,44,24,21,2,19,35,79,18,0,Matches
42,Abdoulaye Ba,sn SEN,DF,Moreirense,29,1991,10.9,17,9,13,4,0,7,14,7,11,6,5,15,32,40,0,Matches
43,Srđan Babić,rs SRB,DF,Famalicão,24,1996,26.3,23,16,16,6,1,17,21,4,16,10,6,35,58,114,0,Matches
44,Marco Baixinho,pt POR,DF,Paços de Ferreira,31,1989,20.4,21,15,19,2,0,11,17,6,17,8,9,44,65,75,1,Matches
45,Franck-Yves Bambock,fr FRA,MF,Marítimo,25,1995,17.1,19,11,8,9,2,8,18,10,16,4,12,22,41,17,0,Matches
46,Miguel Bandarra,pt POR,"DF,MF",Farense,24,1996,1.4,4,2,1,3,0,4,6,2,4,1,3,1,5,1,0,Matches
47,Yves Baraye,sn SEN,"FW,MF",Gil Vicente FC,28,1992,6.7,7,2,1,5,1,2,12,10,15,0,15,6,13,2,0,Matches
48,Rafael Barbosa,pt POR,"FW,MF",Tondela,24,1996,18.2,19,10,4,11,4,9,20,11,16,2,14,11,30,6,0,Matches
49,Romário Baró,pt POR,"MF,FW",Porto,20,2000,1.9,2,2,0,0,2,1,5,4,0,0,0,2,4,1,0,Matches
50,Gil Bastião Dias,pt POR,"MF,FW",Famalicão,23,1996,26.2,63,30,33,23,7,22,49,27,19,2,17,41,104,33,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Bebeto,br BRA,DF,Tondela,30,1990,16.3,75,52,39,30,6,34,69,35,21,2,19,30,105,35,1,Matches
52,Stefano Beltrame,it ITA,"MF,DF",Marítimo,27,1993,1.2,2,2,1,1,0,1,2,1,1,0,1,0,2,0,0,Matches
53,Jorge Bengoché,hn HON,FW,Boavista,24,1996,6.4,0,0,0,0,0,0,0,0,2,0,2,1,1,4,0,Matches
54,Éber Bessa,br BRA,MF,Nacional,28,1992,6.7,24,12,9,9,6,15,23,8,14,0,14,5,29,3,0,Matches
55,Beto,pt POR,GK,Farense,38,1982,11.0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,Matches
56,Beto,gw GNB,FW,Portimonense,22,1998,21.7,15,7,3,8,4,6,19,13,21,5,16,2,17,24,0,Matches
57,Quentin Beunardeau,fr FRA,GK,Gil Vicente FC,26,1994,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
58,Aylton Boa Morte,pt POR,"FW,MF",Portimonense,26,1993,28.9,34,21,11,14,9,13,33,20,20,1,19,16,50,8,0,Matches
59,Gergely Bobál,hu HUN,MF,Nacional,24,1995,0.1,2,2,1,0,1,0,0,0,0,0,0,0,2,1,0,Matches
60,Toni Borevkovic,hr CRO,DF,Rio Ave,23,1997,31.5,37,30,35,2,0,20,32,12,21,13,8,63,100,106,0,Matches
61,Nuno Borges,cv CPV,MF,Nacional,32,1988,18.5,29,22,10,16,3,13,44,31,24,11,13,32,61,39,1,Matches
62,Pedro Borges,br BRA,"MF,FW",Tondela,23,1997,18.7,43,24,18,24,1,11,35,24,18,4,14,36,79,41,0,Matches
63,Cristian Borja,co COL,DF,Sporting CP,27,1993,1.1,1,1,1,0,0,1,2,1,0,0,0,0,1,0,0,Matches
64,Cristian Borja,co COL,DF,Braga,27,1993,8.7,17,9,14,3,0,7,14,7,6,1,5,15,32,16,0,Matches
65,Daniel Bragança,pt POR,MF,Sporting CP,21,1999,7.7,22,17,10,11,1,12,21,9,10,0,10,8,30,2,0,Matches
66,Júnior Brandão,br BRA,FW,Rio Ave,25,1995,4.3,4,2,2,1,1,2,4,2,2,0,2,0,4,5,0,Matches
67,Burá,gw GNB,DF,Farense,24,1995,8.7,20,12,18,2,0,11,18,7,15,9,6,12,32,35,0,Matches
68,Jovane Cabral,cv CPV,"MF,FW",Sporting CP,22,1998,7.7,13,6,5,6,2,5,16,11,4,0,4,4,17,2,0,Matches
69,Caju,br BRA,DF,Braga,25,1995,0.2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,Matches
70,Diogo Calila,mz MOZ,"MF,DF",B-SAD,21,1998,10.7,25,16,17,8,0,15,26,11,13,2,11,7,32,16,0,Matches
71,João Pedro Gomes Camacho,pt POR,"FW,MF",Nacional,26,1994,19.5,30,20,10,16,4,15,26,11,22,3,19,18,48,11,0,Matches
72,Rafael Camacho,pt POR,FW,Rio Ave,20,2000,7.4,6,2,2,3,1,2,7,5,4,0,4,0,6,1,0,Matches
73,Ibrahima Camará,gn GUI,MF,Moreirense,21,1999,5.3,10,8,5,5,0,1,10,9,6,3,3,7,17,4,0,Matches
74,Leonardo Campana,ec ECU,FW,Famalicão,20,2000,3.7,0,0,0,0,0,0,4,4,3,1,2,2,2,3,0,Matches
75,Djalma Campos,ao ANG,"FW,MF",Farense,33,1987,1.4,2,1,1,0,1,0,1,1,2,0,2,3,5,2,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
