rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,recov,won,lost,won_aerial,matches
1,Alaa Abbas,iq IRQ,"FW,MF",Gil Vicente FC,23,1997,1.2,0,0,0,3,0,0,0,1,0,0,0,0,3,4,10,28.6,Matches
2,Amir Abedzadeh,ir IRN,GK,Marítimo,27,1993,29.0,2,0,0,0,9,0,0,1,1,0,0,0,40,11,0,100.0,Matches
3,Abner,br BRA,DF,Farense,24,1996,13.6,4,0,0,23,30,0,19,34,11,0,0,0,61,14,21,40.0,Matches
4,Fábio Abreu,ao ANG,FW,Moreirense,27,1993,3.0,1,0,0,2,10,0,0,0,0,1,0,0,3,9,16,36.0,Matches
5,Antonio Adán,es ESP,GK,Sporting CP,33,1987,32.0,5,0,0,2,5,0,0,1,1,0,1,0,47,13,0,100.0,Matches
6,João Afonso Crispim,br BRA,"MF,DF",Gil Vicente FC,25,1995,13.5,10,1,1,34,13,0,0,23,27,1,0,0,80,20,30,40.0,Matches
7,João Afonso,pt POR,DF,Santa Clara,30,1990,14.8,2,0,0,5,10,0,2,26,16,0,0,0,48,39,22,63.9,Matches
8,Lucas Áfrico,br BRA,DF,Marítimo,25,1995,14.9,2,0,0,22,18,0,2,14,13,1,1,0,67,36,31,53.7,Matches
9,Salvador Agra,pt POR,"FW,MF",Tondela,28,1991,25.1,6,2,0,35,52,8,131,10,7,0,1,0,98,4,21,16.0,Matches
10,Mikel Agu,ng NGA,"MF,DF",Vitória,27,1993,8.7,2,0,0,17,0,0,2,25,17,0,0,0,66,22,15,59.5,Matches
11,Chima Akas,ng NGA,DF,B-SAD,26,1994,0.5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
12,Ali Alipour,ir IRN,"FW,MF",Marítimo,24,1995,12.8,0,0,0,15,17,7,14,8,6,0,0,0,37,43,46,48.3,Matches
13,Allano,br BRA,FW,Santa Clara,25,1995,12.3,5,1,0,34,45,4,33,7,12,0,0,0,83,17,12,58.6,Matches
14,André Almeida,pt POR,DF,Benfica,29,1990,3.1,2,0,0,5,1,1,11,8,3,0,0,0,20,7,9,43.8,Matches
15,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Vitória,20,2000,18.3,2,0,0,32,43,3,12,10,22,0,0,0,94,7,24,22.6,Matches
16,Jordi Almeida,br BRA,GK,Paços de Ferreira,26,1993,32.0,1,0,0,2,4,0,0,1,3,0,1,0,28,17,3,85.0,Matches
17,André Almeida Pinto,pt POR,DF,Farense,30,1989,8.6,3,1,1,22,6,1,1,13,3,0,0,0,25,33,18,64.7,Matches
18,Álvarinho,pt POR,"FW,MF",Farense,29,1990,0.6,0,0,0,1,2,0,2,1,0,0,0,0,7,0,0,,Matches
