rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
1,Rodrigo Abascal,uy URU,DF,Boavista,28,1994,25.5,0,8,1,12.5,0.31,0.04,0.00,0.00,34.1,3,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches
2,Giorgi Aburjania,ge GEO,MF,Gil Vicente FC,27,1995,17.9,0,13,2,15.4,0.73,0.11,0.00,0.00,23.2,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
3,Elias Achouri,tn TUN,MF,Estoril,23,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
4,Antonio Adán,es ESP,GK,Sporting CP,35,1987,31.0,0,1,0,0.0,0.03,0.00,0.00,,7.3,0,0,0,0.2,0.2,0.22,-0.2,-0.2,Matches
5,Adriano,br BRA,"MF,DF",Santa Clara,22,1999,24.5,1,9,2,22.2,0.37,0.08,0.11,0.50,22.5,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
6,João Afonso Crispim,br BRA,MF,Marítimo,27,1995,16.3,0,1,0,0.0,0.06,0.00,0.00,,4.5,0,0,0,0.2,0.2,0.19,-0.2,-0.2,Matches
7,Lucas Áfrico,br BRA,DF,Estoril,27,1995,3.9,0,1,0,0.0,0.25,0.00,0.00,,8.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
8,Martin Agirregabiria,es ESP,"DF,FW",Famalicão,26,1996,4.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
9,Salvador Agra,pt POR,"FW,MF",Boavista,30,1991,18.3,3,17,5,29.4,0.93,0.27,0.18,0.60,21.6,1,0,0,1.4,1.4,0.08,+1.6,+1.6,Matches
10,Mohamed Aidara,ci CIV,"DF,FW",Vizela,25,1996,2.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
11,Alemão,br BRA,DF,Portimonense,19,2002,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
12,Sotiris Alexandropoulos,gr GRE,MF,Sporting CP,20,2001,1.2,0,1,0,0.0,0.87,0.00,0.00,,16.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
13,Ali Alipour,ir IRN,"FW,MF",Gil Vicente FC,26,1995,5.9,2,15,10,66.7,2.56,1.71,0.13,0.20,13.0,0,0,0,2.0,2.0,0.14,0.0,0.0,Matches
