rk,player,nation,pos,squad,age,born,90s,att,live,dead,fk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,matches
1,Rodrigo Abascal,uy URU,DF,Boavista,29,1994,27.5,1625,1499,116,81,2,27,41,33,0,0,0,0,1285,10,8,Matches
2,Antonio Adán,es ESP,GK,Sporting CP,36,1987,22.0,601,454,147,50,0,1,1,0,0,0,0,0,478,0,0,Matches
3,Dennis Adeniran,eng ENG,MF,Portimonense,24,1999,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
4,Martin Agirregabiria,es ESP,DF,Famalicão,27,1996,13.4,694,550,143,17,0,8,55,117,9,9,0,0,516,1,18,Matches
5,Salvador Agra,pt POR,"FW,DF",Boavista,31,1991,27.3,1129,916,212,53,3,10,174,94,65,36,21,3,840,1,26,Matches
6,Matheus Aiás,br BRA,"FW,MF",Moreirense,26,1996,5.3,110,104,6,0,1,0,3,1,0,0,0,0,71,0,3,Matches
7,Alan,br BRA,MF,Moreirense,23,2000,27.3,1161,989,164,69,6,5,125,8,83,44,29,0,902,8,27,Matches
8,Rafael Alcobia,pt POR,DF,Portimonense,20,2003,2.3,139,132,6,6,0,0,0,0,0,0,0,0,100,1,1,Matches
9,Alemão,br BRA,DF,Portimonense,20,2002,26.3,1127,1083,37,36,1,13,0,0,0,0,0,0,912,7,4,Matches
10,Ali Alipour,ir IRN,FW,Gil Vicente FC,27,1995,8.9,158,148,8,0,1,3,5,0,0,0,0,0,103,2,9,Matches
11,Almeida,br BRA,DF,Estrela,23,2000,5.4,248,236,12,11,0,3,0,1,0,0,0,0,191,0,0,Matches
12,Pedro Álvaro,pt POR,DF,Estoril,23,2000,19.9,933,881,51,33,1,9,2,7,0,0,0,0,804,1,4,Matches
13,Pedro Amador,pt POR,DF,Moreirense,24,1998,12.6,618,456,161,28,1,6,54,117,16,7,2,0,446,1,15,Matches
14,Artur Jorge Marques Amorim,pt POR,DF,Farense,28,1994,5.5,184,176,5,4,0,3,0,1,0,0,0,0,143,3,1,Matches
15,André André,pt POR,MF,Vitória,33,1989,7.3,377,352,25,21,1,3,4,4,0,0,0,0,329,0,7,Matches
16,Andrew,br BRA,GK,Gil Vicente FC,22,2001,32.0,1130,736,391,88,0,2,0,0,0,0,0,0,814,3,2,Matches
17,Jeremy Antonisse,cw CUW,FW,Moreirense,21,2002,6.1,200,194,6,1,3,1,17,4,1,1,0,0,146,0,6,Matches
18,Pedro Aparício,pt POR,"MF,FW",Moreirense,27,1995,3.7,126,112,14,5,2,3,9,2,4,4,0,0,89,0,5,Matches
19,Óscar Aranda,es ESP,"FW,MF",Famalicão,21,2002,8.0,234,198,34,17,3,3,28,4,13,10,1,0,175,2,4,Matches
20,Henrique Araújo,pt POR,FW,Famalicão,21,2002,7.6,161,147,13,3,0,0,0,0,0,0,0,0,124,1,3,Matches
21,Tiago Araújo,pt POR,"DF,MF",Estoril,22,2001,25.0,1236,988,245,16,3,23,106,229,0,0,0,0,887,3,25,Matches
22,Tomás Araújo,pt POR,DF,Benfica,21,2002,5.4,428,421,7,2,3,3,2,5,0,0,0,0,383,0,3,Matches
23,Gustavo Assuncao,pt POR,MF,Famalicão,23,2000,7.0,314,291,19,18,1,5,9,0,1,1,0,0,262,4,6,Matches
24,Otavio Ataide,br BRA,DF,Famalicão,21,2002,15.4,866,819,43,41,0,12,11,2,0,0,0,0,700,4,10,Matches
25,Otavio Ataide,br BRA,DF,Porto,21,2002,12.0,861,827,33,19,2,5,1,5,0,0,0,0,774,1,3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
26,Fredrik Aursnes,no NOR,DF,Benfica,27,1995,31.0,2000,1762,232,13,6,15,49,218,1,0,0,0,1643,6,51,Matches
27,Chidozie Awaziem,ng NGA,DF,Boavista,26,1997,21.7,1210,1142,66,53,0,25,1,13,0,0,0,0,1001,2,9,Matches
28,Abdul Awudu,gh GHA,"FW,MF",Vizela,22,2001,2.1,53,53,0,0,0,0,3,0,0,0,0,0,42,0,4,Matches
29,Amadou Ba-Sy,fr FRA,"FW,MF",Vizela,22,2001,1.3,25,18,7,0,0,0,3,3,0,0,0,0,16,0,1,Matches
30,Alexander Bah,dk DEN,DF,Benfica,25,1997,16.9,1127,959,164,6,0,1,47,158,0,0,0,0,882,4,30,Matches
31,Elves Baldé,gw GNB,"FW,MF",Farense,23,1999,10.8,286,241,43,11,2,2,72,17,15,6,8,0,157,2,14,Matches
32,Robson Bambu,br BRA,DF,Arouca,25,1997,9.8,598,570,28,27,0,6,0,1,0,0,0,0,528,0,5,Matches
33,Daniel Bandeira,pt POR,MF,Vitória,23,2000,7.8,397,362,33,13,1,2,25,0,20,10,5,0,326,2,6,Matches
34,Simon Banza,cd COD,FW,Braga,26,1996,22.2,346,322,23,0,0,4,6,4,0,0,0,0,229,1,8,Matches
35,Rafael Barbosa,pt POR,"MF,FW",Farense,27,1996,9.5,409,342,65,26,1,4,53,5,18,5,13,0,273,2,18,Matches
36,Romário Baró,pt POR,"MF,FW",Porto,23,2000,2.5,118,107,10,1,0,0,3,4,5,1,0,0,97,1,6,Matches
37,Gilberto Batista,gw GNB,DF,Moreirense,19,2003,2.5,124,116,7,6,0,0,0,0,0,0,0,0,111,1,0,Matches
38,Ricardo Batista,pt POR,GK,Casa Pia,36,1986,30.9,1057,670,384,89,0,2,0,0,0,0,0,0,708,3,0,Matches
39,Roko Baturina,hr CRO,FW,Gil Vicente FC,23,2000,7.9,151,131,19,0,0,0,1,0,0,0,0,0,95,1,6,Matches
40,Bachir Belloumi,dz ALG,"FW,MF",Farense,21,2002,23.0,616,599,13,2,4,6,43,11,0,0,0,0,356,4,37,Matches
41,Fahem Benaissa Yahia,fr FRA,MF,Casa Pia,21,2002,0.1,12,8,4,0,1,0,1,4,0,0,0,0,9,0,1,Matches
42,Beni,ao ANG,MF,Casa Pia,21,2002,16.3,710,682,24,17,3,2,8,1,0,0,0,0,626,4,11,Matches
43,Benny,pt POR,"MF,FW",Chaves,23,2000,14.1,455,376,77,10,2,2,81,46,20,7,10,0,298,2,19,Matches
44,Berna,ao ANG,"FW,DF",Boavista,19,2003,3.6,162,143,17,3,0,0,14,13,1,1,0,0,122,2,5,Matches
45,Juan Bernat,es ESP,DF,Benfica,30,1993,0.9,44,40,4,1,0,0,0,3,0,0,0,0,42,0,0,Matches
46,Emmanuel Boateng,gh GHA,FW,Rio Ave,27,1996,20.7,317,289,23,0,0,3,7,2,0,0,0,0,217,5,10,Matches
47,Kiko Bondoso,pt POR,"FW,MF",Vizela,27,1995,2.1,74,72,1,0,0,1,3,1,0,0,0,0,55,1,5,Matches
48,Toni Borevkovic,hr CRO,DF,Vitória,26,1997,22.7,824,787,32,25,0,4,1,3,0,0,0,0,679,5,2,Matches
49,Gonçalo Borges,pt POR,"MF,FW",Porto,22,2001,3.2,127,118,9,0,0,0,38,9,0,0,0,0,78,0,7,Matches
50,Cristian Borja,co COL,DF,Braga,30,1993,27.2,1651,1345,305,34,1,6,107,248,23,4,3,0,1326,1,35,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
51,Róbert Boženík,sk SVK,FW,Boavista,23,1999,28.6,412,354,53,1,1,5,13,1,0,0,0,0,297,5,14,Matches
52,Daniel Bragança,pt POR,MF,Sporting CP,24,1999,11.4,585,561,21,15,0,5,15,1,5,4,0,0,520,3,8,Matches
53,Bruno Brigido,br BRA,GK,Estrela,32,1991,26.0,826,547,275,58,0,1,0,0,0,0,0,0,629,4,0,Matches
54,Rafael Brito,pt POR,MF,Casa Pia,21,2002,3.8,171,153,17,7,0,5,1,0,0,0,0,0,130,1,1,Matches
55,Bruma,pt POR,"FW,MF",Braga,28,1994,19.1,770,734,31,4,6,3,12,25,1,0,0,0,604,5,24,Matches
56,Jonathan Buatu Mananga,ao ANG,DF,Gil Vicente FC,29,1993,5.0,219,209,9,9,0,0,0,0,0,0,0,0,190,1,2,Matches
57,Leonel Bucca,ar ARG,"MF,FW",Estrela,24,1999,9.1,287,270,13,11,1,5,12,2,0,0,0,0,212,4,9,Matches
58,André Bukia,cd COD,"MF,FW",Arouca,28,1995,1.7,93,88,5,0,0,0,18,4,1,1,0,0,66,0,8,Matches
59,Fabijan Buntić,hr CRO,GK,Vizela,26,1997,27.7,896,596,299,67,0,0,0,0,0,0,0,0,666,1,1,Matches
60,Aleksandar Busnić,rs SRB,"MF,FW",Vizela,25,1997,8.5,333,319,13,9,1,4,1,4,0,0,0,0,263,1,10,Matches
61,Oriol Busquets,es ESP,MF,Arouca,24,1999,4.8,296,289,6,6,1,2,2,0,0,0,0,0,260,1,2,Matches
62,Rafael Bustamante,co COL,MF,Vizela,23,1999,7.9,351,343,8,7,0,1,3,1,0,0,0,0,297,0,3,Matches
63,Leonardo Buta,pt POR,DF,Gil Vicente FC,21,2002,24.3,1197,960,236,30,2,5,47,206,0,0,0,0,918,1,29,Matches
64,Adrián Butzke,es ESP,FW,Vitória,24,1999,4.1,112,105,7,0,0,0,5,1,0,0,0,0,58,0,4,Matches
65,Erick Cabaco,uy URU,DF,Estoril,28,1995,3.7,181,176,5,2,0,1,0,3,0,0,0,0,148,0,1,Matches
66,Arthur Cabral,br BRA,FW,Benfica,25,1998,14.8,245,232,10,0,3,1,4,1,0,0,0,0,180,3,9,Matches
67,Jhonder Cádiz,ve VEN,FW,Famalicão,28,1995,25.6,468,401,60,2,3,5,17,4,0,0,0,0,263,7,21,Matches
68,João Pedro Gomes Camacho,pt POR,"FW,MF",Moreirense,29,1994,23.1,481,467,9,5,3,8,44,4,0,0,0,0,330,5,18,Matches
69,Ibrahima Camará,gn GUI,"MF,DF",Boavista,24,1999,5.3,233,221,9,5,2,5,8,4,0,0,0,0,182,3,3,Matches
70,Cambila,ao ANG,GK,Estrela,21,2002,0.2,6,5,1,0,0,0,0,0,0,0,0,0,5,0,1,Matches
71,Luan Campos,br BRA,"FW,MF",Portimonense,21,2002,5.2,103,95,5,0,0,0,9,2,2,2,0,0,64,3,8,Matches
72,Fábio Cardoso,pt POR,DF,Porto,29,1994,13.4,980,950,28,26,1,6,2,1,0,0,0,0,900,2,3,Matches
73,Felippe Cardoso,br BRA,FW,Casa Pia,24,1998,17.4,258,241,14,0,2,1,7,0,0,0,0,0,179,3,11,Matches
74,Carlinhos,br BRA,MF,Portimonense,29,1994,31.6,1462,1241,215,97,2,32,127,24,92,32,38,0,1107,6,35,Matches
75,João Carlos,br BRA,"FW,DF",Estoril,28,1995,3.5,91,82,7,1,0,0,1,0,0,0,0,0,52,2,4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
76,Zé Carlos,pt POR,"MF,DF",Vitória,21,2001,4.7,256,238,17,5,1,5,15,7,5,0,3,0,196,1,7,Matches
77,Zé Carlos,pt POR,DF,Gil Vicente FC,25,1998,21.4,1171,899,271,32,1,3,40,239,0,0,0,0,854,1,25,Matches
78,David Carmo,ao ANG,DF,Porto,24,1999,6.8,424,395,27,18,2,3,0,0,0,0,0,0,360,2,2,Matches
79,Marcelo Carné,br BRA,GK,Estoril,33,1990,22.0,716,446,266,46,0,0,0,0,0,0,0,0,509,4,2,Matches
80,Carraça,pt POR,"DF,MF",Chaves,30,1993,11.1,591,426,161,26,2,7,67,113,22,6,11,1,449,4,13,Matches
81,Álvaro Carreras,es ESP,DF,Benfica,20,2003,6.3,423,351,70,6,1,6,16,63,1,0,1,0,344,2,13,Matches
82,Ronie Carrillo,ec ECU,"FW,MF",Portimonense,26,1996,14.6,310,273,34,1,1,0,4,1,0,0,0,0,209,3,12,Matches
83,António Filipe de Carvalho,pt POR,GK,Estrela,38,1985,3.0,118,86,32,6,0,0,0,0,0,0,0,0,86,0,0,Matches
84,Miguel Carvalho,pt POR,GK,Farense,27,1996,2.0,54,35,19,3,0,0,0,0,0,0,0,0,39,0,0,Matches
85,Vitor Carvalho,br BRA,MF,Braga,26,1997,14.5,811,789,20,10,2,2,3,10,0,0,0,0,684,2,13,Matches
86,Facundo Cáseres,ar ARG,MF,Farense,22,2001,12.4,409,401,7,6,0,3,1,1,0,0,0,0,358,1,7,Matches
87,Midana Cassama,gw GNB,"FW,MF",Portimonense,20,2002,3.2,51,45,6,0,0,0,1,0,0,0,0,0,40,0,0,Matches
88,Cassiano,br BRA,FW,Estoril,34,1989,17.9,223,188,34,0,0,0,5,1,0,0,0,0,132,1,15,Matches
89,Jesús Castillo,pe PER,MF,Gil Vicente FC,22,2001,2.7,175,171,4,3,0,2,1,1,0,0,0,0,133,0,3,Matches
90,André Castro,pt POR,MF,Braga,35,1988,0.5,35,33,2,2,0,0,0,0,0,0,0,0,29,0,1,Matches
91,André Castro,pt POR,MF,Moreirense,35,1988,6.0,296,278,16,10,1,4,4,0,0,0,0,0,225,2,9,Matches
92,Cristian Castro,co COL,DF,Rio Ave,22,2001,0.8,19,18,1,1,0,0,0,0,0,0,0,0,16,0,1,Matches
93,Geny Catamo,mz MOZ,"MF,DF",Sporting CP,22,2001,18.7,876,654,220,17,4,2,42,194,9,6,1,0,706,2,27,Matches
94,Kaio César,br BRA,FW,Vitória,19,2004,4.7,117,114,1,0,2,1,12,0,0,0,0,0,75,2,6,Matches
95,Tidjany Chabrol,fr FRA,"FW,MF",Gil Vicente FC,21,2002,12.0,410,389,20,4,1,2,28,3,13,5,5,0,330,1,6,Matches
96,Charles,br BRA,GK,Vitória,29,1994,7.5,188,103,85,28,0,0,0,0,0,0,0,0,127,0,1,Matches
97,Chiquinho,pt POR,"FW,MF",Famalicão,23,2000,19.3,344,263,78,33,0,2,88,7,36,26,5,0,197,3,13,Matches
98,Chiquinho,pt POR,MF,Benfica,28,1995,2.1,206,186,20,7,2,1,8,3,10,5,0,0,170,0,3,Matches
99,Clayton,br BRA,FW,Casa Pia,24,1999,18.8,357,324,32,0,5,1,12,2,0,0,0,0,245,1,14,Matches
100,Sebastián Coates,uy URU,DF,Sporting CP,32,1990,25.3,1749,1706,39,39,0,5,0,0,0,0,0,0,1554,4,6,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
101,Fábio Conceição,pt POR,"MF,FW",Rio Ave,22,2001,28.2,1035,865,161,8,6,5,36,153,0,0,0,0,795,9,26,Matches
102,Francisco Conceição,pt POR,"FW,MF",Porto,20,2002,21.0,875,753,119,19,4,9,152,28,72,37,0,0,644,3,34,Matches
103,Leo Cordeiro,br BRA,MF,Estrela,27,1995,29.0,1169,1129,35,19,4,11,12,2,3,2,0,0,986,5,21,Matches
104,Jeriel Córdova,ve VEN,FW,Boavista,21,2002,1.7,38,35,3,1,1,0,1,0,0,0,0,0,28,0,1,Matches
105,Félix Correia,pt POR,FW,Gil Vicente FC,22,2001,24.1,778,728,42,13,9,6,55,17,8,5,1,0,557,8,30,Matches
106,João Pedro Araújo Correia,cv CPV,"DF,MF",Chaves,26,1996,23.3,879,679,198,25,1,10,96,173,0,0,0,0,579,2,37,Matches
107,Alberto costa,pt POR,DF,Vitória,19,2003,0.2,14,10,4,1,0,0,0,3,0,0,0,0,13,0,1,Matches
108,Bruno Xavier Almeida Costa,pt POR,MF,Vizela,26,1997,6.8,290,247,42,26,2,2,20,1,14,10,1,0,240,1,4,Matches
109,Diogo Costa,pt POR,GK,Porto,23,1999,32.7,1219,966,251,64,0,3,0,0,0,0,0,0,1034,2,0,Matches
110,Gonçalo Costa,pt POR,"DF,MF",Portimonense,23,2000,19.0,894,717,174,20,0,5,93,149,5,3,1,0,620,3,35,Matches
111,Michel Costa,br BRA,MF,Estoril,21,2001,3.3,178,170,7,6,0,0,4,1,0,0,0,0,138,1,5,Matches
112,Murilo Costa,br BRA,FW,Gil Vicente FC,28,1994,22.1,661,600,58,19,4,1,71,11,28,10,13,0,488,3,15,Matches
113,Rui Costa,pt POR,"FW,MF",Farense,27,1996,7.8,150,144,5,1,1,5,8,2,0,0,0,0,88,1,8,Matches
114,Tomás Costa Silva,pt POR,DF,Vizela,23,1999,29.1,1491,1188,297,19,2,6,121,278,0,0,0,0,1100,6,40,Matches
115,Costinha,pt POR,"MF,DF",Rio Ave,23,2000,33.9,1538,1154,379,29,4,13,115,350,0,0,0,0,1062,5,46,Matches
116,Sandro Cruz,ao ANG,"DF,MF",Chaves,22,2001,18.1,779,634,141,25,0,10,32,116,0,0,0,0,558,4,17,Matches
117,Florian Danho Seke,fr FRA,FW,Famalicão,23,2000,2.7,49,45,2,0,0,0,1,0,0,0,0,0,26,2,2,Matches
118,Ignacio De Arruabarrena,uy URU,GK,Arouca,26,1997,31.0,1174,859,308,85,0,0,0,1,0,0,0,0,858,7,2,Matches
119,Fran Delgado,es ESP,DF,Farense,22,2001,5.5,278,189,89,2,1,1,10,87,0,0,0,0,214,0,5,Matches
120,Dener,br BRA,MF,Portimonense,31,1992,19.6,776,743,30,20,2,3,14,8,0,0,0,0,602,3,19,Matches
121,Depú,ao ANG,FW,Gil Vicente FC,23,2000,8.6,115,96,18,1,0,0,0,0,0,0,0,0,80,1,2,Matches
122,Ángel Di María,ar ARG,FW,Benfica,35,1988,24.6,1522,1277,231,64,26,27,262,33,134,74,19,2,1051,14,48,Matches
123,Tiago Dias,pt POR,"MF,FW",Casa Pia,25,1998,8.8,309,258,50,11,0,0,86,20,19,6,9,0,207,1,10,Matches
124,Vinicius Dias,br BRA,GK,Gil Vicente FC,26,1997,2.0,51,30,21,4,0,0,0,0,0,0,0,0,38,0,0,Matches
125,Dida,br BRA,GK,Estrela,25,1998,4.7,189,145,42,2,0,0,0,0,0,0,0,0,148,2,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
126,Ousmane Diomande,ci CIV,DF,Sporting CP,19,2003,23.5,1728,1683,44,39,0,4,1,2,0,0,0,0,1583,1,14,Matches
127,Álvaro djaló,gw GNB,"FW,MF",Braga,23,1999,19.9,532,515,9,3,4,2,54,6,0,0,0,0,371,8,23,Matches
128,Mihai Dobre,ro ROU,FW,Famalicão,24,1998,3.9,93,91,1,0,0,1,6,1,0,0,0,0,68,1,5,Matches
129,Maxime Dominguez,ch SUI,"MF,FW",Gil Vicente FC,27,1996,25.9,1133,994,134,46,7,4,88,6,67,32,27,1,882,5,32,Matches
130,Bruno Duarte,br BRA,FW,Farense,27,1996,25.1,553,527,21,3,4,9,35,4,0,0,0,0,327,5,19,Matches
131,Jorge Eduardo Sánchez,mx MEX,DF,Porto,25,1997,6.3,421,355,63,8,0,1,12,54,1,1,0,0,353,3,11,Matches
132,Marcus Edwards,eng ENG,"FW,MF",Sporting CP,24,1998,14.9,538,479,53,9,16,1,61,4,40,24,3,0,404,6,21,Matches
133,Úmaro Embaló,pt POR,"MF,FW",Rio Ave,22,2001,8.8,342,272,69,6,0,0,35,56,7,0,6,0,251,1,10,Matches
134,João Escoval,pt POR,DF,Vizela,26,1997,15.2,696,612,83,36,2,8,3,45,0,0,0,0,546,1,6,Matches
135,Ricardo Esgaio,pt POR,"MF,DF",Sporting CP,30,1993,16.6,973,784,186,17,0,0,57,169,0,0,0,0,766,3,19,Matches
136,Tiago Esgaio,pt POR,DF,Arouca,27,1995,25.3,1438,1147,289,26,3,6,30,263,0,0,0,0,1095,2,31,Matches
137,Samuel Essende,cd COD,FW,Vizela,25,1998,29.6,475,426,45,0,2,0,11,2,0,0,0,0,335,4,16,Matches
138,Dario Essugo,pt POR,MF,Sporting CP,18,2005,0.4,29,28,1,0,0,0,0,1,0,0,0,0,27,0,0,Matches
139,Dario Essugo,pt POR,MF,Chaves,18,2005,12.9,494,475,18,17,0,7,1,1,0,0,0,0,416,1,4,Matches
140,Paulo Estrela Moreira,pt POR,"MF,FW",Portimonense,24,1999,5.9,357,324,31,12,0,2,23,4,15,5,6,0,277,2,5,Matches
141,Stephen Eustáquio,ca CAN,MF,Porto,26,1996,17.0,1029,923,103,69,2,4,47,6,28,16,4,0,847,3,13,Matches
142,Evanilson,br BRA,FW,Porto,23,1999,22.8,501,462,38,0,7,1,7,4,0,0,0,0,395,1,13,Matches
143,Claudio Falcão,br BRA,MF,Farense,29,1994,28.9,896,860,31,29,3,13,6,2,0,0,0,0,653,5,16,Matches
144,Jean Felipe,br BRA,"MF,DF",Estrela,29,1994,12.8,737,514,220,35,0,2,87,143,42,33,8,0,506,3,9,Matches
145,Volnei Feltes,br BRA,DF,Estoril,23,2000,16.4,917,768,144,39,3,11,19,104,1,1,0,0,727,5,10,Matches
