rk,player,nation,pos,squad,age,born,90s,ga,pka,fk,ck,og,psxg,psxg_sot,psxg_exp,90,cmp,att,cmp_launch,att_gk,thr,launch,avglen,att_goal_k,launch_goal_k,avglen_goal_k,opp,stp,stp_crosse,opa,opa_90,avgdist,matches
1,Andrew,br BRA,GK,Gil Vicente FC,23,2001,33.0,46,6,1,11,1,42.9,0.32,-2.1,-0.06,129,357,36.1,969,158,25.1,31.5,278,41.0,39.5,488,36,7.4,34,1.03,13.5,Matches
2,Brian Araújo,fr FRA,GK,Gil Vicente FC,24,2000,1.0,1,0,0,1,0,1.0,0.35,0.0,+0.04,5,9,55.6,28,3,32.1,34.1,3,0.0,22.7,14,0,0.0,2,2.00,17.7,Matches
3,Daniel Azevedo,pt POR,GK,Casa Pia,26,1998,1.0,2,0,0,0,0,2.1,0.68,+0.1,+0.12,1,10,10.0,19,1,26.3,32.7,9,55.6,47.0,20,1,5.0,1,1.00,8.3,Matches
4,Gabriel Batista,br BRA,GK,Santa Clara,26,1998,34.0,32,4,1,5,0,29.1,0.22,-2.9,-0.09,164,518,31.7,738,118,47.4,39.6,283,59.4,48.1,453,39,8.6,27,0.79,12.5,Matches
5,Ricardo Batista,pt POR,GK,Casa Pia,37,1986,1.0,1,1,0,0,0,0.8,0.02,-0.2,-0.23,1,2,50.0,31,3,6.5,24.7,3,0.0,18.7,10,0,0.0,2,2.00,14.7,Matches
6,Simão Bertelli,br BRA,GK,AVS Futebol,31,1993,11.0,15,2,0,1,0,21.1,0.34,+6.1,+0.55,60,154,39.0,295,45,36.3,35.0,82,57.3,45.0,150,8,5.3,8,0.73,13.8,Matches
7,Bruno Brigido,br BRA,GK,Estrela,33,1991,17.5,30,2,1,6,1,27.3,0.33,-1.7,-0.09,66,243,27.2,425,90,36.9,36.3,132,65.2,51.0,257,9,3.5,15,0.86,13.3,Matches
8,Lazar Carević,me MNE,GK,Famalicão,25,1999,18.0,21,3,0,1,1,23.7,0.28,+3.7,+0.21,71,183,38.8,430,71,31.4,32.6,97,49.5,39.5,247,6,2.4,18,1.00,14.6,Matches
9,César,br BRA,GK,Boavista,32,1992,16.0,30,3,0,3,2,28.6,0.34,+0.6,+0.04,75,219,34.2,251,60,54.6,41.2,125,65.6,46.2,213,18,8.5,10,0.63,12.7,Matches
10,Kevin Chamorro,cr CRC,GK,Estoril,24,2000,4.0,3,1,0,0,0,3.7,0.26,+0.7,+0.17,12,57,21.1,81,11,44.4,37.1,22,95.5,67.9,46,4,8.7,13,3.25,18.1,Matches
11,Diogo Costa,pt POR,GK,Porto,24,1999,32.0,27,5,1,4,1,29.2,0.28,+3.2,+0.10,132,305,43.3,1072,139,23.3,29.2,146,37.7,37.1,310,19,6.1,51,1.59,18.5,Matches
12,João Paulo Santos Costa,pt POR,GK,Estrela,28,1996,14.0,17,3,0,2,0,19.0,0.30,+2.0,+0.14,94,244,38.5,312,37,50.0,38.4,120,73.3,53.0,181,2,1.1,14,1.00,15.5,Matches
13,Rui Encarnação,pt POR,GK,Nacional,26,1998,1.5,4,2,0,0,0,2.8,0.17,-1.2,-0.78,5,14,35.7,30,2,26.7,31.6,7,85.7,52.4,19,0,0.0,2,1.33,15.7,Matches
14,Daniel Figueira,pt POR,GK,Estoril,26,1998,1.0,4,1,0,0,0,2.4,0.23,-1.6,-1.55,2,6,33.3,19,6,21.1,27.2,5,40.0,26.6,16,1,6.3,0,0.00,9.4,Matches
15,Lucas França,br BRA,GK,Nacional,28,1996,32.5,46,7,0,8,0,48.9,0.29,+2.9,+0.09,167,482,34.6,663,108,41.5,36.8,308,67.2,48.0,509,33,6.5,24,0.74,11.4,Matches
16,João Gonçalves,pt POR,GK,Boavista,23,2000,4.0,2,0,0,0,0,3.3,0.41,+1.3,+0.33,31,88,35.2,74,3,70.3,48.7,36,100.0,64.3,59,1,1.7,1,0.25,14.0,Matches
17,Marko Gudžulić,rs SRB,GK,Estrela,22,2002,2.0,3,0,0,1,1,2.5,0.19,+0.5,+0.27,15,48,31.3,54,7,55.6,44.3,19,94.7,61.3,37,4,10.8,1,0.50,9.7,Matches
18,Lukáš Horníček,cz CZE,GK,Braga,22,2002,17.0,11,1,1,1,0,13.4,0.22,+2.4,+0.14,62,209,29.7,538,91,29.9,31.6,92,52.2,43.4,202,16,7.9,34,2.00,17.3,Matches
19,Franco Israel,uy URU,GK,Sporting CP,24,2000,11.0,9,0,1,0,0,7.0,0.30,-2.0,-0.18,13,33,39.4,214,45,10.3,23.3,50,22.0,27.4,99,2,2.0,4,0.36,11.3,Matches
20,Jhonatan,br BRA,GK,Rio Ave,33,1991,8.0,13,0,0,0,0,12.3,0.29,-0.7,-0.09,30,102,29.4,231,40,26.4,32.3,78,52.6,42.2,126,3,2.4,5,0.63,12.0,Matches
21,Luiz Lúcio Reis Júnior,br BRA,GK,Famalicão,23,2001,1.0,0,0,0,0,0,0.3,0.17,+0.3,+0.35,11,24,45.8,32,7,59.4,44.6,6,83.3,57.8,17,3,17.6,2,2.00,10.7,Matches
22,Kaique,br BRA,GK,Farense,21,2003,6.0,6,0,1,1,0,7.1,0.35,+1.1,+0.18,31,104,29.8,170,33,40.6,37.3,53,66.0,51.9,115,5,4.3,1,0.17,11.0,Matches
23,Kewin,br BRA,GK,Moreirense,28,1995,29.0,42,3,1,6,0,39.3,0.33,-2.7,-0.09,154,440,35.0,789,126,38.7,35.0,229,59.0,43.8,472,36,7.6,19,0.66,10.6,Matches
24,Vladan Kovačević,ba BIH,GK,Sporting CP,26,1998,6.0,5,0,0,0,0,3.7,0.23,-1.3,-0.21,6,16,37.5,98,20,13.3,22.6,14,21.4,28.5,52,3,5.8,4,0.67,14.5,Matches
25,Nico Mantl,de GER,GK,Arouca,24,2000,29.0,43,8,1,8,2,40.6,0.29,-0.4,-0.01,115,284,40.5,746,127,26.3,29.0,202,43.6,37.2,445,22,4.9,42,1.45,15.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
26,Matheus,br BRA,GK,Braga,32,1992,17.0,19,2,0,2,1,17.6,0.24,-0.4,-0.02,42,167,25.1,478,72,28.5,31.9,106,29.2,31.6,183,9,4.9,25,1.47,17.4,Matches
27,Francisco Meixedo,pt POR,GK,Estrela,23,2001,0.5,0,0,0,0,0,0.2,0.07,+0.2,+0.41,4,9,44.4,14,4,35.7,35.6,7,57.1,44.4,6,0,0.0,0,0.00,9.0,Matches
28,Mika,pt POR,GK,Moreirense,33,1991,0.0,0,0,0,0,0,0.0,,0.0,0.00,0,0,,2,0,0.0,26.5,0,,,0,0,,0,0.00,13.0,Matches
29,Cezary Miszta,pl POL,GK,Rio Ave,22,2001,25.8,42,3,0,5,5,40.8,0.31,+3.8,+0.15,105,349,30.1,696,124,34.3,33.9,225,48.9,43.5,406,19,4.7,24,0.93,13.2,Matches
30,Guillermo Ochoa,mx MEX,GK,AVS Futebol,39,1985,23.0,45,1,1,7,1,39.4,0.33,-4.6,-0.20,128,293,43.7,486,90,40.1,35.6,219,44.7,38.4,378,8,2.1,16,0.70,14.0,Matches
31,Cláudio Ramos,pt POR,GK,Porto,32,1991,2.0,3,1,0,0,0,3.3,0.30,+0.3,+0.14,4,10,40.0,44,6,18.2,24.7,7,28.6,32.7,14,2,14.3,2,1.00,15.1,Matches
32,Joel Robles,es ESP,GK,Estoril,34,1990,29.0,46,5,0,3,0,50.0,0.35,+4.0,+0.14,159,513,31.0,659,111,53.0,40.5,222,73.9,52.8,405,17,4.2,43,1.48,14.7,Matches
33,Caio Secco,br BRA,GK,Moreirense,33,1990,5.0,8,2,0,0,0,7.4,0.26,-0.6,-0.12,12,66,18.2,113,21,42.5,37.9,40,45.0,39.4,92,5,5.4,11,2.22,18.0,Matches
34,Patrick Sequeira,cr CRC,GK,Casa Pia,25,1999,32.0,41,6,0,3,1,42.5,0.25,+2.5,+0.08,118,442,26.7,919,160,35.4,33.6,190,61.6,46.7,472,37,7.8,24,0.75,11.7,Matches
35,Rui Silva,pt POR,GK,Sporting CP,30,1994,17.0,13,4,0,1,2,13.5,0.31,+2.5,+0.15,44,121,36.4,294,51,26.9,30.1,91,46.2,39.5,185,12,6.5,28,1.65,19.4,Matches
36,Samuel Soares,pt POR,GK,Benfica,22,2002,2.0,0,0,0,0,0,1.0,0.04,+1.0,+0.51,2,6,33.3,28,11,7.1,24.1,10,40.0,37.7,13,2,15.4,1,0.50,11.9,Matches
37,Matheus Teixeira,br BRA,GK,Rio Ave,25,1999,0.2,0,0,0,0,0,0.0,,0.0,0.00,0,3,0.0,8,0,12.5,26.8,2,100.0,67.0,1,0,0.0,0,0.00,8.0,Matches
38,Tomé,pt POR,GK,Boavista,17,2006,2.0,5,0,0,0,0,2.3,0.24,-2.7,-1.36,13,44,29.5,21,0,85.7,55.2,26,100.0,62.1,33,0,0.0,2,1.00,14.0,Matches
39,Anatolii Trubin,ua UKR,GK,Benfica,22,2001,32.0,28,2,1,2,0,33.5,0.31,+5.5,+0.17,73,196,37.2,696,137,19.0,27.3,163,39.3,38.4,287,22,7.7,18,0.56,12.2,Matches
40,Tomáš Vaclík,cz CZE,GK,Boavista,35,1989,12.0,22,3,0,3,1,22.9,0.28,+1.9,+0.16,75,195,38.5,247,65,47.8,38.4,120,64.2,47.4,202,11,5.4,12,1.00,14.0,Matches
41,João Valido,pt POR,GK,Arouca,24,2000,5.0,6,1,0,1,0,5.5,0.24,-0.5,-0.10,17,32,53.1,105,22,20.0,27.6,50,22.0,27.0,70,9,12.9,8,1.60,14.0,Matches
42,Bruno Varela,cv CPV,GK,Vitória,29,1994,34.0,37,5,0,5,0,32.9,0.30,-4.1,-0.12,115,311,37.0,875,120,24.1,30.6,235,42.6,38.5,389,21,5.4,35,1.03,14.8,Matches
43,Ricardo Velho,pt POR,GK,Farense,25,1998,28.0,40,6,0,2,2,40.1,0.29,+2.1,+0.08,155,463,33.5,636,109,45.4,40.4,254,68.5,52.0,453,31,6.8,24,0.86,11.9,Matches
44,Ivan Zlobin,ru RUS,GK,Famalicão,27,1997,15.0,18,1,0,2,0,23.0,0.35,+5.0,+0.33,48,158,30.4,353,61,30.3,31.1,92,55.4,43.3,212,16,7.5,7,0.47,10.6,Matches
