rk,player,nation,pos,squad,age,born,mp,starts,min,90s,ga,ga90,sota,saves,save,w,d,l,cs,cs_perf,pkatt,pka,pksv,pkm,save_penalt,matches
1,Andrew,br BRA,GK,Gil Vicente FC,23,2001,33,33,2970,33.0,46,1.39,125,80,68.0,8,9,16,7,21.2,7,6,0,1,0.0,Matches
2,Brian Araújo,fr FRA,GK,Gil Vicente FC,24,2000,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,,Matches
3,Daniel Azevedo,pt POR,GK,Casa Pia,26,1998,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
4,Gabriel Batista,br BRA,GK,Santa Clara,26,1998,34,34,3060,34.0,32,0.94,114,81,75.4,17,6,11,11,32.4,6,4,1,1,20.0,Matches
5,Ricardo Batista,pt POR,GK,Casa Pia,37,1986,1,1,90,1.0,1,1.00,2,1,100.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
6,Simão Bertelli,br BRA,GK,AVS Futebol,31,1993,11,11,990,11.0,15,1.36,57,41,77.2,1,6,4,2,18.2,3,2,1,0,33.3,Matches
7,Bruno Brigido,br BRA,GK,Estrela,33,1991,18,18,1575,17.5,30,1.71,83,54,66.3,4,4,10,1,5.6,2,2,0,0,0.0,Matches
8,Lazar Carević,me MNE,GK,Famalicão,25,1999,18,18,1620,18.0,21,1.17,73,52,75.3,7,4,7,7,38.9,4,3,1,0,25.0,Matches
9,César,br BRA,GK,Boavista,32,1992,16,16,1440,16.0,30,1.87,79,51,65.8,1,4,11,2,12.5,3,3,0,0,0.0,Matches
10,Kevin Chamorro,cr CRC,GK,Estoril,24,2000,4,4,360,4.0,3,0.75,12,9,83.3,2,1,1,2,50.0,1,1,0,0,0.0,Matches
11,Diogo Costa,pt POR,GK,Porto,24,1999,32,32,2880,32.0,27,0.84,85,57,74.1,21,5,6,16,50.0,7,5,2,0,28.6,Matches
12,João Paulo Santos Costa,pt POR,GK,Estrela,28,1996,14,14,1260,14.0,17,1.21,54,36,74.1,3,3,8,4,28.6,4,3,1,0,25.0,Matches
13,Rui Encarnação,pt POR,GK,Nacional,26,1998,2,1,135,1.5,4,2.67,7,3,71.4,0,0,1,0,0.0,2,2,0,0,0.0,Matches
14,Daniel Figueira,pt POR,GK,Estoril,26,1998,1,1,90,1.0,4,4.00,7,3,57.1,0,0,1,0,0.0,1,1,0,0,0.0,Matches
15,Lucas França,br BRA,GK,Nacional,28,1996,33,33,2925,32.5,46,1.42,149,103,73.8,9,7,17,8,24.2,9,7,0,2,0.0,Matches
16,João Gonçalves,pt POR,GK,Boavista,23,2000,4,4,360,4.0,2,0.50,8,6,75.0,1,1,2,2,50.0,0,0,0,0,,Matches
17,Marko Gudžulić,rs SRB,GK,Estrela,22,2002,2,2,180,2.0,3,1.50,9,6,66.7,0,1,1,1,50.0,1,0,1,0,100.0,Matches
18,Lukáš Horníček,cz CZE,GK,Braga,22,2002,17,17,1530,17.0,11,0.65,58,47,82.8,10,5,2,8,47.1,1,1,0,0,0.0,Matches
19,Franco Israel,uy URU,GK,Sporting CP,24,2000,11,11,990,11.0,9,0.82,25,16,64.0,9,2,0,7,63.6,0,0,0,0,,Matches
20,Jhonatan,br BRA,GK,Rio Ave,33,1991,8,8,720,8.0,13,1.62,43,30,69.8,2,2,4,2,25.0,0,0,0,0,,Matches
21,Luiz Lúcio Reis Júnior,br BRA,GK,Famalicão,23,2001,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
