rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
1,Rodrigo Abascal,uy URU,DF,Boavista,30,1994,28.9,1607,222,849,589,179,23,1607,12,7,58.3,5,41.7,744,3182,1552,10,6,0,13,4,813,24,Matches
2,Nelson Abbey,eng ENG,DF,Rio Ave,20,2003,7.1,460,52,223,196,44,3,460,8,3,37.5,4,50.0,229,1220,574,7,7,1,8,5,253,7,Matches
3,Bilal Abdelrahman Zeeni,eg EGY,MF,Estrela,21,2003,0.1,6,1,1,1,4,1,6,0,0,,0,,4,13,5,0,0,0,0,0,4,1,Matches
4,Giorgi Aburjania,ge GEO,MF,AVS Futebol,29,1995,3.4,167,7,30,109,30,3,167,2,1,50.0,0,0.0,71,288,181,3,3,0,4,1,102,4,Matches
5,Adriano,br BRA,MF,Santa Clara,24,1999,29.2,1418,71,370,868,202,14,1418,48,23,47.9,24,50.0,758,3758,1738,26,23,1,21,18,945,28,Matches
6,Lucas Áfrico,br BRA,DF,Farense,29,1995,19.5,923,150,578,300,49,28,923,4,1,25.0,2,50.0,427,2147,1225,6,5,0,8,2,545,3,Matches
7,Salvador Agra,pt POR,"MF,DF",Boavista,32,1991,30.3,1236,20,217,550,480,38,1236,42,19,45.2,21,50.0,638,3428,1694,56,41,11,51,30,730,147,Matches
8,Brandon Aguilera,cr CRC,"MF,FW",Rio Ave,21,2003,15.3,848,13,156,454,252,18,848,39,18,46.2,20,51.3,493,2431,1202,26,19,2,39,27,551,44,Matches
9,Jorge Aguirre,cu CUB,FW,Gil Vicente FC,24,2000,15.0,477,9,38,257,186,46,477,43,16,37.2,26,60.5,287,1179,275,5,10,5,64,32,369,67,Matches
10,Babatunde Akinsola,ng NGA,"MF,FW",AVS Futebol,21,2003,13.0,518,14,78,204,252,31,518,69,29,42.0,35,50.7,303,2284,1004,43,38,7,50,21,312,88,Matches
11,Kerem Aktürkoğlu,tr TUR,"FW,MF",Benfica,25,1998,22.3,965,3,90,330,565,134,965,76,25,32.9,50,65.8,579,3148,1610,62,39,25,60,25,651,202,Matches
12,Léo Alaba,br BRA,DF,AVS Futebol,25,1999,3.7,243,13,81,97,68,1,243,6,1,16.7,5,83.3,103,498,259,2,3,0,10,4,115,20,Matches
13,Alan,br BRA,MF,Moreirense,24,2000,27.9,1457,6,157,852,469,44,1452,50,29,58.0,18,36.0,905,4409,2235,47,48,3,57,47,1093,99,Matches
14,Gonçalo Almeida,pt POR,"DF,MF",Boavista,21,2003,9.0,403,10,87,197,126,14,403,12,5,41.7,7,58.3,197,945,489,12,9,4,23,5,227,43,Matches
15,Pedro Álvaro,pt POR,DF,Estoril,24,2000,29.1,1665,222,1083,563,30,19,1665,7,3,42.9,4,57.1,883,3547,1750,8,6,1,15,10,1010,5,Matches
16,Pedro Amaral,pt POR,"DF,MF",Estoril,26,1997,26.6,1489,72,440,690,368,23,1489,28,7,25.0,19,67.9,755,3070,1508,30,29,2,43,13,870,103,Matches
17,Zeki Amdouni,ch SUI,"MF,FW",Benfica,23,2000,9.5,459,5,35,188,241,48,459,50,23,46.0,26,52.0,291,1677,749,23,19,7,29,18,346,66,Matches
18,Artur Jorge Marques Amorim,pt POR,DF,Farense,29,1994,14.2,625,94,409,202,18,9,625,0,0,,0,,257,1145,478,1,2,0,10,1,327,1,Matches
19,Andrew,br BRA,GK,Gil Vicente FC,23,2001,33.0,1313,1140,1312,1,0,0,1313,0,0,,0,,723,3059,1725,0,0,0,0,0,638,0,Matches
20,Jeremy Antonisse,cw CUW,"FW,MF",Moreirense,22,2002,9.3,409,15,95,154,169,30,409,29,13,44.8,15,51.7,214,1694,846,24,17,7,28,16,246,51,Matches
