rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
1,Osama Aashor,sa KSA,DF,Abha,29,1990,7.4,,7,,,,,,,,,,9,,,,Matches
2,Malek Al Abadalmanam,sa KSA,FW,Al-Taawoun,21,1998,1.6,,0,,,,,,,,,,0,,,,Matches
3,Saleh Al Abbas,sa KSA,FW,Abha,25,1993,13.4,,10,,,,,,,,,,2,,,,Matches
4,Faris Abdi,sa KSA,DF,Al-Wehda,20,1999,1.0,,2,,,,,,,,,,0,,,,Matches
5,Ahmed Abdu,sa KSA,FW,Al-Wehda,22,1996,1.1,,1,,,,,,,,,,0,,,,Matches
6,Hussein Abdulghani,sa KSA,"DF,MF",Al-Ahli,42,1977,9.5,,7,,,,,,,,,,26,,,,Matches
7,Saud Abdulhamid,sa KSA,DF,Al-Ittihad,20,1999,23.3,,36,,,,,,,,,,39,,,,Matches
8,Nawaf Al Abed,sa KSA,MF,Al-Hilal,29,1990,6.4,,6,,,,,,,,,,7,,,,Matches
9,Mazen Abo Shararah,sa KSA,FW,Al-Ahli,28,1991,2.2,,2,,,,,,,,,,4,,,,Matches
10,Mazen Abo Shararah,sa KSA,FW,Damac,28,1991,3.2,,3,,,,,,,,,,0,,,,Matches
11,Abdulrahman Al-Aboud,sa KSA,"MF,FW",Al-Ittihad,24,1995,11.9,,17,,,,,,,,,,16,,,,Matches
12,Mohammed Abousaban,sa KSA,MF,Al-Taawoun,29,1990,4.9,,8,,,,,,,,,,5,,,,Matches
13,Mohammed Abousaban,sa KSA,MF,Damac,29,1990,9.3,,13,,,,,,,,,,7,,,,Matches
14,Talal Al-Absi,sa KSA,DF,Al-Taawoun,26,1993,19.4,,21,,,,,,,,,,25,,,,Matches
15,Abdulfattah Adam,sa KSA,FW,Al-Nassr,24,1995,3.1,,1,,,,,,,,,,0,,,,Matches
16,Imran Adam,ng NGA,"DF,MF",Al-Shabab,23,1996,4.7,,7,,,,,,,,,,13,,,,Matches
17,Imran Adam,ng NGA,"DF,MF",Damac,23,1996,8.5,,18,,,,,,,,,,25,,,,Matches
18,Khaled Adénon,bj BEN,DF,Al-Wehda,34,1985,1.0,,0,,,,,,,,,,3,,,,Matches
19,Muath Adnan Afaneh,jo JOR,FW,Abha,,,0.3,,1,,,,,,,,,,0,,,,Matches
20,Matías Aguirregaray,uy URU,"DF,MF",Al-Fateh,30,1989,21.1,,28,,,,,,,,,,26,,,,Matches
21,Karim El Ahmadi,ma MAR,MF,Al-Ittihad,34,1985,25.5,,72,,,,,,,,,,25,,,,Matches
22,Mohamed Ahmed,SUD,FW,Damac,26,1993,0.6,,0,,,,,,,,,,0,,,,Matches
