rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,matches
1,Osama Aashor,sa KSA,DF,Abha,29,1990,10,8,667,7.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Malek Al Abadalmanam,sa KSA,FW,Al-Taawoun,21,1998,4,2,144,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Saleh Al Abbas,sa KSA,FW,Abha,25,1993,23,13,1206,13.4,4,3,7,4,0,0,1,0,0.30,0.22,0.52,0.30,0.52,Matches
4,Faris Abdi,sa KSA,DF,Al-Wehda,20,1999,2,1,91,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Ahmed Abdu,sa KSA,FW,Al-Wehda,22,1996,4,1,103,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Hussein Abdulghani,sa KSA,"DF,MF",Al-Ahli,42,1977,10,9,855,9.5,0,2,2,0,0,0,4,0,0.00,0.21,0.21,0.00,0.21,Matches
7,Saud Abdulhamid,sa KSA,DF,Al-Ittihad,20,1999,24,23,2095,23.3,1,3,4,1,0,0,8,0,0.04,0.13,0.17,0.04,0.17,Matches
8,Nawaf Al Abed,sa KSA,MF,Al-Hilal,29,1990,13,6,579,6.4,2,1,3,2,0,0,1,0,0.31,0.16,0.47,0.31,0.47,Matches
9,Mazen Abo Shararah,sa KSA,FW,Al-Ahli,28,1991,8,1,195,2.2,0,1,1,0,0,0,1,0,0.00,0.46,0.46,0.00,0.46,Matches
10,Mazen Abo Shararah,sa KSA,FW,Damac,28,1991,7,2,287,3.2,1,1,2,1,0,0,1,0,0.31,0.31,0.63,0.31,0.63,Matches
11,Abdulrahman Al-Aboud,sa KSA,"MF,FW",Al-Ittihad,24,1995,20,14,1073,11.9,0,2,2,0,0,0,3,0,0.00,0.17,0.17,0.00,0.17,Matches
12,Mohammed Abousaban,sa KSA,MF,Al-Taawoun,29,1990,7,5,443,4.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Mohammed Abousaban,sa KSA,MF,Damac,29,1990,10,10,839,9.3,2,0,2,2,0,0,3,0,0.21,0.00,0.21,0.21,0.21,Matches
14,Talal Al-Absi,sa KSA,DF,Al-Taawoun,26,1993,22,20,1747,19.4,2,0,2,2,0,0,4,0,0.10,0.00,0.10,0.10,0.10,Matches
