squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90
Abha,29,27.1,43.5,30,330,2700,30.0,39,27,66,33,6,6,65,4,1.3,0.9,2.2,1.1,2.0
Al-Adalah,34,27.9,43.0,30,330,2700,30.0,27,13,40,22,5,8,72,6,0.9,0.43,1.33,0.73,1.17
Al-Ahli,37,28.1,53.3,30,330,2700,30.0,48,32,80,44,4,6,70,4,1.6,1.07,2.67,1.47,2.53
Al-Ettifaq,27,26.7,57.4,30,330,2700,30.0,44,27,71,36,8,9,54,3,1.47,0.9,2.37,1.2,2.1
Al-Faisaly,28,28.0,50.9,30,330,2700,30.0,40,27,67,35,5,7,60,3,1.33,0.9,2.23,1.17,2.07
Al-Fateh,28,26.8,45.9,30,330,2700,30.0,41,25,66,32,9,12,74,4,1.37,0.83,2.2,1.07,1.9
Al-Fayha,27,28.7,44.6,30,330,2700,30.0,33,21,54,30,3,4,59,4,1.1,0.7,1.8,1.0,1.7
Al-Hazem,28,27.6,42.9,30,330,2700,30.0,39,28,67,34,5,8,54,2,1.3,0.93,2.23,1.13,2.07
Al-Hilal,27,28.7,63.8,30,330,2700,30.0,73,48,121,61,12,14,51,1,2.43,1.6,4.03,2.03,3.63
Al-Ittihad,37,27.4,51.5,30,330,2700,30.0,41,29,70,34,7,7,72,3,1.37,0.97,2.33,1.13,2.1
Al-Nassr,28,28.3,59.0,30,330,2700,30.0,60,40,100,51,9,10,51,1,2.0,1.33,3.33,1.7,3.03
Al-Raed,24,27.8,53.3,30,330,2700,30.0,41,21,62,33,8,10,60,2,1.37,0.7,2.07,1.1,1.8
Al-Shabab,31,28.3,48.2,30,330,2700,30.0,38,30,68,34,4,8,67,7,1.27,1.0,2.27,1.13,2.13
Al-Taawoun,32,29.5,53.3,30,330,2700,30.0,32,21,53,28,4,4,72,5,1.07,0.7,1.77,0.93,1.63
Al-Wehda,36,27.7,48.7,30,330,2700,30.0,45,34,79,42,3,3,77,3,1.5,1.13,2.63,1.4,2.53
Damac,42,28.2,41.5,30,330,2700,30.0,36,22,58,32,4,5,60,3,1.2,0.73,1.93,1.07,1.8
