rk,player,nation,pos,squad,age,born,mp,starts,min,90s,ga,ga90,sota,saves,save,w,d,l,cs,cs_perf,pkatt,pka,pksv,pkm,save_penalt,matches
1,Waleed Abdullah,sa KSA,GK,Al-Nassr,34,1986,6,6,540,6.0,8,1.33,20,13,65.0,4,1,1,2,33.3,1,1,0,0,0.0,Matches
2,Giedrius Arlauskis,lt LTU,GK,Al-Shabab,32,1987,8,8,720,8.0,8,1.00,25,18,76.0,4,3,1,1,12.5,2,2,0,0,0.0,Matches
3,Basil Al Bahrani,sa KSA,GK,Al-Fateh,25,1995,1,1,90,1.0,2,2.00,5,3,60.0,1,0,0,0,0.0,0,0,0,0,,Matches
4,Zaid Al Bawardi,sa KSA,GK,Al-Shabab,23,1997,22,22,1980,22.0,33,1.50,107,77,72.0,13,3,6,5,22.7,4,3,1,0,25.0,Matches
5,Ameen Bokhari,sa KSA,GK,Al-Ain,23,1997,21,21,1774,19.7,41,2.08,86,54,59.3,5,5,11,5,23.8,10,6,4,0,40.0,Matches
6,Martín Campaña,uy URU,GK,Al-Batin,31,1989,27,27,2428,27.0,48,1.78,145,106,72.4,9,9,9,3,11.1,10,8,1,1,11.1,Matches
7,Cássio,pt POR,GK,Al-Taawoun,39,1980,28,28,2520,28.0,28,1.00,112,91,81.3,13,7,8,11,39.3,9,7,1,1,12.5,Matches
8,Azzedine Doukha,dz ALG,GK,Al-Raed,33,1986,25,25,2250,25.0,35,1.40,90,56,63.3,7,6,12,7,28.0,3,2,0,1,0.0,Matches
9,Mazyad Freeh,sa KSA,GK,Al-Batin,31,1989,4,3,272,3.0,7,2.32,22,16,72.7,0,0,3,1,33.3,1,1,0,0,0.0,Matches
10,Marcelo Grohe,br BRA,GK,Al-Ittihad,33,1987,29,29,2610,29.0,29,1.00,123,103,82.1,15,10,4,6,20.7,10,7,2,1,22.2,Matches
11,Mohammed Al-Haiti,sa KSA,GK,Al-Ettifaq,24,1996,12,12,1080,12.0,22,1.83,57,38,66.7,4,1,7,1,8.3,3,3,0,0,0.0,Matches
12,Abdullah Al Jadani,sa KSA,GK,Al-Hilal,28,1991,3,3,270,3.0,2,0.67,8,6,75.0,2,0,1,2,66.7,0,0,0,0,,Matches
13,Brad Jones,au AUS,GK,Al-Nassr,38,1982,24,24,2160,24.0,32,1.33,76,51,65.8,9,6,9,5,20.8,8,6,1,1,14.3,Matches
14,Ahmed Al-Kassar,sa KSA,GK,Al-Faisaly,29,1991,3,3,270,3.0,4,1.33,14,10,71.4,1,1,1,1,33.3,0,0,0,0,,Matches
15,Maksym Koval,ua UKR,GK,Al-Fateh,27,1992,29,29,2610,29.0,54,1.86,126,78,61.1,11,6,12,4,13.8,7,5,1,1,16.7,Matches
16,Raïs M'Bolhi,dz ALG,GK,Al-Ettifaq,34,1986,18,18,1620,18.0,26,1.44,52,36,67.3,10,4,4,3,16.7,11,9,1,1,10.0,Matches
17,Mustafa Malayekah,sa KSA,GK,Al-Faisaly,34,1986,27,27,2430,27.0,43,1.59,100,66,63.0,8,8,11,4,14.8,9,6,3,0,33.3,Matches
18,Faisel Masrahi,sa KSA,GK,Al-Qadsiah,27,1993,28,28,2475,27.5,40,1.45,128,94,71.9,8,11,9,3,10.7,7,4,2,1,33.3,Matches
19,Abdullah Al-Mayouf,sa KSA,GK,Al-Hilal,33,1987,19,19,1710,19.0,18,0.95,64,54,81.3,12,4,3,7,36.8,8,6,2,0,25.0,Matches
20,Abdelali Mhamdi,ma MAR,GK,Abha,28,1991,30,30,2700,30.0,50,1.67,162,118,72.2,10,6,14,4,13.3,7,5,1,1,16.7,Matches
21,Yasser Al Mosailem,sa KSA,GK,Al-Ahli,36,1984,4,3,287,3.2,5,1.57,16,12,75.0,2,0,1,2,66.7,1,1,0,0,0.0,Matches
22,Raghid Najjar,sa KSA,GK,Al-Wehda,23,1996,3,3,270,3.0,5,1.67,15,11,73.3,1,0,2,0,0.0,1,1,0,0,0.0,Matches
