rk,player,nation,pos,squad,age,born,90s,att,live,dead,fk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,matches
1,Malek Al Abadalmanam,sa KSA,FW,Al-Taawoun,22,1998,1.3,,,,,,,0,,,,,,,,,Matches
2,Saleh Al Abbas,sa KSA,"MF,FW",Al-Batin,26,1993,6.3,,,,,,,1,,,,,,,,,Matches
3,Hamad Al Abdan,sa KSA,MF,Al-Hilal,20,2000,0.3,,,,,,,3,,,,,,,,,Matches
4,Faris Abdi,sa KSA,DF,Al-Qadsiah,21,1999,2.3,,,,,,,4,,,,,,,,,Matches
5,Ahmed Abdu,sa KSA,FW,Al-Wehda,23,1996,8.8,,,,,,,4,,,,,,,,,Matches
6,Saud Abdulhamid,sa KSA,DF,Al-Ittihad,21,1999,27.2,,,,,,,88,,,,,,,,,Matches
7,Waleed Abdullah,sa KSA,GK,Al-Nassr,34,1986,6.0,,,,,,,0,,,,,,,,,Matches
8,Nawaf Al Abed,sa KSA,MF,Al-Shabab,30,1990,7.1,,,,,,,32,,,,,,,,,Matches
9,Hassan Abo Shararah,sa KSA,"MF,FW",Al-Qadsiah,23,1997,4.6,,,,,,,6,,,,,,,,,Matches
10,Mazen Abo Shararah,sa KSA,"FW,MF",Damac,29,1991,6.9,,,,,,,31,,,,,,,,,Matches
11,Abdulrahman Al-Aboud,sa KSA,MF,Al-Ittihad,25,1995,13.5,,,,,,,38,,,,,,,,,Matches
12,Mohammed Abousaban,sa KSA,MF,Al-Taawoun,30,1990,15.1,,,,,,,0,,,,,,,,,Matches
13,Fábio Abreu,ao ANG,FW,Al-Batin,27,1993,27.8,,,,,,,11,,,,,,,,,Matches
14,Khalil Al Absi,sa KSA,FW,Al-Nassr,19,2001,0.0,,,,,,,0,,,,,,,,,Matches
15,Talal Al-Absi,sa KSA,DF,Al-Ahli,27,1993,2.0,,,,,,,0,,,,,,,,,Matches
16,Abdulfattah Adam,sa KSA,FW,Al-Nassr,25,1995,1.3,,,,,,,0,,,,,,,,,Matches
17,Abdulfattah Adam,sa KSA,FW,Al-Raed,25,1995,0.3,,,,,,,0,,,,,,,,,Matches
18,Muath Adnan Afaneh,jo JOR,"FW,MF",Abha,,,3.5,,,,,,,0,,,,,,,,,Matches
19,Waleed Al Ahmad,sa KSA,DF,Al-Faisaly,21,1999,10.5,,,,,,,1,,,,,,,,,Matches
20,Karim El Ahmadi,ma MAR,MF,Al-Ittihad,35,1985,22.1,,,,,,,1,,,,,,,,,Matches
21,Ahmed Alanzy,sa KSA,MF,Al-Faisaly,,,2.5,,,,,,,3,,,,,,,,,Matches
22,Abdulaziz Al Alawi,sa KSA,DF,Al-Nassr,22,1998,1.7,,,,,,,5,,,,,,,,,Matches
23,Hassan Al Ali,sa KSA,FW,Al-Ahli,18,2002,0.7,,,,,,,0,,,,,,,,,Matches
