rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,pk,pkatt,matches
1,Malek Al Abadalmanam,sa KSA,FW,Al-Taawoun,22,1998,1.3,1,3,2,66.7,2.27,1.51,0.33,0.50,,0,0,Matches
2,Saleh Al Abbas,sa KSA,"MF,FW",Al-Batin,26,1993,6.3,4,15,8,53.3,2.38,1.27,0.27,0.50,,0,0,Matches
3,Hamad Al Abdan,sa KSA,MF,Al-Hilal,20,2000,0.3,0,1,0,0.0,3.60,0.00,0.00,,,0,0,Matches
4,Faris Abdi,sa KSA,DF,Al-Qadsiah,21,1999,2.3,0,1,0,0.0,0.44,0.00,0.00,,,0,0,Matches
5,Ahmed Abdu,sa KSA,FW,Al-Wehda,23,1996,8.8,4,21,12,57.1,2.38,1.36,0.19,0.33,,0,0,Matches
6,Saud Abdulhamid,sa KSA,DF,Al-Ittihad,21,1999,27.2,1,13,5,38.5,0.48,0.18,0.08,0.20,,0,0,Matches
7,Waleed Abdullah,sa KSA,GK,Al-Nassr,34,1986,6.0,0,0,0,,0.00,0.00,,,,0,0,Matches
8,Nawaf Al Abed,sa KSA,MF,Al-Shabab,30,1990,7.1,2,17,7,41.2,2.41,0.99,0.12,0.29,,0,0,Matches
9,Hassan Abo Shararah,sa KSA,"MF,FW",Al-Qadsiah,23,1997,4.6,0,5,1,20.0,1.09,0.22,0.00,0.00,,0,0,Matches
10,Mazen Abo Shararah,sa KSA,"FW,MF",Damac,29,1991,6.9,2,15,6,40.0,2.16,0.86,0.13,0.33,,0,0,Matches
11,Abdulrahman Al-Aboud,sa KSA,MF,Al-Ittihad,25,1995,13.5,3,25,7,28.0,1.85,0.52,0.12,0.43,,0,0,Matches
12,Mohammed Abousaban,sa KSA,MF,Al-Taawoun,30,1990,15.1,0,13,4,30.8,0.86,0.26,0.00,0.00,,0,0,Matches
13,Fábio Abreu,ao ANG,FW,Al-Batin,27,1993,27.8,17,80,34,42.5,2.88,1.22,0.19,0.44,,2,3,Matches
14,Khalil Al Absi,sa KSA,FW,Al-Nassr,19,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
15,Talal Al-Absi,sa KSA,DF,Al-Ahli,27,1993,2.0,1,1,1,100.0,0.49,0.49,1.00,1.00,,0,0,Matches
16,Abdulfattah Adam,sa KSA,FW,Al-Nassr,25,1995,1.3,0,4,1,25.0,3.10,0.78,0.00,0.00,,0,0,Matches
17,Abdulfattah Adam,sa KSA,FW,Al-Raed,25,1995,0.3,1,2,1,50.0,6.21,3.10,0.50,1.00,,0,0,Matches
18,Muath Adnan Afaneh,jo JOR,"FW,MF",Abha,,,3.5,2,7,4,57.1,2.00,1.14,0.29,0.50,,0,0,Matches
19,Waleed Al Ahmad,sa KSA,DF,Al-Faisaly,21,1999,10.5,0,7,1,14.3,0.66,0.09,0.00,0.00,,0,0,Matches
20,Karim El Ahmadi,ma MAR,MF,Al-Ittihad,35,1985,22.1,0,8,0,0.0,0.36,0.00,0.00,,,0,0,Matches
21,Ahmed Alanzy,sa KSA,MF,Al-Faisaly,,,2.5,0,2,1,50.0,0.80,0.40,0.00,0.00,,0,0,Matches
22,Abdulaziz Al Alawi,sa KSA,DF,Al-Nassr,22,1998,1.7,0,1,1,100.0,0.57,0.57,0.00,0.00,,0,0,Matches
23,Hassan Al Ali,sa KSA,FW,Al-Ahli,18,2002,0.7,0,1,0,0.0,1.45,0.00,0.00,,,0,0,Matches
24,Mukhtar Ali,sa KSA,MF,Al-Nassr,22,1997,2.6,0,1,0,0.0,0.38,0.00,0.00,,,0,0,Matches
25,Shaye Ali Sharahili,sa KSA,MF,Al-Faisaly,30,1990,0.5,0,0,0,,0.00,0.00,,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
26,Thamer Al Ali,sa KSA,FW,Al-Wehda,21,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,Matches
27,Abdulmajed Alzahrani,sa KSA,MF,Al-Ittihad,21,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
28,Romain Amalfitano,fr FRA,MF,Al-Faisaly,30,1989,21.1,1,32,9,28.1,1.51,0.43,0.03,0.11,,0,0,Matches
29,Cédric Amissi,bi BDI,MF,Al-Taawoun,30,1990,24.2,0,31,5,16.1,1.28,0.21,0.00,0.00,,0,0,Matches
