wk,day,date,time,home,score,away,attendance,venue,referee,match_report,notes
1,Sat,2020-10-17,18:00 (17:00),Al-Shabab,1–0,Abha,,Prince Faisal bin Fahd Stadium,Mohammed Khaled Al Hoish,Match Report,
1,Sat,2020-10-17,18:10 (17:10),Al-Taawoun,1–1,Al-Faisaly,27,Prince Abdullah bin Abdul Aziz Stadium,Faisal Suleiman Al Balawi,Match Report,
1,Sat,2020-10-17,20:00 (19:00),Al-Wehda,2–1,Al-Qadsiah,50,King Abdul Aziz Stadium,Khalid Ahmed Sahlawi,Match Report,
1,Sat,2020-10-17,21:15 (20:15),Al-Hilal,1–0,Al-Ain,30,Prince Faisal bin Fahd Stadium,Sultan Sanat Al Harbi,Match Report,
1,Sun,2020-10-18,18:00 (17:00),Al-Batin,0–1,Al-Ahli,50,Al-Batin FC Stadium,Khalid Saleh Al Turais,Match Report,
1,Sun,2020-10-18,18:00 (17:00),Al-Nassr,1–2,Al-Fateh,30,Prince Faisal bin Fahd Stadium,Majed Mohammed Al Shamrani,Match Report,
1,Sun,2020-10-18,18:20 (17:20),Damac,2–3,Al-Raed,45,Prince Sultan bin Abdul Aziz Stadium,Shukri Hussein Al Hunfush,Match Report,
1,Sun,2020-10-18,20:00 (19:00),Al-Ittihad,1–2,Al-Ettifaq,28,King Abdullah Sports City,Turki Mohammed Al Khudayr,Match Report,
2,Thu,2020-10-22,15:40 (14:40),Abha,1–1,Al-Hilal,60,Prince Sultan bin Abdul Aziz Stadium,Majed Mohammed Al Shamrani,Match Report,
2,Thu,2020-10-22,18:05 (17:05),Al-Taawoun,1–0,Al-Nassr,27,King Abdul Aziz Stadium,Mohammed Khaled Al Hoish,Match Report,
2,Thu,2020-10-22,19:55 (18:55),Al-Ahli,1–0,Al-Wehda,50,King Abdullah Sports City,Turki Mohammed Al Khudayr,Match Report,
2,Fri,2020-10-23,17:40 (16:40),Al-Qadsiah,2–1,Damac,1,Prince Saud bin Jalawi Stadium,Faisal Suleiman Al Balawi,Match Report,
2,Fri,2020-10-23,18:05 (17:05),Al-Raed,2–2,Al-Shabab,24,Prince Abdullah bin Abdul Aziz Stadium,Sultan Sanat Al Harbi,Match Report,
2,Fri,2020-10-23,19:55 (18:55),Al-Faisaly,2–1,Al-Batin,45,Al Majma'ah Sport City,Shukri Hussein Al Hunfush,Match Report,
2,Sat,2020-10-24,17:40 (16:40),Al-Ettifaq,2–1,Al-Ain,45,Prince Mohamed bin Fahd Stadium,Mohammed Zafar Al Qarni,Match Report,
2,Sat,2020-10-24,19:55 (18:55),Al-Fateh,2–2,Al-Ittihad,200,Prince Abdullah bin Jalawi Stadium,Khalid Saleh Al Turais,Match Report,
3,Thu,2020-10-29,17:50 (15:50),Al-Batin,2–1,Al-Raed,50,Al-Batin FC Stadium,Khalid Ahmed Sahlawi,Match Report,
3,Thu,2020-10-29,19:50 (17:50),Al-Qadsiah,1–0,Al-Taawoun,,Prince Saud bin Jalawi Stadium,Raed Ali Al Zahrani,Match Report,
3,Fri,2020-10-30,15:40 (13:40),Al-Ain,2–4,Al-Fateh,20,King Saud Sport City Stadium,Mohammed Saif Al Harbi,Match Report,
3,Fri,2020-10-30,19:50 (17:50),Al-Wehda,1–2,Al-Faisaly,34,King Abdul Aziz Stadium,Khalid Saleh Al Turais,Match Report,
3,Sat,2020-10-31,17:50 (15:50),Al-Hilal,2–0,Damac,,Prince Faisal bin Fahd Stadium,Turki Mohammed Al Khudayr,Match Report,
3,Sat,2020-10-31,18:15 (16:15),Abha,3–2,Al-Ettifaq,35,Prince Sultan bin Abdul Aziz Stadium,Faisal Suleiman Al Balawi,Match Report,
3,Sat,2020-10-31,19:50 (17:50),Al-Ittihad,2–0,Al-Ahli,30,King Abdullah Sports City,Majed Mohammed Al Shamrani,Match Report,
3,Sun,2020-11-01,19:50 (17:50),Al-Shabab,2–1,Al-Nassr,,Prince Faisal bin Fahd Stadium,Shukri Hussein Al Hunfush,Match Report,
4,Thu,2020-11-05,19:45 (17:45),Al-Wehda,2–3,Al-Raed,50,King Abdul Aziz Stadium,Majed Mohammed Al Shamrani,Match Report,
4,Fri,2020-11-06,15:35 (13:35),Damac,0–0,Al-Faisaly,40,Prince Sultan bin Abdul Aziz Stadium,Sultan Sanat Al Harbi,Match Report,
4,Fri,2020-11-06,17:30 (15:30),Al-Ettifaq,0–2,Al-Hilal,47,Prince Saud bin Jalawi Stadium,Khalid Saleh Al Turais,Match Report,
4,Fri,2020-11-06,17:45 (15:45),Al-Batin,3–0,Abha,55,Al-Batin FC Stadium,Mohammed Sami Al Ismail,Match Report,
4,Fri,2020-11-06,19:45 (17:45),Al-Ittihad,1–1,Al-Taawoun,30,King Abdullah Sports City,Mohammed Zafar Al Qarni,Match Report,
4,Sat,2020-11-07,15:35 (13:35),Al-Ain,3–4,Al-Ahli,45,King Saud Sport City Stadium,Abdullah Al-Shehri,Match Report,
4,Sat,2020-11-07,17:35 (15:35),Al-Fateh,1–3,Al-Shabab,25,Prince Abdullah bin Jalawi Reserve Stadi...,Faisal Suleiman Al Balawi,Match Report,
4,Sat,2020-11-07,19:45 (17:45),Al-Nassr,2–0,Al-Qadsiah,19,Prince Faisal bin Fahd Stadium,Turki Mohammed Al Khudayr,Match Report,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
