rk,player,nation,pos,squad,age,born,90s,ga,pka,fk,ck,og,psxg,psxg_sot,psxg_exp,90,cmp,att,cmp_launch,att_gk,thr,launch,avglen,att_goal_k,launch_goal_k,avglen_goal_k,opp,stp,stp_crosse,opa,opa_90,avgdist,matches
1,Waleed Abdullah,sa KSA,GK,Al-Nassr,37,1986,3.7,9,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
2,Mohammed Al Absi,sa KSA,GK,Al-Shabab,20,2002,6.0,10,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
3,Paulo Vítor Fagundes dos Anjos,br BRA,GK,Al Okhdood SC,34,1988,31.0,46,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
4,Nawaf Al Aqidi,sa KSA,GK,Al-Nassr,23,2000,16.0,20,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
5,Abdulquddus Atiah,sa KSA,GK,Al-Wehda,26,1997,7.0,13,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
6,Abdulaziz Al Awardi,sa KSA,GK,Al Okhdood SC,21,2002,3.0,6,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Muataz Al Bagawi,sa KSA,GK,Al-Ta'ee,25,1998,14.0,26,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
8,Yassine Bounou,ma MAR,GK,Al-Hilal,32,1991,30.9,20,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
9,Victor Braga,br BRA,GK,Al-Ta'ee,31,1992,20.0,37,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
10,Martín Campaña,uy URU,GK,Al-Riyadh SC,34,1989,32.5,53,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
11,Aymen Dahmen,tn TUN,GK,Al-Hazem,26,1997,24.0,52,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
12,Abdulraouf Al Duqayl,sa KSA,GK,Al-Fayha,27,1995,5.3,6,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
13,Devis Epassy,cm CMR,GK,Abha,30,1993,1.0,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
14,Marcelo Grohe,br BRA,GK,Al-Ittihad,36,1987,17.0,18,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
15,Marwan Al Haidari,sa KSA,GK,Al-Khaleej,27,1996,7.3,13,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
16,Abdulbasit Hawsawi,sa KSA,GK,Damac,26,1996,5.7,11,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
17,Ahmed Al-Kassar,sa KSA,GK,Al-Fayha,32,1991,0.5,2,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
18,Mohammed Al-Mahasneh,sa KSA,GK,Al-Ittihad,,,5.0,12,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
19,Mohammed Al-Mahasneh,sa KSA,GK,Damac,,,8.0,8,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
20,Mailson,br BRA,GK,Al-Taawoun,26,1996,34.0,35,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
21,Mustafa Malayekah,sa KSA,GK,Al-Fateh,37,1986,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
22,Mustafa Malayekah,sa KSA,GK,Al-Shabab,37,1986,9.0,7,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
23,Abdullah Al-Mayouf,sa KSA,GK,Al-Hilal,36,1987,2.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
24,Abdullah Al-Mayouf,sa KSA,GK,Al-Ittihad,36,1987,12.0,24,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
25,Edouard Mendy,sn SEN,GK,Al-Ahli,31,1992,33.0,33,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
26,André Moreira,pt POR,GK,Al-Raed,27,1995,29.0,44,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
27,Munir,ma MAR,GK,Al-Wehda,34,1989,27.0,47,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
28,Raghid Najjar,sa KSA,GK,Al-Nassr,26,1996,3.3,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
29,Rakan Najjar,sa KSA,GK,Al-Riyadh SC,28,1995,0.4,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
30,David Ospina,co COL,GK,Al-Nassr,34,1988,11.0,10,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
31,Mohammed Al-Owais,sa KSA,GK,Al-Hilal,31,1991,1.1,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
32,Ahmed Al-Rehaili,sa KSA,GK,Al-Raed,28,1994,5.0,5,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
33,Jacob Rinne,se SWE,GK,Al-Fateh,30,1993,33.0,55,8,,,,,,,,,,,,,,,,,,,,,,,,Matches
34,Abdulrahman Al Sanbi,sa KSA,GK,Al-Ahli,22,2001,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
35,Ibrahim Šehić,ba BIH,GK,Al-Khaleej,34,1988,26.7,34,7,,,,,,,,,,,,,,,,,,,,,,,,Matches
36,Kim Seung-gyu,kr KOR,GK,Al-Shabab,32,1990,19.0,25,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
37,Abdulrahman Al Shammari,,GK,Al-Riyadh SC,,,1.2,2,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
38,Vladimir Stojković,rs SRB,GK,Al-Fayha,40,1983,28.2,44,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
39,Ciprian Tătărușanu,ro ROU,GK,Abha,37,1986,33.0,84,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
40,Paulo Victor Vidotti,br BRA,GK,Al-Ettifaq,36,1987,34.0,34,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
41,Ibrahim Zaied,sa KSA,GK,Al-Hazem,33,1990,10.0,24,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
42,Moustapha Zeghba,dz ALG,GK,Damac,32,1990,20.2,26,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
