rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,1_3,cpa,mis,dis,rec,matches
1,Malek Al Abadalmanam,sa KSA,MF,Al-Fayha,25,1998,0.1,,,,,,,,,,,,,,,,,,,,,Matches
2,Saleh Al Abbas,sa KSA,"FW,MF",Al-Riyadh SC,29,1993,17.5,,,,,,,,,,,,,,,,,,,,,Matches
3,Hamad Al Abdan,sa KSA,MF,Al-Khaleej,23,2000,1.2,,,,,,,,,,,,,,,,,,,,,Matches
4,Ahmed Abdu,sa KSA,FW,Al-Shabab,26,1996,1.0,,,,,,,,,,,,,,,,,,,,,Matches
5,Ahmed Abdu,sa KSA,FW,Abha,26,1996,10.7,,,,,,,,,,,,,,,,,,,,,Matches
6,Saud Abdulhamid,sa KSA,DF,Al-Hilal,24,1999,28.6,,,,,,,,,,,,,,,,,,,,,Matches
7,Waleed Abdullah,sa KSA,GK,Al-Nassr,37,1986,3.7,,,,,,,,,,,,,,,,,,,,,Matches
8,Mohamed Abdulrahman,sa KSA,"DF,MF",Al-Ettifaq,20,2003,15.2,,,,,,,,,,,,,,,,,,,,,Matches
9,Fahad Al Abdulraziq,sa KSA,"DF,MF",Al-Taawoun,,,9.7,,,,,,,,,,,,,,,,,,,,,Matches
10,Hassan Abo Shararah,sa KSA,MF,Damac,26,1997,1.4,,,,,,,,,,,,,,,,,,,,,Matches
11,Abdulrahman Al-Aboud,sa KSA,FW,Al-Ettifaq,28,1995,1.9,,,,,,,,,,,,,,,,,,,,,Matches
12,Abdulrahman Al-Aboud,sa KSA,MF,Al-Ittihad,28,1995,0.8,,,,,,,,,,,,,,,,,,,,,Matches
13,Mohammed Abousaban,sa KSA,MF,Al-Hazem,33,1990,8.3,,,,,,,,,,,,,,,,,,,,,Matches
14,Khalil Al Absi,sa KSA,FW,Al-Hazem,22,2001,0.5,,,,,,,,,,,,,,,,,,,,,Matches
15,Mohammed Al Absi,sa KSA,GK,Al-Shabab,20,2002,6.0,,,,,,,,,,,,,,,,,,,,,Matches
16,Talal Al-Absi,sa KSA,DF,Al-Hazem,30,1993,11.3,,,,,,,,,,,,,,,,,,,,,Matches
17,Abdulfattah Adam,sa KSA,FW,Al-Nassr,28,1995,0.2,,,,,,,,,,,,,,,,,,,,,Matches
18,Abdulfattah Adam,sa KSA,"FW,MF",Al-Taawoun,28,1995,8.4,,,,,,,,,,,,,,,,,,,,,Matches
19,Mo Adams,eng ENG,MF,Al-Khaleej,26,1996,2.3,,,,,,,,,,,,,,,,,,,,,Matches
20,Waleed Al Ahmad,sa KSA,DF,Al-Taawoun,24,1999,19.2,,,,,,,,,,,,,,,,,,,,,Matches
21,Sultan Al Akouz,sa KSA,MF,Al-Wehda,22,2001,1.4,,,,,,,,,,,,,,,,,,,,,Matches
22,Mishal Al Alaeli,sa KSA,DF,Al-Ettifaq,19,2004,0.1,,,,,,,,,,,,,,,,,,,,,Matches
23,Hassan Al Ali,sa KSA,"FW,MF",Abha,21,2002,14.2,,,,,,,,,,,,,,,,,,,,,Matches
24,Hassan Al Ali,sa KSA,FW,Al-Ahli,21,2002,0.2,,,,,,,,,,,,,,,,,,,,,Matches
25,Mukhtar Ali,sa KSA,DF,Al-Nassr,25,1997,1.2,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
26,Mukhtar Ali,sa KSA,MF,Al-Fateh,25,1997,25.6,,,,,,,,,,,,,,,,,,,,,Matches
27,Ezgjan Alioski,mk MKD,DF,Al-Ahli,31,1992,4.0,,,,,,,,,,,,,,,,,,,,,Matches
28,Awad Aman,sa KSA,DF,Al-Nassr,18,2005,0.5,,,,,,,,,,,,,,,,,,,,,Matches
29,Abdullah Al-Ammar,sa KSA,DF,Al-Ahli,29,1994,11.6,,,,,,,,,,,,,,,,,,,,,Matches
30,Abdullah Al-Ammar,sa KSA,"DF,MF",Damac,29,1994,5.0,,,,,,,,,,,,,,,,,,,,,Matches
31,Turki Al Ammar,sa KSA,FW,Al-Shabab,23,1999,2.7,,,,,,,,,,,,,,,,,,,,,Matches
32,Abdulelah Al-Amri,sa KSA,DF,Al-Nassr,26,1997,12.8,,,,,,,,,,,,,,,,,,,,,Matches
33,Hassan Al-Amri,sa KSA,MF,Al-Taawoun,29,1994,0.2,,,,,,,,,,,,,,,,,,,,,Matches
34,Hassan Al-Amri,sa KSA,MF,Al-Ta'ee,29,1994,1.4,,,,,,,,,,,,,,,,,,,,,Matches
35,Saleh Al-Amri,sa KSA,"MF,FW",Al-Ittihad,29,1993,10.6,,,,,,,,,,,,,,,,,,,,,Matches
36,Rakan Al Anaze,sa KSA,"MF,FW",Al-Ta'ee,25,1998,14.8,,,,,,,,,,,,,,,,,,,,,Matches
37,Dhari Al Anazi,sa KSA,DF,Damac,23,2000,24.7,,,,,,,,,,,,,,,,,,,,,Matches
38,Paulo Vítor Fagundes dos Anjos,br BRA,GK,Al Okhdood SC,34,1988,31.0,,,,,,,,,,,,,,,,,,,,,Matches
39,Domagoj Antolić,hr CRO,MF,Damac,33,1990,29.1,,,,,,,,,,,,,,,,,,,,,Matches
40,Abdulrahman Al Anzi,sa KSA,MF,Al-Fayha,,,0.5,,,,,,,,,,,,,,,,,,,,,Matches
41,Mohammed Al Aqeel,sa KSA,MF,Al-Riyadh SC,26,1997,0.9,,,,,,,,,,,,,,,,,,,,,Matches
42,Nawaf Al Aqidi,sa KSA,GK,Al-Nassr,23,2000,16.0,,,,,,,,,,,,,,,,,,,,,Matches
43,Dino Arslanagic,be BEL,DF,Al-Riyadh SC,30,1993,19.3,,,,,,,,,,,,,,,,,,,,,Matches
44,Abdulfattah Asiri,sa KSA,"FW,MF",Al-Ta'ee,29,1994,6.9,,,,,,,,,,,,,,,,,,,,,Matches
45,Jaber Asiri,sa KSA,FW,Al-Wehda,25,1997,1.4,,,,,,,,,,,,,,,,,,,,,Matches
46,Khalid Al Asiri,sa KSA,DF,Al-Shabab,18,2004,0.3,,,,,,,,,,,,,,,,,,,,,Matches
47,Naif Asiri,sa KSA,DF,Al Okhdood SC,22,2001,2.6,,,,,,,,,,,,,,,,,,,,,Matches
48,Sulaiman Asiri,sa KSA,FW,Abha,22,2001,0.0,,,,,,,,,,,,,,,,,,,,,Matches
49,Ali Al Asmari,sa KSA,MF,Al-Ahli,26,1997,5.1,,,,,,,,,,,,,,,,,,,,,Matches
50,Ahmed Assiri,sa KSA,DF,Al-Riyadh SC,31,1991,19.4,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
51,Abdulquddus Atiah,sa KSA,GK,Al-Wehda,26,1997,7.0,,,,,,,,,,,,,,,,,,,,,Matches
52,Abdulaziz Al Awardi,sa KSA,GK,Al Okhdood SC,21,2002,3.0,,,,,,,,,,,,,,,,,,,,,Matches
53,Abdulmalek Al Ayiri,sa KSA,DF,Al-Taawoun,19,2003,21.0,,,,,,,,,,,,,,,,,,,,,Matches
54,Nawaf Al-Azizi,sa KSA,FW,Al-Wehda,23,1999,1.2,,,,,,,,,,,,,,,,,,,,,Matches
55,Farhan Al Azmi,sa KSA,DF,Al-Hazem,29,1994,7.4,,,,,,,,,,,,,,,,,,,,,Matches
56,Saeed Ba Atiyah,,"DF,MF",Al-Fateh,,,23.0,,,,,,,,,,,,,,,,,,,,,Matches
57,Muhammed Badamosi,gm GAM,FW,Al-Hazem,24,1998,23.0,,,,,,,,,,,,,,,,,,,,,Matches
58,Muataz Al Bagawi,sa KSA,GK,Al-Ta'ee,25,1998,14.0,,,,,,,,,,,,,,,,,,,,,Matches
59,Hattan Bahebri,sa KSA,"FW,MF",Al-Shabab,31,1992,12.3,,,,,,,,,,,,,,,,,,,,,Matches
60,Ahmed Bahusayn,sa KSA,"FW,MF",Al-Taawoun,22,2001,11.8,,,,,,,,,,,,,,,,,,,,,Matches
61,Jamal Bajandouh,sa KSA,MF,Al-Ta'ee,30,1992,4.8,,,,,,,,,,,,,,,,,,,,,Matches
62,Mohammed Bakr,sa KSA,DF,Al-Taawoun,21,2002,0.0,,,,,,,,,,,,,,,,,,,,,Matches
63,Yazeid Al Bakr,sa KSA,DF,Al-Hazem,27,1995,10.8,,,,,,,,,,,,,,,,,,,,,Matches
64,Waleed Bakshween,sa KSA,"MF,DF",Al-Wehda,33,1989,22.2,,,,,,,,,,,,,,,,,,,,,Matches
65,Ahmed Bamasud,sa KSA,"DF,MF",Al-Ittihad,27,1995,11.1,,,,,,,,,,,,,,,,,,,,,Matches
66,Éver Banega,ar ARG,MF,Al-Shabab,35,1988,14.7,,,,,,,,,,,,,,,,,,,,,Matches
67,Mohammed Al Baqawi,sa KSA,"DF,MF",Al-Fayha,28,1995,28.2,,,,,,,,,,,,,,,,,,,,,Matches
68,Musa Barrow,gm GAM,"FW,MF",Al-Taawoun,24,1998,17.5,,,,,,,,,,,,,,,,,,,,,Matches
69,Mourad Batna,ma MAR,"MF,FW",Al-Fateh,33,1990,20.8,,,,,,,,,,,,,,,,,,,,,Matches
70,Robert Bauer,de GER,"DF,MF",Al-Ta'ee,28,1995,32.5,,,,,,,,,,,,,,,,,,,,,Matches
71,Abdelkader Bedrane,dz ALG,DF,Damac,31,1992,26.3,,,,,,,,,,,,,,,,,,,,,Matches
72,Sofiane Bendebka,dz ALG,MF,Al-Fateh,30,1992,26.1,,,,,,,,,,,,,,,,,,,,,Matches
73,Karim Benzema,fr FRA,FW,Al-Ittihad,35,1987,19.3,,,,,,,,,,,,,,,,,,,,,Matches
74,Karim El Berkaoui,ma MAR,"FW,MF",Al-Raed,27,1995,25.1,,,,,,,,,,,,,,,,,,,,,Matches
75,Mansor Al Beshe,sa KSA,MF,Al-Raed,23,2000,25.3,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
76,Saad Bguir,tn TUN,"FW,MF",Abha,29,1994,19.3,,,,,,,,,,,,,,,,,,,,,Matches
77,Fahad bin Jumayah,sa KSA,"DF,MF",Abha,28,1995,21.5,,,,,,,,,,,,,,,,,,,,,Matches
78,Khalid bin Shuwayyi,sa KSA,DF,Al-Riyadh SC,27,1996,21.9,,,,,,,,,,,,,,,,,,,,,Matches
79,Saud bin Zaydan,sa KSA,MF,Al-Fayha,23,1999,10.8,,,,,,,,,,,,,,,,,,,,,Matches
80,Abdulaziz Al-Bishi,sa KSA,"MF,FW",Damac,29,1994,10.3,,,,,,,,,,,,,,,,,,,,,Matches
81,Azzam Al Bishi,sa KSA,MF,Al-Wehda,21,2002,0.0,,,,,,,,,,,,,,,,,,,,,Matches
82,Abdulelah Bokhari,sa KSA,DF,Al-Wehda,29,1994,7.6,,,,,,,,,,,,,,,,,,,,,Matches
83,Ryad Boudebouz,dz ALG,MF,Al-Ahli,33,1990,1.6,,,,,,,,,,,,,,,,,,,,,Matches
84,Yassine Bounou,ma MAR,GK,Al-Hilal,32,1991,30.9,,,,,,,,,,,,,,,,,,,,,Matches
85,Nawaf Boushal,sa KSA,DF,Al-Nassr,23,1999,8.4,,,,,,,,,,,,,,,,,,,,,Matches
86,Victor Braga,br BRA,GK,Al-Ta'ee,31,1992,20.0,,,,,,,,,,,,,,,,,,,,,Matches
87,Mohammed Al-Breik,sa KSA,DF,Al-Hilal,30,1992,11.5,,,,,,,,,,,,,,,,,,,,,Matches
88,Marcelo Brozović,hr CRO,MF,Al-Nassr,30,1992,27.7,,,,,,,,,,,,,,,,,,,,,Matches
89,Tawfiq Bu Haymid,sa KSA,"DF,MF",Al-Fateh,35,1987,13.6,,,,,,,,,,,,,,,,,,,,,Matches
90,Ali Al-Bulaihi,sa KSA,DF,Al-Hilal,33,1989,30.8,,,,,,,,,,,,,,,,,,,,,Matches
91,Firas Al-Buraikan,sa KSA,FW,Al-Fateh,23,2000,4.7,,,,,,,,,,,,,,,,,,,,,Matches
