rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,matches
1,Malek Al Abadalmanam,sa KSA,FW,Al-Fayha,26,1998,2.3,1,0,0,7,3,0,1,1,0,,,0,Matches
2,Saleh Al Abbas,sa KSA,FW,Al Okhdood SC,30,1993,7.0,3,0,0,21,8,2,2,2,6,,,0,Matches
3,Faris Abdi,sa KSA,"DF,MF",Al-Fayha,25,1999,27.6,9,0,0,52,18,2,50,26,81,,,0,Matches
4,Ali Abdoulraouf,,MF,Al-Khaleej,,,0.5,0,0,0,1,1,0,0,1,2,,,0,Matches
5,Majed Abdullah,,FW,Al-Shabab,18,2006,0.7,2,0,0,5,1,3,0,1,0,,,0,Matches
6,Mohammed Al Abdullah,,MF,Al-Khaleej,,,0.6,1,0,0,0,1,0,0,0,2,,,0,Matches
7,Reda Al Abdullah,,MF,Al-Fayha,,,0.0,0,0,0,1,0,0,0,0,0,,,0,Matches
8,Mohamed Abdulrahman,sa KSA,DF,Al-Ettifaq,21,2003,17.8,4,0,0,29,12,5,43,23,31,,,0,Matches
9,Fahad Al Abdulraziq,sa KSA,"DF,MF",Al-Taawoun,,,7.1,1,0,0,9,12,1,15,8,12,,,0,Matches
10,Faisal Al Abdulwahed,sa KSA,FW,Al-Fateh,19,2004,1.1,2,0,0,0,2,1,0,1,0,,,1,Matches
11,Nawaf Al Abed,sa KSA,MF,Al-Riyadh SC,34,1990,2.4,1,0,0,4,5,0,11,0,1,,,0,Matches
12,Mehdi Abeid,dz ALG,"MF,DF",Al-Raed,31,1992,27.4,8,0,0,62,34,4,11,23,41,,,0,Matches
13,Hassan Abo Shararah,sa KSA,MF,Damac,27,1997,0.3,0,0,0,0,1,0,0,0,1,,,0,Matches
14,Abdulrahman Al-Aboud,sa KSA,MF,Al-Ittihad,29,1995,12.8,3,0,0,16,36,7,71,9,25,,,0,Matches
15,Mohammed Al Absi,sa KSA,GK,Al-Shabab,21,2002,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
16,Mohannad Abu Taha,jo JOR,"DF,MF",Al-Orobah,21,2003,15.1,2,0,0,31,17,1,39,19,33,,,0,Matches
17,Abdulfattah Adam,sa KSA,FW,Al-Taawoun,29,1995,10.6,6,0,0,10,18,9,3,2,1,,,0,Matches
18,Waleed Al Ahmad,sa KSA,DF,Al-Taawoun,25,1999,21.7,5,1,0,24,19,1,1,25,27,,,0,Matches
19,Mishal Al Alaeli,sa KSA,DF,Al-Wehda,20,2004,15.0,5,0,0,24,15,1,50,25,36,,,0,Matches
20,Alexsander,br BRA,MF,Al-Ahli,20,2003,5.7,0,0,0,7,10,0,1,12,14,,,0,Matches
21,Mukhtar Ali,sa KSA,MF,Al-Ettifaq,26,1997,12.2,3,0,0,10,8,0,7,12,10,,,0,Matches
22,Mukhtar Ali,sa KSA,MF,Al-Nassr,26,1997,0.5,1,0,0,2,0,0,0,0,2,,,0,Matches
23,Mohammed Alkhaibari,sa KSA,DF,Damac,,,12.6,5,0,0,9,12,0,0,16,17,,,0,Matches
24,Iker Almena,es ESP,"MF,DF",Al-Qadsiah,20,2004,13.1,1,0,0,12,15,0,55,3,12,,,0,Matches
25,Gastón Álvarez,uy URU,DF,Al-Qadsiah,24,2000,28.3,7,0,0,32,11,0,9,28,30,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
26,Awad Aman,sa KSA,DF,Al-Nassr,19,2005,0.2,0,0,0,1,1,0,0,0,0,,,0,Matches
27,Mohamed Amine Sbai,fr FRA,MF,Al-Fateh,23,2000,16.3,0,0,0,18,15,0,43,6,16,,,0,Matches
28,Abdullah Al-Ammar,sa KSA,DF,Al-Ahli,30,1994,5.6,1,0,0,7,4,0,16,10,10,,,0,Matches
29,Turki Al Ammar,sa KSA,MF,Al-Qadsiah,24,1999,23.2,5,0,0,17,21,9,125,22,14,,,0,Matches
30,Abdulelah Al-Amri,sa KSA,DF,Al-Ittihad,27,1997,14.7,3,0,0,11,10,0,7,32,12,,,0,Matches
31,Saleh Al-Amri,sa KSA,"MF,FW",Al-Raed,30,1993,29.8,9,0,0,22,58,16,60,13,26,,,0,Matches
32,Youssef Amyn,iq IRQ,MF,Al-Wehda,20,2003,19.9,3,0,0,16,42,2,26,6,20,,,0,Matches
33,Abdullah Al Anazi,sa KSA,MF,Al-Fateh,21,2003,4.5,1,1,0,5,10,0,8,3,7,,,0,Matches
34,Dhari Al Anazi,sa KSA,"DF,MF",Damac,24,2000,26.1,13,1,1,44,49,0,50,32,50,,,2,Matches
35,Zaid Al Anazi,sa KSA,MF,Al Kholood Saudi Club,20,2004,0.5,0,0,0,1,1,1,3,0,2,,,0,Matches
36,Ângelo,br BRA,MF,Al-Nassr,19,2004,15.2,2,0,0,15,15,1,78,12,21,,,0,Matches
37,Paulo Vítor Fagundes dos Anjos,br BRA,GK,Al Okhdood SC,35,1988,31.5,3,1,0,3,6,0,0,1,0,,,0,Matches
38,Abdulrahman Al Anzi,sa KSA,DF,Al-Orobah,,,1.7,0,0,0,2,4,0,1,4,3,,,0,Matches
39,Houssem Aouar,dz ALG,MF,Al-Ittihad,26,1998,27.7,5,0,0,35,48,8,35,13,19,,,0,Matches
40,Mohammed Al Aqeel,sa KSA,MF,Al-Riyadh SC,27,1997,0.8,0,0,0,4,1,0,0,1,1,,,0,Matches
41,Nawaf Al Aqidi,sa KSA,GK,Al-Fateh,24,2000,16.0,2,0,0,1,0,0,0,0,1,,,0,Matches
42,Karim Ashraf,eg EGY,FW,Al Okhdood SC,20,2004,0.1,0,0,0,1,0,1,0,0,0,,,0,Matches
43,Abdulfattah Asiri,sa KSA,"MF,FW",Al Kholood Saudi Club,30,1994,3.4,0,0,0,9,8,2,11,2,1,,,0,Matches
44,Naif Asiri,sa KSA,DF,Al Okhdood SC,23,2001,23.7,5,0,0,25,8,3,2,34,27,,,1,Matches
45,Ali Al Asmari,sa KSA,MF,Al-Ahli,27,1997,2.9,1,0,0,4,2,0,4,5,9,,,0,Matches
46,Hassan Al Asmari,sa KSA,DF,Al Kholood Saudi Club,21,2002,3.9,0,0,0,2,5,1,3,5,2,,,0,Matches
47,Ahmed Assiri,sa KSA,DF,Al-Riyadh SC,32,1991,25.4,9,2,0,20,14,0,1,26,17,,,0,Matches
48,Abdulquddus Atiah,sa KSA,GK,Al-Taawoun,27,1997,17.0,0,0,0,0,5,0,0,0,2,,,0,Matches
49,Pierre-Emerick Aubameyang,ga GAB,FW,Al-Qadsiah,35,1989,31.4,1,1,0,21,20,14,48,5,4,,,0,Matches
50,Nawaf Al-Azizi,sa KSA,MF,Al-Wehda,24,1999,0.9,0,0,0,3,1,0,3,1,3,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
51,Saeed Ba Atiyah,,"DF,MF",Al-Fateh,,,17.0,5,0,0,30,14,0,50,32,30,,,0,Matches
52,Juninho Bacuna,cw CUW,MF,Al-Wehda,26,1997,25.1,7,0,0,36,34,4,48,30,24,,,0,Matches
53,Hattan Bahebri,sa KSA,"MF,FW",Al-Taawoun,32,1992,4.7,1,0,0,7,7,1,6,4,4,,,0,Matches
54,Ahmed Bahusayn,sa KSA,MF,Al-Taawoun,23,2001,7.5,0,0,0,9,7,0,9,5,11,,,0,Matches
55,Yazeid Al Bakr,sa KSA,DF,Al-Riyadh SC,28,1995,0.7,1,0,0,3,0,0,0,0,0,,,0,Matches
56,Waleed Bakshween,sa KSA,MF,Al-Wehda,34,1989,19.4,5,1,1,36,12,0,10,25,28,,,0,Matches
57,Saif Balhareth,sa KSA,MF,Al Okhdood SC,18,2006,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
58,Ahmed Bamasud,sa KSA,DF,Al-Ettifaq,28,1995,1.1,1,0,0,2,2,0,5,3,2,,,0,Matches
59,Mohammed Al Baqawi,sa KSA,"MF,DF",Al-Fayha,29,1995,24.8,5,0,0,19,43,0,29,13,29,,,1,Matches
60,Yoann Barbet,fr FRA,DF,Al-Riyadh SC,31,1993,28.9,2,0,0,16,7,1,17,37,12,,,1,Matches
61,Mohammed Barnawi,sa KSA,DF,Al-Orobah,18,2005,2.0,0,0,0,1,3,0,2,1,4,,,0,Matches
62,Musa Barrow,gm GAM,"FW,MF",Al-Taawoun,25,1998,28.2,1,0,0,11,21,12,49,6,11,,,0,Matches
63,Ousmane Barry,gn GUI,FW,Al Okhdood SC,32,1991,10.3,1,0,0,11,20,11,0,3,4,,,0,Matches
64,Christian Bassogog,cm CMR,"MF,FW",Al Okhdood SC,28,1995,30.2,1,0,0,24,45,26,114,10,19,,,0,Matches
