rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,recov,won,lost,won_aerial,matches
1,Gennaro Acampora,it ITA,"MF,FW",Spezia,26,1994,4.9,2,0,0,10,12,1,7,4,4,0,0,0,31,3,5,37.5,Matches
2,Francesco Acerbi,it ITA,DF,Lazio,32,1988,31.3,9,1,1,31,24,2,32,76,32,0,0,0,227,62,25,71.3,Matches
3,Andrea Adorante,it ITA,FW,Parma,20,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
4,Lucien Agoume,fr FRA,MF,Spezia,18,2002,8.9,2,0,0,17,8,0,1,15,10,0,0,0,75,12,2,85.7,Matches
5,Kevin Agudelo,co COL,FW,Spezia,21,1998,15.1,4,0,0,20,32,2,11,10,28,0,0,0,60,16,34,32.0,Matches
6,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,27,1992,11.7,9,0,0,31,12,0,4,18,25,0,0,0,70,9,9,50.0,Matches
7,Luis Alberto,es ESP,MF,Lazio,27,1992,29.1,5,0,0,19,36,2,150,13,24,0,0,0,209,10,12,45.5,Matches
8,Bruno Alves,pt POR,DF,Parma,38,1981,18.1,3,0,0,20,9,1,8,26,10,0,0,0,74,43,5,89.6,Matches
9,Wisdom Amey,it ITA,DF,Bologna,14,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
10,Sofyan Amrabat,ma MAR,MF,Fiorentina,23,1996,27.1,7,0,0,59,44,0,16,23,22,0,0,0,188,18,26,40.9,Matches
11,Djavan Anderson,sr SUR,DF,Lazio,25,1995,0.8,0,0,0,1,1,0,2,1,0,0,0,0,4,0,0,,Matches
12,Nícolas Andrade,br BRA,GK,Udinese,32,1988,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
13,Davide Angelo Ghislandi,it ITA,DF,Atalanta,19,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
14,Philip Ankhrah,gh GHA,MF,Hellas Verona,17,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
15,Cristian Ansaldi,ar ARG,"DF,FW",Torino,33,1986,21.6,1,0,0,24,22,0,177,16,33,0,1,0,99,7,14,33.3,Matches
16,Valentin Antov,bg BUL,DF,Bologna,19,2000,2.6,1,0,0,2,2,0,0,4,2,0,0,0,11,3,5,37.5,Matches
17,Nicolò Armini,it ITA,DF,Lazio,19,2001,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
18,Tolgay Arslan,de GER,MF,Udinese,29,1990,20.2,9,0,0,38,45,0,13,22,32,0,1,0,139,11,9,55.0,Matches
19,Kwadwo Asamoah,gh GHA,"DF,MF",Cagliari,31,1988,2.5,0,0,0,0,4,0,7,4,3,0,0,0,20,2,1,66.7,Matches
20,Kristoffer Askildsen,no NOR,MF,Sampdoria,19,2001,1.1,2,0,0,3,1,0,1,3,0,0,0,0,5,1,1,50.0,Matches
21,Emil Audero,id IDN,GK,Sampdoria,23,1997,37.0,0,0,0,0,6,0,0,1,1,0,0,0,61,6,0,100.0,Matches
22,Tommaso Augello,it ITA,DF,Sampdoria,25,1994,35.7,2,1,0,13,25,2,148,32,30,0,0,0,214,41,30,57.7,Matches
23,Kaan Ayhan,tr TUR,DF,Sassuolo,25,1994,8.8,3,0,0,8,2,0,3,16,9,0,0,0,37,12,22,35.3,Matches
24,Milan Badelj,hr CRO,MF,Genoa,31,1989,26.8,7,0,0,34,33,1,15,87,27,1,0,0,228,16,12,57.1,Matches
25,Tiemoué Bakayoko,fr FRA,MF,Napoli,25,1994,21.8,6,1,1,36,52,1,2,36,41,1,0,0,129,44,34,56.4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
26,Keita Baldé,sn SEN,FW,Sampdoria,25,1995,13.3,4,1,0,32,35,4,8,0,6,1,1,0,25,20,41,32.8,Matches
27,Botond Balogh,hu HUN,DF,Parma,18,2002,1.8,1,0,0,1,0,0,0,2,7,0,0,0,5,2,3,40.0,Matches
28,Mattia Bani,it ITA,DF,Genoa,26,1993,10.2,4,0,0,13,7,1,2,27,5,0,0,0,39,32,29,52.5,Matches
29,Mattia Bani,it ITA,DF,Parma,26,1993,12.7,6,0,0,16,8,0,3,33,11,0,0,0,54,34,24,58.6,Matches
30,Antonín Barák,cz CZE,MF,Hellas Verona,25,1994,30.7,5,1,0,60,17,4,14,12,19,0,1,0,216,65,81,44.5,Matches
31,Federico Barba,it ITA,DF,Benevento,26,1993,29.5,8,0,0,27,10,1,38,48,16,0,0,1,116,22,30,42.3,Matches
32,Nicolò Barella,it ITA,MF,Inter,23,1997,32.2,5,0,0,43,53,2,64,26,31,0,1,0,193,30,28,51.7,Matches
33,Antonio Barreca,it ITA,DF,Fiorentina,25,1995,0.9,0,0,0,1,0,1,11,0,0,0,1,0,3,3,2,60.0,Matches
34,Musa Barrow,gm GAM,"FW,MF",Bologna,21,1998,32.5,0,0,0,17,32,11,138,11,10,0,0,0,110,23,73,24.0,Matches
35,Paolo Bartolomei,it ITA,MF,Spezia,30,1989,3.6,1,0,0,4,1,0,13,1,2,0,1,0,9,1,1,50.0,Matches
36,Daniele Baselli,it ITA,MF,Torino,28,1992,4.4,2,0,0,6,9,0,14,9,7,0,0,0,39,7,7,50.0,Matches
37,Alessandro Bastoni,it ITA,DF,Inter,21,1999,32.5,6,0,0,40,28,0,24,40,22,0,0,0,164,48,32,60.0,Matches
38,Simone Bastoni,it ITA,DF,Spezia,23,1996,16.9,7,0,0,35,27,2,93,16,29,0,1,0,122,27,25,51.9,Matches
39,Bastos,ao ANG,DF,Lazio,29,1991,0.7,0,0,0,1,4,0,0,0,1,0,0,0,8,1,0,100.0,Matches
40,Rodrigo Becão,br BRA,DF,Udinese,24,1996,30.9,5,0,0,50,47,0,13,68,33,0,1,0,142,61,36,62.9,Matches
41,Valon Behrami,ch SUI,MF,Genoa,35,1985,9.9,3,1,1,28,21,0,3,9,9,1,0,0,41,12,18,40.0,Matches
42,Andrea Belotti,it ITA,FW,Torino,26,1993,32.1,4,0,0,58,135,21,25,12,18,3,1,0,87,81,111,42.2,Matches
43,Ahmad Benali,ly LBY,MF,Crotone,28,1992,13.5,2,0,0,12,16,1,28,6,11,0,0,0,94,10,4,71.4,Matches
44,Ismaël Bennacer,dz ALG,MF,Milan,22,1997,14.7,4,0,0,20,30,0,10,20,18,1,1,0,118,11,21,34.4,Matches
45,Rodrigo Bentancur,uy URU,MF,Juventus,23,1997,25.8,8,1,1,45,27,2,25,47,33,0,0,0,205,30,21,58.8,Matches
46,Alessandro Berardi,it ITA,GK,Hellas Verona,29,1991,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
47,Domenico Berardi,it ITA,FW,Sassuolo,25,1994,27.5,4,0,0,43,59,2,117,26,22,1,0,0,136,12,32,27.3,Matches
48,Álex Berenguer,es ESP,MF,Torino,25,1995,1.5,0,0,0,2,3,1,5,0,0,0,0,0,5,2,2,50.0,Matches
