rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
1,Gennaro Acampora,it ITA,"MF,FW",Spezia,26,1994,4.9,185,223,83.0,3437,574,79,86,83,100,19,27,0,0.0,0.2,0.0,1,20,2,0,28,Matches
2,Francesco Acerbi,it ITA,DF,Lazio,32,1988,31.3,1854,2097,88.4,35641,11589,703,767,880,930,248,352,1,1.0,1.4,0.0,10,110,21,10,141,Matches
3,Andrea Adorante,it ITA,FW,Parma,20,2000,0.1,1,1,100.0,18,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
4,Lucien Agoume,fr FRA,MF,Spezia,18,2002,8.9,434,487,89.1,7835,1942,191,205,187,205,47,59,0,0.1,0.3,-0.1,2,39,3,1,46,Matches
5,Kevin Agudelo,co COL,FW,Spezia,21,1998,15.1,228,328,69.5,3824,848,114,141,86,110,22,36,2,1.3,0.8,+0.7,12,27,10,0,43,Matches
6,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,27,1992,11.7,293,361,81.2,4459,907,149,181,113,124,15,22,1,0.8,0.3,+0.2,12,20,7,0,26,Matches
7,Luis Alberto,es ESP,MF,Lazio,27,1992,29.1,1493,1946,76.7,25097,9846,712,808,575,702,157,308,2,7.9,7.0,-5.9,80,282,83,6,301,Matches
8,Bruno Alves,pt POR,DF,Parma,38,1981,18.1,790,931,84.9,19031,7295,142,160,456,499,190,256,0,0.1,0.2,-0.1,2,43,3,1,50,Matches
9,Wisdom Amey,it ITA,DF,Bologna,14,2005,0.0,5,5,100.0,102,7,2,2,2,2,1,1,0,0.0,0.0,0.0,0,1,0,0,1,Matches
10,Sofyan Amrabat,ma MAR,MF,Fiorentina,23,1996,27.1,1210,1378,87.8,23407,5627,469,531,540,582,179,204,0,0.6,0.9,-0.6,13,143,11,4,151,Matches
11,Djavan Anderson,sr SUR,DF,Lazio,25,1995,0.8,23,32,71.9,265,37,15,19,7,8,0,2,0,0.0,0.0,0.0,0,0,0,0,0,Matches
12,Nícolas Andrade,br BRA,GK,Udinese,32,1988,2.0,34,40,85.0,978,673,6,6,19,19,9,15,0,0.0,0.0,0.0,0,0,0,0,0,Matches
13,Davide Angelo Ghislandi,it ITA,DF,Atalanta,19,2001,0.1,3,3,100.0,51,9,1,1,2,2,0,0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
14,Philip Ankhrah,gh GHA,MF,Hellas Verona,17,2002,0.1,0,0,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
15,Cristian Ansaldi,ar ARG,"DF,FW",Torino,33,1986,21.6,674,997,67.6,12959,5276,308,350,242,345,106,248,6,5.0,4.8,+1.0,36,64,40,34,66,Matches
16,Valentin Antov,bg BUL,DF,Bologna,19,2000,2.6,108,122,88.5,2182,854,41,42,51,55,16,25,0,0.0,0.0,0.0,1,4,0,0,6,Matches
17,Nicolò Armini,it ITA,DF,Lazio,19,2001,0.1,3,5,60.0,93,31,2,3,0,0,1,1,0,0.0,0.0,0.0,0,1,0,0,1,Matches
18,Tolgay Arslan,de GER,MF,Udinese,29,1990,20.2,749,890,84.2,12827,2917,341,380,325,363,62,97,0,0.4,0.9,-0.4,9,73,12,2,80,Matches
19,Kwadwo Asamoah,gh GHA,"DF,MF",Cagliari,31,1988,2.5,95,114,83.3,1746,456,43,48,38,43,12,17,0,0.0,0.1,0.0,0,10,2,0,6,Matches
20,Kristoffer Askildsen,no NOR,MF,Sampdoria,19,2001,1.1,10,19,52.6,146,67,8,12,1,2,1,3,0,0.0,0.0,0.0,0,1,0,0,1,Matches
21,Emil Audero,id IDN,GK,Sampdoria,23,1997,37.0,877,1247,70.3,26471,19006,124,125,387,394,364,724,1,0.2,0.0,+0.8,1,12,0,0,0,Matches
22,Tommaso Augello,it ITA,DF,Sampdoria,25,1994,35.7,1564,2061,75.9,24859,10136,807,916,628,807,97,228,3,3.9,4.1,-0.9,29,100,40,25,157,Matches
23,Kaan Ayhan,tr TUR,DF,Sassuolo,25,1994,8.8,515,567,90.8,8573,2411,234,246,251,268,26,41,0,0.0,0.2,0.0,0,51,2,0,41,Matches
24,Milan Badelj,hr CRO,MF,Genoa,31,1989,26.8,1297,1599,81.1,23600,8028,597,674,493,586,183,262,4,2.7,1.6,+1.3,29,150,25,2,171,Matches
25,Tiemoué Bakayoko,fr FRA,MF,Napoli,25,1994,21.8,1080,1228,87.9,17505,4453,524,590,442,465,82,103,1,0.8,1.0,+0.2,12,87,8,0,99,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Keita Baldé,sn SEN,FW,Sampdoria,25,1995,13.3,230,315,73.0,3100,526,135,169,74,96,7,18,1,2.4,1.3,-1.4,21,14,6,0,26,Matches
27,Botond Balogh,hu HUN,DF,Parma,18,2002,1.8,59,79,74.7,1277,419,12,16,35,42,11,18,0,0.0,0.0,0.0,0,0,0,0,2,Matches
28,Mattia Bani,it ITA,DF,Genoa,26,1993,10.2,443,529,83.7,8734,3270,142,163,236,258,58,88,0,0.2,0.2,-0.2,2,14,2,1,15,Matches
29,Mattia Bani,it ITA,DF,Parma,26,1993,12.7,633,712,88.9,13012,4280,167,187,382,398,79,115,0,0.4,0.3,-0.4,2,23,2,1,32,Matches
30,Antonín Barák,cz CZE,MF,Hellas Verona,25,1994,30.7,1017,1311,77.6,16319,4200,523,629,395,476,67,104,3,2.2,2.0,+0.8,24,126,26,2,147,Matches
31,Federico Barba,it ITA,DF,Benevento,26,1993,29.5,1095,1396,78.4,19174,7531,465,527,496,606,101,198,2,1.4,1.3,+0.6,13,56,14,4,80,Matches
32,Nicolò Barella,it ITA,MF,Inter,23,1997,32.2,1591,1931,82.4,25100,8423,850,935,564,662,123,201,7,5.7,4.8,+1.3,47,182,66,10,261,Matches
33,Antonio Barreca,it ITA,DF,Fiorentina,25,1995,0.9,32,51,62.7,480,157,17,19,12,20,2,5,0,0.0,0.0,0.0,1,4,1,1,6,Matches
