rk,player,nation,pos,squad,age,born,90s,att,live,dead,fk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,matches
1,Gennaro Acampora,it ITA,"MF,FW",Spezia,26,1994,4.9,223,216,5,4,0,6,7,0,1,0,0,0,185,2,1,Matches
2,Francesco Acerbi,it ITA,DF,Lazio,32,1988,31.3,2097,1974,119,73,0,24,32,22,0,0,0,0,1854,4,11,Matches
3,Andrea Adorante,it ITA,FW,Parma,20,2000,0.1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Matches
4,Lucien Agoume,fr FRA,MF,Spezia,18,2002,8.9,487,472,12,11,1,5,1,1,0,0,0,0,434,3,2,Matches
5,Kevin Agudelo,co COL,FW,Spezia,21,1998,15.1,328,310,16,0,1,1,11,2,2,0,0,0,228,2,25,Matches
6,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,27,1992,11.7,361,340,20,5,0,2,4,12,0,0,0,0,293,1,11,Matches
7,Luis Alberto,es ESP,MF,Lazio,27,1992,29.1,1946,1664,266,71,9,14,150,22,119,63,38,1,1493,16,43,Matches
8,Bruno Alves,pt POR,DF,Parma,38,1981,18.1,931,894,33,29,0,11,8,2,0,0,0,0,790,4,4,Matches
9,Wisdom Amey,it ITA,DF,Bologna,14,2005,0.0,5,3,2,0,0,0,0,2,0,0,0,0,5,0,0,Matches
10,Sofyan Amrabat,ma MAR,MF,Fiorentina,23,1996,27.1,1378,1314,61,38,0,33,16,5,0,0,0,0,1210,3,18,Matches
11,Djavan Anderson,sr SUR,DF,Lazio,25,1995,0.8,32,25,7,0,0,0,2,7,0,0,0,0,23,0,1,Matches
12,Nícolas Andrade,br BRA,GK,Udinese,32,1988,2.0,40,29,11,2,0,0,0,0,0,0,0,0,34,0,0,Matches
13,Davide Angelo Ghislandi,it ITA,DF,Atalanta,19,2001,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
14,Philip Ankhrah,gh GHA,MF,Hellas Verona,17,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Cristian Ansaldi,ar ARG,"DF,FW",Torino,33,1986,21.6,997,757,239,32,0,26,177,185,22,3,16,0,674,1,28,Matches
16,Valentin Antov,bg BUL,DF,Bologna,19,2000,2.6,122,109,13,6,0,1,0,7,0,0,0,0,108,0,0,Matches
17,Nicolò Armini,it ITA,DF,Lazio,19,2001,0.1,5,3,1,1,0,1,0,0,0,0,0,0,3,1,0,Matches
18,Tolgay Arslan,de GER,MF,Udinese,29,1990,20.2,890,853,31,26,1,10,13,3,2,1,1,0,749,6,12,Matches
19,Kwadwo Asamoah,gh GHA,"DF,MF",Cagliari,31,1988,2.5,114,102,12,1,0,0,7,10,1,0,0,0,95,0,1,Matches
20,Kristoffer Askildsen,no NOR,MF,Sampdoria,19,2001,1.1,19,19,0,0,0,0,1,0,0,0,0,0,10,0,0,Matches
21,Emil Audero,id IDN,GK,Sampdoria,23,1997,37.0,1247,873,372,113,0,1,0,0,0,0,0,0,877,2,0,Matches
22,Tommaso Augello,it ITA,DF,Sampdoria,25,1994,35.7,2061,1701,357,42,0,5,148,315,0,0,0,0,1564,3,62,Matches
23,Kaan Ayhan,tr TUR,DF,Sassuolo,25,1994,8.8,567,530,36,8,0,1,3,28,0,0,0,0,515,1,3,Matches
24,Milan Badelj,hr CRO,MF,Genoa,31,1989,26.8,1599,1521,71,55,3,26,15,3,2,1,1,0,1297,7,25,Matches
25,Tiemoué Bakayoko,fr FRA,MF,Napoli,25,1994,21.8,1228,1198,27,27,1,4,2,0,0,0,0,0,1080,3,16,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
26,Keita Baldé,sn SEN,FW,Sampdoria,25,1995,13.3,315,292,23,1,0,0,8,2,2,2,0,0,230,0,9,Matches
27,Botond Balogh,hu HUN,DF,Parma,18,2002,1.8,79,75,4,1,0,0,0,3,0,0,0,0,59,0,0,Matches
28,Mattia Bani,it ITA,DF,Genoa,26,1993,10.2,529,513,15,12,0,5,2,3,0,0,0,0,443,1,6,Matches
29,Mattia Bani,it ITA,DF,Parma,26,1993,12.7,712,684,28,21,0,6,3,6,0,0,0,0,633,0,2,Matches
30,Antonín Barák,cz CZE,MF,Hellas Verona,25,1994,30.7,1311,1261,40,20,2,6,14,15,0,0,0,0,1017,10,37,Matches
31,Federico Barba,it ITA,DF,Benevento,26,1993,29.5,1396,1152,240,61,0,4,38,171,0,0,0,0,1095,4,23,Matches
32,Nicolò Barella,it ITA,MF,Inter,23,1997,32.2,1931,1894,29,10,5,12,64,18,1,1,0,0,1591,8,41,Matches
33,Antonio Barreca,it ITA,DF,Fiorentina,25,1995,0.9,51,36,15,2,0,0,11,10,3,0,3,0,32,0,2,Matches
34,Musa Barrow,gm GAM,"FW,MF",Bologna,21,1998,32.5,1165,1031,125,32,1,17,138,15,66,54,5,0,818,9,21,Matches
35,Paolo Bartolomei,it ITA,MF,Spezia,30,1989,3.6,124,117,7,1,0,1,13,1,5,0,4,0,91,0,4,Matches
36,Daniele Baselli,it ITA,MF,Torino,28,1992,4.4,217,190,24,10,2,2,14,0,12,5,6,0,163,3,5,Matches
37,Alessandro Bastoni,it ITA,DF,Inter,21,1999,32.5,2306,2175,124,63,1,24,24,32,0,0,0,0,2065,7,24,Matches
38,Simone Bastoni,it ITA,DF,Spezia,23,1996,16.9,1068,862,199,30,0,3,93,135,34,0,31,0,794,7,35,Matches
39,Bastos,ao ANG,DF,Lazio,29,1991,0.7,41,39,2,2,0,0,0,0,0,0,0,0,38,0,0,Matches
40,Rodrigo Becão,br BRA,DF,Udinese,24,1996,30.9,1371,1313,54,49,0,5,13,5,0,0,0,0,1173,4,19,Matches
41,Valon Behrami,ch SUI,MF,Genoa,35,1985,9.9,218,211,6,4,0,0,3,2,0,0,0,0,162,1,2,Matches
42,Andrea Belotti,it ITA,FW,Torino,26,1993,32.1,716,656,56,4,9,11,25,2,0,0,0,0,481,4,39,Matches
