rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
1,Gennaro Acampora,it ITA,"MF,FW",Spezia,26,1994,4.9,282,8,39,147,102,4,282,16,10,62.5,6,37.5,187,1191,444,15,14,1,12,12,206,19,Matches
2,Francesco Acerbi,it ITA,DF,Lazio,32,1988,31.3,2430,309,1122,1136,191,22,2430,8,6,75.0,2,25.0,1410,8649,4938,41,42,2,21,10,1565,46,Matches
3,Andrea Adorante,it ITA,FW,Parma,20,2000,0.1,2,0,0,2,0,0,2,0,0,,0,,2,9,0,0,0,0,0,2,1,0,Matches
4,Lucien Agoume,fr FRA,MF,Spezia,18,2002,8.9,563,26,165,338,68,1,563,8,6,75.0,2,25.0,308,1391,569,6,6,1,9,8,368,7,Matches
5,Kevin Agudelo,co COL,FW,Spezia,21,1998,15.1,544,2,58,233,271,56,544,76,44,57.9,32,42.1,324,2760,1422,50,35,24,35,25,357,82,Matches
6,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,27,1992,11.7,522,20,116,289,132,21,522,26,15,57.7,11,42.3,270,1381,603,11,11,3,26,13,282,31,Matches
7,Luis Alberto,es ESP,MF,Lazio,27,1992,29.1,2254,14,240,1244,817,63,2254,95,51,53.7,44,46.3,1344,8588,5655,143,124,19,46,39,1577,132,Matches
8,Bruno Alves,pt POR,DF,Parma,38,1981,18.1,1096,173,611,446,41,17,1096,2,1,50.0,1,50.0,636,2915,1445,0,4,1,1,1,721,6,Matches
9,Wisdom Amey,it ITA,DF,Bologna,14,2005,0.0,7,0,0,5,2,0,7,0,0,,0,,2,19,15,0,0,0,0,0,2,0,Matches
10,Sofyan Amrabat,ma MAR,MF,Fiorentina,23,1996,27.1,1603,33,270,1091,266,12,1603,71,47,66.2,24,33.8,1051,6212,2510,38,33,3,33,48,1143,46,Matches
11,Djavan Anderson,sr SUR,DF,Lazio,25,1995,0.8,37,1,7,15,15,0,37,2,0,0.0,2,100.0,20,116,37,2,0,0,1,1,20,4,Matches
12,Nícolas Andrade,br BRA,GK,Udinese,32,1988,2.0,40,36,40,0,0,0,40,0,0,,0,,23,93,50,0,0,0,0,0,19,0,Matches
13,Davide Angelo Ghislandi,it ITA,DF,Atalanta,19,2001,0.1,4,1,1,1,2,0,4,0,0,,0,,3,4,2,0,0,0,0,0,3,1,Matches
14,Philip Ankhrah,gh GHA,MF,Hellas Verona,17,2002,0.1,2,0,0,1,1,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
15,Cristian Ansaldi,ar ARG,"DF,FW",Torino,33,1986,21.6,1205,60,305,481,435,31,1204,54,28,51.9,26,48.1,645,4747,2501,91,58,8,26,17,658,93,Matches
16,Valentin Antov,bg BUL,DF,Bologna,19,2000,2.6,154,30,101,51,2,0,154,1,1,100.0,0,0.0,72,361,204,1,1,0,2,0,93,0,Matches
17,Nicolò Armini,it ITA,DF,Lazio,19,2001,0.1,5,0,1,3,1,0,5,0,0,,0,,3,27,0,0,0,0,0,0,3,0,Matches
18,Tolgay Arslan,de GER,MF,Udinese,29,1990,20.2,1095,23,227,652,234,19,1095,48,34,70.8,14,29.2,665,3971,2354,48,45,6,22,22,734,37,Matches
19,Kwadwo Asamoah,gh GHA,"DF,MF",Cagliari,31,1988,2.5,136,8,34,70,35,1,136,3,2,66.7,1,33.3,72,325,211,4,5,0,1,1,77,11,Matches
20,Kristoffer Askildsen,no NOR,MF,Sampdoria,19,2001,1.1,31,2,13,13,5,1,31,1,1,100.0,0,0.0,15,37,7,1,1,0,3,3,16,2,Matches
21,Emil Audero,id IDN,GK,Sampdoria,23,1997,37.0,1341,1180,1336,5,1,1,1341,0,0,,0,,709,3742,2187,0,0,0,0,0,572,0,Matches
22,Tommaso Augello,it ITA,DF,Sampdoria,25,1994,35.7,2330,109,708,1016,632,31,2330,54,31,57.4,23,42.6,1215,6866,3913,105,72,7,43,16,1409,159,Matches
23,Kaan Ayhan,tr TUR,DF,Sassuolo,25,1994,8.8,651,68,219,358,77,4,651,4,3,75.0,1,25.0,394,1642,1030,19,9,1,1,3,466,13,Matches
24,Milan Badelj,hr CRO,MF,Genoa,31,1989,26.8,1907,78,478,1179,273,13,1907,46,36,78.3,10,21.7,1037,4120,1852,23,26,1,31,22,1194,25,Matches
25,Tiemoué Bakayoko,fr FRA,MF,Napoli,25,1994,21.8,1449,36,296,973,187,16,1449,29,25,86.2,4,13.8,804,3386,1295,15,18,1,27,20,1063,17,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
26,Keita Baldé,sn SEN,FW,Sampdoria,25,1995,13.3,473,4,21,189,270,83,473,26,16,61.5,10,38.5,303,1848,962,40,26,23,45,15,400,110,Matches
27,Botond Balogh,hu HUN,DF,Parma,18,2002,1.8,105,13,62,40,3,1,105,1,1,100.0,0,0.0,63,300,196,1,1,0,1,0,64,1,Matches
