rk,player,nation,pos,squad,age,born,90s,ga,pka,fk,ck,og,psxg,psxg_sot,psxg_exp,90,cmp,att,cmp_launch,att_gk,thr,launch,avglen,att_goal_k,launch_goal_k,avglen_goal_k,opp,stp,stp_crosse,opa,opa_90,avgdist,matches
1,Emil Audero,id IDN,GK,Como,27,1997,8.0,18,4,0,2,0,12.4,0.27,-5.6,-0.70,17,55,30.9,232,30,22.0,28.6,21,19.0,27.5,95,5,5.3,8,1.00,12.9,Matches
2,Jean Butez,fr FRA,GK,Como,29,1995,18.5,20,2,0,1,0,20.1,0.27,+0.1,0.00,90,235,38.3,709,92,30.2,32.0,43,48.8,42.7,190,22,11.6,51,2.76,18.2,Matches
3,Elia Caprile,it ITA,GK,Napoli,22,2001,3.6,1,0,0,0,0,2.2,0.27,+1.2,+0.32,11,25,44.0,82,9,25.6,31.7,15,26.7,30.7,31,3,9.7,3,0.83,13.7,Matches
4,Elia Caprile,it ITA,GK,Cagliari,22,2001,18.0,22,1,0,4,0,23.5,0.35,+1.5,+0.08,132,332,39.8,546,93,44.1,36.8,159,57.2,45.2,266,18,6.8,23,1.28,15.6,Matches
5,Marco Carnesecchi,it ITA,GK,Atalanta,24,2000,34.0,34,2,0,4,2,36.1,0.28,+4.1,+0.12,121,374,32.4,878,177,28.2,32.3,201,62.7,48.2,319,21,6.6,45,1.32,14.5,Matches
6,Leandro Chichizola,ar ARG,GK,Parma,34,1990,1.0,3,0,0,0,0,2.5,0.43,-0.5,-0.54,3,16,18.8,41,5,31.7,33.9,8,37.5,34.4,21,2,9.5,2,2.00,16.3,Matches
7,Giuseppe Ciocci,it ITA,GK,Cagliari,22,2002,0.1,0,0,0,0,0,0.0,,0.0,0.00,0,0,,1,0,0.0,6.0,0,,,0,0,,1,10.00,21.0,Matches
8,Michele Di Gregorio,it ITA,GK,Juventus,27,1997,33.0,32,5,0,6,0,28.1,0.24,-3.9,-0.12,128,333,38.4,848,126,30.0,31.4,146,54.1,44.0,469,29,6.2,30,0.91,13.1,Matches
9,Wladimiro Falcone,it ITA,GK,Lecce,29,1995,38.0,58,8,3,5,3,53.8,0.26,-1.2,-0.03,220,656,33.5,1017,120,51.9,39.1,178,71.9,50.2,590,29,4.9,19,0.50,11.0,Matches
10,David de Gea,es ESP,GK,Fiorentina,33,1990,35.0,38,1,0,3,1,37.7,0.26,+0.7,+0.02,218,490,44.5,886,129,40.1,35.8,241,56.0,45.1,478,13,2.7,28,0.80,14.5,Matches
11,Pierluigi Gollini,it ITA,GK,Genoa,29,1995,7.0,15,3,0,1,0,12.2,0.29,-2.8,-0.39,33,75,44.0,198,21,24.7,30.4,52,50.0,44.4,92,2,2.2,2,0.29,9.6,Matches
12,Jesse Joronen,fi FIN,GK,Venezia,31,1993,7.8,15,3,0,3,2,12.6,0.26,-0.4,-0.05,20,84,23.8,260,46,28.1,31.0,41,26.8,34.9,125,6,4.8,5,0.64,9.4,Matches
13,Nicola Leali,it ITA,GK,Genoa,31,1993,29.0,31,3,0,4,3,34.3,0.29,+6.3,+0.22,150,391,38.4,722,112,39.3,33.9,214,50.0,41.1,390,21,5.4,14,0.48,11.2,Matches
14,Mike Maignan,fr FRA,GK,Milan,29,1995,36.6,41,1,1,3,3,36.8,0.26,-1.2,-0.03,118,306,38.6,1355,174,17.4,27.8,194,36.1,38.6,447,26,5.8,68,1.86,18.7,Matches
15,Christos Mandas,gr GRE,GK,Lazio,22,2001,9.0,7,0,0,1,0,7.9,0.29,+0.9,+0.10,42,124,33.9,308,36,36.4,35.9,25,48.0,41.8,130,20,15.4,22,2.44,16.8,Matches
16,Josep Martinez,es ESP,GK,Inter,26,1998,5.0,3,0,0,0,0,4.1,0.31,+1.1,+0.23,23,51,45.1,216,15,20.4,28.6,25,28.0,32.1,81,3,3.7,3,0.60,15.8,Matches
17,Andrea Mazza,it ITA,GK,Monza,20,2004,0.1,0,0,0,0,0,0.0,,0.0,0.00,1,2,50.0,5,1,20.0,24.0,2,50.0,40.0,1,0,0.0,0,0.00,,Matches
18,Alex Meret,it ITA,GK,Napoli,27,1997,33.4,25,1,1,0,2,25.3,0.27,+2.3,+0.07,88,214,41.1,1041,117,15.4,27.7,181,29.8,34.9,378,21,5.6,47,1.41,16.5,Matches
19,Vanja Milinković-Savić,rs SRB,GK,Torino,27,1997,37.0,42,3,1,7,2,51.4,0.27,+11.4,+0.31,223,702,31.8,1352,191,40.0,37.6,271,59.4,51.1,585,37,6.3,46,1.24,13.7,Matches
20,Lorenzo Montipò,it ITA,GK,Hellas Verona,28,1996,36.0,64,2,0,6,1,50.8,0.31,-12.2,-0.34,210,720,29.2,760,91,59.9,43.6,298,88.9,59.3,498,30,6.0,23,0.64,11.6,Matches
21,Juan Musso,ar ARG,GK,Atalanta,30,1994,1.0,0,0,0,0,0,0.7,0.19,+0.7,+0.74,4,20,20.0,19,4,36.8,33.1,14,92.9,56.9,15,0,0.0,1,1.00,17.5,Matches
22,Maduka Okoye,ng NGA,GK,Udinese,24,1999,25.0,40,4,2,4,3,37.0,0.32,0.0,0.00,120,292,41.1,776,80,29.9,30.2,99,60.6,47.3,315,14,4.4,23,0.92,14.1,Matches
