rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
1,Mohamed Abarhoun,ma MAR,DF,Rizespor,30,1989,19.3,,15,,,,,,,,,,29,,,,Matches
2,Aymen Abdennour,tn TUN,DF,Kayserispor,29,1989,10.0,,4,,,,,,,,,,11,,,,Matches
3,Tolgahan Acar,tr TUR,GK,Denizlispor,33,1986,5.0,,1,,,,,,,,,,0,,,,Matches
4,Afriyie Acquah,gh GHA,MF,Yeni Mal'spor,27,1992,24.5,,14,,,,,,,,,,20,,,,Matches
5,Emmanuel Adebayor,tg TOG,FW,Kayserispor,35,1984,7.4,,1,,,,,,,,,,2,,,,Matches
6,Adryan,br BRA,"FW,MF",Kayserispor,24,1994,1.0,,2,,,,,,,,,,0,,,,Matches
7,Sedat Ağçay,tr TUR,MF,Ankaragücü,37,1981,18.8,,23,,,,,,,,,,13,,,,Matches
8,Ismaïl Aissati,ma MAR,MF,Denizlispor,30,1988,29.1,,19,,,,,,,,,,17,,,,Matches
9,Mahmut Akan,tr TUR,FW,Ankaragücü,25,1994,0.3,,1,,,,,,,,,,0,,,,Matches
10,Emre Akbaba,tr TUR,"MF,FW",Galatasaray,26,1992,10.8,,3,,,,,,,,,,4,,,,Matches
11,Mustafa Akbaş,tr TUR,DF,Yeni Mal'spor,29,1990,15.3,,14,,,,,,,,,,19,,,,Matches
12,Halil Akbunar,tr TUR,MF,Göztepe,25,1993,22.9,,30,,,,,,,,,,22,,,,Matches
13,Yunus Akgün,tr TUR,MF,Galatasaray,19,2000,0.2,,0,,,,,,,,,,1,,,,Matches
14,Gökhan Akkan,tr TUR,GK,Rizespor,24,1995,24.4,,0,,,,,,,,,,0,,,,Matches
15,Atakan Akkaynak,de GER,MF,Rizespor,20,1999,0.4,,0,,,,,,,,,,0,,,,Matches
16,Fatih Aksoy,tr TUR,MF,Sivasspor,21,1997,19.3,,29,,,,,,,,,,30,,,,Matches
17,Aksel Aktas,tr TUR,MF,Kayserispor,20,1999,2.7,,5,,,,,,,,,,2,,,,Matches
18,Kubilay Aktaş,tr TUR,"MF,DF",Gaziantep FK,24,1995,2.3,,0,,,,,,,,,,5,,,,Matches
19,Ufuk Akyol,de GER,MF,Antalyaspor,21,1997,20.4,,18,,,,,,,,,,13,,,,Matches
20,Mehmet Akyüz,tr TUR,FW,Denizlispor,33,1986,2.0,,0,,,,,,,,,,0,,,,Matches
21,Burak Albayrak,tr TUR,DF,Rizespor,21,1998,4.5,,3,,,,,,,,,,8,,,,Matches
22,Eren Albayrak,tr TUR,DF,Antalyaspor,28,1991,11.2,,17,,,,,,,,,,21,,,,Matches
23,Danijel Aleksić,rs SRB,MF,Başakşehir,28,1991,15.2,,17,,,,,,,,,,16,,,,Matches
24,Hasan Ali Kaldırım,tr TUR,DF,Fenerbahçe,29,1989,16.8,,12,,,,,,,,,,19,,,,Matches
25,Ömer Ali Şahiner,tr TUR,"MF,FW",Konyaspor,27,1992,27.9,,22,,,,,,,,,,23,,,,Matches
