rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,1_3,cpa,mis,dis,rec,matches
1,Mohamed Abarhoun,ma MAR,DF,Rizespor,30,1989,19.3,,,,,,,,,,,,,,,,,,,,,Matches
2,Aymen Abdennour,tn TUN,DF,Kayserispor,29,1989,10.0,,,,,,,,,,,,,,,,,,,,,Matches
3,Tolgahan Acar,tr TUR,GK,Denizlispor,33,1986,5.0,,,,,,,,,,,,,,,,,,,,,Matches
4,Afriyie Acquah,gh GHA,MF,Yeni Mal'spor,27,1992,24.5,,,,,,,,,,,,,,,,,,,,,Matches
5,Emmanuel Adebayor,tg TOG,FW,Kayserispor,35,1984,7.4,,,,,,,,,,,,,,,,,,,,,Matches
6,Adryan,br BRA,"FW,MF",Kayserispor,24,1994,1.0,,,,,,,,,,,,,,,,,,,,,Matches
7,Sedat Ağçay,tr TUR,MF,Ankaragücü,37,1981,18.8,,,,,,,,,,,,,,,,,,,,,Matches
8,Ismaïl Aissati,ma MAR,MF,Denizlispor,30,1988,29.1,,,,,,,,,,,,,,,,,,,,,Matches
9,Mahmut Akan,tr TUR,FW,Ankaragücü,25,1994,0.3,,,,,,,,,,,,,,,,,,,,,Matches
10,Emre Akbaba,tr TUR,"MF,FW",Galatasaray,26,1992,10.8,,,,,,,,,,,,,,,,,,,,,Matches
11,Mustafa Akbaş,tr TUR,DF,Yeni Mal'spor,29,1990,15.3,,,,,,,,,,,,,,,,,,,,,Matches
12,Halil Akbunar,tr TUR,MF,Göztepe,25,1993,22.9,,,,,,,,,,,,,,,,,,,,,Matches
13,Yunus Akgün,tr TUR,MF,Galatasaray,19,2000,0.2,,,,,,,,,,,,,,,,,,,,,Matches
14,Gökhan Akkan,tr TUR,GK,Rizespor,24,1995,24.4,,,,,,,,,,,,,,,,,,,,,Matches
15,Atakan Akkaynak,de GER,MF,Rizespor,20,1999,0.4,,,,,,,,,,,,,,,,,,,,,Matches
16,Fatih Aksoy,tr TUR,MF,Sivasspor,21,1997,19.3,,,,,,,,,,,,,,,,,,,,,Matches
17,Aksel Aktas,tr TUR,MF,Kayserispor,20,1999,2.7,,,,,,,,,,,,,,,,,,,,,Matches
18,Kubilay Aktaş,tr TUR,"MF,DF",Gaziantep FK,24,1995,2.3,,,,,,,,,,,,,,,,,,,,,Matches
19,Ufuk Akyol,de GER,MF,Antalyaspor,21,1997,20.4,,,,,,,,,,,,,,,,,,,,,Matches
20,Mehmet Akyüz,tr TUR,FW,Denizlispor,33,1986,2.0,,,,,,,,,,,,,,,,,,,,,Matches
21,Burak Albayrak,tr TUR,DF,Rizespor,21,1998,4.5,,,,,,,,,,,,,,,,,,,,,Matches
22,Eren Albayrak,tr TUR,DF,Antalyaspor,28,1991,11.2,,,,,,,,,,,,,,,,,,,,,Matches
23,Danijel Aleksić,rs SRB,MF,Başakşehir,28,1991,15.2,,,,,,,,,,,,,,,,,,,,,Matches
24,Hasan Ali Kaldırım,tr TUR,DF,Fenerbahçe,29,1989,16.8,,,,,,,,,,,,,,,,,,,,,Matches
